Dates;Open;High;Low;Close;Volume
2017-12-27;639.0;639.0;633.0;636.0;1668
2017-12-22;639.0;639.0;632.0;636.0;1191
2017-12-21;636.0;638.0;635.0;635.0;324
2017-12-20;639.0;639.0;635.0;635.0;1016
2017-12-19;637.0;640.0;636.0;639.0;68
2017-12-18;638.0;638.0;635.0;638.0;479
2017-12-15;637.0;642.0;635.0;638.0;2767
2017-12-14;637.0;640.0;637.0;637.0;600
2017-12-13;639.0;640.0;636.0;637.0;862
2017-12-12;639.0;640.0;634.0;639.0;360
2017-12-11;639.0;639.0;633.0;638.0;414
2017-12-08;635.0;640.0;633.0;638.0;1460
2017-12-07;638.0;638.0;632.0;635.0;1262
2017-12-06;637.0;637.0;635.0;635.0;1365
2017-12-05;637.0;638.0;635.0;637.0;1453
2017-12-04;637.0;642.0;632.0;637.0;710
2017-12-01;642.0;644.0;636.0;637.0;852
2017-11-30;644.0;644.0;640.0;642.0;565
2017-11-29;637.0;642.0;637.0;639.0;1942
2017-11-28;638.0;640.0;636.0;640.0;1001
2017-11-27;637.0;639.0;636.0;636.0;2210
2017-11-24;633.0;640.0;633.0;636.0;1311
2017-11-23;637.0;638.0;632.0;637.0;300
2017-11-22;634.0;637.0;630.0;637.0;2936
2017-11-21;631.0;634.0;630.0;634.0;684
2017-11-20;633.0;634.0;630.0;630.0;1833
2017-11-17;633.0;634.0;627.0;630.0;1507
2017-11-16;630.0;636.0;630.0;630.0;832
2017-11-15;634.0;636.0;628.0;628.0;791
2017-11-14;630.0;634.0;627.0;632.0;4697
2017-11-13;627.0;629.0;627.0;629.0;425
2017-11-10;623.0;630.0;623.0;630.0;318
2017-11-09;633.0;639.0;622.0;622.0;3820
2017-11-08;637.0;639.0;633.0;635.0;2615
2017-11-07;639.0;639.0;635.0;637.0;856
2017-11-06;634.0;640.0;634.0;640.0;1926
2017-11-03;639.0;640.0;635.0;640.0;935
2017-11-02;641.0;641.0;634.0;639.0;2221
2017-11-01;646.0;647.0;642.0;642.0;1357
2017-10-31;643.0;646.0;635.0;646.0;3256
2017-10-30;640.0;648.0;638.0;643.0;2015
2017-10-27;635.0;640.0;635.0;639.0;389
2017-10-26;635.0;635.0;630.0;634.0;936
2017-10-25;636.0;639.0;632.0;636.0;2307
2017-10-24;642.0;642.0;636.0;636.0;819
2017-10-23;640.0;642.0;634.0;642.0;2701
2017-10-20;642.0;643.0;637.0;640.0;3369
2017-10-19;640.0;643.0;637.0;642.0;698
2017-10-18;636.0;640.0;636.0;639.0;1278
2017-10-17;635.0;638.0;632.0;635.0;3206
2017-10-13;628.0;635.0;627.0;635.0;7991
2017-10-12;625.0;628.0;625.0;628.0;2650
2017-10-11;624.0;628.0;623.0;625.0;681
2017-10-10;628.0;628.0;620.0;620.0;3156
2017-10-09;628.0;628.0;624.0;624.0;1682
2017-10-06;627.0;628.0;625.0;628.0;2659
2017-10-05;638.0;638.0;625.0;627.0;4461
2017-10-04;631.0;638.0;631.0;637.0;1340
2017-10-03;638.0;640.0;635.0;638.0;560
2017-10-02;636.0;646.0;632.0;638.0;950
2017-09-29;637.0;640.0;628.0;640.0;1736
2017-09-28;633.0;637.0;626.0;637.0;1667
2017-09-27;629.0;632.0;626.0;632.0;2698
2017-09-26;630.0;630.0;623.0;626.0;1230
2017-09-25;629.0;630.0;628.0;630.0;1170
2017-09-22;628.0;630.0;628.0;629.0;1280
2017-09-21;629.0;630.0;622.0;630.0;2240
2017-09-20;629.0;629.0;627.0;629.0;142
2017-09-19;630.0;630.0;627.0;629.0;1134
2017-09-18;628.0;630.0;623.0;629.0;906
2017-09-15;623.0;625.0;618.0;625.0;3460
2017-09-14;620.0;627.0;620.0;620.0;2115
2017-09-13;629.0;630.0;618.0;620.0;4646
2017-09-12;625.0;630.0;624.0;624.0;1810
2017-09-11;629.0;629.0;625.0;626.0;2028
2017-09-08;628.0;629.0;623.0;629.0;995
2017-09-07;628.0;630.0;621.0;628.0;3812
2017-09-06;628.0;630.0;620.0;628.0;2819
2017-09-04;626.0;636.0;626.0;630.0;2509
2017-09-01;627.0;630.0;621.0;626.0;928
2017-08-31;621.0;625.0;616.0;624.0;534
2017-08-30;620.0;622.0;615.0;621.0;756
2017-08-29;620.0;621.0;612.0;615.0;1317
2017-08-28;620.0;625.0;616.0;618.0;1385
2017-08-25;625.0;627.0;618.0;620.0;806
2017-08-24;624.0;625.0;618.0;625.0;990
2017-08-23;617.0;618.0;615.0;618.0;619
2017-08-22;612.0;617.0;612.0;615.0;1644
2017-08-21;615.0;620.0;610.0;610.0;1529
2017-08-18;615.0;615.0;612.0;614.0;1651
2017-08-17;619.0;620.0;610.0;619.0;1444
2017-08-16;625.0;625.0;618.0;622.0;998
2017-08-15;628.0;628.0;620.0;621.0;720
2017-08-14;623.0;629.0;623.0;628.0;506
2017-08-11;628.0;628.0;620.0;623.0;2522
2017-08-10;629.0;629.0;623.0;626.0;614
2017-08-09;631.0;634.0;623.0;632.0;774
2017-08-08;629.0;629.0;625.0;628.0;248
2017-08-07;629.0;630.0;624.0;624.0;463
2017-08-04;631.0;631.0;625.0;629.0;317
2017-08-03;627.0;630.0;627.0;629.0;508
2017-08-02;637.0;640.0;636.0;636.0;1050
2017-08-01;635.0;639.0;635.0;636.0;1141
2017-07-31;634.0;635.0;630.0;632.0;1413
2017-07-28;634.0;634.0;630.0;632.0;471
2017-07-27;632.0;632.0;629.0;630.0;475
2017-07-26;626.0;632.0;626.0;630.0;442
2017-07-25;626.0;630.0;625.0;626.0;979
2017-07-24;620.0;626.0;620.0;626.0;458
2017-07-21;628.0;628.0;602.0;616.0;4588
2017-07-20;628.0;628.0;627.0;627.0;452
2017-07-19;625.0;633.0;625.0;627.0;847
2017-07-18;625.0;625.0;621.0;624.0;1024
2017-07-17;624.0;625.0;622.0;625.0;524
2017-07-14;625.0;625.0;621.0;621.0;165
2017-07-13;625.0;625.0;619.0;623.0;498
2017-07-12;622.0;624.0;618.0;624.0;1881
2017-07-11;628.0;628.0;622.0;622.0;1405
2017-07-10;630.0;630.0;625.0;625.0;3653
2017-07-07;627.0;628.0;627.0;627.0;1803
2017-07-06;627.0;627.0;625.0;627.0;1376
2017-07-05;625.0;628.0;623.0;624.0;816
2017-07-04;633.0;637.0;624.0;625.0;1971
2017-07-03;623.0;640.0;623.0;633.0;2180
2017-06-30;620.0;627.0;599.0;623.0;5776
2017-06-29;628.0;630.0;620.0;620.0;2282
2017-06-28;626.0;639.0;625.0;628.0;877
2017-06-27;625.0;629.0;625.0;625.0;562
2017-06-26;629.0;629.0;624.0;624.0;1086
2017-06-23;;626.0;626.0;626.0;0
2017-06-22;629.0;629.0;621.0;626.0;1003
2017-06-21;638.0;638.0;625.0;626.0;620
2017-06-20;628.0;634.0;626.0;626.0;559
2017-06-19;627.0;633.0;626.0;633.0;553
2017-06-16;620.0;630.0;620.0;627.0;1515
2017-06-15;619.0;625.0;615.0;620.0;1552
2017-06-14;620.0;620.0;612.0;619.0;2230
2017-06-13;630.0;630.0;608.0;620.0;4244
2017-06-12;629.0;635.0;627.0;630.0;574
2017-06-09;640.0;640.0;624.0;629.0;915
2017-06-08;641.0;646.0;635.0;640.0;5355
2017-06-07;640.0;647.0;640.0;645.0;2919
2017-06-06;;638.0;638.0;638.0;0
2017-06-05;635.0;640.0;633.0;638.0;1009
2017-06-02;637.0;640.0;630.0;630.0;2625
2017-06-01;628.0;638.0;628.0;638.0;6212
2017-05-31;630.0;630.0;626.0;629.0;3770
2017-05-30;628.0;629.0;625.0;626.0;2539
2017-05-29;622.0;630.0;622.0;629.0;3296
2017-05-26;618.0;624.0;618.0;620.0;1352
2017-05-24;618.0;620.0;617.0;618.0;376
2017-05-23;619.0;620.0;612.0;618.0;1304
2017-05-22;620.0;620.0;617.0;619.0;1698
2017-05-19;610.0;625.0;609.0;620.0;2665
2017-05-18;615.0;615.0;603.0;606.0;2324
2017-05-17;608.0;617.0;607.0;615.0;3347
2017-05-16;605.0;610.0;605.0;606.0;955
2017-05-15;615.0;625.0;600.0;600.0;4173
2017-05-12;601.0;612.0;612.0;612.0;2410
2017-05-11;595.0;610.0;595.0;605.0;3885
2017-05-10;599.0;600.0;592.0;595.0;1622
2017-05-09;599.0;600.0;592.0;597.0;2150
2017-05-08;599.0;600.0;592.0;599.0;687
2017-05-05;595.0;600.0;592.0;600.0;1825
2017-05-04;594.0;605.0;590.0;595.0;1471
2017-05-03;594.0;604.0;590.0;598.0;4202
2017-05-02;590.0;595.0;589.0;589.0;1465
2017-05-01;;595.0;595.0;595.0;0
2017-04-28;595.0;595.0;592.0;595.0;926
2017-04-27;595.0;599.0;590.0;595.0;1293
2017-04-26;600.0;600.0;590.0;595.0;1416
2017-04-25;586.0;595.0;584.0;595.0;2979
2017-04-24;583.0;586.0;583.0;586.0;2370
2017-04-21;587.0;587.0;581.0;583.0;1055
2017-04-20;582.0;587.0;580.0;586.0;1412
2017-04-19;579.0;586.0;579.0;582.0;1343
2017-04-18;586.0;586.0;579.0;579.0;1425
2017-04-13;586.0;586.0;585.0;586.0;626
2017-04-12;584.0;587.0;582.0;584.0;1462
2017-04-11;580.0;584.0;579.0;582.0;1297
2017-04-10;580.0;581.0;575.0;579.0;1170
2017-04-07;574.0;580.0;574.0;580.0;1083
2017-04-06;573.0;580.0;570.0;575.0;2416
2017-04-05;570.0;574.0;569.0;573.0;673
2017-04-04;575.0;577.0;570.0;570.0;1579
2017-04-03;574.0;580.0;571.0;575.0;2641
2017-03-31;573.0;573.0;569.0;571.0;282
2017-03-30;571.0;577.0;569.0;573.0;2527
2017-03-29;568.0;577.0;566.0;567.0;1086
2017-03-28;564.0;579.0;564.0;567.0;1788
2017-03-27;560.0;564.0;560.0;562.0;2558
2017-03-24;557.0;561.0;556.0;558.0;613
2017-03-23;557.0;562.0;556.0;557.0;625
2017-03-22;556.0;560.0;555.0;556.0;719
2017-03-21;558.0;563.0;556.0;556.0;2234
2017-03-20;559.0;561.0;556.0;561.0;1758
2017-03-17;561.0;561.0;558.0;558.0;1227
2017-03-16;563.0;563.0;560.0;560.0;400
2017-03-15;556.0;564.0;556.0;564.0;1572
2017-03-14;556.0;559.0;556.0;559.0;531
2017-03-13;555.0;558.0;554.0;555.0;1225
2017-03-10;556.0;556.0;556.0;556.0;849
2017-03-09;556.0;560.0;553.0;556.0;6232
2017-03-08;556.0;560.0;555.0;560.0;1015
2017-03-07;555.0;561.0;555.0;561.0;1976
2017-03-06;555.0;557.0;555.0;557.0;472
2017-03-03;554.0;555.0;555.0;555.0;368
2017-03-02;553.0;556.0;551.0;554.0;2843
2017-03-01;556.0;556.0;552.0;553.0;590
2017-02-28;554.0;556.0;554.0;554.0;994
2017-02-27;553.0;558.0;553.0;554.0;1197
2017-02-24;554.0;558.0;552.0;553.0;2931
2017-02-23;554.0;555.0;552.0;555.0;1580
2017-02-22;555.0;555.0;553.0;554.0;432
2017-02-21;549.0;555.0;549.0;555.0;1901
2017-02-20;549.0;549.0;548.0;548.0;1408
2017-02-17;548.0;550.0;547.0;549.0;2524
2017-02-16;550.0;550.0;548.0;550.0;4106
2017-02-15;548.0;550.0;548.0;550.0;515
2017-02-14;550.0;551.0;547.0;549.0;1718
2017-02-13;549.0;550.0;547.0;550.0;1576
2017-02-10;550.0;550.0;547.0;549.0;3114
2017-02-09;548.0;550.0;548.0;549.0;1439
