Dates;Open;High;Low;Close;Volume
2017-12-27;36.3;39.2;36.3;39.2;70492
2017-12-22;36.3;36.7;35.7;36.6;64271
2017-12-21;35.4;36.7;35.4;36.3;43417
2017-12-20;36.4;36.9;36.1;36.9;39642
2017-12-19;36.0;37.2;35.9;36.4;75496
2017-12-18;36.0;36.4;35.1;36.0;40220
2017-12-15;36.8;37.0;34.2;36.3;237214
2017-12-14;37.4;37.4;36.0;37.0;8159
2017-12-13;37.1;37.7;37.1;37.4;22809
2017-12-12;38.3;38.4;37.2;37.7;30812
2017-12-11;39.2;39.2;37.6;38.3;24286
2017-12-08;40.0;40.0;38.3;39.2;5669
2017-12-07;39.3;40.0;38.6;40.0;5066
2017-12-06;38.6;39.1;37.9;39.1;88181
2017-12-05;39.5;39.5;38.5;38.5;8166
2017-12-04;40.0;40.1;38.7;39.5;13750
2017-12-01;40.0;40.5;39.8;40.0;7926
2017-11-30;38.7;40.0;38.7;39.7;16408
2017-11-29;38.9;39.5;37.4;37.5;2856
2017-11-28;40.0;40.1;38.1;38.9;16280
2017-11-27;38.2;39.1;36.9;37.8;11077
2017-11-24;38.0;38.2;37.5;38.2;4161
2017-11-23;38.5;38.9;37.2;38.0;55865
2017-11-22;39.4;39.7;38.5;38.5;24493
2017-11-21;39.5;40.2;38.2;39.0;53361
2017-11-20;41.0;41.1;39.0;39.9;15714
2017-11-17;40.1;40.2;38.5;40.0;10898
2017-11-16;39.9;40.0;39.8;40.0;15659
2017-11-15;41.6;42.1;39.0;39.8;6731426
2017-11-14;39.9;40.0;38.7;39.0;21805
2017-11-13;41.0;41.0;39.2;40.0;7065
2017-11-10;40.8;40.8;39.5;40.5;2696
2017-11-09;40.5;40.8;40.5;40.8;4906
2017-11-08;41.4;41.4;39.6;40.3;6253
2017-11-07;40.3;41.2;40.2;41.2;17476
2017-11-06;39.5;40.5;39.5;40.2;24478
2017-11-03;38.7;39.0;38.6;38.8;136504
2017-11-02;37.0;39.5;37.0;38.7;39506
2017-11-01;34.8;38.2;34.0;37.1;43872
2017-10-31;35.5;35.6;33.5;34.8;40130
2017-10-30;35.2;35.6;34.0;35.0;23634
2017-10-27;34.6;36.6;33.6;34.6;12498
2017-10-26;35.0;35.0;34.0;34.5;17089
2017-10-25;35.9;35.9;34.8;35.0;3862
2017-10-24;36.6;36.6;34.5;35.2;8797
2017-10-23;35.9;35.9;35.0;35.5;2537
2017-10-20;36.6;36.6;35.3;35.8;14830
2017-10-19;36.6;36.8;36.1;36.8;19300
2017-10-18;37.8;38.0;36.6;36.7;32244
2017-10-17;39.0;39.0;37.5;37.7;6569
2017-10-13;39.0;39.5;38.1;38.5;14596
2017-10-12;37.8;38.7;37.8;38.1;6839
2017-10-11;37.2;38.0;35.1;37.7;4014
2017-10-10;37.5;37.5;37.0;37.2;1289
2017-10-09;36.8;41.0;36.7;37.4;5803
2017-10-06;37.0;37.5;36.3;36.8;77878
2017-10-05;36.3;37.2;36.2;37.2;16853
2017-10-04;37.7;37.8;36.1;36.3;26356
2017-10-03;38.0;38.1;37.7;37.7;13625
2017-10-02;38.6;38.6;38.0;38.0;34695
2017-09-29;38.6;39.2;38.4;38.6;32553
2017-09-28;39.5;40.0;38.1;38.6;58743
2017-09-27;39.6;39.8;39.3;39.3;8177
2017-09-26;40.4;40.4;39.0;39.5;48628
2017-09-25;40.5;40.6;40.2;40.2;6212
2017-09-22;39.0;40.6;38.5;40.5;10320
2017-09-21;39.5;39.7;38.6;39.4;48192
2017-09-20;40.4;40.7;39.2;39.5;51004
2017-09-19;42.1;42.4;40.9;41.1;6583
2017-09-18;42.3;42.3;40.6;42.0;8266
2017-09-15;42.8;43.0;42.1;42.3;3018
2017-09-14;42.9;43.0;42.3;42.8;28728
2017-09-13;41.7;44.0;41.7;43.0;72889
2017-09-12;40.8;42.4;40.7;41.7;4294
2017-09-11;40.5;40.7;40.3;40.5;4362
2017-09-08;41.0;41.0;40.2;41.0;86640
2017-09-07;40.0;40.7;39.5;40.4;4503
2017-09-06;41.0;41.0;39.6;40.0;13502
2017-09-04;41.1;41.3;40.0;40.1;4980
2017-09-01;41.2;41.6;41.0;41.0;3193
2017-08-31;42.0;42.3;41.1;41.1;2032
2017-08-30;42.7;43.0;41.1;42.0;6882
2017-08-29;43.5;43.5;42.5;42.7;722
2017-08-28;42.6;42.9;42.5;42.6;5300
2017-08-25;42.4;43.4;42.0;42.5;4077
2017-08-24;44.2;44.3;42.3;42.3;1555
2017-08-23;43.6;44.5;42.2;44.1;6811
2017-08-22;43.9;44.0;41.1;43.1;225497
2017-08-21;42.4;43.9;42.4;43.7;15367
2017-08-18;41.8;41.8;40.8;40.8;6811
2017-08-17;42.1;42.5;42.0;42.0;60729
2017-08-16;44.0;44.0;41.9;43.0;84456
2017-08-15;44.0;44.0;41.5;43.9;109422
2017-08-14;45.7;46.2;44.9;45.7;63468
2017-08-11;44.1;46.5;43.6;45.7;4673
2017-08-10;44.5;44.9;44.5;44.8;1453
2017-08-09;45.2;45.2;44.2;44.2;4118
2017-08-08;46.5;46.5;45.1;45.2;811
2017-08-07;45.0;45.5;44.5;45.5;1369
2017-08-04;44.6;45.1;44.6;45.0;2148
2017-08-03;45.2;45.2;44.0;44.5;4309
2017-08-02;45.2;45.7;44.2;45.2;7985
2017-08-01;45.7;46.8;45.0;45.1;2134
2017-07-31;45.9;47.8;45.6;45.6;3415
2017-07-28;46.8;47.7;45.9;45.9;6265
2017-07-27;47.0;47.7;46.0;46.8;2686
2017-07-26;46.0;47.0;45.7;46.4;2015
2017-07-25;45.8;46.3;45.7;45.9;6788
2017-07-24;46.0;46.5;45.7;45.8;9510
2017-07-21;47.0;47.1;46.0;46.5;9483
2017-07-20;47.1;47.3;47.1;47.3;8975
