Dates;Open;High;Low;Close;Volume
2017-12-07;19.6;20.4;19.5;20.0;11640
2017-12-06;19.6;19.6;19.4;19.6;7453
2017-12-05;20.1;20.3;19.6;19.6;10731
2017-12-04;20.1;20.5;19.5;20.0;9510
2017-12-01;19.8;20.1;19.4;20.1;7601
2017-11-30;19.5;20.0;19.1;19.6;3163
2017-11-29;20.1;20.1;19.0;19.6;14853
2017-11-28;20.1;21.5;20.1;20.1;15463
2017-11-27;19.9;20.4;19.9;20.1;3881
2017-11-24;19.8;20.4;19.0;19.9;8605
2017-11-23;20.2;20.2;19.5;19.8;3886
2017-11-22;20.5;20.5;19.7;20.0;7234
2017-11-21;20.2;20.5;19.2;20.5;9610
2017-11-20;19.1;20.9;19.1;20.5;18123
2017-11-17;19.0;19.1;19.0;19.1;3161
2017-11-16;18.6;19.5;18.5;19.0;10725
2017-11-15;19.6;19.6;18.6;18.6;6236
2017-11-14;19.7;19.7;19.0;19.0;4027
2017-11-13;19.1;20.0;18.1;19.9;18109
2017-11-10;19.5;19.5;19.3;19.4;5643
2017-11-09;20.1;20.1;19.5;19.5;2058
2017-11-08;20.6;20.6;20.2;20.2;8697
2017-11-07;20.5;21.2;20.5;20.7;4073
2017-11-06;20.4;22.0;20.3;20.5;28483
2017-11-03;20.5;20.5;20.3;20.3;8175
2017-11-02;20.3;20.6;20.2;20.5;3987
2017-11-01;20.2;20.3;20.0;20.2;14396
2017-10-31;20.0;20.2;19.7;20.2;10726
2017-10-30;19.7;20.0;19.6;19.8;2770
2017-10-27;19.7;19.7;19.6;19.6;2775
2017-10-26;19.7;19.7;19.6;19.7;9796
2017-10-25;19.6;20.0;19.6;19.7;4935
2017-10-24;19.6;19.7;19.3;19.6;1590
2017-10-23;19.9;19.9;19.7;19.7;4061
2017-10-20;20.0;20.0;19.7;19.7;2434
2017-10-19;19.5;20.0;19.2;19.5;3743
2017-10-18;19.9;19.9;19.6;19.6;2333
2017-10-17;19.8;19.9;19.7;19.9;4303
2017-10-13;19.3;19.9;19.0;19.8;2191
2017-10-12;19.5;19.5;18.6;19.4;4457
2017-10-11;19.8;19.8;19.5;19.5;2147
2017-10-10;19.8;19.8;19.1;19.6;3622
2017-10-09;19.4;19.9;18.4;19.8;1318
2017-10-06;19.8;20.0;19.4;19.8;2578
2017-10-05;19.6;19.8;19.6;19.8;589
2017-10-04;19.7;19.8;19.6;19.6;14173
2017-10-03;19.8;19.8;19.6;19.8;4192
2017-10-02;20.0;20.0;19.4;19.8;24809
2017-09-29;19.4;20.0;19.0;20.0;58263
2017-09-28;19.7;19.9;19.4;19.4;12212
2017-09-27;19.7;19.7;19.5;19.7;5124
2017-09-26;19.5;19.5;19.1;19.5;5807
2017-09-25;19.5;19.5;19.1;19.5;3648
2017-09-22;19.6;19.9;19.4;19.5;15605
2017-09-21;20.0;20.2;19.6;19.6;7626
2017-09-20;18.9;20.0;18.9;19.7;14172
2017-09-19;19.1;19.5;18.6;18.9;3537
2017-09-18;19.0;19.5;18.5;19.1;4588
2017-09-15;18.2;19.0;18.1;19.0;4831
2017-09-14;18.2;18.2;18.0;18.0;5326
2017-09-13;18.4;18.4;18.1;18.1;157
2017-09-12;18.3;18.4;18.0;18.4;2307
2017-09-11;18.5;18.7;17.6;18.3;10747
2017-09-08;18.5;18.5;18.1;18.4;2094
2017-09-07;18.8;18.8;18.5;18.5;4157
2017-09-06;18.7;18.7;18.5;18.7;1815
2017-09-04;18.0;19.0;18.0;18.6;13287
2017-09-01;17.6;18.0;17.6;17.9;3955
2017-08-31;17.5;17.5;17.5;17.5;2000
2017-08-30;17.4;17.9;17.4;17.5;5435
2017-08-29;18.0;18.0;17.0;17.4;6160
2017-08-28;17.7;18.8;17.6;18.0;601
2017-08-25;18.0;18.0;17.7;17.7;2345
2017-08-24;18.0;18.0;17.7;17.7;720
2017-08-23;18.0;18.0;18.0;18.0;171
2017-08-22;18.0;18.0;18.0;18.0;85
2017-08-21;18.0;18.0;17.7;18.0;1501
2017-08-18;17.8;18.3;17.8;18.0;4240
2017-08-17;17.9;17.9;17.7;17.7;730
2017-08-16;17.7;17.9;17.7;17.9;170
2017-08-15;17.8;17.8;17.7;17.7;1010
2017-08-14;17.8;17.8;17.8;17.8;115
2017-08-11;18.0;18.0;17.8;17.8;490
2017-08-10;17.8;18.3;17.8;18.0;1757
2017-08-09;18.2;18.3;17.8;17.8;697
2017-08-08;17.6;18.6;17.6;18.2;3937
2017-08-07;17.7;17.8;17.4;17.6;719
2017-08-04;17.8;17.8;17.7;17.7;36
2017-08-03;17.9;17.9;17.7;17.7;308
2017-08-02;17.9;17.9;17.9;17.9;657
2017-08-01;17.2;18.0;17.2;17.9;7368
