Dates;Open;High;Low;Close;Volume
2017-12-27;4.5;4.66;4.35;4.44;794539
2017-12-22;4.12;4.59;4.12;4.48;1181417
2017-12-21;4.21;4.28;4.08;4.12;610079
2017-12-20;4.33;4.36;4.17;4.18;1010265
2017-12-19;4.44;4.5;4.2;4.38;1044585
2017-12-18;4.54;4.64;4.42;4.51;661695
2017-12-15;4.8;4.8;4.51;4.56;921281
2017-12-14;4.45;4.85;4.45;4.75;2489717
2017-12-13;5.05;5.05;4.33;4.45;8425318
2017-12-12;5.2;5.25;5.05;5.15;403545
2017-12-11;5.2;5.25;5.05;5.2;647162
2017-12-08;5.0;5.2;4.92;5.1;906336
2017-12-07;5.15;5.15;4.98;5.0;1012980
2017-12-06;5.35;5.35;5.15;5.2;706626
2017-12-05;5.4;5.45;5.3;5.35;519677
2017-12-04;5.45;5.55;5.3;5.45;307508
2017-12-01;5.45;5.5;5.2;5.45;664650
2017-11-30;5.6;5.6;5.4;5.45;878010
2017-11-29;5.65;5.7;5.55;5.6;476671
2017-11-28;5.6;5.75;5.55;5.6;735537
2017-11-27;5.65;5.9;5.55;5.6;1452696
2017-11-24;5.7;5.8;5.5;5.7;1371483
2017-11-23;5.75;5.75;5.45;5.65;1178612
2017-11-22;5.9;6.05;5.7;5.8;1966408
2017-11-21;6.25;6.35;5.9;5.9;2563563
2017-11-20;5.85;6.35;5.65;6.2;3813206
2017-11-17;5.85;6.1;5.75;5.85;2145778
2017-11-16;5.55;5.8;5.4;5.8;1391887
2017-11-15;5.7;5.7;5.4;5.5;868903
2017-11-14;5.5;5.85;5.35;5.5;1980824
2017-11-13;5.55;6.3;5.1;5.45;10054395
2017-11-10;6.3;6.4;5.75;5.85;3634663
2017-11-09;7.25;7.65;6.15;6.25;12381865
2017-11-08;6.45;6.9;6.1;6.2;5267531
2017-11-07;6.7;7.3;6.15;6.35;7126729
2017-11-06;5.3;6.55;5.2;6.55;5005916
2017-11-03;5.5;5.6;5.15;5.3;1273444
2017-11-02;5.85;5.85;5.35;5.35;4422843
2017-11-01;6.15;6.2;5.85;5.85;1203845
2017-10-31;6.05;6.2;5.8;6.2;2470661
2017-10-30;6.25;6.5;5.95;5.95;3204099
2017-10-27;5.9;6.15;5.7;6.15;3836835
2017-10-26;6.45;6.75;5.95;5.95;6661822
2017-10-25;6.4;6.65;6.05;6.35;4465818
2017-10-24;6.4;7.15;6.15;6.3;8779673
2017-10-23;6.95;6.95;6.35;6.4;4994737
2017-10-20;7.7;7.8;6.8;6.95;3641675
2017-10-19;7.8;7.9;7.4;7.55;2898752
2017-10-18;7.25;8.2;7.05;7.9;6752879
2017-10-17;7.75;9.15;7.4;8.0;8779031
2017-10-13;9.0;9.1;8.75;9.0;1328715
2017-10-12;9.8;9.9;9.0;9.15;2704247
2017-10-11;10.2;10.2;9.75;9.85;2089961
2017-10-10;11.05;11.05;10.25;10.25;1305624
2017-10-09;11.2;11.5;10.7;11.05;2459128
2017-10-06;9.75;12.1;9.25;11.0;10782734
2017-10-05;10.0;10.7;9.65;9.85;6608518
2017-10-04;12.0;12.1;10.35;10.35;4346945
2017-10-03;12.4;12.6;10.0;12.25;3575354
2017-10-02;12.6;12.84;11.22;12.48;6973324
2017-09-29;13.56;13.68;11.1;12.0;16114895
2017-09-28;15.0;15.6;14.19;14.61;6095299
2017-09-27;14.13;14.91;14.1;14.88;3850659
2017-09-26;14.37;14.37;13.53;14.1;2404630
2017-09-25;12.6;14.7;12.6;13.95;8490998
2017-09-22;11.97;12.6;11.91;12.48;2774128
2017-09-21;11.4;11.94;11.16;11.88;1820772
2017-09-20;11.28;11.4;11.01;11.31;559152
2017-09-19;11.49;11.49;10.8;11.25;1597260
2017-09-18;11.37;11.61;11.01;11.46;1670939
2017-09-15;11.01;11.7;10.89;11.37;2467053
2017-09-14;10.98;11.1;10.77;11.07;1070919
2017-09-13;11.22;11.4;10.71;10.95;2724516
2017-09-12;11.7;12.06;11.07;11.19;6053533
2017-09-11;11.13;12.12;10.95;11.64;7979650
2017-09-08;11.1;11.58;10.59;11.04;8248339
2017-09-07;10.29;11.13;10.08;11.07;4049915
2017-09-06;9.21;10.05;9.0;10.05;3324753
2017-09-04;9.75;9.84;9.12;9.45;4267218
2017-09-01;10.8;10.98;10.05;10.17;2451044
2017-08-31;10.83;11.31;10.29;10.65;7278261
2017-08-30;9.9;10.32;9.81;10.08;3010379
2017-08-29;9.96;10.35;9.69;9.84;4170545
2017-08-28;9.3;10.14;9.09;10.05;4787132
2017-08-25;8.88;9.48;8.73;9.15;2326731
2017-08-24;9.0;9.57;8.49;8.7;2168671
2017-08-23;9.72;9.75;8.88;9.12;5744742
2017-08-22;8.22;9.6;7.68;9.6;5389121
2017-08-21;8.82;8.97;8.19;8.22;2356491
2017-08-18;9.15;9.3;8.52;8.82;2708947
2017-08-17;9.09;9.54;9.0;9.21;2221428
2017-08-16;9.9;9.99;9.15;9.3;2511801
2017-08-15;9.42;9.84;9.18;9.81;3547258
2017-08-14;9.69;10.14;9.42;9.63;4725815
2017-08-11;8.88;9.57;8.58;9.48;6404804
2017-08-10;8.76;10.44;8.43;9.15;13851932
2017-08-09;8.34;8.97;7.65;8.94;7513158
2017-08-08;7.14;8.25;7.14;8.25;6353715
2017-08-07;6.66;7.05;6.66;7.02;1999577
2017-08-04;6.21;6.51;6.18;6.51;537751
2017-08-03;6.33;6.39;6.12;6.24;1080059
2017-08-02;6.3;6.66;6.3;6.42;1656460
2017-08-01;6.3;7.2;5.94;6.24;6865009
2017-07-31;5.85;6.21;5.82;6.18;1086963
2017-07-28;5.97;5.97;5.7;5.79;561668
2017-07-27;5.7;5.88;5.67;5.88;1282630
2017-07-26;5.34;5.7;5.25;5.7;978732
2017-07-25;5.13;5.37;5.1;5.31;400077
2017-07-24;5.07;5.13;5.04;5.1;190226
2017-07-21;5.16;5.19;5.04;5.1;197156
2017-07-20;5.1;5.16;5.04;5.16;203686
2017-07-19;5.1;5.19;5.07;5.13;358236
2017-07-18;5.31;5.31;5.01;5.01;554189
2017-07-17;4.95;5.16;4.86;5.13;734081
2017-07-14;4.89;5.01;4.83;4.89;522145
2017-07-13;4.98;5.07;4.89;4.89;778122
2017-07-12;4.89;5.16;4.86;4.86;728804
2017-07-11;4.83;4.95;4.8;4.8;530789
2017-07-10;5.16;5.19;4.95;4.95;466200
2017-07-07;4.98;5.22;4.89;5.16;739445
2017-07-06;5.07;5.28;4.74;4.98;958944
2017-07-05;5.4;5.4;5.22;5.28;501788
2017-07-04;5.52;5.58;5.34;5.4;504424
2017-07-03;5.85;5.85;5.58;5.58;718965
2017-06-30;6.3;6.39;5.7;5.79;974816
2017-06-29;6.06;6.33;6.0;6.24;1167065
2017-06-28;5.97;6.0;5.88;5.94;237748
2017-06-27;6.0;6.09;5.88;5.97;521875
2017-06-26;5.97;6.09;5.85;6.0;743832
2017-06-23;;5.79;5.79;5.79;0
2017-06-22;5.64;5.88;5.55;5.79;816335
2017-06-21;5.49;5.67;5.37;5.58;490163
2017-06-20;5.64;5.64;5.43;5.52;349905
2017-06-19;5.67;5.79;5.55;5.64;630727
2017-06-16;5.76;5.76;5.46;5.61;687152
2017-06-15;5.97;5.97;5.7;5.73;834478
2017-06-14;6.12;6.36;5.79;5.88;2703692
2017-06-13;5.82;6.21;5.61;6.09;3019534
2017-06-12;5.64;5.91;5.52;5.73;3170281
2017-06-09;5.04;5.37;4.98;5.31;1012712
2017-06-08;4.98;5.01;4.89;5.01;270271
2017-06-07;4.95;5.04;4.92;4.98;464570
2017-06-06;;4.95;4.95;4.95;0
2017-06-05;4.86;5.01;4.83;4.95;260537
2017-06-02;4.95;5.07;4.89;4.95;616384
2017-06-01;4.98;5.13;4.68;4.98;1074375
2017-05-31;4.95;5.16;4.95;4.95;525714
2017-05-30;5.04;5.07;4.95;4.98;308126
2017-05-29;5.13;5.13;5.01;5.04;262698
2017-05-26;5.19;5.19;5.04;5.1;321458
2017-05-24;5.19;5.25;5.13;5.25;214263
2017-05-23;5.22;5.22;5.13;5.19;305509
2017-05-22;5.22;5.25;5.07;5.16;269863
2017-05-19;5.19;5.28;5.1;5.16;509669
2017-05-18;5.1;5.1;4.89;4.98;308771
2017-05-17;5.22;5.22;5.1;5.13;369954
2017-05-16;5.4;5.4;5.19;5.25;350382
2017-05-15;5.37;5.49;5.28;5.34;515045
2017-05-12;5.31;5.37;5.37;5.37;821742
2017-05-11;5.4;5.43;5.28;5.37;498876
2017-05-10;5.19;5.37;5.16;5.37;306734
2017-05-09;5.19;5.31;5.13;5.16;246538
2017-05-08;5.4;5.58;5.13;5.19;837651
2017-05-05;5.31;5.37;5.13;5.34;618129
2017-05-04;4.98;5.25;4.83;5.22;722172
2017-05-03;4.92;5.04;4.83;4.98;407622
2017-05-02;5.34;5.34;4.86;4.92;1540284
2017-05-01;;5.28;5.28;5.28;0
2017-04-28;5.34;5.34;5.22;5.28;562950
2017-04-27;5.1;5.31;5.1;5.28;820922
2017-04-26;5.22;5.28;5.13;5.16;776503
2017-04-25;5.1;5.49;5.04;5.19;1826526
2017-04-24;5.04;5.22;4.95;5.13;1191250
2017-04-21;4.92;5.1;4.8;5.04;1676717
2017-04-20;5.31;5.43;4.89;5.04;2246927
2017-04-19;5.64;5.64;5.07;5.25;4113554
2017-04-18;5.82;6.36;5.58;5.7;8308971
2017-04-13;4.5;5.31;4.35;5.16;8415555
2017-04-12;3.09;3.9;2.91;3.72;6891815
2017-04-11;3.21;3.21;3.03;3.06;422724
2017-04-10;3.18;3.24;3.12;3.15;240976
2017-04-07;3.3;3.3;3.12;3.18;404705
2017-04-06;3.21;3.33;3.06;3.3;411886
2017-04-05;3.33;3.33;3.18;3.21;217257
2017-04-04;3.33;3.39;3.27;3.3;170530
2017-04-03;3.27;3.45;3.24;3.33;349126
2017-03-31;3.27;3.27;3.21;3.24;186640
2017-03-30;3.3;3.33;3.24;3.27;293044
2017-03-29;3.36;3.39;3.27;3.3;339400
2017-03-28;3.48;3.51;3.3;3.36;440379
2017-03-27;3.45;3.51;3.33;3.48;326892
2017-03-24;3.36;3.54;3.36;3.42;711213
2017-03-23;3.21;3.66;3.21;3.39;1874701
2017-03-22;3.39;3.39;3.15;3.21;886258
2017-03-21;3.72;3.72;3.21;3.39;2749966
2017-03-20;4.02;4.05;3.75;3.78;1051164
2017-03-17;4.02;4.2;3.99;4.02;923452
2017-03-16;4.2;4.26;4.05;4.14;352370
2017-03-15;4.29;4.41;4.14;4.17;386813
2017-03-14;4.38;4.41;4.29;4.32;230722
2017-03-13;4.35;4.41;4.32;4.38;192195
2017-03-10;4.44;4.41;4.41;4.41;135891
2017-03-09;4.5;4.5;4.38;4.38;145830
2017-03-08;4.44;4.5;4.38;4.5;183048
2017-03-07;4.56;4.56;4.44;4.44;288555
2017-03-06;4.5;4.56;4.38;4.56;366083
2017-03-03;4.38;4.5;4.5;4.5;395260
2017-03-02;4.35;4.5;4.29;4.38;491171
2017-03-01;4.53;4.53;4.32;4.35;650861
2017-02-28;4.56;4.62;4.44;4.53;593569
2017-02-27;4.53;4.68;4.53;4.56;269097
2017-02-24;4.71;4.89;4.62;4.62;897595
2017-02-23;4.59;4.74;4.59;4.71;323061
2017-02-22;4.77;4.77;4.65;4.65;262101
2017-02-21;4.89;4.89;4.71;4.77;330817
2017-02-20;4.8;4.89;4.74;4.86;221080
2017-02-17;4.8;4.86;4.74;4.8;171302
2017-02-16;4.86;4.86;4.71;4.8;278392
2017-02-15;4.98;5.01;4.8;4.86;663460
2017-02-14;4.95;5.01;4.86;4.92;388456
2017-02-13;4.65;4.98;4.65;4.86;793928
2017-02-10;4.71;4.77;4.65;4.68;249406
2017-02-09;4.71;4.71;4.62;4.71;309474
2017-02-08;4.62;4.74;4.59;4.71;356633
2017-02-07;4.59;4.77;4.56;4.68;633863
2017-02-06;4.56;4.68;4.5;4.65;380853
2017-02-03;4.5;4.59;4.44;4.56;434383
2017-02-02;4.35;4.77;4.23;4.5;1831002
2017-02-01;4.26;4.35;4.17;4.35;631103
2017-01-31;4.41;4.41;4.26;4.29;326948
2017-01-30;4.56;4.56;4.32;4.35;413211
2017-01-27;4.68;4.77;4.44;4.53;647620
