Dates;Open;High;Low;Close;Volume
2017-12-27;22.4;23.0;21.3;22.1;7166
2017-12-22;22.9;23.0;22.2;22.2;15021
2017-12-21;22.5;23.0;22.0;22.9;10047
2017-12-20;22.7;22.7;22.6;22.6;10416
2017-12-19;22.8;22.8;22.1;22.8;89374
2017-12-18;22.8;22.8;22.8;22.8;33450
2017-12-15;23.0;23.3;22.8;22.8;19424
2017-12-14;23.4;23.4;22.8;22.9;10617
2017-12-13;23.0;23.8;23.0;23.4;8690
2017-12-12;22.8;23.0;22.8;23.0;32717
2017-12-11;22.5;22.8;22.0;22.8;21799
2017-12-08;22.8;23.2;22.8;23.2;47567
2017-12-07;22.8;23.0;22.8;23.0;9067
2017-12-06;22.8;22.8;22.8;22.8;5767
2017-12-05;22.9;22.9;22.4;22.9;62284
2017-12-04;23.0;23.0;22.8;22.8;42910
2017-12-01;22.8;23.1;22.8;23.1;20732
2017-11-30;22.8;23.1;22.8;22.8;14245
2017-11-29;23.0;23.0;22.8;22.8;26859
2017-11-28;22.8;23.0;22.8;22.8;21717
2017-11-27;22.5;22.8;22.5;22.8;11181
2017-11-24;22.3;22.7;22.2;22.2;40797
2017-11-23;21.9;22.4;21.9;22.4;9095
2017-11-22;22.0;22.1;21.7;22.1;41104
2017-11-21;21.7;22.0;21.7;22.0;8842
2017-11-20;22.0;22.0;21.7;21.7;5112
2017-11-17;22.2;22.2;21.5;22.0;21181
2017-11-16;20.1;22.2;20.0;22.2;51849
2017-11-15;21.4;21.4;20.2;20.3;10496
2017-11-14;21.0;21.2;21.0;21.2;4515
2017-11-13;21.3;21.3;20.6;20.8;3653
2017-11-10;21.9;22.3;21.0;21.5;21528
2017-11-09;22.2;22.2;20.6;21.0;31327
2017-11-08;22.8;22.8;22.0;22.4;37472
2017-11-07;22.0;22.5;22.0;22.1;9191
2017-11-06;22.0;23.0;22.0;22.0;23572
2017-11-03;21.7;21.7;21.7;21.7;300
2017-11-02;21.9;21.9;21.5;21.8;5702
2017-11-01;22.0;22.5;21.6;21.9;14671
2017-10-31;21.3;22.4;21.3;22.1;4355
2017-10-30;22.0;22.0;21.4;22.0;5928
2017-10-27;22.0;22.3;21.4;22.3;2535
2017-10-26;21.4;21.4;21.4;21.4;450
2017-10-25;21.4;22.2;21.4;21.4;23909
2017-10-24;21.9;21.9;21.1;21.4;8373
2017-10-23;22.0;22.3;21.9;21.9;8497
2017-10-20;22.5;22.5;22.2;22.2;9909
2017-10-19;22.3;22.4;21.7;22.0;11849
2017-10-18;22.3;22.3;21.8;22.2;6778
2017-10-17;22.1;22.3;22.1;22.3;8119
2017-10-13;22.6;22.6;21.7;21.9;8662
2017-10-12;21.6;22.4;21.6;22.3;9027
2017-10-11;21.7;22.4;21.5;21.5;45063
2017-10-10;22.5;22.5;21.6;22.1;41640
2017-10-09;21.9;22.7;21.6;21.6;25170
2017-10-06;22.4;22.6;21.9;22.1;7856
2017-10-05;23.0;23.1;22.0;22.6;13328
2017-10-04;22.9;23.3;22.7;22.9;45618
2017-10-03;22.6;22.9;22.2;22.2;10622
2017-10-02;22.5;22.8;21.8;22.8;5314
2017-09-29;22.9;22.9;22.0;22.5;13295
2017-09-28;22.1;23.4;22.1;22.1;11054
