Dates;Open;High;Low;Close;Volume
2017-12-27;2.08;2.13;2.06;2.1;854253
2017-12-22;2.08;2.12;2.06;2.12;686993
2017-12-21;2.08;2.1;2.05;2.09;224539
2017-12-20;2.07;2.11;2.03;2.09;436183
2017-12-19;2.1;2.1;2.03;2.08;1106341
2017-12-18;2.12;2.13;2.06;2.11;587682
2017-12-15;2.15;2.15;2.1;2.13;626313
2017-12-14;2.17;2.2;2.14;2.15;186569
2017-12-13;2.16;2.18;2.13;2.18;255255
2017-12-12;2.17;2.18;2.14;2.16;468094
2017-12-11;2.2;2.22;2.14;2.18;667866
2017-12-08;2.24;2.24;2.19;2.23;330695
2017-12-07;2.26;2.3;2.2;2.24;625086
2017-12-06;2.19;2.23;2.16;2.18;732270
2017-12-05;2.19;2.2;2.14;2.2;507887
2017-12-04;2.19;2.21;2.16;2.19;560332
2017-12-01;2.15;2.24;2.15;2.2;821603
2017-11-30;2.24;2.25;2.11;2.12;703526
2017-11-29;2.25;2.26;2.21;2.24;252074
2017-11-28;2.27;2.27;2.23;2.25;353608
2017-11-27;2.27;2.3;2.26;2.27;398929
2017-11-24;2.26;2.29;2.24;2.27;418021
2017-11-23;2.35;2.35;2.25;2.29;1220224
2017-11-22;2.35;2.36;2.33;2.35;301378
2017-11-21;2.35;2.36;2.3;2.35;489753
2017-11-20;2.37;2.38;2.32;2.35;203211
2017-11-17;2.36;2.4;2.36;2.38;270139
2017-11-16;2.36;2.38;2.34;2.36;271006
2017-11-15;2.33;2.38;2.33;2.38;325735
2017-11-14;2.38;2.43;2.34;2.38;389099
2017-11-13;2.4;2.45;2.32;2.4;903370
2017-11-10;2.4;2.42;2.36;2.4;323978
2017-11-09;2.41;2.43;2.38;2.4;269090
2017-11-08;2.45;2.45;2.4;2.41;328411
2017-11-07;2.45;2.47;2.42;2.45;135487
2017-11-06;2.51;2.52;2.43;2.45;486114
2017-11-03;2.48;2.51;2.4;2.5;314050
2017-11-02;2.56;2.57;2.44;2.45;1090765
2017-11-01;2.58;2.63;2.53;2.58;836990
2017-10-31;2.63;2.67;2.57;2.61;611826
2017-10-30;2.59;2.65;2.58;2.63;485690
2017-10-27;2.69;2.7;2.56;2.6;1037543
2017-10-26;2.54;2.74;2.49;2.68;1177325
2017-10-25;2.42;2.56;2.42;2.51;2309723
2017-10-24;2.75;2.78;2.35;2.4;6821763
2017-10-23;2.91;2.92;2.74;2.75;897001
2017-10-20;2.89;2.9;2.83;2.88;382108
2017-10-19;2.94;2.94;2.87;2.89;422431
2017-10-18;2.83;2.95;2.83;2.92;1052166
2017-10-17;2.79;2.89;2.76;2.81;979855
2017-10-13;2.78;2.8;2.77;2.79;185963
2017-10-12;2.78;2.8;2.7;2.78;385736
2017-10-11;2.79;2.92;2.79;2.8;461714
2017-10-10;2.8;2.85;2.75;2.81;491261
2017-10-09;2.87;2.89;2.81;2.81;917203
2017-10-06;2.74;2.9;2.66;2.9;1185572
2017-10-05;2.61;2.74;2.6;2.72;1532687
2017-10-04;2.6;2.67;2.57;2.64;658765
2017-10-03;2.7;2.72;2.61;2.61;595162
2017-10-02;2.67;2.74;2.62;2.69;676444
2017-09-29;2.62;2.69;2.59;2.66;1125730
2017-09-28;2.63;2.64;2.57;2.62;739967
2017-09-27;2.59;2.64;2.52;2.6;801810
