Dates;Open;High;Low;Close;Volume
2017-12-27;17.8;19.1;17.4;18.0;80985
2017-12-22;18.8;19.5;18.0;18.4;164716
2017-12-21;20.0;20.0;18.5;18.6;87473
2017-12-20;19.3;20.0;19.3;19.5;10816
2017-12-19;20.7;20.7;19.4;19.8;12441
2017-12-18;21.0;21.0;20.5;20.5;9559
2017-12-15;21.0;21.0;20.0;20.4;4690
2017-12-14;20.5;20.9;20.0;20.6;12152
2017-12-13;20.5;21.3;20.5;20.6;4522
2017-12-12;21.5;21.5;20.5;20.5;2855
2017-12-11;20.0;21.2;20.0;21.0;36118
2017-12-08;20.8;21.3;20.0;20.0;60739
2017-12-07;20.2;21.0;20.2;20.3;9946
2017-12-06;21.0;21.0;20.2;20.2;12122
2017-12-05;19.8;21.0;19.7;20.5;34473
2017-12-04;19.3;20.7;18.6;19.8;80183
2017-12-01;20.1;20.1;19.5;19.8;2620
2017-11-30;20.2;20.4;19.5;20.0;17939
2017-11-29;21.1;21.1;20.3;20.3;16292
2017-11-28;21.2;21.5;20.2;21.1;21312
2017-11-27;22.0;22.2;21.5;22.1;10981
2017-11-24;21.5;22.0;21.5;22.0;15613
2017-11-23;21.1;21.1;20.7;21.0;2379
2017-11-22;21.1;21.3;20.7;21.3;6898
2017-11-21;22.8;22.8;21.0;21.3;12607
2017-11-20;22.5;23.4;22.0;22.2;18804
2017-11-17;22.1;23.4;22.0;22.3;4320
2017-11-16;23.1;23.1;22.1;22.1;3885
2017-11-15;21.9;23.9;21.9;22.6;10539
2017-11-14;21.9;21.9;21.9;21.9;2870
2017-11-13;21.3;24.4;21.3;22.9;19981
2017-11-10;23.0;23.0;22.5;22.5;5899
2017-11-09;21.3;22.6;21.3;22.5;4142
2017-11-08;22.4;23.5;21.2;22.8;30867
2017-11-07;23.1;23.3;22.2;22.4;11713
2017-11-06;23.2;23.2;22.0;22.7;30708
2017-11-03;21.1;23.1;21.1;23.1;35664
2017-11-02;20.7;21.3;19.0;21.3;47311
2017-11-01;20.0;21.0;19.5;20.7;76651
2017-10-31;19.1;20.0;19.0;20.0;55335
2017-10-30;19.0;20.0;19.0;19.1;76521
2017-10-27;20.6;20.6;18.7;19.0;56446
2017-10-26;21.5;21.5;20.0;20.6;35526
2017-10-25;22.0;22.0;20.9;21.2;15465
2017-10-24;21.8;24.0;21.8;22.0;14244
2017-10-23;21.3;23.1;21.0;21.8;7854
2017-10-20;21.0;22.0;21.0;21.3;4293
2017-10-19;23.3;23.3;21.3;21.3;5068
2017-10-18;22.3;22.4;21.6;22.0;30215
2017-10-17;21.3;23.7;21.3;22.4;22868
2017-10-13;22.5;22.6;21.6;22.3;17321
2017-10-12;22.6;22.7;21.4;22.0;44826
2017-10-11;23.5;23.8;22.4;22.6;25257
2017-10-10;23.9;24.0;23.0;24.0;24127
2017-10-09;25.2;25.2;23.9;23.9;8077
2017-10-06;26.8;27.0;25.1;25.1;3295
2017-10-05;26.8;27.3;26.8;27.3;3137
2017-10-04;27.8;28.1;26.8;26.8;5068
2017-10-03;27.8;27.8;26.5;27.8;12724
2017-10-02;25.0;27.9;25.0;26.8;43783
2017-09-29;24.5;24.7;24.0;24.5;101035
2017-09-28;23.0;24.5;22.9;24.3;53260
2017-09-27;23.3;23.6;23.0;23.0;4861
2017-09-26;23.3;23.3;23.2;23.3;4899
2017-09-25;23.3;23.3;22.9;23.0;1224
2017-09-22;23.1;23.3;22.5;22.5;4773
2017-09-21;23.0;23.1;22.4;23.1;15938
2017-09-20;22.8;23.0;22.0;23.0;78330
2017-09-19;22.6;23.0;22.5;22.5;2590
2017-09-18;22.7;23.0;22.7;23.0;3276
2017-09-15;23.1;24.4;22.8;22.8;8760
2017-09-14;22.9;23.0;22.9;23.0;545
2017-09-13;23.1;23.1;22.4;22.9;3398
2017-09-12;23.0;24.0;22.9;23.1;31000
2017-09-11;23.6;23.6;21.9;22.7;14093
2017-09-08;24.3;24.3;23.6;23.6;9435
2017-09-07;24.5;25.1;23.6;24.5;44430
2017-09-06;24.5;25.0;23.7;24.9;34165
2017-09-04;24.0;24.2;23.9;24.0;17262
2017-09-01;24.0;24.2;22.5;24.2;8607
2017-08-31;24.7;24.8;24.0;24.8;18147
2017-08-30;24.8;25.1;24.1;25.0;15789
2017-08-29;25.2;25.8;24.5;24.9;15897
2017-08-28;26.2;26.9;25.9;25.9;1578
2017-08-25;27.0;27.9;25.6;26.2;5204
2017-08-24;25.5;27.9;25.5;27.0;6426
2017-08-23;25.8;26.0;25.0;25.4;22662
2017-08-22;26.5;26.7;25.7;25.8;7018
2017-08-21;26.6;26.8;26.0;26.5;6973
2017-08-18;28.0;28.0;26.5;26.6;2571
2017-08-17;28.0;28.2;27.2;28.1;12798
2017-08-16;29.5;29.5;27.0;27.6;17195
2017-08-15;28.0;28.0;26.0;27.8;14074
2017-08-14;29.0;29.0;27.6;28.5;3614
2017-08-11;28.3;28.7;27.4;27.6;22346
2017-08-10;29.6;29.6;28.3;28.3;3981
2017-08-09;29.1;29.1;27.6;28.6;16995
2017-08-08;29.6;30.4;29.3;29.3;6316
