Dates;Open;High;Low;Close;Volume
2017-12-27;28.5;29.0;28.5;28.9;41130
2017-12-22;28.2;28.9;27.6;28.9;87360
2017-12-21;28.3;28.5;27.1;28.5;154774
2017-12-20;29.1;29.5;28.1;28.5;47671
2017-12-19;30.9;30.9;29.1;29.6;83732
2017-12-18;29.6;30.8;29.6;30.3;71162
2017-12-15;30.5;30.5;29.6;30.0;68724
2017-12-14;29.9;30.4;29.5;30.4;42732
2017-12-13;30.4;30.4;28.5;30.0;159596
2017-12-12;31.4;31.4;30.1;30.5;129729
2017-12-11;32.1;32.9;31.0;31.4;59572
2017-12-08;32.5;32.5;31.9;32.1;61550
2017-12-07;33.4;33.8;32.1;32.5;22936
2017-12-06;33.0;33.5;32.4;33.3;36184
2017-12-05;32.3;33.1;32.3;33.1;35050
2017-12-04;32.9;33.4;31.6;33.3;39363
2017-12-01;32.8;32.9;31.2;32.9;51229
2017-11-30;32.5;32.8;31.5;31.8;70237
2017-11-29;33.7;33.7;30.5;33.0;90521
2017-11-28;33.5;34.1;33.2;33.7;33724
2017-11-27;34.2;34.2;33.6;33.7;25886
2017-11-24;34.3;34.5;33.8;34.3;25811
2017-11-23;34.2;34.4;34.0;34.3;19675
2017-11-22;34.7;34.8;34.2;34.4;40884
2017-11-21;34.2;34.7;34.1;34.7;34456
2017-11-20;35.4;35.4;34.1;34.4;26262
2017-11-17;34.5;34.9;33.5;34.3;26795
2017-11-16;34.0;34.7;33.5;34.3;22344
2017-11-15;35.1;35.1;33.8;34.0;62401
2017-11-14;34.4;35.2;34.0;34.8;25622
2017-11-13;36.3;36.3;34.0;34.5;111392
2017-11-10;35.6;35.9;34.1;35.6;116597
2017-11-09;33.0;35.2;32.5;35.2;140218
2017-11-08;32.8;33.4;32.1;33.2;180280
2017-11-07;32.8;33.8;31.8;33.2;247018
2017-11-06;35.0;35.0;32.6;32.8;131525
2017-11-03;34.9;34.9;34.1;34.7;33704
2017-11-02;33.1;34.8;33.0;34.6;118679
2017-11-01;34.5;34.5;33.0;33.6;148175
2017-10-31;36.2;36.2;34.2;34.8;94538
2017-10-30;36.8;38.2;35.2;36.2;93860
2017-10-27;38.9;39.5;36.7;36.8;355326
2017-10-26;36.6;36.7;36.0;36.1;76264
2017-10-25;37.3;37.4;36.1;36.6;52368
2017-10-24;37.0;37.6;36.1;36.9;158045
2017-10-23;34.5;36.9;34.2;36.9;160578
2017-10-20;34.3;34.9;33.9;34.7;35888
2017-10-19;34.7;34.7;33.7;34.3;52021
2017-10-18;33.4;34.5;33.4;34.5;49053
2017-10-17;33.5;34.0;33.1;33.6;32894
2017-10-13;34.4;34.8;34.0;34.4;29216
2017-10-12;35.1;35.1;34.3;34.8;43163
2017-10-11;34.4;34.9;33.9;34.9;53844
2017-10-10;34.5;34.8;33.9;34.4;43561
2017-10-09;35.5;36.0;34.2;34.8;122591
2017-10-06;35.7;36.0;35.3;35.5;50937
2017-10-05;35.4;36.2;35.0;35.6;80058
2017-10-04;35.9;36.2;35.0;35.4;148053
2017-10-03;36.7;37.9;35.3;35.6;208455
2017-10-02;34.0;37.0;33.6;36.7;206754
2017-09-29;32.5;34.6;32.0;33.9;178201
2017-09-28;33.4;33.5;32.5;32.5;74418
2017-09-27;31.9;33.6;31.9;33.5;148867
2017-09-26;31.7;32.6;31.6;32.1;83848
2017-09-25;32.5;32.8;31.7;32.2;138674
