Dates;Open;High;Low;Close;Volume
2017-12-27;59.5;59.5;57.5;58.25;10363
2017-12-22;60.0;60.0;59.0;59.5;7219
2017-12-21;59.0;59.25;58.5;59.25;2847
2017-12-20;60.0;60.25;58.5;58.5;1993
2017-12-19;58.0;61.25;58.0;60.25;12813
2017-12-18;59.5;59.5;57.0;57.5;6283
2017-12-15;60.75;60.75;59.75;59.75;1714
2017-12-14;60.0;60.25;60.0;60.25;743
2017-12-13;60.5;60.5;59.0;59.75;6333
2017-12-12;62.0;62.5;60.75;60.75;9096
2017-12-11;61.5;61.5;61.0;61.0;1078
2017-12-08;62.25;63.0;62.0;62.25;1303
2017-12-07;61.75;63.0;61.75;63.0;1942
2017-12-06;63.0;63.0;61.75;62.0;6746
2017-12-05;63.25;64.5;63.0;63.0;5016
2017-12-04;64.0;64.0;63.0;63.5;3463
2017-12-01;64.25;64.5;62.5;63.0;2624
2017-11-30;63.0;64.5;60.0;63.5;5031
2017-11-29;62.5;64.75;62.25;64.75;10697
2017-11-28;61.5;62.5;61.5;62.5;335
2017-11-27;60.0;62.25;60.0;62.25;7748
2017-11-24;60.25;61.0;59.5;60.25;185
2017-11-23;59.5;60.25;59.5;60.25;850
2017-11-22;60.75;60.75;57.75;60.0;5507
2017-11-21;61.75;64.0;58.5;61.0;7579
2017-11-20;59.0;61.75;59.0;61.0;4398
2017-11-17;61.0;61.75;61.0;61.75;1260
2017-11-16;60.0;61.0;60.0;60.5;810
2017-11-15;61.75;61.75;60.5;61.5;877
2017-11-14;62.5;62.5;62.0;62.25;462
2017-11-13;65.25;65.25;62.75;62.75;9275
2017-11-10;64.0;65.25;64.0;65.25;1359
2017-11-09;64.5;64.5;63.5;64.0;3947
2017-11-08;65.75;65.75;64.0;64.5;3340
2017-11-07;66.0;67.0;65.5;66.5;1794
2017-11-06;64.75;65.5;64.0;65.5;6429
2017-11-03;65.0;65.0;63.25;64.75;3003
2017-11-02;66.0;66.0;65.25;66.0;4809
2017-11-01;65.75;66.0;65.25;66.0;2367
2017-10-31;63.5;65.75;63.5;65.75;9502
2017-10-30;60.5;65.0;60.5;63.5;13117
2017-10-27;62.5;62.5;60.0;60.0;2705
2017-10-26;60.5;61.5;60.0;61.5;1802
2017-10-25;60.25;63.25;60.25;61.0;4777
2017-10-24;58.0;62.75;58.0;60.0;31237
2017-10-23;59.25;61.0;55.25;56.0;22402
2017-10-20;61.5;61.5;59.0;59.0;24729
2017-10-19;61.75;61.75;61.0;61.5;6786
2017-10-18;61.25;62.75;61.25;62.0;2193
2017-10-17;63.0;63.0;61.25;62.75;2108
2017-10-13;63.0;63.0;62.5;62.5;1254
2017-10-12;63.5;63.5;63.0;63.0;1116
2017-10-11;63.5;64.0;63.25;63.5;3900
2017-10-10;64.0;64.0;63.5;63.5;1704
2017-10-09;64.0;65.5;63.0;64.0;7377
2017-10-06;63.0;64.0;63.0;63.75;398
2017-10-05;64.75;64.75;63.0;63.0;10192
2017-10-04;64.0;64.5;63.0;63.75;9333
2017-10-03;62.5;67.0;62.5;63.0;15620
2017-10-02;61.75;62.75;61.75;62.75;6823
2017-09-29;62.5;62.75;61.0;62.25;1676
2017-09-28;62.0;63.0;62.0;62.5;3107
2017-09-27;62.0;62.75;60.25;61.0;3352
2017-09-26;61.25;63.0;61.25;62.25;18423
2017-09-25;61.0;61.5;60.75;60.75;1613
2017-09-22;61.0;62.0;60.0;61.0;10696
2017-09-21;63.0;63.0;60.0;61.0;9174
2017-09-20;64.0;64.0;61.75;63.0;12395
2017-09-19;61.0;64.0;61.0;64.0;12739
2017-09-18;62.5;62.5;61.0;61.5;19919
2017-09-15;62.0;62.75;62.0;62.25;6010
2017-09-14;63.0;63.0;62.0;62.25;4990
2017-09-13;60.75;63.25;60.75;63.0;13616
2017-09-12;61.5;62.75;61.25;61.75;8083
2017-09-11;62.0;63.0;61.25;62.0;3625
2017-09-08;63.5;63.5;61.75;62.0;17711
2017-09-07;64.0;65.0;62.5;63.25;19575
2017-09-06;62.75;63.5;62.25;63.5;909
2017-09-04;64.0;64.75;62.5;63.0;3050
2017-09-01;64.5;64.75;63.25;64.0;5034
2017-08-31;65.5;66.0;63.5;64.5;5270
2017-08-30;63.0;65.75;63.0;64.75;11046
2017-08-29;66.0;67.0;61.0;63.0;16904
2017-08-28;74.25;78.0;65.0;65.5;29409
2017-08-25;74.25;75.75;74.0;74.25;6920
2017-08-24;77.5;77.5;74.25;75.5;1538
2017-08-23;77.0;77.75;77.0;77.75;1260
2017-08-22;77.25;77.25;76.5;77.0;681
2017-08-21;76.5;77.5;76.5;77.5;336
2017-08-18;77.0;77.0;76.75;77.0;1683
2017-08-17;76.25;78.0;76.25;78.0;2870
2017-08-16;77.0;77.0;76.25;76.75;446
2017-08-15;78.0;78.0;78.0;78.0;199
2017-08-14;79.0;79.0;78.0;78.0;1401
2017-08-11;78.0;79.0;77.0;79.0;1314
2017-08-10;76.5;78.0;76.0;76.75;1484
2017-08-09;75.25;76.5;75.25;76.5;742
2017-08-08;78.0;78.0;76.25;76.25;933
2017-08-07;77.5;77.5;76.25;77.5;3264
2017-08-04;77.75;77.75;77.75;77.75;25
2017-08-03;77.75;77.75;76.75;77.0;975
2017-08-02;77.0;77.75;76.75;77.75;403
2017-08-01;78.0;78.0;77.0;78.0;911
2017-07-31;78.0;78.0;78.0;78.0;168
2017-07-28;77.0;77.25;77.0;77.0;887
2017-07-27;75.75;76.25;75.0;76.0;1912
2017-07-26;75.0;76.5;75.0;75.5;1881
2017-07-25;77.25;77.25;75.0;77.25;1049
2017-07-24;76.25;76.25;75.25;76.0;2303
2017-07-21;75.5;76.75;75.5;76.75;1780
2017-07-20;76.75;76.75;75.5;75.75;1788
2017-07-19;76.25;77.75;76.25;76.25;405
2017-07-18;78.0;78.0;76.75;76.75;525
2017-07-17;77.75;77.75;77.75;77.75;50
2017-07-14;76.25;77.75;76.25;77.75;279
2017-07-13;76.0;77.25;76.0;77.25;771
2017-07-12;76.5;78.25;76.5;77.0;6036
2017-07-11;76.0;77.0;76.0;76.0;1120
2017-07-10;77.0;77.0;75.75;77.0;606
2017-07-07;75.75;77.0;75.75;76.5;2167
2017-07-06;75.5;76.0;75.25;75.75;2487
2017-07-05;76.0;77.0;76.0;76.25;1807
2017-07-04;76.0;76.75;76.0;76.0;2830
2017-07-03;76.0;77.0;75.5;76.0;8823
2017-06-30;77.0;77.0;76.5;77.0;3964
2017-06-29;77.5;78.75;77.5;77.5;3088
2017-06-28;77.5;78.5;77.5;78.0;2732
2017-06-27;79.25;80.0;78.0;78.25;2085
2017-06-26;81.0;81.0;79.0;79.25;4331
2017-06-23;;79.0;79.0;79.0;0
2017-06-22;79.0;79.5;78.5;79.0;4201
2017-06-21;81.0;81.0;78.5;79.0;6549
2017-06-20;79.75;83.5;78.5;80.75;17049
2017-06-19;79.0;80.75;79.0;80.75;5616
2017-06-16;80.0;80.0;78.5;79.0;1274
2017-06-15;81.0;81.0;79.0;80.0;1151
2017-06-14;80.0;81.5;79.0;81.0;3424
2017-06-13;80.0;80.5;79.75;80.5;9588
2017-06-12;80.0;80.25;79.5;80.0;632
2017-06-09;80.5;80.5;79.0;80.25;2518
2017-06-08;82.0;82.0;79.25;80.75;14420
2017-06-07;81.25;82.0;80.75;82.0;4024
2017-06-06;;81.25;81.25;81.25;0
2017-06-05;81.0;81.25;80.0;81.25;7087
2017-06-02;81.0;81.75;81.0;81.5;1668
2017-06-01;80.75;81.75;80.75;81.75;723
2017-05-31;80.75;81.75;80.75;80.75;485
2017-05-30;80.75;82.0;80.75;80.75;7953
2017-05-29;80.75;80.75;80.0;80.75;2429
2017-05-26;80.5;82.0;79.5;80.5;14004
2017-05-24;80.0;81.5;80.0;80.5;3611
2017-05-23;80.5;81.25;80.0;80.75;3259
2017-05-22;80.25;81.25;80.0;81.25;3448
2017-05-19;82.75;85.5;81.25;81.75;12321
2017-05-18;81.5;82.5;81.5;82.5;1135
2017-05-17;82.75;84.0;81.5;82.5;6734
2017-05-16;84.0;84.0;82.75;82.75;4078
2017-05-15;84.0;84.0;82.25;83.5;4070
2017-05-12;84.0;84.5;84.5;84.5;4053
2017-05-11;83.0;84.0;83.0;84.0;2128
2017-05-10;83.5;83.75;83.0;83.0;2244
2017-05-09;83.5;84.5;82.5;83.5;11809
2017-05-08;85.75;85.75;83.75;83.75;7270
2017-05-05;82.5;85.75;82.5;85.25;3521
2017-05-04;83.5;83.75;82.5;82.5;5105
2017-05-03;85.5;85.5;83.5;83.5;1151
2017-05-02;86.0;86.0;84.25;85.5;2729
2017-05-01;;86.0;86.0;86.0;0
2017-04-28;85.25;86.0;83.75;86.0;282
2017-04-27;84.25;85.25;84.25;85.25;2659
2017-04-26;83.75;85.5;83.75;85.0;650
2017-04-25;83.75;85.0;83.5;85.0;10586
2017-04-24;82.5;85.0;82.5;84.75;6233
2017-04-21;81.5;81.75;81.5;81.75;635
2017-04-20;82.0;83.0;81.5;81.5;1850
2017-04-19;81.0;82.0;81.0;82.0;1915
2017-04-18;82.5;83.5;82.5;82.5;658
2017-04-13;81.0;83.0;81.0;83.0;350
2017-04-12;81.5;81.5;80.0;81.0;4762
2017-04-11;82.75;82.75;81.0;81.5;2321
2017-04-10;81.25;82.75;80.5;82.75;5204
2017-04-07;81.25;81.75;81.25;81.25;1776
2017-04-06;82.0;83.25;82.0;82.0;3101
2017-04-05;84.0;84.0;82.0;82.0;1788
2017-04-04;84.0;84.5;84.0;84.0;384
2017-04-03;85.5;85.5;83.25;83.25;892
2017-03-31;82.5;86.0;82.5;85.5;984
2017-03-30;83.0;83.5;81.0;83.5;2024
2017-03-29;83.0;83.75;83.0;83.5;248
2017-03-28;83.25;83.25;82.75;83.0;2631
2017-03-27;83.75;83.75;82.5;83.25;931
2017-03-24;84.25;84.25;82.5;83.5;1642
2017-03-23;80.5;83.5;79.5;83.0;4858
2017-03-22;81.5;81.5;80.5;81.5;5170
2017-03-21;83.0;83.0;80.25;81.5;4542
2017-03-20;86.0;86.0;83.75;83.75;8867
2017-03-17;90.0;90.0;85.75;86.5;1454
2017-03-16;82.5;85.0;81.0;85.0;7639
2017-03-15;84.5;84.5;84.0;84.0;11287
2017-03-14;87.0;87.0;84.0;84.5;1016
2017-03-13;84.0;86.0;84.0;86.0;3494
2017-03-10;85.5;84.75;84.75;84.75;2724
2017-03-09;86.25;86.25;85.0;86.25;2173
2017-03-08;87.25;87.5;85.5;86.25;5488
2017-03-07;86.5;87.0;85.5;85.5;2303
2017-03-06;86.75;89.0;86.25;87.0;8394
2017-03-03;90.0;87.0;87.0;87.0;6718
2017-03-02;91.0;92.0;89.25;89.5;9695
2017-03-01;88.25;91.5;88.0;91.0;7259
2017-02-28;85.0;89.25;85.0;88.0;10374
2017-02-27;88.0;88.0;84.0;84.0;28968
2017-02-24;93.0;93.25;87.5;88.0;28250
2017-02-23;106.25;106.25;91.75;92.5;44915
2017-02-22;104.0;107.25;101.25;106.25;1847
2017-02-21;102.5;104.75;101.0;104.5;4357
2017-02-20;104.0;105.0;104.0;104.75;1894
2017-02-17;105.0;105.0;102.75;104.0;934
2017-02-16;108.0;108.0;105.0;105.0;2041
2017-02-15;106.75;108.0;106.75;108.0;4361
2017-02-14;107.5;107.5;106.5;106.75;5525
2017-02-13;106.0;108.0;106.0;107.5;4354
2017-02-10;101.0;105.5;101.0;105.5;7358
2017-02-09;101.0;102.75;101.0;101.25;3924
2017-02-08;100.25;101.5;100.25;101.5;2919
2017-02-07;99.5;100.0;99.25;99.75;2572
2017-02-06;100.5;100.75;99.75;100.0;654
2017-02-03;101.5;101.5;99.75;99.75;2749
2017-02-02;101.5;101.5;101.0;101.0;1522
2017-02-01;102.0;102.0;99.75;100.25;13708
2017-01-31;102.0;102.5;100.25;101.0;7894
2017-01-30;100.5;101.5;99.75;100.25;4712
