Dates;Open;High;Low;Close;Volume
2017-12-27;92.0;93.0;92.0;92.5;14451
2017-12-22;91.0;92.0;90.5;91.75;8454
2017-12-21;90.0;91.0;89.5;91.0;10298
2017-12-20;90.0;90.75;88.5;89.25;33492
2017-12-19;91.5;91.5;89.25;90.0;28256
2017-12-18;91.5;91.75;89.75;90.75;53136
2017-12-15;91.5;92.0;89.0;91.25;17726
2017-12-14;92.0;94.25;90.75;91.0;99071
2017-12-13;89.25;90.0;89.0;90.0;9509
2017-12-12;89.75;89.75;88.0;89.0;8090
2017-12-11;91.5;91.5;88.5;89.75;16989
2017-12-08;90.25;92.25;90.25;91.25;13345
2017-12-07;88.5;90.5;88.5;89.75;8454
2017-12-06;91.0;91.0;87.0;88.5;12017
2017-12-05;90.25;91.25;89.0;90.5;7761
2017-12-04;91.25;91.75;90.0;90.5;16922
2017-12-01;90.25;91.5;89.5;90.0;11621
2017-11-30;92.0;92.75;90.25;90.25;9143
2017-11-29;92.75;94.5;90.75;91.75;11312
2017-11-28;96.0;96.0;91.5;92.5;115128
2017-11-27;101.25;104.0;94.0;94.5;48560
2017-11-24;96.25;102.0;96.25;101.25;11724
2017-11-23;94.0;98.0;94.0;96.25;4637
2017-11-22;94.0;95.0;93.0;93.5;9011
2017-11-21;95.0;95.0;90.75;94.0;26233
2017-11-20;97.5;97.5;93.75;95.0;9896
2017-11-17;94.5;100.0;94.5;97.25;11708
2017-11-16;92.5;98.0;92.5;94.5;14691
2017-11-15;95.25;95.25;89.0;93.0;28476
2017-11-14;96.5;97.0;94.25;95.25;10047
2017-11-13;98.0;99.75;97.0;97.0;8775
2017-11-10;100.25;101.0;97.0;98.0;11354
2017-11-09;102.0;102.0;100.5;100.5;9436
2017-11-08;105.0;107.75;100.0;102.0;13905
2017-11-07;108.5;108.75;105.0;105.0;11400
2017-11-06;110.5;110.5;108.0;108.5;7479
2017-11-03;110.0;112.0;110.0;110.25;6727
2017-11-02;114.0;114.0;110.0;110.0;7782
2017-11-01;111.0;114.5;108.75;112.75;33627
2017-10-31;110.0;112.5;108.75;111.0;14196
2017-10-30;105.25;110.0;104.0;107.0;20046
2017-10-27;102.0;104.25;100.5;103.0;22691
2017-10-26;102.0;102.0;98.0;102.0;27288
2017-10-25;110.0;110.0;100.75;103.0;53661
