Dates;Open;High;Low;Close;Volume
2017-12-27;43.0;45.0;42.9;44.7;61920
2017-12-22;43.5;43.5;42.4;43.3;226190
2017-12-21;43.2;43.6;42.7;43.5;29627
2017-12-20;43.2;43.7;43.1;43.7;13683
2017-12-19;44.5;44.5;42.9;43.2;18520
2017-12-18;42.4;44.5;42.4;44.5;33145
2017-12-15;43.7;43.7;42.1;42.4;83722
2017-12-14;44.0;44.5;43.5;43.8;16305
2017-12-13;44.4;44.7;44.0;44.0;41153
2017-12-12;44.6;44.8;44.3;44.5;15235
2017-12-11;45.0;45.5;44.3;44.8;29051
2017-12-08;45.0;45.5;45.0;45.1;20064
2017-12-07;45.0;45.1;44.5;45.0;14036
2017-12-06;45.5;45.5;45.0;45.1;11154
2017-12-05;45.1;45.6;45.0;45.5;35652
2017-12-04;45.4;46.0;44.8;45.6;21229
2017-12-01;44.9;46.8;44.8;45.3;40787
2017-11-30;46.4;46.4;44.4;45.0;145675
2017-11-29;47.4;47.4;46.4;46.5;24462
2017-11-28;47.0;47.6;46.0;47.1;22591
2017-11-27;46.1;47.1;45.2;47.0;41750
2017-11-24;45.8;46.5;45.0;46.1;23881
2017-11-23;45.6;46.0;45.1;45.6;14909
2017-11-22;45.4;45.9;45.0;45.8;26855
2017-11-21;45.7;45.9;45.1;45.4;15266
2017-11-20;45.8;45.8;45.1;45.4;12381
2017-11-17;46.0;46.3;45.5;45.8;31857
2017-11-16;45.3;45.9;45.0;45.7;20651
2017-11-15;44.5;45.9;43.8;45.2;59773
2017-11-14;46.0;47.5;43.6;44.5;160951
2017-11-13;47.4;47.4;45.5;45.9;22623
2017-11-10;46.8;47.4;46.8;47.3;20037
2017-11-09;47.5;47.8;46.8;47.0;18615
2017-11-08;47.8;48.0;46.5;47.6;40528
2017-11-07;47.9;48.3;47.7;48.0;10986
2017-11-06;48.1;48.5;47.5;48.0;15212
2017-11-03;47.8;48.2;47.8;48.1;10123
2017-11-02;48.6;48.6;47.5;47.8;56865
2017-11-01;48.3;48.8;47.8;48.7;23868
2017-10-31;48.2;48.9;48.2;48.5;39914
2017-10-30;49.0;49.4;47.9;49.0;35508
2017-10-27;48.2;49.5;47.4;49.0;92688
2017-10-26;48.5;48.7;47.6;47.9;36607
2017-10-25;50.25;50.25;47.9;48.5;66680
2017-10-24;50.75;51.75;49.5;50.25;84275
2017-10-23;51.75;53.25;51.25;53.25;29189
2017-10-20;52.5;52.75;51.5;52.0;29854
2017-10-19;51.75;53.0;51.75;52.25;9547
2017-10-18;52.75;53.0;52.0;52.0;9872
2017-10-17;52.5;53.25;52.5;53.0;14547
2017-10-13;52.25;52.5;51.0;52.25;27837
2017-10-12;52.5;53.0;52.25;52.5;13267
2017-10-11;52.5;53.0;52.25;52.5;15127
2017-10-10;53.0;53.0;52.0;52.5;12397
2017-10-09;52.75;53.0;52.25;53.0;9768
2017-10-06;52.25;52.75;51.5;52.75;24379
2017-10-05;52.5;52.75;52.25;52.5;18985
2017-10-04;52.25;53.25;52.25;53.0;20807
2017-10-03;53.25;53.5;52.25;52.25;32539
2017-10-02;52.25;53.5;52.25;53.5;31949
2017-09-29;53.75;54.0;52.0;52.5;43204
2017-09-28;50.75;53.75;49.7;53.25;220626
2017-09-27;51.5;51.5;50.0;50.75;22509
2017-09-26;52.0;52.0;51.0;51.5;647882
2017-09-25;51.25;52.25;51.25;52.0;9458
2017-09-22;51.25;52.0;51.25;51.25;13021
2017-09-21;52.0;52.0;51.0;52.0;23908
2017-09-20;52.5;52.5;51.75;52.0;10902
2017-09-19;51.75;52.5;51.0;52.5;42605
2017-09-18;50.75;52.0;50.75;51.75;34648
2017-09-15;51.0;51.5;50.5;51.25;42450
2017-09-14;50.25;51.0;50.0;51.0;71104
2017-09-13;50.25;50.75;50.0;50.5;29025
2017-09-12;51.25;51.25;50.25;50.5;58889
2017-09-11;51.75;52.0;50.75;51.0;103283
2017-09-08;49.4;49.4;48.0;49.0;23616
2017-09-07;51.0;51.0;49.0;49.3;22221
