Dates;Open;High;Low;Close;Volume
2017-12-27;31.6;31.8;31.1;31.3;25627
2017-12-22;31.5;32.0;31.2;31.6;253384
2017-12-21;31.4;31.6;30.7;31.4;125164
2017-12-20;32.1;32.2;31.1;31.3;63260
2017-12-19;32.6;32.9;32.0;32.1;15156
2017-12-18;34.1;34.1;32.0;32.6;22051
2017-12-15;33.1;33.3;32.2;32.5;23542
2017-12-14;33.5;34.9;32.8;33.2;39956
2017-12-13;33.6;33.6;32.7;33.5;50112
2017-12-12;33.8;34.0;33.4;33.5;63074
2017-12-11;33.5;35.0;32.7;33.3;67268
2017-12-08;31.3;32.8;31.3;32.1;138406
2017-12-07;31.0;32.0;30.9;31.5;633342
2017-12-06;30.7;32.0;30.7;31.2;719371
2017-12-05;32.0;32.2;31.3;31.4;6600
2017-12-04;31.7;32.0;31.3;32.0;13848
2017-12-01;32.1;33.0;31.0;31.7;13752
2017-11-30;33.0;33.5;32.1;32.4;24537
2017-11-29;31.7;32.8;31.4;32.6;30699
2017-11-28;32.0;32.5;31.2;32.0;12968
2017-11-27;32.2;32.5;31.4;32.0;38336
2017-11-24;32.1;32.9;31.6;32.2;13438
2017-11-23;32.6;33.3;31.5;32.0;58409
2017-11-22;32.0;32.4;31.6;32.0;10683
2017-11-21;32.8;32.8;31.6;32.4;7498
2017-11-20;32.1;33.1;31.6;32.5;20340
2017-11-17;34.5;35.0;32.9;33.3;23109
2017-11-16;35.1;35.1;33.8;34.5;14691
2017-11-15;34.0;35.7;33.2;35.7;18839
2017-11-14;36.0;36.0;33.6;34.0;10848
2017-11-13;34.2;35.2;33.0;34.0;45321
2017-11-10;36.0;36.2;34.2;34.8;7799
2017-11-09;36.3;36.3;34.8;35.4;21817
2017-11-08;35.7;37.0;35.3;35.8;81974
2017-11-07;35.2;35.9;35.0;35.7;24743
2017-11-06;37.0;37.0;35.0;35.4;36643
2017-11-03;37.6;38.0;35.9;36.5;31032
2017-11-02;37.5;38.4;36.3;36.8;209232
2017-11-01;32.0;33.5;32.0;32.8;33460
2017-10-31;31.2;33.7;31.0;31.7;22300
2017-10-30;32.0;32.0;31.0;31.2;10651
2017-10-27;31.0;32.8;31.0;32.2;21575
2017-10-26;31.7;31.7;31.0;31.5;13234
2017-10-25;31.8;32.7;31.6;32.0;64352
2017-10-24;33.4;33.4;31.9;32.7;11325
2017-10-23;32.7;33.5;32.6;33.0;24233
2017-10-20;32.0;32.5;31.6;32.4;18067
2017-10-19;32.1;33.0;31.7;32.0;14260
2017-10-18;31.6;32.4;31.3;32.1;4940
2017-10-17;31.1;32.5;31.1;31.6;17496
2017-10-13;33.0;34.0;32.3;32.7;20137
2017-10-12;32.2;34.0;32.2;32.8;13656
2017-10-11;30.4;32.2;30.1;32.2;37176
2017-10-10;31.9;31.9;30.4;30.4;32117
2017-10-09;32.9;32.9;31.0;31.9;23484
2017-10-06;32.9;32.9;32.2;32.5;16191
2017-10-05;32.3;33.0;31.9;32.5;26633
2017-10-04;33.7;33.7;32.4;32.4;71378
2017-10-03;35.5;35.5;33.0;33.7;49696
2017-10-02;35.6;35.6;34.4;35.5;21410
2017-09-29;35.2;35.8;35.2;35.7;9998
2017-09-28;35.2;36.0;35.2;35.2;14106
2017-09-27;35.5;36.4;35.2;35.4;18283
2017-09-26;35.0;35.9;34.5;35.5;11496
2017-09-25;35.1;35.5;35.0;35.4;64790
2017-09-22;35.0;36.0;34.2;35.5;10835
2017-09-21;35.0;36.0;34.7;35.1;19478
2017-09-20;35.5;36.1;34.3;36.0;9519
2017-09-19;35.2;36.4;35.0;35.5;5847
2017-09-18;35.5;36.3;35.0;35.2;8760
2017-09-15;35.8;36.5;35.5;35.5;11688
2017-09-14;34.9;36.1;34.0;36.1;13388
2017-09-13;34.0;35.0;33.5;34.9;35692
2017-09-12;34.2;34.4;33.6;33.6;31571
2017-09-11;33.7;34.7;33.6;34.2;17144
2017-09-08;33.9;34.7;33.6;34.2;29245
2017-09-07;34.6;34.6;33.6;33.9;81465
2017-09-06;34.9;34.9;33.7;34.6;12722
2017-09-04;35.9;35.9;34.5;35.1;12547
2017-09-01;36.2;36.2;35.5;36.0;8278
2017-08-31;34.1;37.0;33.9;36.0;31216
2017-08-30;37.2;37.2;34.2;35.0;27647
2017-08-29;35.5;36.7;35.2;36.1;48077
2017-08-28;34.9;35.8;34.0;35.8;5547
2017-08-25;34.7;36.0;34.7;34.9;9253
2017-08-24;34.4;35.2;34.0;34.7;11008
2017-08-23;34.4;35.0;33.5;34.4;76103
2017-08-22;32.6;34.4;32.6;34.4;20249
2017-08-21;33.5;34.0;31.9;32.5;129022
2017-08-18;34.0;34.0;33.1;33.5;25513
2017-08-17;36.6;36.6;33.5;34.7;71719
2017-08-16;35.9;36.0;34.5;35.0;16793
2017-08-15;35.6;36.3;35.1;35.9;16581
2017-08-14;35.0;38.0;34.5;35.6;20851
2017-08-11;35.8;35.8;33.7;35.0;58596
2017-08-10;36.0;36.9;35.0;35.9;36829
2017-08-09;37.4;37.4;36.0;36.5;21366
2017-08-08;38.6;38.6;36.4;36.6;18468
2017-08-07;37.9;38.9;36.7;37.2;22363
2017-08-04;37.9;37.9;36.7;37.5;19548
2017-08-03;36.6;37.9;35.4;37.7;143381
2017-08-02;36.0;36.8;35.2;36.4;46161
2017-08-01;36.0;37.1;35.0;35.7;60329
2017-07-31;36.3;38.0;35.2;37.2;48642
2017-07-28;36.9;36.9;35.7;36.3;36249
2017-07-27;36.5;36.9;35.2;36.9;24497
2017-07-26;37.9;37.9;36.0;36.9;36492
2017-07-25;38.4;38.5;37.6;37.7;4686
2017-07-24;38.5;39.8;38.0;38.5;10045
2017-07-21;39.2;39.5;38.2;38.5;25240
2017-07-20;39.4;39.5;38.1;39.0;28538
2017-07-19;39.0;39.5;38.3;38.6;27349
2017-07-18;41.0;41.3;38.6;39.5;22109
2017-07-17;39.5;40.9;39.2;40.3;39365
2017-07-14;38.3;39.4;38.1;39.1;18478
2017-07-13;39.5;39.8;38.4;38.4;69557
2017-07-12;41.0;41.0;38.5;39.5;104062
2017-07-11;40.0;41.3;39.3;40.7;194811
2017-07-10;46.5;46.5;40.2;40.4;303101
2017-07-07;52.25;52.25;50.0;51.5;49781
2017-07-06;55.0;57.25;52.25;52.25;98451
2017-07-05;51.75;55.0;50.5;54.0;147396
2017-07-04;47.8;51.0;46.0;50.0;122640
2017-07-03;45.0;50.0;45.0;48.0;226773
2017-06-30;43.5;43.5;41.0;42.6;2341
