Dates;Open;High;Low;Close;Volume
2017-12-27;15.9;16.2;15.7;16.1;10609
2017-12-22;15.9;16.3;15.7;15.9;10136
2017-12-21;15.7;16.2;15.5;16.1;8544
2017-12-20;16.0;16.1;15.7;16.1;2003
2017-12-19;16.4;16.4;16.1;16.4;3243
2017-12-18;17.3;17.4;16.1;16.4;11205
2017-12-15;17.0;17.1;16.5;16.5;8180
2017-12-14;16.4;16.8;16.2;16.8;3959
2017-12-13;16.8;16.8;16.5;16.5;17822
2017-12-12;16.7;17.1;16.7;17.0;6181
2017-12-11;17.4;17.4;16.7;16.9;5812
2017-12-08;17.4;17.5;16.8;17.4;4443
2017-12-07;16.9;17.7;16.9;17.0;3508
2017-12-06;17.4;17.4;16.7;17.1;2737
2017-12-05;17.0;17.4;16.9;17.4;1695
2017-12-04;17.5;17.7;16.9;17.2;8918
2017-12-01;17.3;17.6;17.2;17.5;5865
2017-11-30;18.1;18.4;17.6;17.6;5273
2017-11-29;18.3;18.5;18.2;18.2;25015
2017-11-28;17.8;18.7;16.5;18.3;32553
2017-11-27;17.7;17.9;17.7;17.8;7660
2017-11-24;18.5;18.9;17.6;17.7;15350
2017-11-23;18.5;19.5;17.7;18.5;53058
2017-11-22;14.6;19.8;14.6;18.3;127486
2017-11-21;16.2;16.2;15.7;15.7;230
2017-11-20;15.3;16.2;15.0;16.2;3494
2017-11-17;15.6;16.2;15.6;16.2;3384
2017-11-16;15.6;15.6;15.5;15.6;367
2017-11-15;16.1;16.1;15.6;15.7;4818
2017-11-14;15.3;16.5;15.3;16.1;7917
2017-11-13;16.4;16.4;15.4;15.4;3375
2017-11-10;16.0;16.5;16.0;16.4;1610
2017-11-09;16.5;16.7;16.0;16.3;6775
2017-11-08;16.5;16.8;16.3;16.8;14059
2017-11-07;16.8;17.5;16.8;17.0;11028
2017-11-06;16.7;17.6;16.7;17.5;7887
2017-11-03;16.8;16.8;16.7;16.7;43
2017-11-02;17.1;17.3;16.8;16.8;2781
2017-11-01;16.8;17.4;16.5;17.4;8863
2017-10-31;16.8;17.0;16.8;17.0;1765
2017-10-30;16.8;17.3;16.8;16.8;12483
2017-10-27;17.5;17.5;16.8;16.8;5199
2017-10-26;17.3;17.4;17.0;17.4;3632
2017-10-25;17.4;17.4;16.8;17.3;11661
2017-10-24;17.5;17.7;17.1;17.3;3525
2017-10-23;17.7;17.7;17.0;17.2;7445
2017-10-20;17.4;17.8;17.4;17.7;9956
2017-10-19;17.3;17.8;17.3;17.4;1184
2017-10-18;17.1;17.7;17.1;17.7;2118
2017-10-17;17.9;18.1;17.1;17.4;12814
2017-10-13;18.0;18.8;17.9;18.4;18442
2017-10-12;17.5;18.5;17.5;17.8;3552
2017-10-11;17.2;17.7;17.2;17.7;3800
2017-10-10;18.0;18.1;17.1;18.0;4332
2017-10-09;18.0;18.2;17.5;18.0;6468
2017-10-06;18.5;18.5;17.6;18.0;9199
2017-10-05;17.3;18.5;17.1;18.5;16358
2017-10-04;17.7;17.7;17.1;17.4;13103
2017-10-03;18.5;18.5;17.0;17.9;21136
2017-10-02;19.0;19.0;18.1;18.5;10546
2017-09-29;18.5;19.0;18.4;18.9;18200
2017-09-28;21.0;21.0;17.9;18.5;72504
2017-09-27;17.0;20.4;16.1;20.4;192839
2017-09-26;15.0;16.8;15.0;16.8;24054
2017-09-25;14.7;14.9;14.35;14.8;11907
2017-09-22;14.6;15.6;14.4;15.0;10208
2017-09-21;15.0;15.1;14.7;14.7;3888
2017-09-20;15.4;15.4;15.0;15.0;5682
2017-09-19;15.7;15.8;15.4;15.4;3740
2017-09-18;15.5;16.0;15.5;15.7;710
2017-09-15;16.0;16.2;15.8;15.8;9078
2017-09-14;16.0;16.3;15.8;16.0;5205
2017-09-13;16.1;16.6;16.0;16.6;2601
