Dates;Open;High;Low;Close;Volume
2017-12-27;0.0513;0.0513;0.0481;0.049;38559306
2017-12-22;0.0495;0.051;0.0476;0.051;54546767
2017-12-21;0.05;0.0505;0.0476;0.049;54478738
2017-12-20;0.0527;0.054;0.0485;0.049;82499926
2017-12-19;0.0491;0.0598;0.049;0.0526;110614704
2017-12-18;0.05;0.0531;0.0487;0.0491;120602130
2017-12-15;0.0584;0.059;0.0511;0.055;55610906
2017-12-14;0.0595;0.0602;0.0579;0.058;31857035
2017-12-13;0.0647;0.0647;0.0568;0.0592;89515458
2017-12-12;0.07;0.074;0.066;0.0669;21270520
2017-12-11;0.07;0.071;0.0655;0.0697;21423209
2017-12-08;0.075;0.077;0.0675;0.07;29970201
2017-12-07;0.0906;0.095;0.07;0.0736;22341886
2017-12-06;0.0998;0.0998;0.09;0.0904;3206629
2017-12-05;0.089;0.1;0.087;0.1;5291701
2017-12-04;0.093;0.093;0.088;0.0888;3008226
2017-12-01;0.0923;0.093;0.0881;0.0908;2629408
2017-11-30;0.0911;0.0947;0.09;0.0923;2514974
2017-11-29;0.094;0.0968;0.0911;0.0911;2850303
2017-11-28;0.0962;0.0962;0.0849;0.093;3823478
2017-11-27;0.0949;0.097;0.0949;0.0962;1255861
2017-11-24;0.0902;0.0958;0.0902;0.0949;2343241
2017-11-23;0.0901;0.0945;0.0899;0.0902;3644306
2017-11-22;0.0981;0.0981;0.09;0.0935;1504664
2017-11-21;0.096;0.0981;0.092;0.0981;4885223
2017-11-20;0.1;0.1;0.094;0.0964;14083438
2017-11-17;0.0925;0.1057;0.0923;0.1037;4499687
2017-11-16;0.0974;0.1013;0.0974;0.0995;2516333
2017-11-15;0.1075;0.1075;0.0901;0.096;11808504
2017-11-14;0.092;0.11;0.092;0.1006;10508331
2017-11-13;0.0902;0.093;0.0837;0.09;11616308
2017-11-10;0.1046;0.1048;0.0923;0.0936;5558324
2017-11-09;0.1099;0.1099;0.1011;0.1016;4305832
2017-11-08;0.114;0.114;0.1045;0.105;5781345
2017-11-07;0.1082;0.1135;0.106;0.1101;10838015
2017-11-06;0.11;0.115;0.1032;0.105;14215476
2017-11-03;0.11;0.1199;0.1025;0.1026;7411322
2017-11-02;0.1201;0.1227;0.105;0.11;14261605
2017-11-01;0.141;0.1479;0.1195;0.1201;27317906
2017-10-31;0.1522;0.1664;0.14;0.1407;21707350
2017-10-30;0.1672;0.1797;0.1498;0.1498;15325275
2017-10-27;0.1962;0.1962;0.1566;0.1672;24945332
2017-10-26;0.115;0.2235;0.115;0.2;37899031
2017-10-25;0.2465;0.272;0.2465;0.269;12578263
2017-10-24;0.2208;0.2495;0.218;0.247;9789712
2017-10-23;0.2472;0.2538;0.2054;0.226;12453866
2017-10-20;0.24;0.2547;0.2361;0.25;8642519
2017-10-19;0.2421;0.2421;0.217;0.2375;5470838
2017-10-18;0.245;0.25;0.235;0.235;4199337
2017-10-17;0.24;0.2466;0.2311;0.245;1911258
2017-10-13;0.24;0.2401;0.2256;0.238;6298224
2017-10-12;0.2455;0.2455;0.231;0.2368;5642035
2017-10-11;0.264;0.264;0.24;0.244;7740119
2017-10-10;0.268;0.2692;0.2501;0.2618;6073077
2017-10-09;0.294;0.294;0.25;0.268;18526833
2017-10-06;0.3;0.318;0.2902;0.2961;10562055
2017-10-05;0.2972;0.33;0.29;0.2937;23652939
2017-10-04;0.29;0.3969;0.2652;0.297;66638049
2017-10-03;0.2308;0.2308;0.15;0.2132;23743579
2017-09-29;0.23;0.24;0.2298;0.231;2137982
2017-09-28;0.23;0.2438;0.23;0.235;1474307
