Dates;Open;High;Low;Close;Volume
2017-12-27;85.25;85.75;84.75;85.25;3264
2017-12-22;85.5;86.25;83.0;85.25;984
2017-12-21;88.0;88.0;86.0;86.5;723
2017-12-20;89.0;92.0;87.0;87.5;7640
2017-12-19;89.0;89.0;88.25;89.0;169
2017-12-18;89.75;89.75;89.0;89.0;298
2017-12-15;90.0;90.0;88.75;88.75;1798
2017-12-14;90.0;90.0;89.0;89.0;1341
2017-12-13;89.0;89.0;89.0;89.0;1297
2017-12-12;91.0;91.0;89.0;89.5;2195
2017-12-11;89.75;90.0;89.0;89.0;1967
2017-12-08;89.0;91.0;89.0;89.75;833
2017-12-07;90.0;92.0;89.0;89.0;6172
2017-12-06;89.0;90.0;89.0;90.0;3751
2017-12-05;89.0;90.0;89.0;89.0;1378
2017-12-04;90.0;90.0;89.0;90.0;2879
2017-12-01;91.0;91.0;89.0;89.0;1045
2017-11-30;90.0;91.0;89.25;90.0;2522
2017-11-29;89.0;90.0;89.0;90.0;513
2017-11-28;92.5;94.0;89.0;89.0;2452
2017-11-27;91.75;92.5;91.75;92.5;528
2017-11-24;91.75;91.75;91.75;91.75;169
2017-11-23;91.5;91.75;90.75;91.75;1303
2017-11-22;89.0;91.5;89.0;91.5;3668
2017-11-21;89.25;89.5;89.0;89.0;1326
2017-11-20;89.0;90.0;89.0;90.0;251
2017-11-17;89.0;90.0;89.0;89.0;1615
2017-11-16;89.25;89.25;89.0;89.0;2887
2017-11-15;89.0;90.0;89.0;90.0;2223
2017-11-14;89.25;90.25;89.0;89.0;391
2017-11-13;89.0;90.0;89.0;89.0;620
2017-11-10;89.0;90.0;89.0;90.0;2910
2017-11-09;90.0;90.0;89.5;89.5;2107
2017-11-08;93.25;94.0;90.0;90.5;3459
2017-11-07;93.0;94.75;91.0;94.0;2733
2017-11-06;95.0;95.0;91.0;95.0;6428
2017-11-03;95.0;95.0;94.0;94.0;1177
2017-11-02;91.5;94.0;91.5;94.0;16532
2017-11-01;90.25;91.0;89.0;90.25;12191
2017-10-31;94.0;94.0;91.0;91.0;6407
2017-10-30;91.0;93.5;90.25;92.5;4465
2017-10-27;90.0;90.5;87.75;90.0;3612
2017-10-26;92.25;93.0;89.25;89.5;3036
2017-10-25;92.25;92.25;89.25;89.25;1279
2017-10-24;91.0;91.0;90.0;90.0;484
2017-10-23;92.0;92.5;89.75;90.25;2994
2017-10-20;90.0;91.0;88.0;90.0;3032
2017-10-19;88.5;89.5;87.0;88.75;1445
2017-10-18;86.75;88.25;86.75;87.5;2424
2017-10-17;87.25;87.5;86.25;86.75;2929
2017-10-13;90.0;90.0;89.25;90.0;13726
2017-10-12;89.0;89.0;88.0;88.0;3633
2017-10-11;88.75;90.0;88.25;89.0;20400
2017-10-10;91.5;91.5;87.5;88.25;13281
2017-10-09;93.0;93.0;90.5;91.5;3628
2017-10-06;95.0;95.0;92.5;93.75;1342
2017-10-05;96.5;99.25;93.0;94.25;5190
2017-10-04;94.0;97.0;93.75;96.5;3408
2017-10-03;93.5;94.5;93.0;94.5;2237
2017-10-02;93.0;94.0;93.0;93.0;3289
2017-09-29;94.0;94.5;92.25;92.25;2119
2017-09-28;92.75;94.5;92.0;94.5;3287
2017-09-27;92.0;93.5;92.0;92.75;3316
2017-09-26;89.5;92.5;89.5;92.0;180703
2017-09-25;92.5;92.5;89.25;89.5;5101
2017-09-22;85.25;92.5;85.25;91.5;8399
2017-09-21;84.5;84.5;83.0;84.0;3150
2017-09-20;83.5;85.5;83.5;83.5;3087
2017-09-19;85.0;85.0;83.5;83.5;1629
2017-09-18;85.5;85.5;82.0;83.75;3706
2017-09-15;84.5;86.0;84.0;84.0;4204
2017-09-14;81.75;84.75;81.75;83.75;8322
2017-09-13;80.0;80.0;80.0;80.0;4961
2017-09-12;80.0;80.0;80.0;80.0;4144
2017-09-11;80.0;80.75;80.0;80.0;520
2017-09-08;79.0;81.25;79.0;80.25;3093
2017-09-07;80.25;80.5;79.5;79.5;2653
2017-09-06;80.25;81.0;80.25;80.25;903
2017-09-04;80.0;80.5;80.0;80.25;940
2017-09-01;80.25;81.0;80.25;80.5;1600
2017-08-31;80.25;81.0;80.25;81.0;1440
2017-08-30;81.0;81.0;80.25;80.25;2399
2017-08-29;81.0;81.0;80.25;81.0;678
2017-08-28;80.25;81.0;80.25;81.0;1304
2017-08-25;80.25;80.5;80.25;80.25;640
2017-08-24;82.0;82.5;80.25;80.25;3862
2017-08-23;80.25;82.75;80.25;81.5;1670
2017-08-22;80.25;80.75;80.25;80.25;279
2017-08-21;80.25;80.25;80.25;80.25;1677
2017-08-18;80.75;80.75;80.5;80.75;786
2017-08-17;80.5;80.75;80.5;80.75;215
2017-08-16;82.0;82.0;80.5;80.5;253
2017-08-15;81.0;82.0;81.0;82.0;114
2017-08-14;80.0;81.0;80.0;81.0;2888
2017-08-11;82.0;82.0;81.25;81.25;735
2017-08-10;82.5;82.5;82.0;82.25;730
2017-08-09;81.0;82.0;81.0;82.0;218
2017-08-08;82.0;82.5;81.0;81.0;570
2017-08-07;80.5;81.0;80.5;81.0;310
2017-08-04;82.0;82.25;80.75;81.5;483
2017-08-03;82.75;82.75;81.5;82.0;540
2017-08-02;82.0;83.0;82.0;82.75;1309
2017-08-01;81.25;81.5;80.5;81.5;392
2017-07-31;80.75;81.0;80.5;80.5;1175
2017-07-28;80.5;81.5;80.5;81.5;2117
2017-07-27;81.25;81.25;81.0;81.0;304
2017-07-26;80.5;82.0;80.5;81.75;730
2017-07-25;80.5;81.25;80.5;81.0;561
2017-07-24;81.25;81.25;80.75;81.25;227
2017-07-21;79.5;82.0;79.5;81.25;1900
2017-07-20;79.0;79.75;77.5;79.75;2746
2017-07-19;80.0;80.0;79.0;79.0;6303
2017-07-18;80.5;80.5;80.0;80.0;1670
2017-07-17;80.0;81.0;80.0;80.25;370
2017-07-14;80.5;81.0;79.75;80.0;479
2017-07-13;80.5;81.0;80.25;80.5;525
2017-07-12;79.75;80.5;79.0;80.0;3270
