Dates;Open;High;Low;Close;Volume
2017-12-27;156.5;157.0;151.0;152.5;16763
2017-12-22;153.0;157.0;150.0;150.0;13546
2017-12-21;158.0;158.0;154.5;154.5;13234
2017-12-20;159.0;160.0;155.0;158.0;10231
2017-12-19;157.0;159.5;156.0;159.0;29661
2017-12-18;150.0;156.0;149.5;154.0;13450
2017-12-15;150.5;151.0;147.5;150.0;14906
2017-12-14;156.0;156.0;149.75;150.0;42159
2017-12-13;152.0;158.0;150.5;158.0;20435
2017-12-12;152.0;153.5;151.0;152.5;22362
2017-12-11;151.5;154.0;151.5;152.0;14036
2017-12-08;148.0;151.5;147.0;151.5;20068
2017-12-07;144.5;148.0;144.0;148.0;15852
2017-12-06;144.0;145.75;143.0;145.25;17910
2017-12-05;147.25;147.25;143.5;145.75;12825
2017-12-04;148.25;148.25;144.0;147.25;28958
2017-12-01;149.0;149.0;146.75;148.0;16977
2017-11-30;149.0;149.0;147.0;147.25;6854
2017-11-29;149.5;149.5;147.25;147.75;9243
2017-11-28;149.0;149.5;147.5;149.0;8219
2017-11-27;146.75;149.75;146.75;147.0;12121
2017-11-24;146.75;148.25;146.25;146.5;7145
2017-11-23;152.0;152.0;147.5;148.75;6173
2017-11-22;151.0;152.0;149.0;151.0;16176
2017-11-21;147.0;151.0;144.75;151.0;19519
2017-11-20;144.25;144.75;141.0;144.75;34084
2017-11-17;146.0;147.75;143.5;144.5;14631
2017-11-16;146.0;146.25;143.0;145.0;8609
2017-11-15;148.5;148.5;143.0;144.75;14246
2017-11-14;145.25;148.0;145.25;147.0;7254
2017-11-13;146.75;148.5;145.5;147.25;8456
2017-11-10;145.75;150.5;145.75;147.75;10471
2017-11-09;152.5;153.5;145.5;145.5;20987
2017-11-08;156.5;156.5;148.5;152.5;13986
2017-11-07;155.0;158.0;153.0;156.5;18524
2017-11-06;156.0;157.0;154.5;155.0;66059
2017-11-03;155.0;155.0;153.0;153.0;19436
2017-11-02;157.0;157.0;153.0;155.0;14887
2017-11-01;155.0;158.5;151.5;155.0;24669
2017-10-31;157.5;161.0;153.0;153.0;25853
2017-10-30;148.5;160.5;148.5;157.0;59332
2017-10-27;141.25;150.0;141.25;148.5;72503
2017-10-26;139.0;141.5;138.75;140.5;38598
2017-10-25;137.5;140.5;131.75;138.0;59520
2017-10-24;137.0;139.0;135.75;136.25;12695
2017-10-23;139.75;139.75;135.5;136.5;20259
2017-10-20;132.5;136.5;132.25;134.5;62399
2017-10-19;133.0;134.0;132.5;133.5;60264
2017-10-18;132.5;133.5;132.5;133.0;8077
2017-10-17;134.25;135.0;131.5;132.5;17635
2017-10-13;137.25;137.25;134.0;136.25;8883
2017-10-12;135.5;139.0;134.25;135.5;15275
2017-10-11;137.5;137.5;133.5;135.5;26796
2017-10-10;138.0;139.0;136.0;137.5;16140
2017-10-09;138.75;140.0;137.75;138.5;41329
2017-10-06;138.0;138.0;133.5;135.5;13274
2017-10-05;134.25;140.5;134.25;136.5;39043
2017-10-04;131.25;132.0;128.5;131.5;10591
2017-10-03;133.0;133.0;131.0;131.5;3505
2017-10-02;131.0;132.0;130.0;131.0;8458
2017-09-29;130.5;132.0;130.0;130.5;6874
2017-09-28;128.5;131.5;127.5;130.25;8234
2017-09-27;128.5;129.25;127.25;128.0;9420
2017-09-26;126.5;128.0;125.5;127.0;5757
2017-09-25;127.0;128.25;126.25;126.75;3790
2017-09-22;127.75;128.0;127.0;127.0;8902
2017-09-21;128.75;129.25;127.0;127.0;19191
2017-09-20;128.5;129.0;126.75;127.0;15915
2017-09-19;129.0;130.5;126.0;128.5;14540
2017-09-18;129.0;129.0;125.25;126.0;14616
2017-09-15;126.75;128.75;126.0;128.75;10044
2017-09-14;126.75;128.0;125.75;126.0;20301
2017-09-13;123.25;127.0;122.5;126.0;15631
2017-09-12;124.5;124.5;123.5;123.5;6123
2017-09-11;120.5;123.5;120.25;123.5;8361
2017-09-08;122.75;125.25;121.5;121.5;5982
2017-09-07;120.5;124.75;120.5;123.0;6976
2017-09-06;119.25;122.75;117.5;120.5;10023
2017-09-04;125.5;125.5;122.0;122.25;8831
2017-09-01;122.25;127.0;121.5;126.5;15542
2017-08-31;120.0;122.25;119.5;122.0;9413
2017-08-30;119.0;124.0;119.0;120.0;8603
2017-08-29;122.0;122.0;118.75;120.0;9992
2017-08-28;124.0;124.5;121.25;122.0;10568
2017-08-25;125.0;127.75;123.5;124.0;7965
2017-08-24;126.25;127.0;123.25;125.0;19177
2017-08-23;125.25;128.0;125.0;127.0;13745
2017-08-22;124.5;126.0;124.0;125.5;13244
2017-08-21;124.0;124.0;121.0;123.25;27352
2017-08-18;124.0;124.25;121.75;124.25;5620
2017-08-17;127.75;127.75;124.0;124.0;3508
2017-08-16;125.0;127.5;124.0;127.5;6679
2017-08-15;123.0;125.75;123.0;125.5;354484
2017-08-14;124.5;126.5;124.5;125.5;8147
2017-08-11;127.0;127.0;124.25;124.75;11521
2017-08-10;127.25;128.25;127.0;127.5;4047
2017-08-09;130.25;130.5;126.0;127.5;6550
2017-08-08;130.0;130.75;128.5;130.75;5789
2017-08-07;128.75;130.0;127.25;129.0;5438
2017-08-04;130.0;130.75;127.75;128.75;8184
2017-08-03;126.5;130.5;126.5;130.0;9362
2017-08-02;127.5;128.0;127.0;127.5;8491
2017-08-01;131.0;131.0;126.75;127.5;36407
2017-07-31;130.0;130.75;129.5;130.25;8755
