Dates;Open;High;Low;Close;Volume
2017-12-27;1.71;1.73;1.68;1.72;62557
2017-12-22;1.72;1.75;1.72;1.73;18023
2017-12-21;1.74;1.76;1.72;1.73;30458
2017-12-20;1.75;1.77;1.72;1.74;11122
2017-12-19;1.77;1.78;1.73;1.73;4148
2017-12-18;1.78;1.79;1.72;1.77;32787
2017-12-15;1.68;1.78;1.68;1.77;94834
2017-12-14;1.75;1.75;1.5;1.67;39037
2017-12-13;1.66;1.71;1.6;1.71;50391
2017-12-12;1.68;1.72;1.64;1.64;61116
2017-12-11;1.77;1.77;1.7;1.7;72436
2017-12-08;1.75;1.76;1.72;1.75;7850
2017-12-07;1.72;1.76;1.72;1.73;31468
2017-12-06;1.72;1.74;1.72;1.74;10250
2017-12-05;1.79;1.79;1.72;1.75;70599
2017-12-04;1.72;1.8;1.72;1.78;21251
2017-12-01;1.75;1.75;1.73;1.75;19167
2017-11-30;1.8;1.8;1.72;1.74;2762
2017-11-29;1.75;1.8;1.75;1.79;6061
2017-11-28;1.8;1.8;1.75;1.79;18284
2017-11-27;1.8;2.0;1.75;1.8;145634
2017-11-24;1.74;1.85;1.64;1.71;183166
2017-11-23;1.74;1.75;1.74;1.74;45934
2017-11-22;1.76;1.76;1.74;1.74;5676
2017-11-21;1.8;1.8;1.74;1.76;44607
2017-11-20;1.8;1.8;1.74;1.75;180928
2017-11-17;1.84;1.84;1.75;1.78;15491
2017-11-16;1.8;1.83;1.79;1.8;28417
2017-11-15;1.75;1.81;1.74;1.79;274018
2017-11-14;1.75;1.8;1.75;1.75;88839
2017-11-13;1.8;1.81;1.7;1.75;82834
2017-11-10;1.8;1.83;1.77;1.8;34765
2017-11-09;1.89;1.95;1.83;1.83;236171
2017-11-08;1.75;2.0;1.6;1.84;621194
2017-11-07;1.74;1.79;1.63;1.74;142215
2017-11-06;1.75;1.79;1.72;1.74;38062
2017-11-03;1.78;1.79;1.73;1.75;13266
2017-11-02;1.71;1.8;1.65;1.79;78307
2017-11-01;1.75;1.77;1.7;1.74;68942
2017-10-31;1.8;1.8;1.73;1.77;44185
2017-10-30;1.76;1.81;1.69;1.8;237765
2017-10-27;1.8;1.84;1.8;1.82;28608
2017-10-26;1.85;1.87;1.76;1.8;224087
2017-10-25;1.88;1.92;1.88;1.89;101078
2017-10-24;1.91;1.94;1.87;1.88;258153
2017-10-23;1.91;1.95;1.9;1.94;104531
2017-10-20;1.94;1.94;1.9;1.94;868915
2017-10-19;1.98;1.98;1.9;1.98;212430
