Dates;Open;High;Low;Close;Volume
2017-12-27;16.7;16.9;15.5;16.0;23393
2017-12-22;16.8;16.9;16.4;16.8;20226
2017-12-21;16.5;17.1;16.5;16.8;1441
2017-12-20;17.1;17.4;16.2;16.9;13356
2017-12-19;17.7;17.7;16.3;17.1;12654
2017-12-18;17.7;17.7;17.0;17.0;8450
2017-12-15;17.9;17.9;16.8;17.7;3950
2017-12-14;17.5;17.9;17.5;17.5;8903
2017-12-13;17.4;18.0;17.4;17.7;4426
2017-12-12;18.4;18.4;16.7;17.4;22839
2017-12-11;17.5;18.4;17.4;17.7;27965
2017-12-08;17.9;18.5;17.5;17.8;7246
2017-12-07;18.2;18.9;18.0;18.8;2057
2017-12-06;19.0;19.0;18.3;18.9;6895
2017-12-05;18.9;19.0;18.2;18.9;3745
2017-12-04;19.0;19.5;18.6;18.9;2351
2017-12-01;19.7;19.7;19.0;19.3;9239
2017-11-30;19.0;19.7;18.3;19.1;1936
2017-11-29;19.6;20.4;18.5;18.7;2130
2017-11-28;19.9;19.9;19.7;19.7;236
2017-11-27;19.9;19.9;18.5;19.9;459
2017-11-24;19.1;19.5;19.0;19.4;2076
2017-11-23;20.0;20.0;19.0;19.4;4906
2017-11-22;20.5;20.5;19.2;20.0;471
2017-11-21;20.0;20.6;19.6;19.6;601
2017-11-20;20.0;20.0;19.5;19.6;940
2017-11-17;19.9;20.4;19.1;19.9;1330
2017-11-16;19.0;19.9;19.0;19.7;7206
2017-11-15;18.3;19.0;17.9;18.9;4393
2017-11-14;20.0;20.0;18.4;19.0;9130
2017-11-13;20.0;20.0;19.0;19.5;1598
2017-11-10;19.8;20.0;19.1;19.5;371
2017-11-09;19.9;20.0;18.9;19.0;8893
2017-11-08;20.0;20.0;19.3;19.9;739
2017-11-07;20.0;20.8;19.3;19.6;16601
2017-11-06;20.5;20.8;19.0;19.9;16453
2017-11-03;19.6;20.9;19.6;20.9;32376
2017-11-02;20.8;21.5;19.6;19.6;42485
2017-11-01;20.5;21.8;20.0;21.2;3362
2017-10-31;20.4;21.5;19.7;20.6;8628
2017-10-30;21.7;21.9;19.5;20.4;19007
2017-10-27;24.5;24.5;21.1;21.6;12628
2017-10-26;25.0;25.1;23.1;23.1;3571
2017-10-25;24.9;24.9;23.3;24.3;11352
2017-10-24;24.1;25.0;23.2;24.9;1291
2017-10-23;23.8;24.4;23.8;23.9;198
2017-10-20;23.6;24.5;22.7;23.8;6347
2017-10-19;23.2;24.0;23.0;23.5;7754
2017-10-18;24.2;24.3;22.5;23.6;15912
2017-10-17;24.1;24.3;24.1;24.2;1821
2017-10-13;25.5;25.5;24.6;24.6;481
2017-10-12;25.0;25.0;24.1;24.3;3791
2017-10-11;24.5;25.5;24.5;25.0;982
2017-10-10;24.8;24.8;24.4;24.4;1090
2017-10-09;25.4;25.4;24.4;24.8;2762
2017-10-06;24.8;26.4;24.4;25.4;2251
2017-10-05;24.9;25.0;24.5;24.8;17348
2017-10-04;25.5;25.5;24.6;24.9;11384
2017-10-03;24.9;25.5;24.8;25.5;3770
2017-10-02;24.6;26.4;24.6;25.7;3634
2017-09-29;25.2;25.7;25.0;25.3;7628
2017-09-28;25.1;25.6;25.1;25.1;1874
2017-09-27;24.9;25.7;24.9;25.6;3641
2017-09-26;25.8;26.0;24.9;24.9;16666
2017-09-25;24.9;25.6;24.0;25.6;18534
2017-09-22;24.5;25.0;24.4;24.9;2423
2017-09-21;24.7;25.1;24.7;25.1;4626
2017-09-20;24.1;24.8;24.0;24.7;4116
2017-09-19;24.1;24.5;24.0;24.1;3564
2017-09-18;24.7;25.2;24.1;24.1;13114
2017-09-15;24.3;25.2;24.3;24.7;2344
2017-09-14;24.7;24.7;24.3;24.3;140
2017-09-13;23.8;24.7;23.8;24.7;2455
2017-09-12;24.7;24.7;24.3;24.6;6656
2017-09-11;25.1;25.5;24.2;24.8;12812
