Dates;Open;High;Low;Close;Volume
2017-12-27;52.5;52.5;51.0;51.0;96466
2017-12-22;52.25;52.5;51.25;52.0;134546
2017-12-21;51.0;52.5;50.5;52.25;235628
2017-12-20;48.8;51.0;48.5;51.0;359120
2017-12-19;50.75;51.75;48.8;48.8;332244
2017-12-18;52.0;52.25;50.25;51.75;251875
2017-12-15;52.75;52.75;52.0;52.5;75971
2017-12-14;53.5;53.5;52.0;52.75;80738
2017-12-13;53.5;53.5;52.25;52.75;76595
2017-12-12;53.0;53.0;51.75;53.0;139863
2017-12-11;53.5;54.0;52.5;53.0;116980
2017-12-08;52.0;53.5;52.0;53.5;146768
2017-12-07;51.75;52.5;51.5;52.0;82957
2017-12-06;51.25;52.0;51.0;52.0;278973
2017-12-05;51.5;52.0;51.0;51.75;144023
2017-12-04;52.5;52.5;51.0;51.5;98842
2017-12-01;52.75;52.75;52.0;52.5;126857
2017-11-30;53.25;53.25;51.5;52.5;242853
2017-11-29;55.25;55.25;52.75;53.0;191545
2017-11-28;56.25;56.25;55.25;55.5;102849
2017-11-27;56.0;56.25;55.25;56.25;192194
2017-11-24;55.5;56.5;55.0;56.0;151880
2017-11-23;56.75;56.75;54.5;55.0;142476
2017-11-22;55.75;56.75;55.25;56.75;78749
2017-11-21;55.75;55.75;54.75;55.75;83199
2017-11-20;56.75;56.75;55.25;55.5;131742
2017-11-17;55.75;56.5;54.5;56.5;160805
2017-11-16;53.75;55.75;53.75;55.5;139402
2017-11-15;53.5;55.25;52.75;53.75;315195
2017-11-14;55.0;55.25;53.5;53.5;138722
2017-11-13;56.0;56.0;53.5;54.75;290284
2017-11-10;55.25;56.5;54.75;55.5;334169
2017-11-09;56.5;57.25;54.25;55.0;4534124
2017-11-08;60.5;61.25;60.25;60.75;104304
2017-11-07;61.25;61.25;60.0;60.5;114197
2017-11-06;60.5;62.0;60.25;61.25;231267
2017-11-03;60.5;60.75;58.75;60.5;167375
2017-11-02;58.0;60.75;57.0;60.0;439504
2017-11-01;59.25;59.5;56.75;58.5;328553
2017-10-31;59.5;59.5;58.0;59.0;286119
2017-10-30;59.0;59.25;58.0;59.25;396779
2017-10-27;62.75;63.0;57.0;57.5;948224
2017-10-26;57.75;60.0;57.25;59.0;530592
2017-10-25;56.5;58.5;56.5;57.0;403423
2017-10-24;56.75;57.25;55.5;56.0;160826
2017-10-23;54.75;57.5;54.25;57.0;327166
2017-10-20;52.25;54.5;52.25;54.5;207389
2017-10-19;55.0;55.0;52.25;52.75;146025
2017-10-18;55.25;55.25;54.25;54.5;74565
2017-10-17;56.5;56.5;55.0;55.0;74732
2017-10-13;54.75;56.25;54.5;55.25;186629
2017-10-12;53.25;55.0;53.0;55.0;310537
2017-10-11;53.0;53.25;52.0;53.25;85556
2017-10-10;52.75;53.0;52.0;52.75;132799
2017-10-09;53.0;53.5;52.5;52.75;156761
2017-10-06;53.0;53.5;52.75;53.0;101658
2017-10-05;52.0;53.0;51.5;53.0;162106
2017-10-04;52.5;52.75;51.5;52.0;105835
2017-10-03;52.25;53.5;52.25;52.25;214898
2017-10-02;51.0;53.0;50.75;52.25;137609
2017-09-29;51.25;52.0;50.75;51.25;57133
2017-09-28;50.75;51.25;50.25;51.25;69653
2017-09-27;52.25;52.25;50.5;50.75;107587
2017-09-26;52.75;53.0;51.75;52.25;79856
2017-09-25;51.25;53.0;50.25;52.75;212371
2017-09-22;52.0;52.25;50.5;51.25;94603
2017-09-21;52.25;52.5;51.25;51.75;124990
2017-09-20;50.25;52.5;50.25;52.25;166575
2017-09-19;50.75;51.75;49.7;50.25;180872
2017-09-18;52.0;52.0;50.25;50.75;109878
2017-09-15;52.75;52.75;51.5;51.5;73699
2017-09-14;51.5;53.25;50.75;52.75;289823
2017-09-13;50.75;52.0;50.5;51.25;158073
2017-09-12;51.0;51.0;49.8;51.0;189206
2017-09-11;49.9;51.0;49.1;51.0;140288
2017-09-08;48.2;50.25;48.2;49.8;257042
2017-09-07;48.8;49.5;48.0;48.2;86765
2017-09-06;49.5;49.5;48.3;48.6;90346
2017-09-04;49.0;50.25;48.8;50.0;81898
2017-09-01;49.5;50.75;49.4;50.25;79068
2017-08-31;49.3;50.0;49.3;49.7;135638
2017-08-30;48.6;49.5;48.6;49.2;102779
2017-08-29;48.7;48.8;47.2;48.6;255499
2017-08-28;49.4;49.6;48.6;48.9;141316
2017-08-25;49.2;49.8;48.6;49.4;197901
2017-08-24;50.75;51.25;49.2;49.2;490905
2017-08-23;53.25;53.5;50.5;50.75;570013
2017-08-22;50.25;51.0;49.5;50.75;69592
2017-08-21;51.5;51.5;50.0;50.25;128202
2017-08-18;51.5;52.0;50.0;52.0;101535
2017-08-17;52.25;52.75;51.25;51.75;151526
2017-08-16;51.0;53.0;51.0;52.25;279497
2017-08-15;49.1;50.5;48.5;50.5;207548
2017-08-14;48.5;49.5;47.9;49.1;306430
2017-08-11;49.3;50.25;48.0;50.0;246681
2017-08-10;51.75;52.0;49.5;50.0;175402
2017-08-09;53.0;53.0;51.5;52.0;122168
2017-08-08;52.0;53.25;51.25;53.25;212362
2017-08-07;52.75;53.75;51.75;52.0;111657
2017-08-04;53.0;53.5;51.75;52.75;133467
2017-08-03;54.25;54.75;52.5;52.75;233106
2017-08-02;53.5;54.75;53.25;54.0;451856
2017-08-01;50.75;53.5;50.0;53.25;669213
2017-07-31;49.0;51.0;48.2;50.5;310602
2017-07-28;49.5;49.5;47.9;49.0;311673
2017-07-27;50.0;50.25;49.2;49.5;314615
2017-07-26;50.75;51.25;49.2;49.8;786103
2017-07-25;49.0;50.0;48.9;49.9;571728
2017-07-24;46.7;48.5;46.7;48.4;743437
2017-07-21;46.0;47.4;44.3;46.0;1219348
2017-07-20;40.7;42.0;40.4;41.0;259817
2017-07-19;40.7;40.7;39.7;40.4;173947
2017-07-18;40.3;40.5;39.8;40.0;194011
2017-07-17;40.0;40.4;39.5;39.9;249663
2017-07-14;37.8;38.4;37.5;38.4;45427
2017-07-13;38.5;38.5;37.5;37.8;36131
2017-07-12;37.7;38.1;37.3;38.0;62742
2017-07-11;38.1;38.1;37.6;38.1;42038
2017-07-10;38.4;38.7;37.4;38.2;25174
2017-07-07;37.5;38.3;36.8;38.2;91570
2017-07-06;37.5;37.5;36.7;37.5;38563
2017-07-05;37.8;37.8;36.7;37.5;161231
2017-07-04;38.1;38.3;37.2;37.8;195881
2017-07-03;39.2;39.2;37.8;38.1;98234
2017-06-30;39.0;39.1;38.5;39.1;102313
2017-06-29;39.0;39.3;38.7;39.1;95274
2017-06-28;39.0;39.2;38.5;38.9;126816
2017-06-27;38.8;39.3;38.7;39.1;120456
2017-06-26;38.5;39.0;38.3;38.8;155307
2017-06-23;;38.3;38.3;38.3;0
2017-06-22;38.5;38.7;37.7;38.3;136811
2017-06-21;39.4;39.5;37.5;38.2;476253
2017-06-20;37.9;38.9;37.8;38.3;192195
2017-06-19;38.1;38.1;37.2;37.9;165772
2017-06-16;38.5;38.5;37.8;37.8;243646
2017-06-15;39.0;39.3;37.5;38.1;3432365
2017-06-14;42.0;42.4;41.1;41.6;68284
2017-06-13;42.3;42.3;41.3;41.9;47545
2017-06-12;42.4;42.4;41.1;41.5;62225
2017-06-09;42.0;42.5;41.6;42.4;78236
2017-06-08;41.0;42.5;41.0;42.0;101432
2017-06-07;40.2;41.0;39.7;41.0;119449
2017-06-06;;39.8;39.8;39.8;0
2017-06-05;41.0;41.1;39.8;39.8;156437
2017-06-02;39.9;41.9;39.4;41.1;272506
2017-06-01;38.9;39.5;38.5;39.0;525364
2017-05-31;39.4;39.7;38.5;38.5;170893
2017-05-30;39.7;39.7;39.3;39.4;67479
2017-05-29;38.9;40.1;38.3;39.7;282138
2017-05-26;39.3;39.7;38.8;39.5;38886
2017-05-24;39.5;40.3;39.0;39.3;14532
2017-05-23;39.8;39.8;39.0;39.5;15157
2017-05-22;38.6;40.4;38.3;39.4;121145
2017-05-19;38.3;39.2;38.0;38.6;96484
2017-05-18;39.5;39.5;37.8;38.3;89779
2017-05-17;39.6;39.9;37.7;39.5;77872
2017-05-16;40.8;40.8;39.2;39.6;61418
2017-05-15;41.0;41.4;39.9;40.4;76691
2017-05-12;40.8;41.4;41.4;41.4;80470
2017-05-11;41.2;41.2;40.3;40.5;37041
2017-05-10;40.9;41.8;40.7;41.1;125074
2017-05-09;40.4;40.9;40.0;40.9;40682
2017-05-08;39.9;40.9;39.7;40.4;60806
2017-05-05;39.1;39.4;38.7;39.4;104890
2017-05-04;38.1;39.1;37.9;39.0;63689
2017-05-03;38.0;38.2;36.9;38.1;131436
2017-05-02;40.0;40.5;38.4;38.8;111627
2017-05-01;;39.8;39.8;39.8;0
2017-04-28;40.0;40.0;38.7;39.8;330354
2017-04-27;40.5;40.7;39.6;40.4;91097
2017-04-26;40.0;40.5;39.1;40.4;86064
2017-04-25;39.8;39.8;38.5;39.7;136728
2017-04-24;39.9;40.8;38.9;39.8;96014
2017-04-21;41.2;42.1;39.5;39.8;110501
2017-04-20;43.2;43.2;41.0;41.8;152265
2017-04-19;43.5;43.8;43.1;43.2;55499
2017-04-18;43.0;44.5;42.5;43.5;142250
2017-04-13;43.3;43.4;42.0;43.0;39522
2017-04-12;43.2;43.5;43.0;43.3;45786
2017-04-11;42.9;43.4;42.0;43.2;74296
2017-04-10;43.2;43.2;41.0;43.0;161324
2017-04-07;42.8;43.5;42.5;43.5;111232
2017-04-06;42.5;43.0;41.2;42.0;76191
2017-04-05;42.0;44.2;40.9;43.0;148338
2017-04-04;41.8;43.1;41.7;42.1;130976
2017-04-03;40.7;42.9;40.1;41.8;163956
2017-03-31;38.6;40.9;38.2;40.0;177412
2017-03-30;39.4;39.4;38.2;39.4;104064
2017-03-29;39.0;39.4;38.5;39.4;79567
2017-03-28;39.3;39.3;38.5;39.1;55315
2017-03-27;39.5;39.7;37.5;39.4;75406
2017-03-24;39.5;39.8;38.5;39.5;59962
2017-03-23;37.8;39.3;37.5;39.3;79225
2017-03-22;38.0;38.5;37.1;37.8;89554
2017-03-21;39.2;39.2;38.0;38.5;66119
2017-03-20;38.4;39.8;38.2;39.3;79584
2017-03-17;37.5;38.5;37.5;38.4;163795
2017-03-16;37.0;37.6;36.5;37.5;112238
2017-03-15;36.6;37.1;35.7;37.0;127074
2017-03-14;36.5;36.7;36.0;36.6;62359
2017-03-13;35.5;36.5;35.5;36.5;128747
2017-03-10;35.8;35.5;35.5;35.5;87342
2017-03-09;35.0;35.9;34.9;35.5;168316
2017-03-08;34.6;35.0;34.0;35.0;81875
2017-03-07;32.7;34.6;32.7;34.6;131215
2017-03-06;32.5;32.9;32.1;32.7;26403
2017-03-03;33.0;32.8;32.8;32.8;34277
2017-03-02;33.0;33.3;32.4;33.3;45911
2017-03-01;32.0;32.7;32.0;32.3;51755
2017-02-28;32.4;32.7;31.7;32.1;67601
2017-02-27;32.1;32.4;31.2;32.1;85214
2017-02-24;33.2;33.8;32.1;32.1;110474
2017-02-23;34.8;34.8;33.1;33.2;130548
2017-02-22;34.4;35.0;34.0;34.8;110393
2017-02-21;35.3;36.8;34.4;34.5;327652
2017-02-20;33.9;35.0;32.7;35.0;351709
2017-02-17;33.5;33.5;32.6;32.7;75350
2017-02-16;32.3;33.6;32.2;33.5;77930
2017-02-15;33.1;33.1;32.4;32.5;56967
2017-02-14;32.3;32.9;32.0;32.9;68139
2017-02-13;32.8;32.9;31.9;32.3;107239
2017-02-10;33.7;34.3;31.4;32.9;281165
2017-02-09;32.8;33.4;32.6;33.0;168491
2017-02-08;32.5;33.0;31.5;32.7;47883
2017-02-07;32.2;33.1;31.9;32.6;78543
2017-02-06;31.9;32.5;30.0;32.2;62226
2017-02-03;32.0;32.2;31.6;31.9;16503
2017-02-02;32.3;32.6;31.3;31.8;50897
2017-02-01;30.0;32.9;29.3;32.3;140998
2017-01-31;29.4;30.0;29.2;29.4;26877
2017-01-30;30.0;30.2;29.7;29.9;17736
2017-01-27;30.7;30.7;30.0;30.2;43611
2017-01-26;29.0;30.6;29.0;30.6;45573
2017-01-25;29.6;30.0;29.4;29.5;18538
2017-01-24;28.7;29.4;28.7;29.4;24108
2017-01-23;29.6;29.6;28.7;29.1;51138
2017-01-20;30.3;30.3;29.3;29.6;57616
2017-01-19;30.4;30.5;30.1;30.3;9316
2017-01-18;31.0;31.5;30.1;30.4;181192
2017-01-17;31.1;31.3;30.5;31.0;19401
2017-01-16;31.0;31.8;31.0;31.1;45375
2017-01-13;30.5;31.7;30.3;31.0;51485
2017-01-12;30.2;30.5;29.4;30.3;122697
2017-01-11;30.6;30.6;30.0;30.2;32362
2017-01-10;30.5;30.9;30.3;30.5;11394
2017-01-09;31.0;31.0;30.4;30.5;16972
2017-01-06;;31.0;31.0;31.0;0
2017-01-05;31.0;31.0;30.5;31.0;106293
2017-01-04;31.0;31.0;30.4;30.6;22072
2017-01-03;30.9;31.2;30.7;31.0;23925
2017-01-02;31.3;31.5;30.5;30.9;17580
2016-12-30;31.4;31.4;30.7;31.2;34265
2016-12-29;30.5;31.8;30.5;31.3;74582
2016-12-28;30.5;31.0;30.2;31.0;110131
2016-12-27;30.5;30.9;30.1;30.7;63264
2016-12-23;30.5;30.5;30.0;30.5;47590
2016-12-22;30.7;30.7;29.7;30.5;84160
2016-12-21;30.9;30.9;30.2;30.8;35549
2016-12-20;31.7;32.0;30.8;31.0;33223
2016-12-19;31.2;31.9;31.1;31.7;17893
2016-12-16;31.5;32.6;31.0;31.6;22410
2016-12-15;31.0;32.0;31.0;31.5;72213
2016-12-14;30.8;32.0;30.5;31.8;49496
2016-12-13;31.0;31.0;30.5;30.8;53736
2016-12-12;31.6;31.8;31.0;31.1;22025
2016-12-09;33.0;33.0;31.0;31.6;64563
2016-12-08;34.3;34.3;32.4;32.4;56695
2016-12-07;35.2;35.2;34.1;34.3;22441
2016-12-06;35.2;35.3;34.2;35.2;76602
2016-12-05;34.5;35.5;34.5;34.5;137749
2016-12-02;34.3;35.4;33.8;34.8;46063
2016-12-01;34.5;35.3;34.5;34.8;31139
2016-11-30;35.0;35.4;34.1;35.3;65715
2016-11-29;33.5;34.7;33.3;34.7;96420
2016-11-28;32.5;33.4;32.5;33.2;18677
2016-11-25;33.0;33.0;32.2;33.0;21387
2016-11-24;32.9;32.9;32.2;32.7;13086
2016-11-23;31.2;33.0;31.2;32.3;36812
2016-11-22;32.3;32.3;31.5;31.7;36019
2016-11-21;33.5;33.5;31.5;32.2;64854
2016-11-18;30.1;33.0;29.8;32.7;94688
2016-11-17;30.2;30.5;29.9;30.1;32386
2016-11-16;31.3;31.3;30.3;30.6;26321
2016-11-15;30.6;31.8;30.6;31.3;37457
2016-11-14;32.0;32.0;30.5;31.0;18121
2016-11-11;30.0;32.5;29.9;32.0;66075
2016-11-10;29.5;30.3;29.4;30.0;68688
2016-11-09;27.5;30.0;27.0;28.8;58451
2016-11-08;29.7;30.0;29.0;29.2;29053
2016-11-07;30.0;30.1;28.4;29.7;50986
2016-11-04;30.9;31.2;30.3;30.3;12395
2016-11-03;30.3;30.9;30.2;30.9;38115
2016-11-02;31.0;31.5;30.0;30.3;24976
2016-11-01;30.5;31.5;30.5;30.8;49020
2016-10-31;29.3;30.3;28.5;30.3;69483
2016-10-28;30.0;30.2;28.2;29.3;119331
2016-10-27;32.9;33.5;31.9;32.4;91328
2016-10-26;31.2;32.7;31.2;32.3;41914
2016-10-25;31.1;31.8;31.0;31.2;21520
2016-10-24;32.5;32.5;31.5;31.7;28349
2016-10-21;32.8;32.9;31.3;32.3;74023
2016-10-20;33.1;33.9;31.8;32.8;51927
2016-10-19;34.1;34.2;32.6;33.2;51735
2016-10-18;33.9;34.9;33.4;34.9;31548
2016-10-17;33.9;34.0;33.1;33.9;30027
2016-10-14;34.0;34.4;32.8;34.0;21109
2016-10-13;35.0;35.0;33.8;34.4;53645
2016-10-12;35.3;35.3;34.6;35.1;58303
2016-10-11;34.6;35.6;34.0;35.5;64961
2016-10-10;35.7;35.7;35.0;35.2;35939
2016-10-07;36.0;36.1;35.5;35.6;47461
2016-10-06;34.7;36.0;34.3;35.5;111178
2016-10-05;34.2;34.6;34.0;34.6;61454
2016-10-04;34.0;34.9;34.0;34.2;70053
2016-10-03;34.5;34.5;33.3;34.0;22820
2016-09-30;32.8;34.7;32.3;34.6;145976
2016-09-29;32.7;33.3;32.7;33.1;25757
2016-09-28;33.1;33.4;32.0;33.3;109581
2016-09-27;31.3;33.0;31.3;33.0;147320
2016-09-26;32.4;32.7;31.0;31.3;122988
2016-09-23;29.0;32.8;28.8;32.5;252678
2016-09-22;29.0;29.5;28.2;29.3;73160
2016-09-21;28.7;29.2;28.0;28.1;41676
2016-09-20;28.5;28.8;28.0;28.8;30627
2016-09-19;28.5;29.0;28.3;28.6;17586
2016-09-16;29.0;29.3;28.5;28.5;34203
2016-09-15;27.7;29.0;27.7;28.8;70582
2016-09-14;28.0;28.0;27.1;27.7;19460
2016-09-13;27.1;27.5;26.5;27.1;70278
2016-09-12;27.7;27.7;26.7;27.1;30291
2016-09-09;28.0;28.0;27.3;27.7;29451
2016-09-08;27.5;27.9;27.5;27.9;32106
2016-09-07;27.8;27.8;27.0;27.8;30632
2016-09-06;27.5;27.9;27.2;27.4;30850
2016-09-05;27.6;28.3;27.0;27.5;56536
2016-09-02;28.6;28.6;26.4;27.6;79526
2016-09-01;28.1;28.5;27.9;28.0;13909
2016-08-31;28.8;29.0;28.0;28.1;45917
2016-08-30;29.0;29.2;28.3;28.8;31002
2016-08-29;29.0;29.0;28.3;28.3;28975
2016-08-26;28.5;29.1;28.4;28.9;45576
2016-08-25;28.8;29.2;28.2;28.5;55984
2016-08-24;28.5;29.5;28.5;28.6;60290
2016-08-23;28.0;28.9;27.2;28.5;203921
2016-08-22;27.6;27.9;27.2;27.4;38360
2016-08-19;27.6;28.0;27.2;27.6;48767
2016-08-18;27.8;27.9;27.5;27.9;37707
2016-08-17;27.9;28.0;27.6;27.8;26744
2016-08-16;28.0;28.3;27.6;27.9;42103
2016-08-15;28.7;28.7;27.8;28.0;33692
2016-08-12;27.9;28.4;27.8;28.0;42158
2016-08-11;28.0;28.4;27.6;28.0;45168
2016-08-10;28.6;28.8;27.7;28.0;56358
2016-08-09;28.0;28.9;27.3;28.8;144905
2016-08-08;27.7;28.2;27.4;28.0;52533
2016-08-05;27.7;28.0;27.4;27.7;23963
2016-08-04;28.0;28.0;27.6;27.7;37271
2016-08-03;28.4;28.4;27.5;28.0;19425
2016-08-02;28.0;28.7;27.7;28.4;59678
2016-08-01;27.7;28.1;27.5;28.0;54004
2016-07-29;27.7;27.8;27.4;27.7;22835
2016-07-28;27.9;27.9;27.4;27.7;59162
2016-07-27;28.3;28.5;27.5;27.9;114708
2016-07-26;28.4;28.7;28.1;28.3;41097
2016-07-25;29.0;29.0;28.1;28.4;97656
2016-07-22;29.3;29.3;28.4;29.0;90570
2016-07-21;30.5;30.6;28.9;29.3;148178
2016-07-20;30.5;31.8;29.1;30.3;520052
2016-07-19;34.4;34.4;33.0;33.9;34786
2016-07-18;33.5;34.4;33.0;34.4;63836
2016-07-15;33.9;33.9;32.8;33.7;67417
2016-07-14;32.9;33.4;32.8;33.0;48747
2016-07-13;32.2;34.0;31.8;32.9;50096
2016-07-12;32.4;32.5;31.6;32.2;92769
2016-07-11;32.0;32.9;31.8;32.7;40814
2016-07-08;32.2;32.3;31.5;31.8;31217
2016-07-07;31.4;32.4;31.3;32.2;54254
2016-07-06;32.5;32.5;31.3;31.3;55247
2016-07-05;33.3;33.3;32.0;32.2;34798
2016-07-04;32.7;33.5;32.4;32.8;54872
2016-07-01;33.5;33.5;32.2;32.4;104689
2016-06-30;33.0;33.5;31.9;33.4;84953
2016-06-29;31.9;33.0;30.9;32.2;187886
2016-06-28;31.8;33.3;31.3;31.9;154409
2016-06-27;32.1;33.5;32.1;32.5;65912
2016-06-24;;34.9;34.9;34.9;0
2016-06-23;35.0;35.4;34.8;34.9;42739
2016-06-22;35.4;35.7;35.0;35.5;20383
2016-06-21;36.0;36.0;35.3;35.4;30463
2016-06-20;35.0;36.0;34.3;35.6;55834
2016-06-17;34.5;35.9;34.5;35.1;42467
2016-06-16;34.4;35.9;33.2;34.5;112623
2016-06-15;33.5;34.6;33.1;34.0;33291
2016-06-14;34.8;34.8;33.1;33.5;46794
2016-06-13;34.1;34.9;33.3;34.8;55279
2016-06-10;37.0;37.0;34.0;35.1;65041
2016-06-09;36.7;36.9;35.1;36.0;65340
2016-06-08;38.0;38.0;36.5;36.7;49868
2016-06-07;37.4;38.2;37.4;37.8;91570
2016-06-06;;36.5;36.5;36.5;0
2016-06-03;37.0;37.9;36.5;36.5;64185
2016-06-02;34.2;38.0;34.2;37.0;215194
2016-06-01;34.6;34.8;34.0;34.0;32649
2016-05-31;34.0;34.5;33.1;34.5;93385
