Dates;Open;High;Low;Close;Volume
2017-12-27;20.5;20.8;20.0;20.6;14494
2017-12-22;20.2;20.9;20.2;20.9;4576
2017-12-21;21.0;21.0;20.1;20.9;2745
2017-12-20;21.0;21.0;20.0;20.8;7735
2017-12-19;20.7;21.0;20.0;21.0;20523
2017-12-18;21.8;21.8;20.4;20.8;20226
2017-12-15;22.2;22.2;20.9;22.0;10746
2017-12-14;21.7;22.7;21.7;22.7;2359
2017-12-13;22.5;22.5;21.5;22.0;2744
2017-12-12;22.5;22.6;22.0;22.5;5292
2017-12-11;23.0;23.0;22.0;22.7;8069
2017-12-08;23.2;23.9;22.2;23.0;12841
2017-12-07;22.0;23.0;21.3;23.0;5798
2017-12-06;21.8;22.3;21.2;22.3;7849
2017-12-05;22.0;22.0;20.5;21.8;9919
2017-12-04;22.0;22.0;21.4;22.0;6881
2017-12-01;22.2;22.2;21.5;21.9;6127
2017-11-30;22.0;22.5;21.5;22.3;11941
2017-11-29;22.4;22.4;22.0;22.4;5025
2017-11-28;22.5;22.5;21.7;22.4;5975
2017-11-27;22.0;22.5;22.0;22.4;2962
2017-11-24;22.4;22.5;21.2;22.5;9005
2017-11-23;21.9;22.5;21.9;22.4;5908
2017-11-22;22.2;22.2;21.9;21.9;586
2017-11-21;22.0;22.5;22.0;22.2;2205
2017-11-20;22.4;22.8;22.2;22.3;4256
2017-11-17;22.8;22.8;21.9;22.4;10148
2017-11-16;22.2;22.9;21.8;22.8;13840
2017-11-15;22.5;22.5;21.8;22.4;17275
2017-11-14;22.6;22.9;22.4;22.8;1000
2017-11-13;22.8;23.0;22.4;22.8;3354
2017-11-10;22.3;23.0;22.3;22.8;6054
2017-11-09;22.7;23.2;22.6;22.9;7321
2017-11-08;22.9;23.3;22.4;23.3;26120
2017-11-07;23.9;23.9;22.8;22.8;10593
2017-11-06;22.9;24.0;22.7;23.1;17092
2017-11-03;23.4;23.5;22.9;23.0;14668
2017-11-02;23.4;23.6;22.9;23.3;14937
2017-11-01;23.9;24.0;23.1;23.4;10562
2017-10-31;23.8;23.8;23.2;23.2;13541
2017-10-30;24.3;24.3;23.6;23.6;23819
2017-10-27;24.7;24.8;24.1;24.5;15044
2017-10-26;25.1;25.6;24.4;24.8;37480
2017-10-25;26.5;26.5;25.0;25.0;24998
2017-10-24;27.8;28.0;26.2;26.5;54215
2017-10-23;29.8;29.9;27.5;29.8;15270
2017-10-20;28.9;30.0;28.9;29.8;3779
2017-10-19;28.9;30.0;28.9;29.0;2275
2017-10-18;29.5;29.5;29.0;29.5;5040
2017-10-17;29.9;30.1;29.2;29.5;6054
2017-10-13;29.2;30.0;29.2;29.4;7291
2017-10-12;29.9;30.0;29.2;29.2;6514
2017-10-11;29.9;30.4;28.2;29.3;15549
2017-10-10;30.7;30.7;29.8;30.4;9100
2017-10-09;30.2;30.9;30.2;30.7;2095
2017-10-06;30.2;30.9;30.2;30.5;543
2017-10-05;31.0;31.5;30.0;30.9;2760
2017-10-04;31.5;31.8;30.1;31.0;25974
2017-10-03;31.2;31.5;30.5;30.8;5353
2017-10-02;30.7;31.1;30.5;30.8;5985
2017-09-29;30.4;31.0;30.2;30.7;3090
2017-09-28;31.0;31.5;30.1;30.4;13394
2017-09-27;32.0;32.1;31.0;31.6;3212
2017-09-26;32.5;32.5;32.0;32.1;618
2017-09-25;32.0;32.5;32.0;32.5;330
2017-09-22;32.1;32.5;32.0;32.0;1111
2017-09-21;33.5;33.5;32.0;32.0;1689
2017-09-20;33.6;33.6;31.6;32.9;2054
2017-09-19;31.6;33.0;31.6;32.6;7168
2017-09-18;32.5;32.5;31.5;31.6;1336
2017-09-15;31.7;32.9;31.7;31.9;4797
2017-09-14;31.0;32.3;31.0;31.7;185
2017-09-13;33.0;33.0;30.0;32.1;4756
2017-09-12;33.0;33.0;32.0;32.0;899
2017-09-11;32.3;33.0;32.3;32.8;8845
2017-09-08;32.1;32.3;31.6;32.1;1950
2017-09-07;32.5;32.9;32.0;32.6;2834
2017-09-06;32.5;32.5;31.6;32.0;1789
2017-09-04;34.2;35.6;32.6;32.6;9046
2017-09-01;32.4;34.3;32.4;34.1;7250
2017-08-31;31.3;32.4;30.8;32.4;20755
2017-08-30;30.5;31.3;30.5;31.3;7020
2017-08-29;31.4;31.4;30.0;30.5;2845
2017-08-28;31.0;31.4;30.4;30.4;1032
2017-08-25;30.3;30.5;30.0;30.4;2351
2017-08-24;30.5;31.5;30.1;30.2;3644
2017-08-23;30.8;31.4;30.5;30.5;2062
2017-08-22;31.0;31.5;30.5;30.8;3000
2017-08-21;31.3;31.5;30.5;31.0;4553
2017-08-18;32.2;32.2;31.3;31.3;5437
2017-08-17;33.7;33.7;32.0;32.2;20261
2017-08-16;35.8;35.8;31.0;33.5;53325
2017-08-15;37.5;37.6;36.5;37.1;1606
2017-08-14;37.3;37.5;37.0;37.5;4604
2017-08-11;37.8;37.8;36.0;37.3;3755
2017-08-10;37.5;37.8;37.2;37.8;6417
2017-08-09;37.4;37.8;37.2;37.8;3095
2017-08-08;36.9;37.8;36.9;37.4;41628
2017-08-07;36.7;37.8;36.7;36.9;2725
2017-08-04;37.1;37.1;36.7;36.7;6770
2017-08-03;36.6;37.0;36.6;36.9;6369
2017-08-02;37.4;37.4;35.9;36.6;6652
2017-08-01;37.1;37.2;36.8;37.0;15105
2017-07-31;37.8;37.8;37.3;37.3;2587
2017-07-28;37.8;37.8;37.3;37.3;300
2017-07-27;37.4;37.9;37.1;37.9;1365
2017-07-26;37.0;37.5;37.0;37.4;902
2017-07-25;37.5;37.8;37.0;37.5;771
2017-07-24;37.5;37.5;36.8;36.8;1816
2017-07-21;37.1;37.9;37.1;37.5;6642
2017-07-20;37.3;37.9;37.1;37.1;2251
2017-07-19;37.3;37.6;37.2;37.4;1386
2017-07-18;37.8;37.9;37.3;37.3;2938
2017-07-17;37.6;38.3;37.2;37.8;5644
2017-07-14;38.4;38.4;37.8;37.8;635
2017-07-13;38.3;38.3;37.5;38.0;620
2017-07-12;38.0;38.7;37.6;38.4;2144
2017-07-11;37.7;37.8;37.5;37.7;1854
2017-07-10;38.3;39.5;37.7;38.5;865
2017-07-07;37.5;38.3;37.5;38.3;136
2017-07-06;37.9;38.8;37.5;37.5;6183
2017-07-05;37.6;38.7;37.6;38.0;3802
2017-07-04;37.7;38.8;37.6;37.6;4736
2017-07-03;38.5;39.4;38.4;38.6;15460
2017-06-30;38.6;39.0;38.4;38.5;3361
2017-06-29;39.9;40.0;39.0;39.7;1391
2017-06-28;38.0;39.9;38.0;39.8;4341
2017-06-27;38.9;38.9;38.2;38.5;2482
2017-06-26;40.4;40.4;38.3;38.9;13144
2017-06-23;;39.8;39.8;39.8;0
2017-06-22;38.8;40.0;38.0;39.8;5039
2017-06-21;38.4;38.9;38.3;38.8;5666
2017-06-20;39.0;39.7;38.2;38.3;11487
2017-06-19;39.7;40.0;38.5;39.0;5926
2017-06-16;39.8;39.8;39.2;39.5;25994
2017-06-15;40.5;40.9;39.7;39.8;4743
2017-06-14;40.1;41.0;40.1;40.5;5455
2017-06-13;41.2;41.2;40.5;40.6;5517
2017-06-12;41.1;41.5;40.3;41.2;8011
2017-06-09;41.0;41.6;41.0;41.6;10281
2017-06-08;41.2;41.5;41.0;41.5;6722
2017-06-07;41.8;42.1;40.2;41.5;1989
2017-06-06;;41.8;41.8;41.8;0
2017-06-05;41.2;41.9;41.0;41.8;4027
2017-06-02;41.7;41.7;41.0;41.2;4507
2017-06-01;42.0;42.0;41.5;41.9;2560
2017-05-31;41.3;42.0;41.3;41.5;5363
2017-05-30;41.9;41.9;41.1;41.2;4170
2017-05-29;41.6;42.0;41.6;41.8;4620
2017-05-26;41.5;42.0;41.5;41.6;7308
2017-05-24;41.5;41.8;41.2;41.5;4601
2017-05-23;42.0;42.0;41.0;41.2;4673
2017-05-22;42.1;42.1;41.3;41.6;4255
2017-05-19;42.8;42.8;41.5;42.0;7149
2017-05-18;41.5;41.8;41.0;41.5;7116
2017-05-17;41.3;42.1;41.1;41.4;15981
2017-05-16;42.2;42.2;41.5;41.8;22786
2017-05-15;43.5;43.5;42.0;42.8;12080
2017-05-12;44.7;43.5;43.5;43.5;18302
2017-05-11;44.0;44.9;42.0;44.5;94013
2017-05-10;49.0;49.0;47.7;49.0;4762
2017-05-09;48.0;48.0;47.5;48.0;6118
2017-05-08;48.7;48.7;47.0;48.0;3833
2017-05-05;49.0;49.0;47.6;48.7;1637
2017-05-04;48.7;49.8;48.6;48.7;4755
2017-05-03;46.2;50.75;46.2;48.6;3568
2017-05-02;47.7;47.7;46.0;46.9;5809
2017-05-01;;47.7;47.7;47.7;0
2017-04-28;47.5;48.7;47.0;47.7;11120
2017-04-27;48.8;48.8;47.4;47.5;4161
2017-04-26;48.0;48.6;46.6;48.4;2262
2017-04-25;48.6;48.8;48.0;48.0;1330
2017-04-24;47.0;48.5;47.0;47.7;10105
2017-04-21;48.5;48.8;47.2;47.2;3332
2017-04-20;48.3;49.4;48.1;48.7;308
2017-04-19;49.0;49.9;48.3;48.3;1899
2017-04-18;49.0;49.5;48.3;49.0;1791
2017-04-13;49.0;49.0;48.6;49.0;2386
2017-04-12;49.3;49.4;48.1;49.0;5306
2017-04-11;49.6;49.7;49.1;49.3;4937
2017-04-10;51.75;51.75;49.0;49.6;30685
2017-04-07;52.0;52.0;51.0;51.75;2628
2017-04-06;51.75;52.0;51.5;52.0;2531
2017-04-05;51.0;52.0;51.0;51.75;5207
2017-04-04;52.0;52.0;51.0;51.0;2069
2017-04-03;51.5;52.0;50.5;52.0;5772
2017-03-31;50.5;52.0;50.5;51.5;1831
2017-03-30;51.25;51.25;50.5;51.0;1416
2017-03-29;50.25;53.0;50.25;51.25;4264
2017-03-28;50.0;50.75;49.6;50.0;1339
2017-03-27;51.0;51.0;49.0;50.0;5269
2017-03-24;51.25;51.5;50.75;51.0;3440
2017-03-23;51.5;51.5;50.0;51.25;5179
2017-03-22;52.0;52.0;49.9;51.5;10368
2017-03-21;53.25;53.5;52.0;52.0;12676
2017-03-20;54.0;54.0;53.0;53.25;3963
2017-03-17;53.75;55.0;53.5;54.0;6578
2017-03-16;53.5;54.25;53.5;53.75;4320
2017-03-15;53.75;53.75;52.75;53.5;4741
2017-03-14;53.75;53.75;52.25;53.5;8963
2017-03-13;55.25;55.25;53.0;53.75;12916
2017-03-10;56.25;55.25;55.25;55.25;8374
