Dates;Open;High;Low;Close;Volume
2017-12-27;5.4;5.45;5.05;5.35;21430
2017-12-22;5.4;5.5;5.2;5.45;4577
2017-12-21;5.8;5.95;5.5;5.5;6939
2017-12-20;5.3;6.0;5.3;5.65;6638
2017-12-19;5.7;6.0;5.15;5.3;34222
2017-12-18;6.3;6.35;5.7;6.0;30677
2017-12-15;6.25;6.95;6.2;6.3;8726
2017-12-14;5.7;7.5;5.7;6.25;53248
2017-12-13;5.8;6.5;5.7;5.95;11082
2017-12-12;6.1;6.5;5.6;6.05;7996
2017-12-11;6.4;6.5;6.0;6.1;11000
2017-12-08;6.6;6.6;6.2;6.5;8264
2017-12-07;6.35;6.6;6.2;6.6;3388
2017-12-06;6.7;6.7;6.2;6.35;5841
2017-12-05;6.6;7.1;6.6;6.7;5721
2017-12-04;7.0;7.7;6.75;6.9;17691
2017-12-01;7.4;7.4;6.6;7.0;31010
2017-11-30;7.2;7.75;7.2;7.35;5271
2017-11-29;7.6;7.9;7.25;7.25;2451
2017-11-28;7.5;7.75;7.2;7.6;18894
2017-11-27;8.0;8.1;7.3;7.8;11631
2017-11-24;7.5;8.1;7.5;8.1;7463
2017-11-23;7.6;8.15;7.2;8.1;10946
2017-11-22;7.55;7.6;7.25;7.6;2988
2017-11-21;8.0;8.9;7.55;7.7;25185
2017-11-20;7.85;7.85;7.3;7.8;6002
2017-11-17;7.75;7.85;7.65;7.85;4819
2017-11-16;8.3;8.55;7.75;7.75;2844
2017-11-15;8.15;8.15;7.75;7.75;11248
2017-11-14;8.5;8.5;8.0;8.15;6304
2017-11-13;8.65;8.65;7.55;8.5;11356
2017-11-10;8.7;8.7;8.45;8.65;2485
2017-11-09;8.5;8.55;8.0;8.45;2520
2017-11-08;8.2;8.7;8.2;8.5;5451
2017-11-07;8.75;9.0;7.95;8.2;36991
2017-11-06;9.0;9.3;8.75;8.75;14757
2017-11-03;9.2;9.35;9.0;9.0;2433
2017-11-02;9.6;9.6;9.2;9.2;7708
2017-11-01;10.1;10.7;9.25;9.6;25660
