Dates;Open;High;Low;Close;Volume
2017-12-27;1.27;1.29;1.25;1.25;1149404
2017-12-22;1.3;1.3;1.27;1.28;1279239
2017-12-21;1.3;1.3;1.27;1.28;870090
2017-12-20;1.32;1.33;1.27;1.29;1363638
2017-12-19;1.28;1.31;1.21;1.3;2582636
2017-12-18;1.34;1.35;1.26;1.28;3115693
2017-12-15;1.37;1.37;1.3;1.34;1450583
2017-12-14;1.33;1.36;1.33;1.36;1005767
2017-12-13;1.39;1.4;1.33;1.33;3333544
2017-12-12;1.39;1.41;1.38;1.39;696163
2017-12-11;1.41;1.42;1.38;1.38;610276
2017-12-08;1.4;1.42;1.37;1.42;1387067
2017-12-07;1.42;1.43;1.38;1.4;1111157
2017-12-06;1.43;1.46;1.4;1.42;1067176
2017-12-05;1.47;1.49;1.4;1.42;1873594
2017-12-04;1.5;1.5;1.47;1.49;789298
2017-12-01;1.51;1.52;1.48;1.5;713907
2017-11-30;1.5;1.51;1.48;1.5;1018794
2017-11-29;1.53;1.54;1.5;1.51;1079226
2017-11-28;1.52;1.56;1.51;1.54;994372
2017-11-27;1.54;1.55;1.52;1.52;896581
2017-11-24;1.54;1.58;1.53;1.53;753383
2017-11-23;1.52;1.62;1.51;1.55;2296146
2017-11-22;1.52;1.54;1.51;1.53;1215624
2017-11-21;1.54;1.54;1.5;1.51;851801
2017-11-20;1.51;1.54;1.51;1.54;595864
2017-11-17;1.55;1.55;1.51;1.52;1803685
2017-11-16;1.52;1.53;1.5;1.53;519910
2017-11-15;1.48;1.56;1.48;1.52;2025952
2017-11-14;1.45;1.56;1.42;1.47;2506906
2017-11-13;1.56;1.56;1.47;1.51;2890488
2017-11-10;1.61;1.62;1.52;1.56;1911343
2017-11-09;1.67;1.67;1.59;1.59;1685222
2017-11-08;1.62;1.66;1.59;1.66;2335933
2017-11-07;1.56;1.67;1.54;1.59;2924551
2017-11-06;1.53;1.57;1.52;1.55;2372761
2017-11-03;1.6;1.63;1.53;1.57;1480353
2017-11-02;1.71;1.71;1.59;1.59;3282709
2017-11-01;1.8;1.81;1.65;1.7;10353875
2017-10-31;1.49;1.84;1.47;1.7;37724321
2017-10-30;1.54;1.54;1.45;1.47;5866776
2017-10-27;1.4;1.62;1.37;1.52;37183739
2017-10-26;1.95;1.97;1.85;1.9;12112593
2017-10-25;2.15;2.32;2.0;2.05;32227679
2017-10-24;2.5;2.68;2.12;2.15;99189301
2017-10-23;1.98;2.81;1.92;2.55;140156917
2017-10-20;1.37;1.86;1.37;1.85;30618821
2017-10-19;1.33;1.34;1.3;1.31;2047569
2017-10-18;1.34;1.38;1.3;1.35;1794265
2017-10-17;1.45;1.45;1.38;1.39;1687936
2017-10-13;1.5;1.5;1.47;1.48;756975
2017-10-12;1.5;1.51;1.49;1.5;501321
2017-10-11;1.52;1.52;1.46;1.49;1009913
2017-10-10;1.5;1.55;1.49;1.52;3480292
2017-10-09;1.49;1.5;1.47;1.5;852620
2017-10-06;1.48;1.49;1.47;1.49;734839
2017-10-05;1.5;1.5;1.48;1.49;1144603
2017-10-04;1.53;1.53;1.48;1.49;854146
2017-10-03;1.48;1.54;1.47;1.51;3058698
2017-10-02;1.51;1.51;1.47;1.49;716829
2017-09-29;1.52;1.52;1.49;1.5;1586153
2017-09-28;1.53;1.53;1.49;1.51;1236395
2017-09-27;1.5;1.54;1.49;1.53;2392116
2017-09-26;1.5;1.5;1.46;1.48;2034119
2017-09-25;1.59;1.6;1.47;1.49;3767378
2017-09-22;1.53;1.54;1.45;1.48;2928124
2017-09-21;1.65;1.67;1.51;1.53;5152930
2017-09-20;1.38;1.64;1.37;1.64;6586671
2017-09-19;1.41;1.42;1.34;1.38;5582496
2017-09-18;1.46;1.48;1.38;1.4;7995001
2017-09-15;1.67;1.68;1.5;1.55;6210792
2017-09-14;1.58;1.7;1.57;1.66;3935388
2017-09-13;1.61;1.61;1.49;1.57;8183139
2017-09-12;1.72;1.76;1.6;1.64;4138771
2017-09-11;1.78;1.8;1.71;1.72;2416196
2017-09-08;1.84;1.84;1.77;1.8;1581063
2017-09-07;1.84;1.87;1.83;1.84;795472
2017-09-06;1.89;1.89;1.83;1.86;1034089
2017-09-04;1.92;1.92;1.9;1.9;691436
