Dates;Open;High;Low;Close;Volume
2017-12-27;123.0;123.0;119.5;121.25;5422
2017-12-22;120.0;120.0;119.0;119.5;2314
2017-12-21;118.0;120.0;117.0;120.0;3197
2017-12-20;119.0;119.0;116.25;117.75;350
2017-12-19;117.25;118.5;116.5;116.75;5181
2017-12-18;120.25;120.5;116.5;117.75;6101
2017-12-15;119.5;119.5;116.75;118.0;3262
2017-12-14;119.0;120.0;117.5;119.25;1394
2017-12-13;117.75;119.0;116.5;118.5;3954
2017-12-12;119.0;119.0;117.25;118.5;3377
2017-12-11;120.0;121.0;118.0;119.0;8720
2017-12-08;120.0;120.0;118.0;119.5;3330
2017-12-07;120.0;120.0;118.5;119.0;2539
2017-12-06;120.75;120.75;118.25;119.0;6684
2017-12-05;114.0;121.0;114.0;118.25;19096
2017-12-04;113.0;115.0;111.25;112.5;6531
2017-12-01;110.0;114.5;110.0;112.25;2381
2017-11-30;112.0;112.25;108.75;108.75;3905
2017-11-29;113.0;113.0;111.5;112.5;2809
2017-11-28;111.5;112.25;111.0;112.25;3291
2017-11-27;111.0;112.25;110.0;112.0;7721
2017-11-24;107.5;112.75;107.5;111.0;4797
2017-11-23;110.0;110.0;106.25;109.75;5489
2017-11-22;110.5;110.5;109.0;110.0;4806
2017-11-21;111.5;112.75;110.5;112.25;3230
2017-11-20;113.75;114.0;110.75;113.0;5023
2017-11-17;113.75;118.0;113.5;114.0;8503
2017-11-16;111.5;116.0;111.5;113.75;3046
2017-11-15;114.0;114.5;111.25;111.5;1861
2017-11-14;114.75;115.0;112.0;112.0;3409
2017-11-13;112.5;115.0;112.5;115.0;5597
2017-11-10;112.0;113.0;110.25;111.75;5697
2017-11-09;114.75;115.0;106.0;109.5;23744
2017-11-08;115.5;116.75;112.0;113.25;13642
2017-11-07;116.5;118.0;115.0;117.5;6034
2017-11-06;117.0;120.75;116.5;116.5;4415
2017-11-03;116.5;117.5;116.0;117.0;3192
2017-11-02;119.0;119.0;116.0;116.5;5673
2017-11-01;120.0;120.0;119.25;119.75;2733
2017-10-31;116.0;121.75;116.0;119.5;6492
2017-10-30;117.5;117.5;115.0;115.5;10124
2017-10-27;121.5;121.5;115.0;117.0;10633
2017-10-26;122.75;123.25;121.0;121.0;3887
2017-10-25;125.75;126.0;121.0;122.75;11004
2017-10-24;135.0;135.0;120.5;125.75;25731
2017-10-23;128.0;135.0;128.0;135.0;16242
2017-10-20;125.75;129.75;124.0;126.75;5428
2017-10-19;130.5;131.25;127.25;127.25;6258
2017-10-18;133.0;133.0;129.0;130.25;3033
2017-10-17;135.0;135.0;132.75;133.0;4569
2017-10-13;131.0;131.5;129.0;130.0;3978
2017-10-12;130.25;132.25;129.0;131.0;3134
2017-10-11;129.75;132.0;128.0;130.25;7979
2017-10-10;129.75;129.75;127.25;128.0;7541
