Dates;Open;High;Low;Close;Volume
2017-12-27;54.75;54.75;53.0;54.25;4059
2017-12-22;54.25;55.0;53.5;54.75;5618
2017-12-21;53.75;54.75;53.0;54.5;4714
2017-12-20;55.0;55.0;53.75;53.75;9162
2017-12-19;54.5;55.75;54.0;55.0;6314
2017-12-18;55.25;55.25;53.75;54.5;43716
2017-12-15;57.5;57.5;55.5;56.5;3638
2017-12-14;57.75;57.75;57.25;57.25;6835
2017-12-13;57.0;59.5;57.0;57.75;5965
2017-12-12;55.5;57.0;55.5;56.75;5448
2017-12-11;56.25;56.5;55.25;55.25;16772
2017-12-08;56.5;57.5;56.25;57.5;6418
2017-12-07;56.75;57.0;56.5;56.5;4080
2017-12-06;57.0;58.5;57.0;57.25;2248
2017-12-05;58.5;59.5;57.5;57.5;3161
2017-12-04;59.75;59.75;58.5;59.25;3566
2017-12-01;58.75;59.75;58.75;59.75;1706
2017-11-30;58.5;59.25;58.5;59.25;7310
2017-11-29;60.0;60.25;58.5;58.5;4342
2017-11-28;59.5;60.0;59.5;60.0;2070
2017-11-27;59.5;59.75;58.5;59.0;4089
2017-11-24;60.5;60.5;59.25;59.75;2374
2017-11-23;62.75;62.75;60.75;61.0;4643
2017-11-22;63.0;63.5;63.0;63.5;5776
2017-11-21;59.5;63.0;59.5;63.0;2959
2017-11-20;59.25;59.5;59.25;59.5;2171
2017-11-17;59.0;60.0;59.0;60.0;3728
2017-11-16;58.5;60.0;58.5;59.0;9323
2017-11-15;61.0;61.0;59.0;59.5;4544
2017-11-14;61.5;61.5;60.5;60.5;1781
2017-11-13;60.5;61.5;60.5;61.0;3100
2017-11-10;62.5;62.5;61.75;61.75;730
2017-11-09;63.25;63.25;62.5;62.5;1100
2017-11-08;63.5;64.0;63.5;63.5;6942
2017-11-07;63.5;63.75;63.25;63.75;1269
2017-11-06;61.0;66.0;61.0;63.5;10062
2017-11-03;61.0;61.5;60.5;61.5;4296
2017-11-02;62.0;62.0;61.25;61.75;3114
2017-11-01;62.0;62.5;62.0;62.5;839
2017-10-31;63.0;63.0;61.0;62.0;4987
2017-10-30;62.0;62.5;61.0;62.5;7619
2017-10-27;61.5;62.0;61.25;62.0;7348
2017-10-26;61.0;61.5;61.0;61.5;32589
2017-10-25;59.5;62.0;58.0;61.0;44240
2017-10-24;63.0;63.75;63.0;63.25;7140
2017-10-23;63.25;64.0;62.5;63.0;7516
2017-10-20;63.0;63.75;63.0;63.25;3119
2017-10-19;63.0;63.25;62.25;63.25;8240
2017-10-18;64.0;64.25;63.5;63.75;3810
2017-10-17;64.0;64.0;64.0;64.0;4913
2017-10-13;64.25;65.0;64.0;64.25;10734
2017-10-12;64.75;65.0;64.0;64.75;6772
2017-10-11;64.5;65.25;64.25;65.0;5556
2017-10-10;65.25;65.75;64.25;64.5;3574
2017-10-09;63.75;64.5;63.75;64.25;3339
2017-10-06;65.0;65.0;64.0;64.0;1816
2017-10-05;64.5;65.0;64.0;64.75;2889
2017-10-04;64.0;64.75;64.0;64.25;7917
2017-10-03;65.0;65.25;63.75;63.75;6709
2017-10-02;67.0;67.0;65.0;65.0;4901
2017-09-29;64.25;67.0;63.75;67.0;8703
2017-09-28;64.0;64.0;63.25;63.5;4728
2017-09-27;64.0;64.25;64.0;64.0;4873
2017-09-26;63.75;64.5;63.75;64.0;3170
2017-09-25;63.0;64.25;63.0;63.75;2434
2017-09-22;63.25;64.25;62.25;63.0;6706
2017-09-21;64.5;65.0;63.5;64.0;10314
2017-09-20;65.0;65.0;64.25;64.25;3531
2017-09-19;65.25;66.0;64.25;65.0;3624
2017-09-18;64.0;65.0;64.0;65.0;5215
2017-09-15;64.5;64.5;64.0;64.5;853
2017-09-14;64.25;64.75;64.0;64.5;1486
2017-09-13;64.75;65.5;64.25;64.25;1198
2017-09-12;64.5;65.5;64.5;64.75;3143
2017-09-11;65.0;65.5;64.0;64.25;3539
