Dates;Open;High;Low;Close;Volume
2017-12-27;7.1;7.2;7.1;7.2;118690
2017-12-22;7.1;7.15;7.05;7.1;215875
2017-12-21;7.05;7.1;7.05;7.1;136406
2017-12-20;7.05;7.15;7.05;7.05;124212
2017-12-19;7.1;7.2;7.05;7.05;201893
2017-12-18;6.95;7.1;6.95;7.1;224583
2017-12-15;6.95;7.0;6.9;6.95;146695
2017-12-14;7.0;7.05;7.0;7.0;117869
2017-12-13;7.05;7.1;6.95;7.0;131124
2017-12-12;7.1;7.1;7.0;7.05;167509
2017-12-11;7.05;7.1;7.0;7.1;194120
2017-12-08;6.95;7.1;6.9;7.05;322249
2017-12-07;6.9;6.95;6.8;6.95;287860
2017-12-06;6.85;6.95;6.8;6.9;100813
2017-12-05;6.9;6.9;6.85;6.85;103119
2017-12-04;6.95;7.0;6.85;6.85;216803
2017-12-01;6.9;6.95;6.8;6.95;219099
2017-11-30;6.95;7.0;6.85;6.85;148027
2017-11-29;6.95;7.0;6.9;7.0;219025
2017-11-28;7.05;7.1;6.9;6.95;184218
2017-11-27;7.1;7.1;6.9;7.05;189241
2017-11-24;7.1;7.15;7.05;7.1;92749
2017-11-23;7.05;7.1;7.0;7.1;112460
2017-11-22;6.95;7.15;6.95;7.1;229569
2017-11-21;6.85;7.0;6.85;6.9;311775
2017-11-20;6.8;6.85;6.7;6.85;256543
2017-11-17;6.8;6.95;6.75;6.8;241877
2017-11-16;6.7;6.75;6.55;6.75;306021
2017-11-15;6.65;6.7;6.55;6.65;180142
2017-11-14;6.75;6.75;6.6;6.7;301045
2017-11-13;7.15;7.15;6.65;6.8;916818
2017-11-10;7.35;7.35;7.1;7.1;365161
2017-11-09;7.25;7.4;7.25;7.35;164181
2017-11-08;7.3;7.4;7.25;7.25;290746
2017-11-07;7.4;7.4;7.25;7.3;238493
2017-11-06;7.35;7.45;7.35;7.4;265274
2017-11-03;7.3;7.4;7.3;7.35;99956
2017-11-02;7.25;7.4;7.25;7.35;126018
2017-11-01;7.45;7.5;7.2;7.25;499463
2017-10-31;7.35;7.55;7.3;7.5;494230
2017-10-30;7.0;7.4;7.0;7.3;493048
2017-10-27;6.95;7.0;6.85;7.0;170637
2017-10-26;6.85;6.95;6.8;6.95;306371
2017-10-25;6.8;6.95;6.8;6.85;273273
2017-10-24;6.75;6.8;6.65;6.75;209653
2017-10-23;6.65;6.8;6.6;6.75;248866
2017-10-20;6.6;6.75;6.6;6.6;272705
2017-10-19;6.55;6.65;6.55;6.6;103140
2017-10-18;6.7;6.75;6.55;6.55;240776
2017-10-17;6.8;6.85;6.65;6.7;232756
2017-10-13;6.75;6.85;6.7;6.75;163410
2017-10-12;6.85;6.85;6.7;6.75;272434
2017-10-11;6.95;7.0;6.85;6.85;166519
2017-10-10;6.9;7.0;6.8;6.9;341477
2017-10-09;6.65;6.85;6.65;6.85;324254
2017-10-06;6.65;6.7;6.55;6.65;383837
2017-10-05;6.65;6.7;6.55;6.65;298851
2017-10-04;6.6;6.65;6.5;6.55;179783
2017-10-03;6.5;6.6;6.45;6.55;307468
2017-10-02;6.65;6.7;6.45;6.45;450029
2017-09-29;6.75;6.75;6.5;6.65;277895
2017-09-28;6.8;6.85;6.65;6.7;222060
2017-09-27;6.35;6.85;6.3;6.75;989464
2017-09-26;6.35;6.4;6.25;6.3;271630
2017-09-25;6.25;6.35;6.2;6.35;235420
2017-09-22;6.2;6.25;6.2;6.2;359613
2017-09-21;6.25;6.25;6.2;6.2;70057
2017-09-20;6.25;6.25;6.2;6.2;282734
2017-09-19;6.3;6.3;6.2;6.2;323023
2017-09-18;6.25;6.3;6.2;6.3;242100
2017-09-15;6.3;6.35;6.25;6.25;226089
2017-09-14;6.35;6.4;6.25;6.3;205791
2017-09-13;6.3;6.4;6.25;6.35;347061
2017-09-12;6.4;6.4;6.25;6.25;236086
2017-09-11;6.25;6.35;6.2;6.3;341636
2017-09-08;6.3;6.3;6.2;6.2;237058
2017-09-07;6.2;6.3;6.2;6.25;212331
2017-09-06;6.25;6.25;6.15;6.2;123851
2017-09-04;6.35;6.35;6.2;6.2;203743
2017-09-01;6.3;6.4;6.25;6.25;378163
2017-08-31;6.3;6.45;6.25;6.25;469564
2017-08-30;6.45;6.5;6.25;6.25;442599
2017-08-29;6.55;6.6;6.25;6.45;408302
2017-08-28;6.7;6.75;6.5;6.5;223638
2017-08-25;6.7;6.85;6.65;6.65;99558
2017-08-24;6.85;6.9;6.7;6.7;134864
2017-08-23;6.8;6.9;6.75;6.85;214405
2017-08-22;6.6;6.8;6.6;6.8;199060
2017-08-21;6.7;6.75;6.4;6.55;476291
2017-08-18;6.75;6.75;6.6;6.7;153551
2017-08-17;7.05;7.05;6.7;6.75;365413
2017-08-16;7.15;7.2;6.85;7.05;433383
2017-08-15;7.25;7.3;7.05;7.2;89331
2017-08-14;7.05;7.35;6.95;7.25;180641
2017-08-11;7.2;7.3;7.0;7.1;296958
2017-08-10;7.35;7.35;7.2;7.2;93069
2017-08-09;7.35;7.35;7.2;7.3;86548
2017-08-08;7.35;7.35;7.25;7.35;110637
2017-08-07;7.25;7.4;7.25;7.35;131822
2017-08-04;7.15;7.35;7.05;7.25;260970
2017-08-03;7.05;7.15;7.05;7.15;220819
2017-08-02;7.05;7.1;6.9;7.05;245966
2017-08-01;7.25;7.25;6.75;7.0;781978
2017-07-31;7.15;7.25;7.15;7.25;149412
2017-07-28;7.35;7.35;7.15;7.15;270700
2017-07-27;7.45;7.45;7.35;7.35;296257
2017-07-26;7.5;7.55;7.45;7.45;49014
2017-07-25;7.5;7.6;7.45;7.5;97434
2017-07-24;7.7;7.7;7.45;7.5;163961
2017-07-21;7.7;7.7;7.5;7.7;284841
2017-07-20;7.7;7.7;7.6;7.7;78788
2017-07-19;7.65;7.7;7.6;7.7;70682
2017-07-18;7.75;7.75;7.6;7.65;305763
2017-07-17;7.75;7.8;7.65;7.75;83774
2017-07-14;7.8;7.8;7.7;7.8;164174
2017-07-13;7.95;7.95;7.75;7.8;246748
2017-07-12;7.95;8.0;7.8;7.95;282420
2017-07-11;7.9;8.0;7.9;7.95;51734
2017-07-10;8.0;8.05;7.95;7.95;59007
2017-07-07;7.95;8.1;7.9;8.0;313081
2017-07-06;8.0;8.0;7.95;7.95;31236
2017-07-05;8.05;8.05;7.95;8.0;103005
2017-07-04;8.0;8.1;8.0;8.0;97176
2017-07-03;7.95;8.0;7.9;8.0;129345
2017-06-30;8.05;8.1;7.95;8.05;181478
2017-06-29;8.05;8.1;8.0;8.05;164857
2017-06-28;8.1;8.15;8.0;8.05;220554
2017-06-27;8.1;8.2;8.1;8.1;186641
2017-06-26;8.2;8.2;8.1;8.1;260458
2017-06-23;;8.2;8.2;8.2;0
2017-06-22;8.0;8.2;8.0;8.2;334039
2017-06-21;8.1;8.1;7.95;8.0;173199
