Dates;Open;High;Low;Close;Volume
2017-12-27;27.0;28.0;26.2;26.4;64698
2017-12-22;27.0;28.3;27.0;27.6;41872
2017-12-21;27.1;27.4;26.1;26.9;55608
2017-12-20;27.6;28.9;27.1;27.1;23597
2017-12-19;28.2;29.2;27.4;27.9;88018
2017-12-18;29.4;29.8;28.4;28.7;35968
2017-12-15;29.5;29.5;28.3;28.9;25574
2017-12-14;29.0;29.2;28.3;28.7;12277
2017-12-13;28.3;29.9;28.0;28.6;39039
2017-12-12;29.1;29.2;28.2;28.6;64989
2017-12-11;29.5;29.6;28.5;29.3;36074
2017-12-08;29.6;30.7;29.2;29.5;43873
2017-12-07;30.6;30.9;29.6;29.7;18859
2017-12-06;31.0;31.6;29.7;30.5;43081
2017-12-05;32.1;32.8;30.0;31.0;54837
2017-12-04;34.5;34.8;31.9;31.9;38724
2017-12-01;34.0;34.8;31.2;33.1;81552
2017-11-30;28.1;33.6;28.1;33.2;211313
2017-11-29;29.0;29.0;27.1;27.9;100120
2017-11-28;29.8;29.9;27.6;29.3;39118
2017-11-27;30.6;30.9;29.7;30.0;30803
2017-11-24;31.0;31.2;30.2;30.6;13778
2017-11-23;30.9;31.5;30.0;31.0;37777
2017-11-22;30.0;31.5;29.6;30.9;20113
2017-11-21;29.7;30.4;29.3;30.3;38892
2017-11-20;32.5;32.5;29.5;29.7;97070
2017-11-17;33.4;34.4;31.3;31.9;63628
2017-11-16;29.3;33.1;28.1;33.0;175199
2017-11-15;29.9;31.5;28.2;29.5;127061
2017-11-14;32.2;32.2;28.7;30.3;160062
2017-11-13;33.2;34.5;31.7;32.1;51201
2017-11-10;33.1;35.0;32.6;34.0;61646
2017-11-09;34.0;35.0;32.9;33.2;101802
2017-11-08;34.2;34.4;33.8;34.4;56424
2017-11-07;35.8;35.8;33.3;34.4;148430
2017-11-06;37.0;38.0;35.4;36.1;45491
2017-11-03;36.7;39.5;36.6;37.0;78285
2017-11-02;38.6;38.6;36.6;36.7;51282
2017-11-01;39.8;39.8;37.0;38.6;73233
2017-10-31;37.4;39.8;36.1;39.5;93051
2017-10-30;39.0;40.1;36.8;37.6;98790
2017-10-27;39.3;39.5;37.2;39.0;135034
2017-10-26;48.1;48.4;36.3;39.2;494527
2017-10-25;47.2;48.5;46.9;48.3;36756
2017-10-24;47.6;47.6;46.7;46.8;24418
2017-10-23;48.0;48.0;46.4;46.9;50003
