Dates;Open;High;Low;Close;Volume
2017-12-20;1.75;1.75;1.66;1.7;78355
2017-12-19;1.72;1.75;1.61;1.75;280940
2017-12-18;1.77;1.77;1.63;1.7;295858
2017-12-15;1.77;1.77;1.7;1.77;90349
2017-12-14;1.74;1.79;1.7;1.74;86546
2017-12-13;1.79;1.83;1.74;1.74;128428
2017-12-12;1.77;1.83;1.76;1.78;306494
2017-12-11;1.76;1.82;1.7;1.78;265241
2017-12-08;1.69;1.8;1.67;1.76;184936
2017-12-07;1.72;1.8;1.68;1.68;117534
2017-12-06;1.7;1.74;1.66;1.69;255675
2017-12-05;1.7;1.75;1.65;1.73;375844
2017-12-04;1.67;1.73;1.65;1.7;169749
2017-12-01;1.74;1.75;1.65;1.72;327500
2017-11-30;1.81;1.88;1.72;1.75;249869
2017-11-29;2.0;2.08;1.8;1.8;1041291
2017-11-28;1.61;1.95;1.59;1.93;938348
2017-11-27;1.64;1.7;1.58;1.61;184113
2017-11-24;1.68;1.68;1.6;1.64;180532
2017-11-23;1.67;1.68;1.56;1.6;208954
2017-11-22;1.69;1.7;1.63;1.65;55755
2017-11-21;1.67;1.71;1.62;1.68;199622
2017-11-20;1.67;1.7;1.62;1.67;122354
2017-11-17;1.71;1.73;1.63;1.67;142294
2017-11-16;1.65;1.75;1.65;1.73;61644
2017-11-15;1.7;1.74;1.62;1.68;293031
2017-11-14;1.79;1.8;1.73;1.78;103114
2017-11-13;1.81;1.85;1.72;1.79;40541
2017-11-10;1.77;1.83;1.73;1.76;155679
2017-11-09;1.85;1.9;1.7;1.75;532615
2017-11-08;1.77;1.9;1.69;1.7;449838
2017-11-07;1.88;1.96;1.78;1.78;469532
2017-11-06;1.7;1.93;1.7;1.87;901569
2017-11-03;1.62;1.72;1.57;1.66;151498
2017-11-02;1.72;1.78;1.58;1.63;395630
2017-11-01;1.81;1.83;1.67;1.72;274139
2017-10-31;1.85;1.85;1.79;1.81;146924
2017-10-30;1.8;1.86;1.71;1.85;203960
2017-10-27;1.87;1.88;1.75;1.8;227433
2017-10-26;1.69;1.98;1.66;1.85;685493
2017-10-25;1.7;1.79;1.64;1.69;700682
2017-10-24;1.59;2.1;1.55;1.7;3101760
2017-10-23;1.91;1.93;1.61;1.64;1709404
2017-10-20;1.97;1.97;1.81;1.9;1548974
2017-10-19;2.08;2.08;1.9;1.94;1149115
2017-10-18;2.16;2.28;1.97;2.02;3245042
2017-10-17;3.1;3.1;2.05;2.1;11905575
2017-10-13;4.52;4.77;4.32;4.48;405584
2017-10-12;4.9;4.9;4.6;4.72;375552
2017-10-11;5.0;5.2;4.8;4.87;156175
2017-10-10;5.1;5.25;4.79;4.93;484043
2017-10-09;5.3;5.4;5.2;5.2;50226
2017-10-06;5.4;5.45;5.3;5.4;71025
2017-10-05;5.4;5.6;5.3;5.45;37661
2017-10-04;5.3;5.55;5.3;5.4;51478
2017-10-03;5.3;5.6;5.25;5.4;91163
2017-10-02;5.45;5.45;5.2;5.3;183334
2017-09-29;5.75;5.75;5.4;5.45;207991
2017-09-28;5.7;5.75;5.55;5.7;75878
2017-09-27;5.8;5.9;5.6;5.75;153564
2017-09-26;5.9;6.0;5.6;5.8;262684
2017-09-25;5.8;5.95;5.7;5.9;179237
2017-09-22;5.85;6.0;5.8;5.8;151694
2017-09-21;5.95;6.1;5.8;5.85;143693
2017-09-20;5.65;6.0;5.65;5.95;310421
2017-09-19;5.75;5.75;5.55;5.6;397260
2017-09-18;5.95;5.95;5.6;5.75;135782
2017-09-15;5.85;6.25;5.7;5.9;359058
2017-09-14;5.8;6.0;5.7;5.85;59706
2017-09-13;6.0;6.05;5.75;5.85;140051
2017-09-12;5.9;6.05;5.85;6.0;46758
2017-09-11;6.0;6.2;5.85;5.9;119980
2017-09-08;6.0;6.15;5.8;6.0;82208
2017-09-07;6.25;6.35;5.75;6.0;343120
2017-09-06;5.5;6.4;5.5;6.25;480760
2017-09-04;5.75;5.75;5.45;5.65;141016
2017-09-01;5.85;5.9;5.65;5.8;88537
2017-08-31;5.9;5.9;5.45;5.85;347481
2017-08-30;6.05;6.2;5.85;6.0;61758
2017-08-29;6.25;6.25;5.6;6.0;521731
2017-08-28;6.4;6.55;6.25;6.25;183599
2017-08-25;6.5;6.65;6.25;6.45;387444
2017-08-24;6.65;6.7;6.5;6.55;169171
2017-08-23;6.8;6.85;6.5;6.65;340861
2017-08-22;6.4;7.05;6.2;6.8;927682
2017-08-21;6.55;6.75;6.2;6.4;641726
2017-08-18;6.85;7.05;6.5;6.6;588933
2017-08-17;7.0;7.2;6.75;6.8;290929
2017-08-16;7.25;7.25;6.8;7.0;751779
2017-08-15;7.5;7.75;6.9;7.25;2640083
2017-08-14;6.1;7.65;6.0;7.6;2613335
2017-08-11;6.35;6.4;5.8;6.05;804932
2017-08-10;7.2;7.2;6.2;6.3;4071782
2017-08-09;6.55;8.6;6.55;7.6;8634003
2017-08-08;5.3;7.45;5.25;6.4;5614510
2017-08-07;4.84;4.92;4.81;4.82;28698
2017-08-04;5.0;5.0;4.82;4.84;57384
2017-08-03;4.7;4.98;4.7;4.97;107860
2017-08-02;4.71;4.78;4.65;4.7;170314
2017-08-01;4.61;4.74;4.61;4.71;71841
2017-07-31;4.75;4.78;4.64;4.65;97337
2017-07-28;4.95;4.95;4.61;4.64;99471
2017-07-27;4.75;4.95;4.6;4.61;57221
2017-07-26;4.95;4.97;4.63;4.75;114039
2017-07-25;4.97;4.97;4.7;4.95;55342
2017-07-24;5.1;5.1;4.85;4.97;29113
2017-07-21;5.1;5.25;4.95;5.1;69974
2017-07-20;5.2;5.3;5.05;5.05;15166
2017-07-19;5.2;5.2;5.05;5.1;16186
2017-07-18;5.1;5.25;5.1;5.2;79149
2017-07-17;4.9;5.2;4.9;5.1;79273
2017-07-14;4.86;4.9;4.84;4.89;46640
2017-07-13;4.76;4.84;4.62;4.84;26225
2017-07-12;4.6;5.0;4.6;4.77;245980
2017-07-11;5.0;5.0;4.59;4.6;397375
2017-07-10;5.1;5.1;4.95;5.0;42522
2017-07-07;5.1;5.2;5.0;5.1;48931
2017-07-06;5.1;5.15;5.05;5.1;80344
2017-07-05;5.05;5.25;5.05;5.15;41598
2017-07-04;5.25;5.25;5.15;5.25;121321
2017-07-03;5.25;5.4;5.15;5.25;39183
2017-06-30;5.3;5.3;5.1;5.2;39397
2017-06-29;5.3;5.3;5.1;5.3;120040
2017-06-28;5.0;5.4;5.0;5.3;183147
2017-06-27;5.25;5.6;4.3;5.1;788640
2017-06-26;6.75;6.8;6.0;6.25;581798
2017-06-23;;6.75;6.75;6.75;0
2017-06-22;6.8;6.9;6.35;6.75;179366
2017-06-21;7.0;7.0;6.65;6.8;136815
2017-06-20;6.75;7.35;6.75;6.95;418555
2017-06-19;7.05;7.05;6.7;6.7;30372
2017-06-16;6.5;7.2;6.45;6.85;213867
2017-06-15;6.55;6.55;6.4;6.5;46401
2017-06-14;6.55;6.65;6.5;6.65;33415
2017-06-13;6.65;6.75;6.65;6.65;17575
2017-06-12;6.8;6.95;6.55;6.65;165712
2017-06-09;6.95;7.0;6.75;6.8;191481
2017-06-08;7.15;7.15;7.0;7.05;46567
2017-06-07;7.4;7.7;7.05;7.15;258658
2017-06-06;;7.1;7.1;7.1;0
2017-06-05;6.9;7.3;6.9;7.1;106770
2017-06-02;7.0;7.05;6.95;7.0;32686
2017-06-01;7.25;7.55;6.95;7.0;114611
2017-05-31;6.85;7.25;6.85;7.25;72554
2017-05-30;7.2;7.2;6.85;6.85;54347
2017-05-29;6.85;7.55;6.85;7.2;646106
2017-05-26;7.0;7.1;6.9;7.0;41038
2017-05-24;7.0;7.0;6.8;7.0;163565
2017-05-23;7.25;7.25;6.7;6.95;220702
2017-05-22;7.25;7.5;7.2;7.25;364857
2017-05-19;7.1;7.55;7.0;7.25;221220
2017-05-18;6.55;7.3;6.2;7.15;421179
2017-05-17;6.7;6.75;6.45;6.65;113149
2017-05-16;6.2;6.75;6.2;6.6;302740
2017-05-15;6.2;6.3;5.95;6.2;71264
2017-05-12;6.15;6.2;6.2;6.2;29342
2017-05-11;6.0;6.25;6.0;6.15;14964
2017-05-10;6.05;6.35;6.0;6.0;97134
2017-05-09;5.8;6.45;5.8;6.05;1212273
2017-05-08;6.2;6.2;5.85;6.0;128691
2017-05-05;6.1;6.3;6.05;6.2;134195
2017-05-04;6.3;6.4;6.15;6.15;63507
2017-05-03;6.4;6.5;6.15;6.3;122340
2017-05-02;6.85;6.85;6.35;6.4;175229
2017-05-01;;6.85;6.85;6.85;0
2017-04-28;6.95;7.0;6.7;6.85;93181
2017-04-27;6.8;7.0;6.7;6.95;52653
2017-04-26;6.85;7.15;6.6;6.8;284661
2017-04-25;7.15;7.15;6.5;6.85;226683
2017-04-24;6.5;7.35;6.5;7.1;286361
2017-04-21;6.8;6.85;6.4;6.5;217300
2017-04-20;7.0;7.0;6.55;6.8;90312
2017-04-19;7.0;7.0;6.8;6.95;75512
2017-04-18;7.1;7.2;6.9;7.0;85640
2017-04-13;7.2;7.25;7.0;7.25;69901
2017-04-12;7.35;7.5;7.15;7.25;165292
2017-04-11;7.6;7.7;7.35;7.4;78564
2017-04-10;7.5;7.9;7.3;7.5;418905
2017-04-07;7.45;7.6;7.25;7.4;83111
2017-04-06;7.1;7.7;7.0;7.45;236065
2017-04-05;7.2;7.25;6.85;7.1;73379
2017-04-04;6.35;7.25;6.35;7.05;283275
2017-04-03;7.0;7.0;6.4;6.4;463400
2017-03-31;7.4;7.5;7.0;7.1;400612
2017-03-30;8.0;8.45;7.1;7.4;1398510
2017-03-29;7.3;9.05;7.25;8.0;7413620
2017-03-28;6.25;6.5;6.0;6.15;59792
2017-03-27;6.25;6.45;6.15;6.25;34969
2017-03-24;6.6;6.65;6.05;6.25;116356
2017-03-23;6.5;6.7;6.15;6.5;249445
2017-03-22;5.85;6.9;5.55;6.5;525075
2017-03-21;5.95;5.95;5.7;5.8;57328
2017-03-20;6.15;6.15;5.9;6.05;68298
2017-03-17;6.2;6.2;6.0;6.05;56745
2017-03-16;5.8;6.25;5.8;6.1;140324
2017-03-15;5.8;5.85;5.5;5.75;67560
2017-03-14;5.8;6.0;5.55;5.6;71202
2017-03-13;5.95;6.15;5.85;6.0;54860
2017-03-10;6.0;6.0;6.0;6.0;23225
2017-03-09;6.25;6.25;6.0;6.0;31236
2017-03-08;6.3;6.3;6.05;6.25;19590
2017-03-07;6.3;6.35;6.0;6.3;100689
2017-03-06;6.2;6.4;6.0;6.2;119916
2017-03-03;6.5;6.4;6.4;6.4;57745
2017-03-02;6.35;6.45;6.15;6.3;98752
2017-03-01;6.45;6.5;6.2;6.35;89110
2017-02-28;6.45;6.45;6.15;6.35;18301
2017-02-27;5.95;6.45;5.95;6.45;106607
2017-02-24;6.2;6.25;6.0;6.2;109331
2017-02-23;5.95;6.2;5.85;6.15;194226
2017-02-22;6.1;6.1;5.9;5.95;70939
2017-02-21;6.1;6.1;5.75;6.1;59826
2017-02-20;6.1;6.15;5.9;6.05;52072
2017-02-17;5.9;6.0;5.75;5.95;76891
2017-02-16;5.85;5.9;5.65;5.8;41687
2017-02-15;5.8;5.9;5.65;5.85;80696
2017-02-14;5.7;5.9;5.55;5.6;88849
2017-02-13;6.2;6.2;5.6;5.6;116208
2017-02-10;6.25;6.25;5.9;6.0;66217
2017-02-09;6.2;6.25;5.35;6.25;328552
2017-02-08;6.6;6.6;6.2;6.2;141618
2017-02-07;6.2;6.55;6.1;6.55;92509
2017-02-06;6.7;6.8;6.1;6.1;132031
2017-02-03;6.15;6.6;6.15;6.45;121298
2017-02-02;6.4;6.45;6.05;6.15;107133
2017-02-01;5.75;6.45;5.75;6.3;188723
2017-01-31;5.55;6.35;5.4;5.8;138328
2017-01-30;5.6;5.6;5.35;5.5;39057
2017-01-27;5.55;5.65;5.5;5.6;16455
2017-01-26;5.65;5.8;5.55;5.65;30829
2017-01-25;5.5;5.65;5.15;5.65;70367
2017-01-24;5.5;5.55;5.25;5.55;53955
2017-01-23;5.5;5.7;5.25;5.5;82679
2017-01-20;5.5;5.75;5.5;5.6;48766
2017-01-19;5.6;5.65;5.35;5.55;66320
2017-01-18;5.5;5.65;5.3;5.6;51191
2017-01-17;5.4;5.55;5.25;5.5;37099
2017-01-16;5.55;5.6;5.35;5.55;46584
2017-01-13;5.4;5.55;5.25;5.4;22971
2017-01-12;5.55;5.65;5.3;5.4;89896
2017-01-11;5.6;5.6;5.4;5.5;55647
2017-01-10;5.7;5.7;5.35;5.6;19546
2017-01-09;5.55;5.75;5.5;5.6;51079
2017-01-06;;5.45;5.45;5.45;0
2017-01-05;5.6;5.6;5.3;5.45;16677
2017-01-04;5.65;5.7;5.2;5.55;154854
2017-01-03;5.8;5.85;5.5;5.6;78383
2017-01-02;5.75;5.75;5.4;5.7;65014
2016-12-30;5.5;5.85;5.45;5.75;205830
2016-12-29;6.7;6.7;5.5;5.5;953618
2016-12-28;4.66;7.0;4.6;6.85;798079
2016-12-27;4.51;4.75;4.51;4.66;198410
2016-12-23;4.51;4.57;4.42;4.5;120889
2016-12-22;4.59;4.64;4.46;4.46;60083
2016-12-21;4.75;4.75;4.4;4.4;183744
2016-12-20;4.78;4.8;4.72;4.75;41983
2016-12-19;4.97;4.97;4.7;4.78;132159
2016-12-16;4.83;4.85;4.63;4.81;171059
2016-12-15;4.36;4.74;4.36;4.7;501217
2016-12-14;4.4;4.65;4.34;4.34;601970
2016-12-13;5.15;5.15;4.32;4.38;1748252
2016-12-12;5.7;5.7;5.15;5.15;222968
2016-12-09;5.8;5.8;5.6;5.75;35376
2016-12-08;5.75;5.85;5.6;5.8;23326
2016-12-07;5.65;5.95;5.6;5.75;52146
2016-12-06;6.0;6.0;5.7;5.85;28419
2016-12-05;6.05;6.1;5.8;6.0;70481
2016-12-02;6.2;6.2;5.9;6.05;45355
2016-12-01;5.7;6.2;5.65;6.05;93868
2016-11-30;5.85;5.9;5.6;5.8;106378
2016-11-29;6.1;6.1;5.7;5.95;98287
2016-11-28;6.35;6.45;6.15;6.15;17601
2016-11-25;6.5;6.5;6.2;6.35;35207
2016-11-24;6.1;6.4;6.1;6.35;12326
2016-11-23;6.35;6.35;6.2;6.2;51504
2016-11-22;6.25;6.55;6.2;6.35;25840
2016-11-21;6.4;6.5;6.25;6.45;229069
2016-11-18;6.7;6.8;6.4;6.4;121691
2016-11-17;6.8;6.95;6.3;6.65;118260
2016-11-16;6.75;7.0;6.75;6.85;57776
2016-11-15;7.0;7.05;6.75;6.75;65512
2016-11-14;6.7;6.95;6.65;6.8;42704
2016-11-11;6.9;7.0;6.65;6.95;153857
2016-11-10;6.9;7.4;6.75;6.85;76599
2016-11-09;6.85;7.3;6.65;7.05;77751
2016-11-08;7.2;7.45;6.95;7.0;106780
