Dates;Open;High;Low;Close;Volume
2017-12-27;47.7;48.5;47.5;48.4;17358
2017-12-22;46.9;47.8;46.9;47.5;19765
2017-12-21;46.0;47.0;45.9;46.8;21152
2017-12-20;47.6;47.9;45.8;46.1;72598
2017-12-19;46.3;47.3;45.9;47.0;20262
2017-12-18;46.7;46.8;45.1;46.3;9730
2017-12-15;45.7;46.2;45.2;46.0;26645
2017-12-14;47.0;47.0;45.5;45.8;32663
2017-12-13;47.2;47.6;46.4;47.1;12868
2017-12-12;47.0;47.9;46.5;47.6;18562
2017-12-11;47.5;47.5;45.5;47.0;13915
2017-12-08;46.0;46.6;44.5;46.3;25180
2017-12-07;44.6;45.6;44.4;45.6;13783
2017-12-06;45.0;45.7;44.1;44.8;15266
2017-12-05;46.1;46.4;45.0;45.0;7974
2017-12-04;45.6;46.0;45.0;45.2;9592
2017-12-01;45.3;45.9;45.2;45.4;8963
2017-11-30;45.6;46.7;45.3;45.5;29851
2017-11-29;46.8;47.7;45.5;45.5;13244
2017-11-28;47.0;47.8;46.6;46.6;17103
2017-11-27;47.0;47.3;46.4;47.0;16402
2017-11-24;47.8;47.8;46.2;47.0;23198
2017-11-23;48.1;48.1;46.5;47.8;6050
2017-11-22;47.5;48.3;46.1;46.1;15878
2017-11-21;48.4;48.4;46.2;47.2;13243
2017-11-20;44.7;46.6;43.1;46.1;23746
2017-11-17;46.0;46.0;44.2;44.7;31608
2017-11-16;46.2;46.7;46.0;46.1;28551
2017-11-15;46.3;46.3;44.7;45.7;47105
2017-11-14;47.4;47.4;46.2;46.6;4363
2017-11-13;48.0;48.0;47.0;47.0;15208
2017-11-10;48.0;48.6;47.5;48.0;12600
2017-11-09;48.4;49.2;47.5;47.5;24209
2017-11-08;49.7;50.0;47.5;48.4;14854
2017-11-07;49.5;50.5;49.1;49.1;11303
2017-11-06;50.25;50.5;49.1;49.1;15284
2017-11-03;50.5;51.0;50.5;50.5;8808
2017-11-02;50.5;51.5;50.5;50.75;7338
2017-11-01;50.25;51.5;50.0;50.5;13088
2017-10-31;50.0;50.75;49.8;50.0;6396
2017-10-30;50.5;51.0;50.0;50.0;16403
2017-10-27;51.5;52.0;48.1;50.25;65252
2017-10-26;52.0;52.75;51.0;51.75;18602
2017-10-25;52.75;52.75;51.75;52.0;11134
2017-10-24;52.75;52.75;52.0;52.0;11534
2017-10-23;52.75;53.75;52.5;52.75;14359
2017-10-20;52.75;53.0;51.75;52.5;10034
2017-10-19;52.5;53.0;52.0;52.25;9608
2017-10-18;52.5;53.25;52.25;52.5;1982
2017-10-17;52.5;53.25;51.25;52.5;10083
2017-10-13;52.75;52.75;52.0;52.25;5528
2017-10-12;52.75;53.5;52.5;52.5;11785
2017-10-11;52.75;53.5;52.5;53.0;5126
2017-10-10;53.5;54.0;52.25;52.5;13694
2017-10-09;53.25;53.5;52.75;53.5;7904
2017-10-06;52.75;54.5;52.75;53.25;7701
2017-10-05;52.25;53.5;52.25;52.75;2573
2017-10-04;53.75;53.75;52.5;53.0;72633
2017-10-03;53.25;55.0;52.5;53.75;7267
2017-10-02;52.25;54.5;52.0;53.25;15215
2017-09-29;52.25;52.5;51.25;52.25;12955
2017-09-28;52.5;52.75;52.0;52.25;5529
2017-09-27;52.5;53.5;52.0;52.5;5917
2017-09-26;52.25;53.5;52.0;52.5;12758
2017-09-25;52.75;53.5;52.5;52.5;1101
2017-09-22;53.0;53.0;52.5;52.75;2082
2017-09-21;53.25;53.5;51.25;53.5;17199
2017-09-20;53.0;53.25;52.5;52.5;15641
2017-09-19;53.5;53.75;52.25;52.5;9875
2017-09-18;53.0;54.25;52.5;53.25;6879
2017-09-15;52.75;54.5;52.5;53.0;23508
2017-09-14;52.5;53.75;52.5;53.25;9291
2017-09-13;52.0;53.25;51.75;52.5;28401
2017-09-12;52.0;53.25;52.0;52.0;10096
2017-09-11;52.75;52.75;52.25;52.75;5109
2017-09-08;51.5;52.5;51.5;52.0;17592
2017-09-07;51.25;52.0;51.25;52.0;4027
2017-09-06;53.5;53.5;52.0;52.25;5083
2017-09-04;54.0;54.0;52.25;53.0;2543
2017-09-01;53.75;53.75;53.25;53.5;2900
2017-08-31;52.5;53.75;52.0;53.25;24774
2017-08-30;52.0;53.0;51.0;52.5;10762
2017-08-29;53.25;53.25;51.75;52.25;16990
2017-08-28;53.5;54.0;52.5;53.5;12729
2017-08-25;52.5;54.25;52.0;53.5;17945
2017-08-24;54.0;54.0;51.75;52.5;64112
2017-08-23;51.75;53.0;51.75;53.0;3745
2017-08-22;51.5;52.75;51.0;51.0;17134
2017-08-21;52.75;52.75;51.5;52.0;19841
2017-08-18;53.75;53.75;52.5;53.0;17825
2017-08-17;53.75;53.75;53.0;53.75;14670
2017-08-16;54.25;55.5;53.25;53.75;19171
2017-08-15;55.0;55.0;54.25;55.0;6776
2017-08-14;53.75;55.75;53.75;55.0;21778
2017-08-11;54.5;54.5;53.25;54.25;17621
2017-08-10;55.0;56.25;54.75;54.75;25265
2017-08-09;56.0;56.0;55.0;55.0;14552
2017-08-08;55.5;56.5;55.25;56.0;22016
2017-08-07;54.5;55.25;54.25;55.25;21001
2017-08-04;54.0;54.25;53.25;54.25;15436
2017-08-03;54.0;54.25;53.75;54.25;18060
2017-08-02;54.0;54.25;53.75;54.0;17562
2017-08-01;53.5;55.0;53.5;54.0;19076
2017-07-31;52.75;54.5;51.75;53.5;74789
2017-07-28;53.5;53.5;52.25;52.75;19354
2017-07-27;55.0;55.0;54.0;54.0;23657
2017-07-26;55.5;55.75;54.75;55.5;26154
2017-07-25;55.5;56.0;55.25;55.5;5726
2017-07-24;55.75;56.0;54.25;55.5;40399
2017-07-21;57.0;57.0;55.0;55.75;56836
2017-07-20;57.0;57.75;55.75;57.75;83003
2017-07-19;64.75;64.75;55.25;58.0;296844
2017-07-18;65.5;65.5;64.0;64.75;9334
2017-07-17;65.0;65.5;64.5;65.25;13227
2017-07-14;64.75;65.25;63.75;65.25;6087
2017-07-13;64.75;65.75;63.0;65.25;14732
2017-07-12;62.25;64.75;62.25;64.75;12078
2017-07-11;62.25;64.0;61.75;63.0;7466
2017-07-10;63.25;64.0;62.75;64.0;7391
2017-07-07;64.0;64.0;62.25;64.0;7273
2017-07-06;63.25;64.0;62.0;64.0;38922
2017-07-05;63.0;63.5;62.25;63.5;13901
2017-07-04;63.0;63.25;62.25;63.0;19065
2017-07-03;63.25;63.5;62.5;63.0;13317
2017-06-30;64.0;64.0;63.0;63.5;17488
2017-06-29;64.0;64.5;63.5;64.0;17916
2017-06-28;64.5;65.0;64.0;65.0;12711
2017-06-27;64.75;64.75;64.5;64.5;604
2017-06-26;65.25;65.25;64.0;65.0;8986
2017-06-23;;65.25;65.25;65.25;0
2017-06-22;64.75;65.5;64.25;65.25;10257
2017-06-21;64.75;65.75;64.0;65.0;25821
2017-06-20;65.25;66.0;64.5;65.0;32757
2017-06-19;64.0;66.0;64.0;66.0;27683
2017-06-16;66.0;66.0;64.75;65.0;11197
2017-06-15;66.25;66.5;64.25;65.25;18380
2017-06-14;65.0;65.5;64.75;65.0;9606
2017-06-13;65.0;65.75;64.5;65.0;9954
2017-06-12;65.75;65.75;64.75;65.5;14142
2017-06-09;67.0;67.0;65.25;66.0;17568
2017-06-08;66.0;68.5;65.75;66.5;44294
2017-06-07;65.0;66.5;65.0;66.0;37302
2017-06-06;;66.0;66.0;66.0;0
2017-06-05;65.5;67.0;64.5;66.0;44822
2017-06-02;64.5;65.5;64.25;65.25;35019
2017-06-01;64.25;64.5;64.25;64.25;22770
2017-05-31;64.5;64.5;64.25;64.5;24610
2017-05-30;64.25;64.75;64.0;64.5;5834
2017-05-29;64.0;65.5;63.0;64.75;29279
2017-05-26;65.5;65.5;63.5;63.75;46608
2017-05-24;65.75;65.75;64.5;65.5;6317
2017-05-23;66.0;66.0;65.0;65.75;18061
2017-05-22;65.75;66.25;64.5;66.0;18132
2017-05-19;64.75;65.5;63.75;65.5;20102
2017-05-18;64.0;64.75;63.5;64.75;43883
2017-05-17;64.75;65.5;64.0;64.75;247021
2017-05-16;64.75;64.75;63.75;64.75;40192
2017-05-15;65.0;65.0;63.25;64.75;23076
2017-05-12;64.5;65.0;65.0;65.0;32435
2017-05-11;64.75;64.75;63.75;64.5;26099
2017-05-10;64.75;64.75;63.75;64.75;28624
2017-05-09;63.75;66.0;63.75;64.75;71218
2017-05-08;63.75;64.75;63.5;64.75;38674
2017-05-05;63.5;64.5;63.0;64.5;38526
2017-05-04;64.5;65.0;63.5;63.75;16729
2017-05-03;63.75;64.75;63.5;64.5;36521
2017-05-02;65.5;65.75;64.25;64.75;147477
2017-05-01;;64.0;64.0;64.0;0
2017-04-28;64.0;65.25;64.0;64.0;35984
2017-04-27;63.75;65.25;63.0;64.0;76082
2017-04-26;63.5;67.0;62.25;65.25;300156
2017-04-25;61.5;63.5;61.5;63.5;147428
2017-04-24;59.25;62.0;59.25;61.75;51175
