Dates;Open;High;Low;Close;Volume
2017-12-27;120.0;124.75;120.0;124.75;6521
2017-12-22;119.0;120.0;118.0;120.0;5238
2017-12-21;118.0;120.5;118.0;119.0;2879
2017-12-20;117.5;120.0;117.5;117.75;5805
2017-12-19;112.25;118.5;112.25;115.75;80872
2017-12-18;108.5;112.75;108.0;112.0;9427
2017-12-15;113.0;113.0;105.25;108.5;41981
2017-12-14;114.75;116.0;113.0;113.0;1307
2017-12-13;117.0;117.5;114.25;115.0;7507
2017-12-12;117.25;117.5;115.5;117.0;4065
2017-12-11;113.0;116.0;113.0;115.25;3058
2017-12-08;114.0;116.5;113.0;113.0;7095
2017-12-07;115.25;117.5;113.5;115.0;7530
2017-12-06;115.75;116.0;113.25;115.25;8134
2017-12-05;114.0;118.5;113.5;115.75;9662
2017-12-04;118.0;118.0;113.0;114.25;15222
2017-12-01;117.25;119.5;115.75;118.0;5420
2017-11-30;119.5;119.5;114.25;118.0;11674
2017-11-29;120.25;120.25;117.25;119.5;1825
2017-11-28;122.5;122.5;119.75;120.0;6562
2017-11-27;118.5;123.25;118.5;122.25;17212
2017-11-24;117.0;118.25;116.25;117.5;2397
2017-11-23;116.25;117.0;114.25;117.0;833
2017-11-22;114.0;116.5;114.0;116.5;3129
2017-11-21;112.5;114.0;110.25;114.0;3317
2017-11-20;109.25;114.75;109.25;112.5;1887
2017-11-17;112.0;112.0;107.75;111.0;5127
2017-11-16;113.25;113.25;110.25;112.0;3546
2017-11-15;114.5;115.0;112.75;113.0;38517
2017-11-14;114.5;114.5;114.25;114.5;964
2017-11-13;116.0;116.0;113.0;114.25;3088
2017-11-10;114.0;116.0;113.0;114.0;3173
2017-11-09;113.75;115.75;113.0;113.0;8647
2017-11-08;119.0;119.0;113.25;114.25;40790
2017-11-07;123.75;123.75;117.0;119.0;14875
2017-11-06;126.5;127.0;122.0;123.75;14056
2017-11-03;124.25;126.5;124.0;124.0;6422
2017-11-02;123.5;124.0;121.0;124.0;9352
2017-11-01;120.0;124.5;119.75;122.0;24040
2017-10-31;118.75;123.75;117.5;119.75;28657
2017-10-30;116.25;122.0;116.25;118.5;18715
2017-10-27;106.0;121.0;106.0;115.75;65890
2017-10-26;108.0;114.5;102.0;105.0;54284
2017-10-25;106.0;124.5;104.5;115.25;43762
2017-10-24;112.5;113.75;105.5;106.0;22211
2017-10-23;119.75;120.0;113.75;114.5;18295
2017-10-20;119.75;120.0;116.25;120.0;8090
2017-10-19;123.0;123.0;118.0;119.75;8746
2017-10-18;126.25;126.5;123.0;123.0;4021
2017-10-17;121.25;124.75;120.25;124.0;7866
2017-10-13;127.0;129.5;125.75;126.0;4717
2017-10-12;127.5;129.0;126.5;127.0;6163
2017-10-11;129.75;129.75;125.75;127.5;24780
2017-10-10;135.0;135.0;129.5;130.0;22265
2017-10-09;139.75;139.75;133.5;135.0;65269
2017-10-06;142.5;142.5;138.25;139.75;19650
2017-10-05;142.75;142.75;139.5;142.75;3229
2017-10-04;139.0;143.0;139.0;142.75;3558
2017-10-03;140.25;142.75;140.25;142.0;5082
2017-10-02;142.75;143.0;140.0;140.25;93392
2017-09-29;141.75;142.25;141.25;142.25;3158
2017-09-28;139.25;141.5;138.0;141.25;13403
2017-09-27;139.0;140.5;137.75;139.25;5296
2017-09-26;137.25;140.25;137.0;139.0;54349
2017-09-25;137.75;139.0;136.0;137.0;20137
2017-09-22;141.25;141.5;137.0;139.5;10927
2017-09-21;141.0;142.0;141.0;141.5;4739
2017-09-20;140.5;142.5;140.5;140.5;1356
2017-09-19;138.75;142.0;138.75;140.25;4447
2017-09-18;140.75;141.25;137.5;137.5;50543
2017-09-15;140.0;142.5;136.5;138.25;19969
2017-09-14;141.5;143.0;140.0;140.0;9423
2017-09-13;143.75;144.75;139.0;141.5;14687
2017-09-12;145.0;145.0;142.5;143.5;3626
2017-09-11;142.25;145.0;142.25;145.0;2726
2017-09-08;147.0;147.0;141.5;142.25;12102
2017-09-07;146.0;148.0;144.0;147.0;3223
2017-09-06;145.0;147.75;142.75;145.75;7586
2017-09-04;147.0;147.5;139.0;145.75;6477
2017-09-01;148.25;151.0;147.75;148.25;30687
2017-08-31;144.25;144.75;142.0;144.75;4983
2017-08-30;140.25;144.0;140.25;141.5;4274
2017-08-29;139.25;141.0;138.5;140.25;10817
2017-08-28;142.75;143.5;139.0;141.0;11268
2017-08-25;136.25;144.0;136.25;142.5;11051
2017-08-24;131.25;137.0;131.25;136.25;54225
2017-08-23;129.5;134.0;125.75;131.25;10803
2017-08-22;134.5;134.5;130.0;130.0;5376
2017-08-21;135.0;135.0;132.25;134.5;6806
2017-08-18;133.0;136.5;132.0;135.0;3535
2017-08-17;136.75;139.5;135.0;135.0;2916
2017-08-16;138.5;142.25;135.25;139.5;53181
2017-08-15;141.0;141.0;138.0;139.5;3106
2017-08-14;140.5;143.25;140.0;141.0;2985
2017-08-11;138.0;141.25;136.0;140.5;6980
2017-08-10;144.25;144.25;139.0;139.0;5913
2017-08-09;145.0;145.0;141.25;144.25;6940
2017-08-08;144.0;145.0;143.0;144.75;4251
2017-08-07;140.75;144.0;140.0;143.0;3886
2017-08-04;137.0;140.0;136.5;138.5;5382
2017-08-03;136.0;137.5;134.5;137.0;13202
2017-08-02;136.0;137.5;134.0;136.0;107974
2017-08-01;136.5;136.5;132.5;135.75;3206
2017-07-31;135.5;136.5;133.0;136.5;11144
2017-07-28;135.0;135.5;132.25;135.5;8904
2017-07-27;136.5;136.5;134.5;136.5;5524
2017-07-26;134.0;137.25;132.0;136.5;7097
2017-07-25;135.0;135.5;131.5;134.5;12628
2017-07-24;142.0;142.25;132.0;135.5;22369
2017-07-21;136.0;146.0;136.0;142.0;12952
2017-07-20;147.0;150.0;130.0;135.0;41165
2017-07-19;147.0;147.0;144.5;147.0;5625
2017-07-18;146.5;147.0;144.5;147.0;6053
2017-07-17;147.0;150.0;144.75;146.5;8256
2017-07-14;149.5;150.0;144.5;146.5;3456
