Dates;Open;High;Low;Close;Volume
2017-12-27;0.03;0.03;0.028;0.03;690731
2017-12-22;0.028;0.031;0.027;0.03;4580931
2017-12-21;0.029;0.029;0.027;0.028;1446438
2017-12-20;0.029;0.03;0.029;0.029;926773
2017-12-19;0.03;0.03;0.028;0.029;1100910
2017-12-18;0.03;0.031;0.03;0.03;464949
2017-12-15;0.03;0.032;0.03;0.03;1985973
2017-12-14;0.03;0.03;0.027;0.03;2144176
2017-12-13;0.03;0.03;0.029;0.029;4301258
2017-12-12;0.03;0.031;0.029;0.03;1295604
2017-12-11;0.031;0.031;0.029;0.03;516065
2017-12-08;0.031;0.031;0.029;0.031;612418
2017-12-07;0.03;0.032;0.029;0.031;3477327
2017-12-06;0.03;0.031;0.029;0.031;1038194
2017-12-05;0.032;0.032;0.03;0.03;747660
2017-12-04;0.031;0.032;0.03;0.032;492769
2017-12-01;0.029;0.031;0.029;0.031;279569
2017-11-30;0.031;0.031;0.029;0.031;2498264
2017-11-29;0.032;0.032;0.031;0.032;647785
2017-11-28;0.032;0.032;0.03;0.032;225730
2017-11-27;0.033;0.033;0.03;0.032;1816083
2017-11-24;0.033;0.033;0.032;0.033;893595
2017-11-23;0.033;0.034;0.032;0.033;647108
2017-11-22;0.033;0.034;0.033;0.033;466320
2017-11-21;0.034;0.035;0.032;0.034;764510
2017-11-20;0.033;0.034;0.032;0.034;733986
2017-11-17;0.033;0.034;0.032;0.033;593413
2017-11-16;0.034;0.034;0.032;0.033;198862
2017-11-15;0.032;0.034;0.032;0.033;658184
2017-11-14;0.033;0.034;0.032;0.032;1148479
2017-11-13;0.033;0.035;0.032;0.033;687522
2017-11-10;0.034;0.035;0.033;0.034;1243391
2017-11-09;0.034;0.035;0.034;0.035;456361
2017-11-08;0.035;0.036;0.033;0.035;2198230
2017-11-07;0.033;0.035;0.033;0.035;880607
2017-11-06;0.034;0.035;0.033;0.035;2308948
2017-11-03;0.036;0.036;0.033;0.034;1358861
2017-11-02;0.034;0.036;0.034;0.036;1873216
2017-11-01;0.035;0.036;0.034;0.034;1313463
2017-10-31;0.036;0.037;0.033;0.035;4813662
2017-10-30;0.038;0.038;0.033;0.036;4269896
2017-10-27;0.036;0.038;0.036;0.037;426156
2017-10-26;0.036;0.038;0.036;0.036;930572
2017-10-25;0.036;0.038;0.036;0.036;994256
2017-10-24;0.038;0.038;0.036;0.036;535301
2017-10-23;0.038;0.038;0.036;0.038;1382088
2017-10-20;0.038;0.038;0.035;0.036;2670750
