Dates;Open;High;Low;Close;Volume
2017-12-27;4.88;4.9;4.78;4.8;70108
2017-12-22;4.88;4.88;4.72;4.88;14659
2017-12-21;4.85;4.85;4.75;4.85;262517
2017-12-20;4.75;4.86;4.75;4.85;1474
2017-12-19;4.96;5.0;4.75;4.85;127661
2017-12-18;4.89;4.9;4.8;4.87;30319
2017-12-15;4.73;4.85;4.73;4.85;8874
2017-12-14;4.9;4.9;4.73;4.73;13747
2017-12-13;4.9;4.9;4.74;4.77;41300
2017-12-12;4.8;4.9;4.73;4.9;6000
2017-12-11;4.88;4.88;4.72;4.77;36360
2017-12-08;4.83;4.88;4.8;4.88;16700
2017-12-07;4.86;4.86;4.83;4.83;1684
2017-12-06;4.84;4.86;4.8;4.8;22378
2017-12-05;4.95;4.95;4.82;4.84;21900
2017-12-04;4.81;4.96;4.81;4.96;1024330
2017-12-01;4.7;4.85;4.7;4.85;41029
2017-11-30;4.72;4.85;4.7;4.78;29405
2017-11-29;4.71;4.8;4.66;4.7;105984
2017-11-28;5.15;5.15;4.7;4.8;57375
2017-11-27;5.1;5.1;5.0;5.1;17126
2017-11-24;5.05;5.1;5.05;5.1;7425
2017-11-23;4.9;5.05;4.9;5.05;8306
2017-11-22;4.88;5.0;4.88;5.0;20171
2017-11-21;5.0;5.0;5.0;5.0;340
2017-11-20;4.94;5.0;4.94;5.0;3307
2017-11-17;5.0;5.0;5.0;5.0;593
2017-11-16;4.89;5.0;4.89;5.0;181006
2017-11-15;4.9;4.94;4.88;4.94;32347
2017-11-14;4.95;4.97;4.9;4.95;2796
2017-11-13;5.0;5.15;4.95;5.0;14453
2017-11-10;4.98;5.0;4.98;5.0;1113
2017-11-09;4.92;5.0;4.9;4.98;3157
2017-11-08;5.1;5.1;4.92;4.92;5203
2017-11-07;5.05;5.05;4.95;5.0;15684
2017-11-06;5.0;5.05;4.99;5.05;29238
2017-11-03;5.05;5.05;4.92;5.0;13262
2017-11-02;4.92;5.1;4.91;5.05;20655
2017-11-01;5.0;5.15;4.95;5.0;171600
2017-10-31;4.95;4.99;4.85;4.99;9209
2017-10-30;4.9;4.98;4.8;4.97;15042
2017-10-27;5.0;5.0;4.81;4.97;12829
2017-10-26;5.0;5.0;4.85;5.0;51350
2017-10-25;4.95;5.0;4.9;5.0;1730
2017-10-24;5.0;5.0;4.9;4.95;1083
2017-10-23;4.95;5.0;4.85;5.0;42496
2017-10-20;4.95;4.95;4.85;4.95;4988
2017-10-19;5.05;5.05;5.05;5.05;500
2017-10-18;5.0;5.05;5.0;5.05;178
2017-10-17;5.05;5.05;4.81;5.0;2214
2017-10-13;5.1;5.1;5.05;5.05;12750
2017-10-12;5.0;5.1;5.0;5.1;2168
2017-10-11;5.0;5.1;5.0;5.1;362
2017-10-10;5.1;5.1;5.05;5.1;6001
2017-10-09;5.05;5.2;5.05;5.1;48385
2017-10-06;5.15;5.15;5.0;5.05;9798
2017-10-05;5.15;5.15;5.0;5.15;22102
2017-10-04;5.0;5.1;5.0;5.1;19902
2017-10-03;5.15;5.2;5.0;5.1;95296
2017-10-02;5.2;5.25;5.05;5.15;133786
2017-09-29;5.0;5.2;5.0;5.2;21281
2017-09-28;5.05;5.1;5.05;5.1;15097
2017-09-27;5.15;5.15;4.91;5.05;30962
2017-09-26;5.2;5.2;5.1;5.2;2288
2017-09-25;5.2;5.2;5.1;5.2;2216
2017-09-22;5.2;5.3;5.05;5.2;216765
2017-09-21;5.1;5.2;5.1;5.2;16328
2017-09-20;5.05;5.15;5.05;5.1;18186
2017-09-19;5.1;5.15;5.05;5.15;26320
2017-09-18;5.1;5.2;5.05;5.2;20714
2017-09-15;5.2;5.3;4.95;5.15;66381
2017-09-14;5.25;5.3;5.1;5.2;215074
2017-09-13;5.2;5.35;5.15;5.25;132337
2017-09-12;5.25;5.35;5.2;5.35;22684
2017-09-11;5.2;5.35;5.15;5.2;345321
2017-09-08;5.2;5.2;5.15;5.2;39201
2017-09-07;5.05;5.3;5.05;5.2;200726
2017-09-06;5.2;5.25;4.9;5.15;90325
2017-09-04;5.25;5.35;5.25;5.25;20781
2017-09-01;5.2;5.25;5.2;5.25;24383
2017-08-31;5.25;5.3;5.2;5.2;426500
2017-08-30;5.05;5.2;5.05;5.2;35597
2017-08-29;5.15;5.2;5.1;5.1;50250
2017-08-28;5.15;5.2;5.1;5.15;36618
2017-08-25;5.2;5.2;5.05;5.1;24005
2017-08-24;5.05;5.15;5.05;5.05;52745
2017-08-23;5.15;5.35;5.0;5.05;203474
2017-08-22;5.0;5.1;5.0;5.05;74657
2017-08-21;4.81;4.9;4.8;4.86;3792
2017-08-18;4.81;4.82;4.81;4.81;1051
2017-08-17;4.91;4.93;4.9;4.9;5463
2017-08-16;4.91;5.05;4.91;4.91;3385
2017-08-15;4.9;4.9;4.9;4.9;1
2017-08-14;4.9;5.0;4.85;5.0;29915
2017-08-11;5.1;5.1;4.9;5.05;601
2017-08-10;4.98;5.1;4.98;5.1;22254
2017-08-09;4.9;4.9;4.9;4.9;280
2017-08-08;4.9;5.0;4.9;5.0;1720
2017-08-07;5.0;5.0;4.93;5.0;1528
2017-08-04;5.0;5.1;5.0;5.0;23559
2017-08-03;4.95;5.0;4.8;5.0;5208
2017-08-02;5.05;5.05;4.84;5.0;119635
2017-08-01;5.05;5.05;4.87;5.0;1863994
2017-07-31;4.85;5.05;4.85;5.05;1531
2017-07-28;4.88;5.05;4.85;4.9;2393
2017-07-27;4.86;4.88;4.86;4.88;204
2017-07-26;5.0;5.0;4.9;4.9;600
2017-07-25;5.1;5.1;4.9;5.0;26233
2017-07-24;5.0;5.0;4.95;4.95;110
2017-07-21;5.0;5.05;4.9;5.05;6002501
2017-07-20;4.91;5.05;4.91;5.05;2540
2017-07-19;5.05;5.05;5.05;5.05;86
2017-07-18;5.1;5.1;4.91;5.1;5558
2017-07-17;4.9;5.1;4.9;5.1;25152
2017-07-14;5.0;5.05;4.86;5.05;3170
2017-07-13;5.0;5.0;4.88;4.88;15954
2017-07-12;5.0;5.2;5.0;5.1;66311
2017-07-11;5.15;5.15;4.92;4.92;16599
2017-07-10;4.99;5.25;4.99;5.15;98449
2017-07-07;4.85;4.95;4.85;4.86;34314
2017-07-06;4.52;4.85;4.5;4.85;22328
2017-07-05;4.52;4.52;4.52;4.52;600
2017-07-04;4.65;4.65;4.47;4.6;9907
2017-06-30;4.66;4.7;4.65;4.65;5058
2017-06-29;4.74;4.75;4.58;4.67;23864
2017-06-28;4.73;4.74;4.6;4.74;16294
2017-06-27;4.75;4.75;4.6;4.66;13628
2017-06-26;4.6;4.75;4.56;4.75;75821
2017-06-23;;4.63;4.63;4.63;0
2017-06-22;4.68;4.69;4.63;4.63;8379
2017-06-21;4.75;4.75;4.57;4.74;21173
2017-06-20;4.89;4.89;4.53;4.75;88565
2017-06-19;4.7;4.99;4.7;4.74;22419
2017-06-16;4.8;4.8;4.7;4.7;100108
2017-06-15;4.82;4.82;4.8;4.8;398
2017-06-14;4.9;4.95;4.85;4.95;5232
2017-06-13;4.95;4.99;4.83;4.9;20958
2017-06-12;4.98;5.05;4.95;5.05;5874
2017-06-09;4.99;4.99;4.98;4.99;1410
2017-06-08;5.05;5.1;4.96;5.1;22202
2017-06-07;5.2;5.2;5.1;5.1;5162
2017-06-06;;5.15;5.15;5.15;0
2017-06-05;5.15;5.2;5.15;5.15;122966
2017-06-02;5.15;5.15;5.15;5.15;8
2017-06-01;5.0;5.15;5.0;5.05;1523858
2017-05-31;4.9;5.0;4.9;5.0;51352
2017-05-30;4.89;4.9;4.75;4.9;33865
2017-05-29;4.95;4.95;4.89;4.89;12519
2017-05-26;5.0;5.0;4.91;4.91;178
2017-05-24;4.91;5.0;4.91;5.0;336
2017-05-23;4.91;5.0;4.88;5.0;35257
2017-05-22;4.91;5.0;4.91;5.0;6859
2017-05-19;4.96;5.0;4.96;4.96;4421
2017-05-18;5.05;5.05;4.9;4.98;1589
2017-05-17;5.0;5.05;4.95;5.05;215000
2017-05-16;5.0;5.1;4.91;5.1;29300
2017-05-15;4.93;5.0;4.9;5.0;6597
2017-05-12;4.91;5.0;5.0;5.0;4109
2017-05-11;4.85;4.89;4.76;4.89;15676
2017-05-10;5.05;5.05;4.9;4.91;129635
2017-05-09;5.2;5.2;5.05;5.05;99770
2017-05-08;5.1;5.25;5.1;5.2;61436
2017-05-05;5.25;5.25;5.15;5.15;1191
2017-05-04;5.25;5.3;5.15;5.25;670803
2017-05-03;5.1;5.3;5.1;5.2;4270
2017-05-02;5.1;5.2;5.1;5.1;8532
2017-05-01;;5.1;5.1;5.1;0
2017-04-28;5.15;5.2;5.05;5.1;27181
2017-04-27;4.95;5.25;4.95;5.15;45171
2017-04-26;5.0;5.05;4.81;5.05;21779
2017-04-25;5.1;5.2;4.95;5.0;55325
2017-04-24;4.9;5.1;4.9;5.1;91591
2017-04-21;4.85;5.0;4.85;4.95;113570
2017-04-20;5.0;5.0;4.87;4.91;506702
2017-04-19;4.95;5.0;4.85;5.0;7486
2017-04-18;4.89;4.97;4.89;4.95;5407
2017-04-13;;4.93;4.93;4.93;0
2017-04-12;5.05;5.05;4.91;4.93;3056
2017-04-11;5.1;5.1;4.9;5.05;504369
2017-04-10;5.35;5.35;5.0;5.15;118543
2017-04-07;5.35;5.4;5.3;5.35;5544650
2017-04-06;5.15;5.3;5.1;5.3;18561
2017-04-05;5.3;5.3;5.15;5.15;2793
2017-04-04;5.25;5.3;5.15;5.2;18122
2017-04-03;5.15;5.5;5.05;5.2;2499779
2017-03-31;4.89;5.15;4.89;5.15;282165
2017-03-30;4.8;4.89;4.78;4.87;20675
2017-03-29;4.82;4.92;4.81;4.81;12176
2017-03-28;4.76;4.94;4.76;4.84;9401
2017-03-27;4.8;4.82;4.71;4.74;78160
2017-03-24;4.9;4.94;4.9;4.9;32280
2017-03-23;4.63;4.84;4.63;4.84;32317
2017-03-22;4.5;4.6;4.42;4.55;50402
2017-03-21;4.7;4.7;4.36;4.58;175749
2017-03-20;4.75;4.8;4.7;4.7;14402
2017-03-17;4.86;4.87;4.7;4.74;24889
2017-03-16;4.79;4.95;4.7;4.89;43157
2017-03-15;4.88;4.94;4.82;4.82;10194
2017-03-14;5.1;5.1;4.86;4.9;30284
2017-03-13;4.85;5.45;4.81;5.05;56134
2017-03-10;5.05;4.9;4.9;4.9;28087
2017-03-09;5.0;5.15;4.95;5.0;26942
2017-03-08;5.0;5.15;4.83;4.99;30112
2017-03-07;4.85;4.98;4.82;4.89;12165
2017-03-06;4.67;4.94;4.64;4.81;65684
2017-03-03;4.65;4.68;4.68;4.68;16616
2017-03-02;4.62;4.87;4.62;4.66;58599
2017-03-01;4.98;4.98;4.7;4.81;85727
2017-02-28;5.2;5.2;4.98;4.98;42667
2017-02-27;5.35;5.35;5.0;5.2;98046
2017-02-24;5.4;5.45;5.3;5.35;137477
2017-02-23;5.55;5.6;5.1;5.4;169483
2017-02-22;5.6;5.65;5.45;5.55;63496
2017-02-21;5.4;5.6;5.4;5.55;85266
2017-02-20;5.3;5.4;5.3;5.3;49398
2017-02-17;5.3;5.3;5.25;5.3;57928
2017-02-16;5.45;5.45;5.25;5.25;92373
2017-02-15;5.35;5.4;5.35;5.35;61450
2017-02-14;5.4;5.6;5.35;5.35;58380
2017-02-13;5.35;5.45;5.3;5.4;47973
2017-02-10;5.3;5.4;5.25;5.25;14842
2017-02-09;5.45;5.45;5.25;5.3;27355
2017-02-08;5.45;5.7;5.45;5.5;92232
2017-02-07;5.25;5.45;5.25;5.45;40496
2017-02-06;5.2;5.25;5.15;5.25;13649
2017-02-03;5.25;5.25;5.05;5.15;15785
2017-02-02;5.3;5.3;5.2;5.25;38030
2017-02-01;5.15;5.3;5.15;5.3;2586
2017-01-31;5.5;5.5;5.0;5.25;48733
2017-01-30;5.35;5.65;5.3;5.4;73619
2017-01-27;5.25;5.3;5.1;5.1;57458
2017-01-26;5.25;5.3;5.2;5.2;21010
2017-01-25;5.4;5.4;5.1;5.2;43517
2017-01-24;5.15;5.3;5.15;5.3;14277
2017-01-23;5.5;5.7;5.15;5.25;155551
2017-01-20;5.1;5.65;5.1;5.5;143063
2017-01-19;4.7;5.1;4.7;4.95;55230
2017-01-18;4.69;4.7;4.66;4.7;31975
2017-01-17;4.63;4.69;4.63;4.66;27766
2017-01-16;4.6;4.69;4.6;4.62;27322
2017-01-13;4.51;4.69;4.5;4.6;32221
2017-01-12;4.73;4.73;4.51;4.51;63983
2017-01-11;4.73;4.73;4.57;4.64;56229
2017-01-10;4.71;4.71;4.58;4.7;47260
2017-01-09;4.73;4.73;4.6;4.61;54776
2017-01-06;;4.57;4.57;4.57;0
2017-01-05;4.56;4.65;4.56;4.57;34165
2017-01-04;4.67;4.78;4.6;4.65;112333
2017-01-03;4.89;4.9;4.69;4.8;100437
2017-01-02;4.88;4.98;4.8;4.89;49763
2016-12-30;4.71;4.89;4.71;4.88;63764
2016-12-29;4.93;4.97;4.75;4.89;23706
2016-12-28;4.53;4.93;4.53;4.92;70525
2016-12-27;4.45;4.71;4.35;4.36;159385
2016-12-23;4.58;4.58;4.46;4.57;111676
2016-12-22;4.85;4.85;4.57;4.57;65210
2016-12-21;4.68;4.7;4.67;4.68;69610
2016-12-20;4.85;4.85;4.7;4.7;152960
2016-12-19;4.84;4.94;4.7;4.7;73435
2016-12-16;4.84;4.84;4.7;4.84;70239
2016-12-15;4.8;4.8;4.7;4.71;66730
2016-12-14;5.0;5.0;4.8;4.8;39418
2016-12-13;5.05;5.05;4.84;4.96;33061
2016-12-12;5.0;5.05;4.93;5.05;25546
2016-12-09;5.1;5.1;5.0;5.1;1276
2016-12-08;5.0;5.1;5.0;5.1;21281
2016-12-07;5.15;5.15;4.99;4.99;79221
2016-12-06;5.05;5.15;4.99;5.15;80123
2016-12-05;5.2;5.2;5.15;5.2;822
2016-12-02;5.3;5.3;5.0;5.15;66248
2016-12-01;5.0;5.3;4.99;5.2;124906
2016-11-30;5.1;5.15;4.8;4.95;29683
2016-11-29;5.35;5.35;5.0;5.1;39836
2016-11-28;5.25;5.45;5.25;5.45;14550
2016-11-25;5.35;5.4;5.3;5.4;27564
2016-11-24;5.15;5.35;5.15;5.35;2605
2016-11-23;5.4;5.4;5.15;5.15;5791
2016-11-22;5.45;5.45;5.25;5.4;12318
2016-11-21;5.45;5.45;5.35;5.45;3826
2016-11-18;5.4;5.4;5.35;5.35;5622
2016-11-17;5.4;5.4;5.4;5.4;27011
