Dates;Open;High;Low;Close;Volume
2017-12-27;29.4;29.5;29.2;29.4;83536
2017-12-22;29.5;29.6;29.3;29.4;183856
2017-12-21;29.5;29.8;29.4;29.5;48476
2017-12-20;29.6;29.9;29.5;29.6;92683
2017-12-19;29.8;30.0;29.5;29.6;130212
2017-12-18;29.9;30.1;29.7;29.8;77850
2017-12-15;29.5;30.3;29.2;29.6;400460
2017-12-14;30.0;30.3;29.3;29.3;161790
2017-12-13;30.5;30.9;29.9;30.0;159511
2017-12-12;29.6;30.5;29.2;30.5;402554
2017-12-11;29.6;29.8;29.5;29.6;86682
2017-12-08;29.6;29.8;29.5;29.6;91322
2017-12-07;29.9;29.9;29.5;29.7;98098
2017-12-06;29.7;30.0;28.9;29.9;179483
2017-12-05;30.6;30.6;29.9;29.9;230552
2017-12-04;30.0;30.7;29.8;30.6;128879
2017-12-01;30.5;30.9;29.8;29.9;122914
2017-11-30;30.0;30.9;29.1;30.6;216999
2017-11-29;30.9;31.2;29.9;30.2;156030
2017-11-28;31.0;31.3;30.7;30.8;195799
2017-11-27;31.0;31.5;30.7;31.3;108882
2017-11-24;31.2;31.2;30.7;31.1;65126
2017-11-23;30.7;31.8;30.4;31.2;242988
2017-11-22;31.8;32.0;30.6;30.6;213129
2017-11-21;32.0;32.0;31.6;31.9;119197
2017-11-20;32.2;32.2;31.6;32.0;64285
2017-11-17;32.7;32.7;31.9;32.2;135341
2017-11-16;31.9;32.5;31.4;32.5;123149
2017-11-15;32.5;32.5;30.8;31.4;141795
2017-11-14;32.4;32.4;31.6;31.8;109109
2017-11-13;32.9;32.9;32.2;32.3;105779
2017-11-10;33.3;33.3;32.4;32.4;187646
2017-11-09;34.0;34.5;33.0;33.3;153603
2017-11-08;34.0;34.7;33.7;33.7;89771
2017-11-07;34.0;34.1;33.5;34.0;206114
2017-11-06;35.0;35.2;33.6;33.7;538681
2017-11-03;33.3;34.6;33.3;34.5;96180
2017-11-02;33.7;33.8;33.2;33.3;164361
2017-11-01;34.7;35.0;33.8;33.9;253569
2017-10-31;32.9;34.7;32.8;34.5;680018
2017-10-30;33.4;33.5;32.7;32.9;166168
2017-10-27;32.5;33.4;32.5;33.4;803975
2017-10-26;32.1;32.5;31.8;32.5;111956
2017-10-25;32.2;32.6;32.0;32.0;175749
2017-10-24;32.8;32.9;32.1;32.4;115102
2017-10-23;32.8;33.2;32.5;32.7;127188
2017-10-20;32.7;33.0;32.4;32.9;93077
2017-10-19;34.0;34.0;32.5;32.5;386612
2017-10-18;35.0;35.6;34.3;34.4;158902
2017-10-17;33.9;35.2;33.8;34.5;98958
2017-10-13;33.8;34.4;33.5;34.1;228132
2017-10-12;34.3;34.4;33.5;33.7;81984
2017-10-11;34.2;34.4;33.9;33.9;56722
2017-10-10;33.9;34.5;33.9;34.1;62539
2017-10-09;34.2;34.2;33.7;34.0;121788
2017-10-06;34.8;35.1;34.2;34.3;83460
2017-10-05;35.2;35.6;34.8;34.8;60762
2017-10-04;35.0;35.4;35.0;35.2;93337
2017-10-03;34.2;35.4;34.2;34.8;354383
2017-10-02;33.7;34.4;33.7;34.1;151880
2017-09-29;33.3;33.6;33.2;33.6;57462
2017-09-28;33.0;33.5;32.9;33.2;110932
2017-09-27;32.7;32.9;32.5;32.9;63495
2017-09-26;32.4;32.8;32.3;32.6;73377
2017-09-25;32.1;32.4;32.0;32.4;236534
2017-09-22;32.1;32.2;31.9;32.2;51599
2017-09-21;32.7;32.8;32.2;32.3;45790
2017-09-20;33.0;33.0;32.5;32.7;64784
2017-09-19;33.0;33.0;32.5;32.8;86106
2017-09-18;32.3;33.0;32.2;32.9;293866
2017-09-15;31.6;32.0;31.5;31.8;127691
2017-09-14;31.6;31.7;31.5;31.6;61849
2017-09-13;31.9;31.9;31.4;31.6;62313
2017-09-12;31.9;31.9;31.5;31.8;80668
2017-09-11;31.6;31.9;31.5;31.7;101681
2017-09-08;31.6;31.6;31.2;31.5;97589
2017-09-07;31.5;31.8;31.3;31.7;64549
2017-09-06;32.5;32.5;31.3;31.4;234395
2017-09-04;32.0;32.2;31.9;32.1;62368
2017-09-01;32.9;32.9;32.5;32.7;119894
2017-08-31;32.0;32.5;32.0;32.4;61063
2017-08-30;32.3;32.4;31.7;32.0;137286
2017-08-29;32.1;32.2;31.4;32.2;129992
2017-08-28;31.8;32.4;31.8;32.3;330276
2017-08-25;32.5;32.6;31.7;31.8;199476
2017-08-24;32.3;32.5;32.0;32.5;165712
2017-08-23;31.5;32.2;31.5;32.1;185746
2017-08-22;32.1;32.3;32.0;32.1;66736
2017-08-21;32.7;32.8;31.8;32.0;125274
2017-08-18;32.0;32.4;31.3;32.3;148237
2017-08-17;33.6;33.6;32.5;32.5;219588
2017-08-16;32.6;33.6;32.6;33.6;1106999
2017-08-15;32.2;32.9;31.9;32.8;263434
2017-08-14;31.7;32.4;31.7;32.3;354302
2017-08-11;31.0;31.2;30.6;31.2;458068
2017-08-10;31.2;31.5;31.1;31.3;578533
2017-08-09;31.2;31.3;30.6;31.2;268903
2017-08-08;30.9;31.4;30.8;31.2;848282
2017-08-07;31.4;31.7;30.7;30.7;1005611
2017-08-04;30.4;30.4;29.9;30.2;209223
2017-08-03;30.0;30.4;29.5;30.2;144184
2017-08-02;29.8;30.0;29.4;30.0;204824
2017-08-01;29.3;29.8;29.0;29.7;162976
2017-07-31;28.4;29.4;28.3;28.9;158612
2017-07-28;28.6;29.8;28.0;28.3;471636
2017-07-27;27.7;28.5;27.7;28.5;195567
2017-07-26;27.4;27.4;27.1;27.4;12664
2017-07-25;27.2;27.4;26.6;27.4;30389
2017-07-24;27.7;27.7;27.1;27.3;46452
2017-07-21;27.6;28.0;27.2;27.7;41596
2017-07-20;27.0;27.9;27.0;27.6;25958
2017-07-19;28.3;28.4;27.1;27.5;69979
2017-07-18;28.5;28.6;28.0;28.3;17653
2017-07-17;28.7;28.7;28.0;28.3;20706
2017-07-14;28.2;28.8;27.8;28.5;96498
2017-07-13;27.3;27.8;27.1;27.5;13839
2017-07-12;27.3;28.0;27.3;27.3;33658
2017-07-11;27.6;27.8;27.1;27.3;37172
2017-07-10;28.1;28.1;27.4;27.8;25402
2017-07-07;27.6;27.9;26.4;27.9;165260
2017-07-06;27.7;28.1;27.6;27.6;36861
2017-07-05;27.8;28.3;27.5;28.1;79072
2017-07-04;28.1;28.4;27.6;28.0;72541
2017-07-03;28.4;28.7;28.0;28.2;79535
2017-06-30;28.6;28.7;28.3;28.6;51905
2017-06-29;29.2;29.3;28.5;28.7;75547
2017-06-28;29.0;29.1;28.5;29.1;91982
2017-06-27;28.3;29.3;28.2;29.2;205631
2017-06-26;28.5;28.5;28.1;28.3;67696
2017-06-23;;28.5;28.5;28.5;0
2017-06-22;29.0;29.0;27.9;28.5;62993
2017-06-21;28.8;28.8;28.2;28.5;40959
2017-06-20;28.6;28.9;28.5;28.6;52636
2017-06-19;29.3;29.5;28.6;28.6;108683
2017-06-16;28.8;29.0;28.6;28.7;31007
2017-06-15;29.5;29.5;28.6;28.8;143653
2017-06-14;29.0;29.6;29.0;29.2;120879
2017-06-13;28.6;28.6;28.0;28.4;64890
2017-06-12;29.0;29.2;28.2;28.6;56010
2017-06-09;28.6;29.1;28.3;29.0;49145
2017-06-08;28.9;29.0;28.5;28.6;50490
