Dates;Open;High;Low;Close;Volume
2017-12-27;50.0;51.5;50.0;51.5;3096
2017-12-22;51.5;51.75;50.5;51.25;4074
2017-12-21;51.25;51.5;51.0;51.25;1043
2017-12-20;51.25;51.5;51.25;51.5;3052
2017-12-19;52.0;52.0;51.0;51.0;2106
2017-12-18;52.0;52.5;51.75;51.75;709
2017-12-15;52.5;52.5;51.5;51.75;1703
2017-12-14;52.0;52.5;51.5;52.5;1670
2017-12-13;52.5;52.5;52.0;52.0;2535
2017-12-12;51.75;52.75;51.75;52.5;3785
2017-12-11;51.5;52.25;51.0;51.75;8858
2017-12-08;52.5;52.5;51.0;51.75;1406
2017-12-07;52.0;52.75;52.0;52.0;4005
2017-12-06;52.75;52.75;52.0;52.5;1948
2017-12-05;53.5;53.5;52.25;53.0;6291
2017-12-04;53.25;54.0;53.25;53.5;906
2017-12-01;53.5;54.5;53.5;53.5;1017
2017-11-30;53.0;54.5;53.0;54.25;852
2017-11-29;53.5;54.0;53.25;53.75;4275
2017-11-28;53.5;54.0;53.5;53.5;2009
2017-11-27;54.5;54.75;53.0;53.5;4550
2017-11-24;55.0;55.0;54.5;54.5;1582
2017-11-23;55.0;56.0;55.0;55.0;2877
2017-11-22;55.25;55.5;54.75;55.0;1158
2017-11-21;54.25;55.5;54.25;55.5;3297
2017-11-20;55.25;55.25;54.5;55.0;2550
2017-11-17;57.0;57.0;54.25;55.25;8285
2017-11-16;53.75;56.0;53.0;55.75;95696
2017-11-15;51.25;52.0;50.25;51.25;7673
2017-11-14;51.25;52.0;50.75;52.0;9578
2017-11-13;51.25;51.25;50.75;51.0;3038
2017-11-10;51.25;51.75;51.25;51.25;1386
2017-11-09;51.0;52.0;51.0;51.25;14758
2017-11-08;50.5;51.25;50.5;51.0;4091
2017-11-07;50.25;50.75;50.25;50.75;131
2017-11-06;50.75;51.25;50.0;50.25;2064
2017-11-03;50.5;51.25;50.0;50.75;17158
2017-11-02;50.0;51.25;50.0;51.25;1501
2017-11-01;50.0;52.25;49.5;50.25;275
2017-10-31;50.25;50.25;50.25;50.25;532
2017-10-30;50.5;50.5;50.25;50.25;787
2017-10-27;50.25;50.75;50.25;50.5;258
2017-10-26;50.25;51.0;50.25;50.75;242
2017-10-25;51.0;51.0;50.25;50.75;1351
2017-10-24;51.25;51.25;51.0;51.0;4831
2017-10-23;51.25;52.0;51.0;51.0;3200
2017-10-20;51.25;51.5;51.0;51.5;414
2017-10-19;51.5;51.5;51.25;51.5;435
2017-10-18;51.5;51.5;51.5;51.5;249
2017-10-17;52.5;52.5;51.5;51.5;5740
2017-10-13;52.0;52.0;51.75;52.0;2022
2017-10-12;51.75;52.0;51.75;52.0;729
2017-10-11;52.0;52.0;52.0;52.0;445
2017-10-10;52.0;53.0;52.0;52.0;11231
2017-10-09;51.5;52.75;51.5;52.75;1169
2017-10-06;51.75;51.75;51.75;51.75;652
2017-10-05;51.75;52.5;51.75;51.75;7983
2017-10-04;52.0;52.0;52.0;52.0;173
2017-10-03;52.0;52.25;51.75;52.25;1765
2017-10-02;51.75;53.0;51.75;53.0;8785
2017-09-29;51.75;53.0;51.5;53.0;1110
2017-09-28;51.5;51.5;51.5;51.5;1598
2017-09-27;51.5;52.75;51.5;52.0;2638
2017-09-26;52.0;52.0;51.5;52.0;1885
2017-09-25;51.5;53.0;51.5;52.5;1913
2017-09-22;51.5;51.75;51.5;51.75;106
2017-09-21;52.0;52.0;51.5;51.5;87
2017-09-20;51.5;51.5;51.5;51.5;550
2017-09-19;51.0;52.0;51.0;52.0;1125
2017-09-18;52.0;52.0;51.0;51.0;2560
2017-09-15;50.75;52.0;50.75;52.0;857
2017-09-14;51.0;52.0;51.0;51.0;2641
2017-09-13;51.25;51.25;51.25;51.25;55
2017-09-12;52.0;52.0;51.25;51.25;1401
2017-09-11;52.0;52.5;52.0;52.0;1456
2017-09-08;52.0;52.75;51.75;52.75;431
2017-09-07;52.0;52.0;52.0;52.0;65
2017-09-06;52.25;53.0;52.25;53.0;456
2017-09-04;51.75;51.75;51.75;51.75;589
2017-09-01;52.75;53.0;52.0;52.0;2668
2017-08-31;52.5;52.5;52.5;52.5;207
2017-08-30;52.25;53.5;52.25;53.5;449
2017-08-29;53.75;53.75;52.5;52.5;685
2017-08-28;52.5;52.5;52.5;52.5;330
2017-08-25;53.0;53.0;53.0;53.0;275
2017-08-24;52.75;53.0;52.75;53.0;191
2017-08-23;52.0;52.0;52.0;52.0;7
2017-08-22;54.0;54.0;52.75;52.75;1004
2017-08-21;51.0;54.0;51.0;54.0;9005
2017-08-18;52.0;52.0;50.75;52.0;1583
2017-08-17;52.75;52.75;51.25;52.0;1230
2017-08-16;52.0;52.0;52.0;52.0;82
2017-08-15;52.5;53.0;51.5;52.0;1734
2017-08-14;52.5;53.5;52.5;53.5;106
2017-08-11;52.5;52.5;52.5;52.5;1308
2017-08-10;53.0;53.0;52.75;52.75;748
2017-08-09;53.0;53.25;52.5;53.25;680
2017-08-08;52.75;52.75;52.75;52.75;1
2017-08-07;52.5;53.0;52.5;52.5;447
2017-08-04;53.0;53.25;52.5;53.25;795
2017-08-03;53.25;53.25;52.75;53.0;8771
2017-08-02;53.0;53.75;53.0;53.0;1106
2017-08-01;53.5;53.75;53.5;53.75;291
2017-07-31;54.0;54.0;53.75;53.75;10
2017-07-28;53.0;53.25;53.0;53.25;1447
2017-07-27;53.25;53.25;53.25;53.25;10
2017-07-26;53.25;53.25;53.25;53.25;141
2017-07-25;54.5;55.75;53.25;54.0;3398
2017-07-24;54.5;54.5;54.5;54.5;6390
2017-07-21;54.5;54.5;54.5;54.5;119
2017-07-20;54.5;55.0;54.5;55.0;609
2017-07-19;56.0;56.0;54.75;55.0;231
2017-07-18;55.0;56.75;55.0;55.0;713
2017-07-17;55.5;55.5;55.0;55.0;9769
2017-07-14;57.0;57.0;55.5;56.0;12290
2017-07-13;55.0;56.0;55.0;55.0;8057
2017-07-12;54.75;55.0;54.75;55.0;1487
2017-07-11;54.75;55.75;54.75;55.0;498
2017-07-10;54.75;54.75;54.75;54.75;399
2017-07-07;55.0;56.0;55.0;56.0;3884
2017-07-06;55.5;56.0;55.5;56.0;276
2017-07-04;55.5;56.0;55.25;56.0;323
2017-07-03;55.5;56.0;55.5;56.0;797
2017-06-30;55.0;55.5;54.5;55.5;317
2017-06-29;55.0;55.5;54.5;55.5;688
2017-06-28;55.0;56.0;55.0;55.5;3810
2017-06-27;55.0;56.0;55.0;56.0;11436
2017-06-26;55.5;55.5;54.75;54.75;2830
2017-06-23;;55.0;55.0;55.0;0
2017-06-22;55.25;56.0;55.0;55.0;10466
2017-06-21;55.5;55.5;55.25;55.5;1327
2017-06-20;55.25;56.25;55.25;55.25;553
2017-06-19;55.5;56.5;55.0;56.5;4769
2017-06-16;55.5;56.0;55.25;56.0;10693
2017-06-15;55.25;56.75;55.25;55.5;2397
2017-06-14;55.0;57.0;55.0;55.25;19462
2017-06-13;54.75;55.25;54.75;55.0;9412
2017-06-12;54.75;54.75;54.75;54.75;906
2017-06-09;54.25;56.75;54.25;55.5;12591
2017-06-08;54.25;54.75;54.25;54.75;337
2017-06-07;55.0;55.75;54.75;55.0;10970
2017-06-06;;55.0;55.0;55.0;0
2017-06-05;54.75;55.5;54.25;55.0;2797
2017-06-02;55.75;55.75;54.75;55.5;7606
2017-06-01;54.75;56.0;54.75;55.75;3799
2017-05-31;54.25;55.5;53.75;55.5;52114
2017-05-30;55.0;55.0;54.25;54.5;6358
2017-05-29;55.0;55.0;54.25;54.75;3647
2017-05-26;54.0;55.25;53.5;55.0;2190
2017-05-24;54.25;55.75;54.25;55.5;540
2017-05-23;53.5;55.0;53.5;55.0;13087
2017-05-22;56.75;56.75;54.25;54.5;3955
2017-05-19;54.0;56.5;53.75;55.0;18947
2017-05-18;53.5;54.0;53.5;53.5;42460
2017-05-17;53.75;54.5;53.75;53.75;11835
2017-05-16;53.75;54.75;53.75;53.75;13184
2017-05-15;54.0;55.25;53.75;54.0;33168
2017-05-12;54.0;54.0;54.0;54.0;11480
2017-05-11;50.75;54.5;50.75;54.0;99036
2017-05-10;50.0;50.75;50.0;50.75;760
2017-05-09;49.1;50.5;49.0;50.25;25942
2017-05-08;49.6;50.5;49.5;50.0;10956
2017-05-05;49.3;49.9;49.3;49.9;3188
2017-05-04;50.0;50.0;49.0;50.0;8779
2017-05-03;50.0;51.0;50.0;50.0;1376
2017-05-02;50.25;51.0;50.0;50.0;3303
2017-05-01;;50.75;50.75;50.75;0
2017-04-28;50.75;50.75;50.0;50.75;6012
2017-04-27;51.0;51.25;51.0;51.0;422
2017-04-26;51.25;51.25;51.0;51.25;333
2017-04-25;51.0;51.5;51.0;51.25;956
2017-04-24;51.25;51.5;51.0;51.25;1212
2017-04-21;50.5;51.5;50.5;51.25;8473
2017-04-20;50.5;51.0;50.5;50.5;372
2017-04-19;51.25;51.25;50.5;51.0;2360
2017-04-18;51.0;51.0;50.5;51.0;8591
2017-04-13;51.0;51.5;51.0;51.0;1251
2017-04-12;51.5;51.5;50.5;51.25;575
2017-04-11;50.75;52.0;50.5;51.25;1646
2017-04-10;52.0;52.0;50.75;51.75;136
2017-04-07;51.75;52.0;50.75;52.0;1920
2017-04-06;50.25;51.75;50.25;51.75;445
2017-04-05;51.25;51.75;51.0;51.5;3511
2017-04-04;51.25;52.0;51.0;51.5;4625
2017-04-03;51.25;52.0;51.25;51.75;1678
2017-03-31;51.0;52.0;51.0;52.0;565
2017-03-30;51.25;52.0;51.25;52.0;621
2017-03-29;52.0;52.25;51.25;52.0;437
2017-03-28;51.25;52.5;51.25;52.25;4336
2017-03-27;52.5;52.5;51.5;52.0;157
2017-03-24;51.5;52.75;51.5;52.75;1256
2017-03-23;51.5;52.25;51.0;52.0;9442
2017-03-22;52.25;52.25;51.0;51.5;8294
2017-03-21;52.5;52.75;52.25;52.5;2629
2017-03-20;52.5;52.5;52.25;52.5;1506
2017-03-17;52.25;53.0;52.25;53.0;2163
2017-03-16;52.5;53.0;52.5;53.0;807
2017-03-15;52.5;53.0;52.5;52.75;288
2017-03-14;53.0;53.0;52.5;52.5;710
2017-03-13;53.0;53.25;53.0;53.0;184
2017-03-10;52.75;53.0;53.0;53.0;173
2017-03-09;53.25;53.25;52.75;53.25;1392
2017-03-08;53.0;53.5;52.75;53.5;5224
2017-03-07;53.0;53.25;53.0;53.0;432
2017-03-06;52.75;53.25;52.5;52.75;3404
2017-03-03;53.0;52.75;52.75;52.75;3250
2017-03-02;53.25;53.5;53.0;53.0;7330
2017-03-01;53.25;54.0;53.25;53.25;1509
2017-02-28;53.25;54.0;53.25;53.5;326
2017-02-27;53.75;53.75;53.5;53.5;3487
2017-02-24;54.25;54.5;54.0;54.0;1780
2017-02-23;53.75;56.75;53.75;54.5;16892
2017-02-22;53.25;54.0;53.25;54.0;5400
2017-02-21;53.25;54.0;53.25;53.5;4016
2017-02-20;53.25;54.0;53.25;53.25;4361
2017-02-17;53.5;54.5;53.25;53.25;6376
2017-02-16;53.25;54.25;53.25;53.5;11196
2017-02-15;53.25;53.75;53.0;53.0;11186
2017-02-14;53.0;53.75;53.0;53.75;3630
2017-02-13;53.0;53.5;53.0;53.25;5857
2017-02-10;53.5;53.75;53.5;53.5;3758
2017-02-09;53.0;53.75;53.0;53.25;5638
2017-02-08;53.0;53.5;53.0;53.25;2565
2017-02-07;52.75;54.0;52.75;53.5;18084
2017-02-06;53.25;54.0;53.25;53.25;1234
2017-02-03;53.25;54.0;53.25;53.25;1173
2017-02-02;53.25;54.0;53.25;54.0;1285
2017-02-01;53.25;54.25;53.25;53.25;15040
2017-01-31;53.25;54.0;53.25;53.5;2657
2017-01-30;53.5;54.0;53.5;53.5;933
2017-01-27;53.5;54.0;53.25;53.25;3554
2017-01-26;53.5;54.0;53.5;53.5;1743
2017-01-25;54.0;54.25;53.5;54.25;1480
2017-01-24;54.0;55.25;54.0;54.25;666
2017-01-23;54.5;55.75;54.0;54.5;11119
2017-01-20;53.75;54.5;53.75;54.5;37025
2017-01-19;54.75;55.0;53.75;54.0;10814
2017-01-18;52.75;54.75;52.75;54.75;24373
2017-01-17;52.5;54.0;52.5;53.75;231
2017-01-16;51.5;53.0;51.5;52.5;16298
2017-01-13;53.0;53.0;51.75;52.0;1373
2017-01-12;51.25;52.75;51.25;51.75;1303
2017-01-11;52.0;52.5;51.25;52.5;851
2017-01-10;51.75;52.25;51.25;52.25;5387
2017-01-09;52.0;53.0;52.0;53.0;131
2017-01-06;;53.0;53.0;53.0;0
2017-01-05;51.75;53.0;51.75;53.0;265
2017-01-04;51.75;53.25;51.75;53.25;264
2017-01-03;51.5;53.25;51.5;52.5;739
2017-01-02;51.5;53.25;51.5;52.0;891
2016-12-30;51.25;52.25;51.25;52.0;3584
2016-12-29;51.5;53.0;51.25;52.0;1866
2016-12-28;51.5;52.5;51.5;52.5;2781
2016-12-27;52.0;53.0;52.0;52.5;5762
2016-12-23;51.25;53.25;51.25;53.0;3186
2016-12-22;51.25;53.5;51.25;52.75;5266
2016-12-21;52.75;54.0;52.0;52.5;8831
2016-12-20;52.75;54.0;52.75;52.75;5496
2016-12-19;53.5;54.5;53.0;53.0;2813
2016-12-16;53.75;54.5;53.75;54.5;2739
2016-12-15;53.75;54.25;53.75;54.0;4135
2016-12-14;53.75;54.5;53.75;54.0;568
2016-12-13;53.5;54.5;53.5;54.0;3507
2016-12-12;54.5;55.0;54.0;54.0;2393
2016-12-09;53.75;55.0;53.75;54.25;9087
2016-12-08;54.0;54.75;54.0;54.0;5997
2016-12-07;54.0;54.75;54.0;54.75;14052
2016-12-06;54.25;54.75;54.0;54.0;2438
2016-12-05;53.5;55.0;53.5;54.25;13069
2016-12-02;53.5;54.25;53.5;53.75;28818
2016-12-01;53.75;54.0;53.25;53.75;11552
2016-11-30;52.5;54.25;52.5;53.5;14678
2016-11-29;52.0;53.0;51.5;52.75;18957
2016-11-28;52.25;53.5;52.0;53.5;2834
2016-11-25;52.5;53.0;52.5;53.0;2199
2016-11-24;52.25;53.5;52.25;53.5;375
2016-11-23;52.5;53.5;52.5;53.5;6232
2016-11-22;52.5;53.75;52.25;53.5;8432
2016-11-21;52.75;53.75;52.5;52.5;3876
2016-11-18;52.5;54.0;52.5;53.0;1027
2016-11-17;53.0;53.5;52.5;53.0;3135
2016-11-16;53.0;53.5;52.5;53.5;6643
2016-11-15;53.0;53.5;53.0;53.0;887
2016-11-14;53.0;53.75;53.0;53.0;1000
2016-11-11;53.5;53.75;53.0;53.75;7398
2016-11-10;54.25;54.5;53.25;53.5;2007
2016-11-09;50.5;54.75;50.5;54.25;1555
2016-11-08;53.5;53.75;53.5;53.75;6534
2016-11-07;53.75;54.25;53.75;54.0;6400
2016-11-04;53.25;54.5;54.5;54.5;251
2016-11-03;53.0;54.0;53.0;53.5;2223
2016-11-02;53.75;53.75;52.75;53.5;7725
2016-11-01;53.0;54.0;53.0;54.0;4597
2016-10-31;54.5;54.75;53.25;54.0;1020
2016-10-28;53.25;54.5;53.25;54.5;3187
2016-10-27;54.5;54.75;54.25;54.25;5967
2016-10-26;54.0;55.0;54.0;54.75;2555
2016-10-25;54.75;55.5;53.5;55.0;4340
2016-10-24;55.5;56.0;54.5;55.0;6662
2016-10-21;55.5;56.0;55.5;55.5;1945
2016-10-20;55.5;56.0;55.5;56.0;1992
2016-10-19;55.75;56.0;55.5;55.5;5419
2016-10-18;55.5;56.0;54.75;56.0;11218
2016-10-17;56.75;57.25;55.25;56.0;2600
2016-10-14;56.75;56.75;56.0;56.5;8542
2016-10-13;55.75;57.5;55.5;56.25;29601
2016-10-12;56.0;56.5;55.75;56.0;21830
2016-10-11;55.5;56.75;55.25;56.0;18528
2016-10-10;54.5;55.25;53.5;55.0;20031
2016-10-07;73.0;74.5;72.5;74.0;4912
2016-10-06;73.5;73.5;72.5;73.0;4184
2016-10-05;72.0;73.25;72.0;73.0;1553
2016-10-04;72.5;73.5;72.25;73.5;5852
2016-10-03;72.0;73.0;71.0;73.0;2462
2016-09-30;71.5;72.0;70.25;72.0;1667
2016-09-29;71.5;72.5;71.5;71.5;482
2016-09-28;70.0;73.0;70.0;73.0;6520
2016-09-27;71.5;71.5;70.0;71.0;2497
2016-09-26;73.0;73.0;70.25;71.75;4901
2016-09-23;73.0;73.5;72.25;73.0;5204
2016-09-22;72.0;73.5;72.0;73.5;24198
2016-09-21;72.0;72.5;71.5;71.75;9808
2016-09-20;70.5;72.0;70.5;71.5;6557
2016-09-19;70.0;70.5;69.5;70.5;1472
2016-09-16;69.5;70.0;69.5;69.75;424
2016-09-15;69.25;70.0;69.25;69.5;2166
2016-09-14;69.0;70.5;69.0;69.25;17272
2016-09-13;69.0;69.75;68.75;69.75;4097
2016-09-12;68.5;69.0;68.5;69.0;3310
2016-09-09;70.0;70.0;68.5;68.5;7698
2016-09-08;69.75;71.0;69.5;70.0;4838
2016-09-07;69.5;70.0;69.5;70.0;883
2016-09-06;69.5;70.0;69.5;69.75;6032
2016-09-05;69.0;69.75;68.75;69.5;3375
2016-09-02;68.75;69.5;68.5;69.0;1397
2016-09-01;68.75;69.75;68.5;68.75;918
2016-08-31;69.0;69.75;68.5;69.75;5201
2016-08-30;69.0;69.75;69.0;69.0;1448
2016-08-29;67.75;70.0;67.75;69.25;763
2016-08-26;68.25;70.25;68.25;68.25;1591
2016-08-25;68.5;69.0;68.5;69.0;153
2016-08-24;70.0;71.0;68.75;69.0;1994
2016-08-23;68.75;69.75;68.5;69.0;7752
2016-08-22;69.0;69.75;69.0;69.0;6166
2016-08-19;68.75;69.75;68.5;69.0;2106
2016-08-18;69.25;70.25;69.0;70.25;2259
2016-08-17;69.5;70.0;69.0;69.5;4725
2016-08-16;70.0;72.25;69.25;70.75;1407
2016-08-15;68.75;71.75;68.75;71.5;3752
2016-08-12;68.75;70.25;68.75;70.0;6086
2016-08-11;68.75;69.5;68.5;69.5;8814
2016-08-10;69.25;69.75;68.75;69.75;2961
2016-08-09;69.0;70.0;68.5;69.75;6552
2016-08-08;68.5;70.0;68.5;69.75;3981
2016-08-05;70.0;70.5;69.5;70.0;3917
2016-08-04;69.5;70.0;69.5;70.0;7425
2016-08-03;69.75;70.5;69.0;70.0;1039
2016-08-02;70.25;71.0;69.75;70.0;3495
2016-08-01;70.25;71.0;70.0;70.25;1750
2016-07-29;70.25;71.5;70.0;70.0;4164
2016-07-28;70.5;71.0;70.0;70.0;1993
2016-07-27;70.0;71.75;70.0;70.5;2247
2016-07-26;69.75;70.75;69.75;70.0;5658
2016-07-25;70.5;71.0;70.0;71.0;6901
2016-07-22;70.0;71.5;69.75;70.5;256
2016-07-21;70.0;71.25;69.0;70.0;8404
2016-07-20;70.0;70.75;69.0;69.5;5154
2016-07-19;71.5;72.0;70.25;70.25;1669
2016-07-18;70.0;72.25;70.0;71.5;1273
2016-07-15;70.5;71.25;70.0;71.25;2791
2016-07-14;70.25;71.5;70.25;71.25;4435
2016-07-13;69.5;72.5;69.5;71.25;12256
2016-07-12;69.75;69.75;69.0;69.5;4287
2016-07-11;71.5;71.75;69.5;69.75;2261
2016-07-08;;70.0;70.0;70.0;0
2016-07-07;;70.0;70.0;70.0;0
2016-07-06;70.0;70.5;70.0;70.0;19267
2016-07-05;70.0;70.5;70.0;70.0;7394
2016-07-04;70.0;70.75;70.0;70.25;782
2016-07-01;71.25;71.5;70.0;70.25;1868
2016-06-30;70.0;71.25;70.0;71.25;7519
2016-06-29;72.5;73.5;68.25;70.5;12326
2016-06-28;71.5;73.75;71.5;73.75;17675
2016-06-27;70.5;73.5;70.5;71.5;33144
2016-06-24;;75.0;75.0;75.0;0
2016-06-23;73.75;76.0;73.75;75.0;3176
2016-06-22;75.0;75.0;74.0;75.0;2393
2016-06-21;74.5;75.0;74.0;75.0;5490
2016-06-20;73.5;74.75;73.0;74.75;5364
2016-06-17;74.75;74.75;73.0;74.25;2746
2016-06-16;72.75;74.25;72.0;74.25;15510
2016-06-15;74.0;76.0;73.25;74.5;7470
2016-06-14;74.5;74.5;73.0;74.0;12331
2016-06-13;76.0;76.0;74.0;75.5;3722
2016-06-10;77.0;77.0;76.0;76.5;1418
2016-06-09;77.0;77.25;75.75;77.25;22829
2016-06-08;76.25;77.75;76.25;77.5;18141
2016-06-07;77.0;77.0;76.25;77.0;4950
2016-06-06;;77.0;77.0;77.0;0
2016-06-03;76.0;77.25;75.75;77.0;10983
2016-06-02;76.75;76.75;75.0;76.75;16301
2016-06-01;77.0;78.5;73.5;75.5;125467
2016-05-31;69.0;69.75;68.5;68.75;20708
2016-05-30;69.0;69.75;68.5;69.75;22871
2016-05-27;68.25;69.25;68.25;69.25;22171
2016-05-26;68.5;69.25;68.0;68.75;34310
2016-05-25;69.25;69.5;67.75;68.0;60461
2016-05-24;68.25;69.25;68.0;68.75;96241
2016-05-23;65.0;69.5;64.5;67.75;439248
2016-05-20;69.5;69.5;67.5;68.5;6943
2016-05-19;70.0;70.0;66.75;69.5;34618
2016-05-18;0.69;0.69;0.675;0.68;783485
2016-05-17;0.68;0.695;0.67;0.695;1542855
2016-05-16;0.69;0.69;0.67;0.69;997943
2016-05-13;0.69;0.695;0.67;0.695;2156282
2016-05-12;0.675;0.69;0.67;0.69;635808
2016-05-11;0.68;0.685;0.67;0.675;709566
2016-05-10;0.71;0.715;0.665;0.685;1683227
2016-05-09;0.65;0.715;0.645;0.71;3250295
2016-05-06;0.645;0.65;0.64;0.645;529377
2016-05-05;0.64;0.65;0.64;0.645;160551
2016-05-04;0.64;0.65;0.64;0.645;160551
2016-05-03;0.655;0.66;0.64;0.65;2483987
2016-05-02;0.67;0.67;0.65;0.66;1060403
2016-04-29;0.655;0.675;0.65;0.67;1269926
2016-04-28;0.655;0.665;0.65;0.66;240639
2016-04-27;0.665;0.67;0.65;0.655;498238
2016-04-26;0.66;0.67;0.655;0.67;456527
2016-04-25;0.65;0.67;0.65;0.66;203794
2016-04-22;0.66;0.67;0.65;0.67;380177
2016-04-21;0.66;0.67;0.655;0.66;237100
2016-04-20;0.67;0.67;0.655;0.66;221203
2016-04-19;0.675;0.675;0.66;0.66;231588
