Dates;Open;High;Low;Close;Volume
2017-12-27;1.26;1.35;1.26;1.33;248446
2017-12-22;1.35;1.37;1.31;1.36;71208
2017-12-21;1.29;1.36;1.29;1.36;175022
2017-12-20;1.31;1.35;1.3;1.35;22495
2017-12-19;1.39;1.39;1.32;1.35;147051
2017-12-18;1.39;1.39;1.33;1.39;68305
2017-12-15;1.44;1.44;1.39;1.41;77585
2017-12-14;1.42;1.44;1.39;1.4;22193
2017-12-13;1.34;1.42;1.34;1.42;115793
2017-12-12;1.32;1.37;1.32;1.33;123220
2017-12-11;1.34;1.36;1.32;1.35;54294
2017-12-08;1.32;1.37;1.3;1.34;372259
2017-12-07;1.37;1.37;1.3;1.32;93238
2017-12-06;1.37;1.37;1.33;1.36;71343
2017-12-05;1.34;1.37;1.32;1.37;20863
2017-12-04;1.33;1.37;1.33;1.34;71187
2017-12-01;1.44;1.44;1.35;1.35;79789
2017-11-30;1.39;1.46;1.33;1.39;49667
2017-11-29;1.38;1.4;1.35;1.38;515786
2017-11-28;1.35;1.38;1.35;1.38;10936
2017-11-27;1.39;1.39;1.35;1.35;47345
2017-11-24;1.4;1.42;1.39;1.39;8395
2017-11-23;1.37;1.53;1.33;1.4;405062
2017-11-22;1.38;1.43;1.37;1.37;96406
2017-11-21;1.4;1.42;1.35;1.38;90538
2017-11-20;1.43;1.43;1.36;1.4;53205
2017-11-17;1.4;1.43;1.4;1.43;46861
2017-11-16;1.42;1.45;1.38;1.4;83005
2017-11-15;1.42;1.45;1.42;1.44;4975
2017-11-14;1.44;1.49;1.41;1.41;129020
2017-11-13;1.49;1.49;1.36;1.44;90964
2017-11-10;1.46;1.49;1.43;1.49;37307
2017-11-09;1.5;1.5;1.43;1.47;52592
2017-11-08;1.51;1.51;1.45;1.5;80647
2017-11-07;1.54;1.54;1.51;1.51;2798
2017-11-06;1.53;1.54;1.48;1.54;53535
2017-11-03;1.5;1.53;1.5;1.53;136563
2017-11-02;1.54;1.54;1.46;1.49;133747
2017-11-01;1.55;1.56;1.5;1.52;89184
2017-10-31;1.56;1.6;1.55;1.56;35816
2017-10-30;1.53;1.6;1.53;1.59;35011
2017-10-27;1.6;1.6;1.48;1.53;158340
2017-10-26;1.59;1.63;1.58;1.62;29811
2017-10-25;1.63;1.63;1.56;1.6;60080
2017-10-24;1.66;1.68;1.52;1.63;277346
2017-10-23;1.7;1.74;1.63;1.68;102844
2017-10-20;1.73;1.73;1.67;1.69;252944
2017-10-19;1.78;1.8;1.67;1.73;556141
2017-10-18;1.89;1.96;1.73;1.77;3247946
2017-10-17;1.6;1.7;1.6;1.66;262326
2017-10-13;1.6;1.65;1.58;1.62;71654
2017-10-12;1.61;1.65;1.6;1.6;27044
2017-10-11;1.65;1.65;1.57;1.61;90497
2017-10-10;1.57;1.65;1.57;1.6;172485
2017-10-09;1.65;1.65;1.53;1.56;32395
2017-10-06;1.65;1.65;1.6;1.65;38426
2017-10-05;1.62;1.65;1.6;1.65;56890
2017-10-04;1.58;1.67;1.58;1.62;158706
2017-10-03;1.57;1.62;1.5;1.58;165696
2017-10-02;1.43;1.62;1.42;1.57;149011
2017-09-29;1.5;1.52;1.44;1.44;97790
2017-09-28;1.55;1.55;1.45;1.49;21736
2017-09-27;1.5;1.56;1.43;1.55;280137
2017-09-26;1.39;1.53;1.36;1.47;271345
2017-09-25;1.35;1.42;1.35;1.38;108900
2017-09-22;1.39;1.43;1.35;1.43;3214
2017-09-21;1.36;1.39;1.35;1.39;105042
2017-09-20;1.34;1.36;1.34;1.35;55908
2017-09-19;1.36;1.36;1.3;1.34;21907
2017-09-18;1.36;1.4;1.35;1.35;52255
2017-09-15;1.4;1.4;1.33;1.4;156549
2017-09-14;1.4;1.4;1.33;1.4;117137
2017-09-13;1.35;1.43;1.35;1.4;53002
2017-09-12;1.33;1.35;1.33;1.35;32140
2017-09-11;1.38;1.38;1.33;1.35;21941
2017-09-08;1.39;1.39;1.32;1.38;19327
2017-09-07;1.39;1.39;1.35;1.39;13712
2017-09-06;1.38;1.42;1.35;1.38;40274
2017-09-04;1.35;1.49;1.35;1.4;167957
2017-09-01;1.38;1.38;1.3;1.35;28058
2017-08-31;1.32;1.38;1.32;1.35;22666
2017-08-30;1.35;1.43;1.29;1.32;116593
2017-08-29;1.38;1.4;1.33;1.33;31864
2017-08-28;1.37;1.4;1.37;1.39;113752
2017-08-25;1.48;1.48;1.37;1.37;120712
2017-08-24;1.46;1.46;1.39;1.39;14500
2017-08-23;1.45;1.45;1.39;1.41;44496
2017-08-22;1.41;1.46;1.4;1.41;3625
2017-08-21;1.4;1.45;1.39;1.41;17123
2017-08-18;1.41;1.47;1.41;1.46;9627
2017-08-17;1.47;1.49;1.43;1.48;33450
2017-08-16;1.5;1.5;1.44;1.47;22724
2017-08-15;1.5;1.53;1.46;1.5;4501
2017-08-14;1.53;1.54;1.46;1.49;50640
2017-08-11;1.48;1.54;1.44;1.53;83682
2017-08-10;1.5;1.5;1.45;1.48;31184
2017-08-09;1.48;1.5;1.45;1.5;58749
2017-08-08;1.5;1.55;1.47;1.5;22145
2017-08-07;1.54;1.59;1.48;1.52;14759
2017-08-04;1.55;1.64;1.47;1.5;240573
2017-08-03;1.53;1.64;1.43;1.55;200860
2017-08-02;1.58;1.58;1.45;1.55;213413
2017-08-01;1.43;1.68;1.43;1.58;201917
2017-07-31;1.45;1.45;1.39;1.42;36337
2017-07-28;1.41;1.48;1.41;1.45;85667
2017-07-27;1.43;1.49;1.41;1.41;96723
2017-07-26;1.37;1.43;1.37;1.43;86887
2017-07-25;1.35;1.44;1.35;1.4;66615
2017-07-24;1.35;1.35;1.28;1.35;75856
2017-07-21;1.35;1.43;1.35;1.35;20979
2017-07-20;1.3;1.39;1.3;1.35;190247
2017-07-19;1.23;1.28;1.2;1.26;185772
2017-07-18;1.31;1.31;1.21;1.25;98496
2017-07-17;1.31;1.39;1.26;1.28;171005
2017-07-14;1.33;1.39;1.3;1.3;154525
2017-07-13;1.41;1.41;1.34;1.34;51494
2017-07-12;1.41;1.41;1.36;1.39;17413
2017-07-11;1.43;1.44;1.36;1.39;162177
2017-07-10;1.45;1.49;1.4;1.43;34907
2017-07-07;1.44;1.45;1.41;1.45;21551
2017-07-06;1.48;1.48;1.42;1.46;72283
2017-07-05;1.5;1.51;1.45;1.48;51277
2017-07-04;1.53;1.53;1.47;1.49;36935
2017-07-03;1.45;1.59;1.45;1.48;61224
2017-06-30;1.48;1.49;1.45;1.45;44180
2017-06-29;1.56;1.59;1.42;1.48;483084
2017-06-28;1.68;1.78;1.55;1.56;478096
2017-06-27;1.66;1.68;1.63;1.67;51337
2017-06-26;1.69;1.69;1.52;1.68;31321
2017-06-23;;1.69;1.69;1.69;0
2017-06-22;1.68;1.69;1.68;1.69;8045
2017-06-21;1.59;1.64;1.57;1.64;61213
2017-06-20;1.64;1.64;1.59;1.59;222853
2017-06-19;1.66;1.72;1.65;1.65;30150
2017-06-16;1.71;1.71;1.67;1.69;37339
2017-06-15;1.67;1.72;1.67;1.67;132261
2017-06-14;1.69;1.7;1.67;1.7;57819
2017-06-13;1.71;1.71;1.67;1.69;44333
2017-06-12;1.65;1.71;1.65;1.71;50646
2017-06-09;1.66;1.7;1.65;1.67;116993
2017-06-08;1.67;1.7;1.67;1.69;14191
2017-06-07;1.69;1.72;1.65;1.67;41075
2017-06-06;;1.69;1.69;1.69;0
2017-06-05;1.73;1.73;1.64;1.69;192178
2017-06-02;1.73;1.74;1.67;1.72;108550
2017-06-01;1.74;1.74;1.7;1.74;6437
2017-05-31;1.72;1.74;1.65;1.7;145890
2017-05-30;1.72;1.75;1.69;1.72;110191
2017-05-29;1.67;1.74;1.67;1.72;53224
2017-05-26;1.72;1.75;1.68;1.7;17106
2017-05-24;1.79;1.79;1.72;1.72;3289
2017-05-23;1.68;1.76;1.65;1.72;101129
2017-05-22;1.65;1.69;1.65;1.66;19029
2017-05-19;1.68;1.68;1.63;1.66;127997
2017-05-18;1.68;1.75;1.65;1.66;46213
2017-05-17;1.74;1.75;1.65;1.69;29209
2017-05-16;1.72;1.73;1.63;1.73;162118
2017-05-15;1.68;1.73;1.68;1.71;211807
2017-05-12;1.64;1.65;1.65;1.65;165228
2017-05-11;1.65;1.7;1.63;1.64;136574
2017-05-10;1.67;1.72;1.61;1.63;404699
2017-05-09;1.69;1.7;1.66;1.68;54465
2017-05-08;1.71;1.79;1.65;1.69;118090
2017-05-05;1.8;1.8;1.73;1.77;200362
2017-05-04;1.77;1.8;1.74;1.78;110072
2017-05-03;1.77;1.79;1.73;1.77;29194
2017-05-02;1.73;1.77;1.7;1.72;63043
2017-05-01;;1.78;1.78;1.78;0
2017-04-28;1.79;1.79;1.72;1.78;55174
2017-04-27;1.82;1.82;1.72;1.79;98156
2017-04-26;1.8;1.82;1.71;1.75;204896
2017-04-25;1.84;1.84;1.76;1.8;190646
2017-04-24;1.84;1.89;1.8;1.81;152919
2017-04-21;1.86;1.87;1.79;1.84;142939
2017-04-20;1.87;1.87;1.81;1.86;48873
2017-04-19;1.84;1.91;1.8;1.84;142808
2017-04-18;1.91;1.92;1.81;1.82;87726
2017-04-13;1.84;1.87;1.84;1.87;68411
2017-04-12;1.88;1.92;1.87;1.88;141140
2017-04-11;1.91;1.92;1.86;1.88;182528
2017-04-10;1.95;1.95;1.88;1.91;125939
2017-04-07;1.96;1.97;1.91;1.96;117352
2017-04-06;2.0;2.02;1.94;1.96;174292
2017-04-05;2.17;2.2;1.98;1.98;943798
2017-04-04;2.0;2.03;1.99;2.02;346152
2017-04-03;2.05;2.05;1.97;2.03;308603
2017-03-31;2.04;2.1;1.96;2.05;275881
2017-03-30;2.04;2.05;1.94;2.02;73701
2017-03-29;1.95;2.06;1.95;2.02;31233
2017-03-28;2.0;2.05;1.98;2.01;84231
2017-03-27;2.0;2.05;1.92;2.0;89108
2017-03-24;2.06;2.06;2.01;2.03;12205
2017-03-23;2.02;2.07;2.02;2.06;50396
2017-03-22;2.0;2.03;1.97;2.02;46670
2017-03-21;2.03;2.04;1.99;2.02;49526
2017-03-20;1.98;2.14;1.98;2.04;336362
2017-03-17;1.99;2.0;1.97;1.98;92441
2017-03-16;1.97;1.98;1.95;1.95;16666
2017-03-15;1.92;1.98;1.92;1.92;56712
2017-03-14;1.91;1.95;1.91;1.94;60952
2017-03-13;1.93;1.95;1.93;1.94;70786
2017-03-10;1.96;1.91;1.91;1.91;24089
2017-03-09;1.93;1.95;1.91;1.93;47832
2017-03-08;1.91;1.94;1.91;1.93;67380
2017-03-07;1.91;1.94;1.9;1.91;85155
2017-03-06;1.9;1.94;1.9;1.91;32386
2017-03-03;1.91;1.9;1.9;1.9;35701
2017-03-02;1.93;1.94;1.9;1.91;93565
2017-03-01;1.9;1.93;1.87;1.93;54484
2017-02-28;1.95;1.95;1.89;1.9;50248
2017-02-27;1.89;1.97;1.89;1.91;51172
2017-02-24;1.88;1.92;1.86;1.89;60843
