Dates;Open;High;Low;Close;Volume
2017-12-27;0.26;0.28;0.26;0.269;280339
2017-12-22;0.275;0.275;0.26;0.26;524861
2017-12-21;0.275;0.28;0.265;0.275;198043
2017-12-20;0.275;0.278;0.265;0.27;698780
2017-12-19;0.29;0.29;0.273;0.28;542810
2017-12-18;0.32;0.32;0.273;0.29;1668781
2017-12-15;0.317;0.349;0.3;0.314;630922
2017-12-14;0.36;0.36;0.308;0.317;2675002
2017-12-13;0.36;0.429;0.34;0.354;4045287
2017-12-12;0.29;0.5;0.29;0.318;6649543
2017-12-11;0.264;0.286;0.264;0.286;483118
2017-12-08;0.278;0.278;0.256;0.264;700455
2017-12-07;0.262;0.288;0.262;0.278;706009
2017-12-06;0.29;0.29;0.249;0.262;633473
2017-12-05;0.315;0.315;0.272;0.29;811459
2017-12-04;0.321;0.33;0.302;0.315;368432
2017-12-01;0.3;0.355;0.3;0.321;1541707
2017-11-30;0.32;0.323;0.281;0.292;796716
2017-11-29;0.36;0.38;0.303;0.324;1317089
2017-11-28;0.34;0.45;0.307;0.359;4695349
2017-11-27;0.264;0.395;0.262;0.334;3467669
2017-11-24;0.24;0.261;0.238;0.261;1299536
2017-11-23;0.255;0.265;0.24;0.24;956701
2017-11-22;0.266;0.27;0.245;0.247;1308108
2017-11-21;0.31;0.31;0.261;0.272;520179
2017-11-20;0.339;0.339;0.27;0.3;485753
2017-11-17;0.34;0.37;0.306;0.319;435126
2017-11-16;0.36;0.36;0.305;0.331;456633
2017-11-15;0.378;0.38;0.358;0.38;130612
2017-11-14;0.38;0.38;0.371;0.379;171937
2017-11-13;0.44;0.45;0.34;0.372;620031
2017-11-10;0.44;0.47;0.44;0.47;204955
2017-11-09;0.47;0.478;0.43;0.448;328891
2017-11-08;0.478;0.48;0.45;0.47;222097
2017-11-07;0.479;0.479;0.443;0.478;85709
2017-11-06;0.46;0.48;0.43;0.479;300572
2017-11-03;0.46;0.46;0.44;0.46;19293
2017-11-02;0.47;0.491;0.43;0.47;274208
2017-11-01;0.435;0.49;0.435;0.466;346952
2017-10-31;0.41;0.48;0.404;0.435;392536
2017-10-30;0.425;0.425;0.4;0.406;142542
2017-10-27;0.42;0.45;0.41;0.425;289407
2017-10-26;0.391;0.42;0.37;0.415;262843
2017-10-25;0.4;0.404;0.38;0.391;172091
2017-10-24;0.408;0.413;0.37;0.405;775808
2017-10-23;0.456;0.469;0.402;0.408;348322
2017-10-20;0.475;0.497;0.429;0.43;601689
2017-10-19;0.49;0.499;0.471;0.498;188942
2017-10-18;0.495;0.5;0.48;0.49;49851
2017-10-17;0.51;0.515;0.495;0.495;171445
2017-10-13;0.525;0.54;0.51;0.54;113533
2017-10-12;0.55;0.56;0.515;0.525;170634
2017-10-11;0.55;0.55;0.515;0.54;117971
2017-10-10;0.55;0.55;0.53;0.55;128567
2017-10-09;0.53;0.6;0.53;0.55;203047
2017-10-06;0.52;0.575;0.52;0.53;528259
2017-10-05;0.55;0.55;0.505;0.52;145445
2017-10-04;0.497;0.545;0.497;0.52;107729
2017-10-03;0.5;0.52;0.5;0.5;285613
2017-10-02;0.545;0.57;0.5;0.52;325587
2017-09-29;0.555;0.57;0.53;0.545;120720
2017-09-28;0.55;0.575;0.53;0.555;92541
2017-09-27;0.545;0.605;0.53;0.55;427330
2017-09-26;0.545;0.585;0.54;0.545;193859
2017-09-25;0.61;0.62;0.52;0.545;487022
2017-09-22;0.5;0.785;0.5;0.6;1607198
2017-09-21;0.57;0.58;0.52;0.545;880360
2017-09-20;0.59;0.61;0.565;0.57;643269
2017-09-19;0.585;0.6;0.57;0.59;395733
2017-09-18;0.62;0.62;0.585;0.585;199614
2017-09-15;0.62;0.62;0.61;0.62;95076
2017-09-14;0.63;0.63;0.62;0.62;234460
2017-09-13;0.65;0.65;0.63;0.645;26570
2017-09-12;0.65;0.65;0.63;0.64;77948
2017-09-11;0.63;0.65;0.63;0.65;45752
2017-09-08;0.64;0.67;0.635;0.67;231356
2017-09-07;0.655;0.685;0.64;0.675;739322
2017-09-06;0.685;0.69;0.655;0.685;88444
2017-09-04;0.7;0.7;0.64;0.68;456514
2017-09-01;0.695;0.7;0.655;0.7;63185
2017-08-31;0.7;0.7;0.64;0.695;559707
2017-08-30;0.67;0.7;0.67;0.7;12982
2017-08-29;0.7;0.7;0.66;0.67;12864
2017-08-28;0.7;0.7;0.655;0.7;24910
2017-08-25;0.68;0.695;0.65;0.69;78164
2017-08-24;0.72;0.72;0.65;0.68;88129
2017-08-23;0.7;0.72;0.69;0.72;10074
2017-08-22;0.7;0.72;0.7;0.72;81779
2017-08-21;0.7;0.715;0.69;0.715;159149
2017-08-18;0.7;0.72;0.7;0.72;97526
2017-08-17;0.75;0.75;0.7;0.75;57691
2017-08-16;0.74;0.77;0.71;0.75;7920
2017-08-15;0.74;0.76;0.73;0.76;19033
2017-08-14;0.76;0.765;0.7;0.76;44452
2017-08-11;0.745;0.765;0.745;0.76;31725
2017-08-10;0.795;0.795;0.72;0.775;105135
2017-08-09;0.78;0.795;0.765;0.765;48605
2017-08-08;0.775;0.78;0.76;0.78;31399
2017-08-07;0.775;0.8;0.775;0.795;13769
2017-08-04;0.77;0.78;0.75;0.775;129028
2017-08-03;0.79;0.795;0.765;0.795;17627
2017-08-02;0.79;0.795;0.77;0.79;27613
2017-08-01;0.8;0.8;0.775;0.79;21533
2017-07-31;0.8;0.8;0.77;0.77;34585
2017-07-28;0.78;0.81;0.78;0.795;11382
2017-07-27;0.81;0.81;0.78;0.795;1861
2017-07-26;0.81;0.81;0.8;0.8;33641
2017-07-25;0.75;0.8;0.75;0.8;26445
2017-07-24;0.78;0.78;0.78;0.78;3718
2017-07-21;0.79;0.82;0.78;0.78;36627
2017-07-20;0.83;0.83;0.76;0.79;44463
2017-07-19;0.78;0.845;0.78;0.81;146635
2017-07-18;0.8;0.8;0.78;0.78;37357
2017-07-17;0.78;0.8;0.78;0.8;10814
2017-07-14;0.8;0.845;0.79;0.79;23760
2017-07-13;0.81;0.815;0.79;0.8;28036
2017-07-12;0.76;0.81;0.76;0.81;32988
2017-07-11;0.8;0.8;0.77;0.77;11497
2017-07-10;0.77;0.815;0.77;0.795;27531
2017-07-07;0.775;0.8;0.775;0.775;4922
2017-07-06;0.765;0.815;0.76;0.79;241568
2017-07-05;0.8;0.8;0.765;0.77;37742
2017-07-04;0.8;0.805;0.765;0.805;11254
2017-07-03;0.76;0.8;0.76;0.8;126830
2017-06-30;0.79;0.8;0.76;0.8;2111
2017-06-29;0.8;0.82;0.765;0.8;194081
