Dates;Open;High;Low;Close;Volume
2017-12-27;148.0;153.0;148.0;152.5;1880
2017-12-22;153.0;154.0;149.0;149.0;704
2017-12-21;150.0;154.0;147.75;153.0;1354
2017-12-20;150.0;151.0;148.5;150.0;1285
2017-12-19;152.0;152.0;150.0;150.0;4967
2017-12-18;145.75;153.5;145.25;151.5;6996
2017-12-15;147.0;147.5;143.0;143.75;2060
2017-12-14;147.75;149.5;145.75;147.0;118
2017-12-13;147.0;147.75;146.0;147.75;1359
2017-12-12;149.0;149.0;145.75;148.0;2712
2017-12-11;149.0;150.0;149.0;149.0;536
2017-12-08;147.25;149.5;146.75;149.0;3536
2017-12-07;149.0;150.0;147.5;149.0;470
2017-12-06;150.0;150.0;146.5;148.5;970
2017-12-05;150.0;153.5;150.0;150.0;5086
2017-12-04;146.75;150.0;146.75;150.0;762
2017-12-01;148.5;148.5;148.5;148.5;539
2017-11-30;146.0;149.5;145.0;147.0;2417
2017-11-29;151.0;154.0;147.0;148.75;2735
2017-11-28;152.0;152.0;149.5;151.0;775
2017-11-27;154.0;154.0;149.0;149.75;1731
2017-11-24;151.0;154.0;150.0;154.0;2254
2017-11-23;150.0;150.0;149.0;149.75;384
2017-11-22;149.0;150.0;147.25;150.0;1139
2017-11-21;148.0;149.5;147.0;148.5;918
2017-11-20;142.0;148.0;142.0;147.5;1502
2017-11-17;145.0;147.0;143.25;145.25;1009
2017-11-16;142.0;146.0;141.75;145.0;2455
2017-11-15;145.75;145.75;141.75;141.75;4000
2017-11-14;147.0;149.0;145.75;147.75;1518
2017-11-13;152.0;153.0;145.0;146.75;2047
2017-11-10;146.0;152.0;146.0;151.0;2561
2017-11-09;150.5;151.5;146.75;146.75;3991
2017-11-08;153.0;154.5;151.0;151.5;1218
2017-11-07;160.5;163.0;152.5;153.0;10502
2017-11-06;163.0;163.0;160.0;160.5;829
2017-11-03;162.5;163.0;158.5;163.0;1764
2017-11-02;155.5;165.0;153.0;163.0;7026
2017-11-01;152.0;164.0;149.0;155.5;24276
2017-10-31;150.0;152.0;147.75;152.0;2388
2017-10-30;147.0;151.0;147.0;151.0;1911
2017-10-27;143.0;147.0;140.5;147.0;1862
2017-10-26;142.0;142.0;140.0;140.5;2779
2017-10-25;135.0;140.0;135.0;140.0;2716
2017-10-24;137.5;137.5;135.0;135.0;2581
2017-10-23;140.0;140.0;137.5;137.5;3042
2017-10-20;142.25;142.25;141.75;141.75;590
2017-10-19;141.0;143.5;140.0;142.25;2024
2017-10-18;146.5;146.5;140.75;141.0;3432
2017-10-17;144.25;146.5;142.0;142.5;1072
2017-10-13;142.5;143.5;142.0;143.5;219
2017-10-12;144.0;144.0;142.0;142.5;749
2017-10-11;142.5;144.0;142.25;144.0;1266
2017-10-10;142.0;142.75;141.75;142.25;797
2017-10-09;142.25;142.25;140.0;140.0;1248
2017-10-06;142.25;142.25;141.5;142.25;392
2017-10-05;142.5;143.75;141.5;142.25;522
2017-10-04;143.5;144.75;142.5;142.5;1622
2017-10-03;145.0;145.0;143.25;143.25;383
2017-10-02;147.0;147.0;143.0;145.0;456
2017-09-29;145.0;147.0;145.0;146.75;304
2017-09-28;145.5;145.5;141.25;144.5;1428
2017-09-27;146.0;146.0;145.5;145.5;94
2017-09-26;148.75;149.0;146.0;146.0;1782
2017-09-25;149.0;149.0;148.5;148.75;426
2017-09-22;143.5;149.0;143.5;148.5;1540
2017-09-21;146.25;148.5;143.75;143.75;914
2017-09-20;144.5;146.5;144.0;146.25;425
2017-09-19;142.0;144.5;142.0;144.5;384
2017-09-18;143.5;143.75;141.0;142.0;710
2017-09-15;142.0;142.0;140.5;142.0;417
2017-09-14;140.25;144.0;138.5;140.25;3322
2017-09-13;138.5;140.25;138.5;140.25;144
2017-09-12;141.5;142.0;138.25;138.25;1917
2017-09-11;142.0;142.0;136.5;140.0;6779
2017-09-08;142.25;143.5;139.75;142.0;3992
2017-09-07;142.5;142.5;140.0;142.25;583
2017-09-06;141.75;148.25;141.75;142.25;721
2017-09-04;144.0;144.0;141.5;142.0;1833
2017-09-01;147.75;147.75;142.25;145.25;1065
2017-08-31;149.0;150.0;147.75;147.75;789
2017-08-30;146.5;148.0;146.5;148.0;44
2017-08-29;150.0;150.0;146.5;148.0;646
2017-08-28;146.75;150.0;146.75;149.0;71
2017-08-25;147.0;148.0;147.0;148.0;370
2017-08-24;150.0;150.0;144.75;144.75;549
2017-08-23;147.5;150.5;146.0;150.0;773
2017-08-22;142.0;147.25;142.0;146.75;1776
2017-08-21;142.0;142.75;140.0;140.0;235
2017-08-18;144.0;144.0;138.25;142.0;2508
2017-08-17;144.0;146.75;143.5;145.25;1615
2017-08-16;150.0;150.0;144.0;146.0;2181
2017-08-15;151.0;151.0;147.0;150.0;731
2017-08-14;147.5;150.0;147.5;149.25;1955
2017-08-11;152.0;152.0;144.5;147.25;1606
2017-08-10;152.0;153.0;152.0;153.0;636
2017-08-09;152.5;154.0;151.0;151.0;1049
2017-08-08;152.5;152.5;151.0;152.5;954
2017-08-07;152.0;153.0;152.0;152.0;154
2017-08-04;153.0;153.0;152.5;153.0;85
2017-08-03;154.0;156.5;150.5;153.0;984
2017-08-02;157.0;157.0;153.5;154.0;596
2017-08-01;154.0;157.0;149.5;157.0;844
2017-07-31;157.0;157.0;152.5;154.0;1571
2017-07-28;153.0;153.0;152.5;153.0;628
2017-07-27;151.0;152.5;150.0;152.5;1649
2017-07-26;151.0;151.0;146.75;151.0;1242
2017-07-25;147.5;156.0;147.5;151.0;1828
2017-07-24;145.0;146.0;141.0;146.0;3117
2017-07-21;149.0;151.5;146.0;146.0;1207
2017-07-20;150.0;150.5;149.0;149.0;434
2017-07-19;149.0;150.5;146.5;150.0;1437
2017-07-18;151.0;157.0;146.75;150.5;1623
2017-07-17;156.0;158.5;150.0;154.0;2658
2017-07-14;159.5;159.5;154.5;155.5;2266
2017-07-13;157.5;160.0;150.0;157.5;4444
2017-07-12;141.25;161.0;141.25;157.0;11742
2017-07-11;147.25;147.5;141.25;141.25;380
2017-07-10;140.0;148.25;140.0;147.25;2352
2017-07-07;134.25;139.75;134.25;139.75;1539
2017-07-06;140.0;140.0;129.25;134.0;3310
2017-07-05;140.0;140.0;140.0;140.0;3
2017-07-04;142.0;142.75;140.0;140.0;2052
2017-07-03;143.0;145.25;137.75;142.0;3917
2017-06-30;145.25;147.25;145.0;145.0;770
2017-06-29;145.25;151.0;145.25;147.25;1314
2017-06-28;146.75;146.75;140.25;145.25;433
2017-06-27;145.0;146.75;145.0;146.75;633
2017-06-26;153.0;153.0;144.5;145.0;3211
2017-06-23;;152.0;152.0;152.0;0
2017-06-22;155.0;155.0;151.0;152.0;2448
2017-06-21;147.0;153.0;147.0;152.5;1985
2017-06-20;150.0;150.0;147.0;147.75;1296
2017-06-19;153.0;153.0;150.0;150.0;1361
2017-06-16;150.0;154.0;150.0;153.0;988
2017-06-15;156.5;156.5;144.0;148.0;6151
2017-06-14;155.0;155.0;146.25;155.0;2626
2017-06-13;155.0;155.0;147.0;152.0;3829
2017-06-12;144.0;156.0;141.0;155.5;4581
2017-06-09;138.0;145.25;138.0;145.0;3256
2017-06-08;132.75;136.0;130.0;136.0;6975
2017-06-07;136.75;136.75;134.0;134.0;1654
2017-06-06;;136.75;136.75;136.75;0
2017-06-05;133.0;137.0;133.0;136.75;4278
2017-06-02;138.5;141.0;132.75;132.75;9708
2017-06-01;143.5;143.5;139.25;140.0;1668
2017-05-31;146.0;147.0;142.5;143.0;5364
2017-05-30;140.0;145.0;138.5;145.0;3928
2017-05-29;144.0;144.0;136.75;142.0;14386
2017-05-26;150.75;150.75;146.0;146.75;3130
2017-05-24;157.5;157.5;149.0;150.75;11348
2017-05-23;157.5;158.25;151.5;157.5;2586
2017-05-22;159.25;159.75;157.5;157.5;498
2017-05-19;154.5;159.25;154.5;159.25;2194
2017-05-18;160.0;160.0;151.0;154.0;5224
2017-05-17;167.0;167.0;163.5;163.5;1306
2017-05-16;166.75;168.5;166.75;167.0;3262
2017-05-15;166.0;167.5;163.5;163.5;1818
2017-05-12;163.0;166.0;166.0;166.0;1986
2017-05-11;164.75;164.75;161.5;162.75;19832
2017-05-10;161.0;168.25;159.0;164.25;31014
2017-05-09;154.0;162.5;153.25;160.0;4092
2017-05-08;155.0;155.0;153.0;153.25;4124
2017-05-05;162.0;162.0;152.25;155.0;11328
2017-05-04;171.0;171.75;161.75;162.0;2506
2017-05-03;171.0;172.5;169.5;171.0;18644
2017-05-02;165.0;173.25;165.0;170.75;5050
2017-05-01;;165.0;165.0;165.0;0
2017-04-28;167.5;173.75;165.0;165.0;9592
2017-04-27;160.75;167.25;160.75;166.25;5916
2017-04-26;158.0;165.5;158.0;160.5;3510
2017-04-25;156.75;158.0;156.5;158.0;1350
2017-04-24;157.0;158.0;155.5;156.75;2614
2017-04-21;155.0;157.25;155.0;157.0;1172
2017-04-20;154.5;158.0;153.0;153.25;2276
2017-04-19;157.0;159.0;153.0;154.5;818
2017-04-18;153.75;160.0;152.5;157.0;2608
2017-04-13;151.75;157.5;151.75;153.0;3270
2017-04-12;152.5;154.5;147.75;150.75;8320
2017-04-11;161.5;168.5;150.25;152.5;14686
2017-04-10;158.25;174.5;158.25;159.0;12796
2017-04-07;153.0;159.75;153.0;158.0;6042
2017-04-06;152.5;160.0;151.25;152.0;8088
2017-04-05;142.75;147.0;142.75;147.0;2820
2017-04-04;145.0;145.0;142.0;142.25;3228
2017-04-03;140.0;175.0;139.0;140.0;5432
2017-03-31;136.5;137.0;136.0;137.0;848
2017-03-30;137.0;138.75;136.0;137.0;5046
2017-03-29;135.0;136.0;132.5;136.0;3240
2017-03-28;130.25;132.5;128.25;132.0;3556
2017-03-27;129.0;131.5;128.75;130.25;1280
2017-03-24;125.5;130.0;125.5;128.75;1398
2017-03-23;125.0;125.25;124.5;125.25;1592
2017-03-22;124.5;125.0;124.5;124.5;2610
2017-03-21;124.0;125.0;124.0;124.5;8814
2017-03-20;122.5;125.0;120.0;122.5;3626
2017-03-17;123.0;124.0;119.5;122.5;652
2017-03-16;121.5;124.25;121.25;124.0;3500
2017-03-15;117.75;121.75;117.5;121.75;2472
2017-03-14;116.0;117.0;115.5;117.0;1378
2017-03-13;118.75;122.0;114.25;116.0;4042
2017-03-10;117.5;119.25;119.25;119.25;426
2017-03-09;122.5;122.5;117.5;117.5;2720
2017-03-08;123.75;124.0;121.25;122.5;742
2017-03-07;122.5;124.5;122.5;123.75;3352
2017-03-06;118.5;124.5;118.5;124.5;1926
2017-03-03;123.5;118.5;118.5;118.5;6146
2017-03-02;118.25;123.5;118.25;123.5;3522
2017-03-01;114.5;119.0;114.5;118.25;1136
2017-02-28;114.5;114.5;113.5;114.5;1082
2017-02-27;115.0;115.0;112.5;114.5;1788
2017-02-24;119.75;120.5;117.25;117.25;1036
2017-02-23;120.0;120.0;119.0;120.0;1892
2017-02-22;117.0;118.75;117.0;118.75;968
2017-02-21;117.5;118.5;117.0;117.0;1116
2017-02-20;115.0;125.0;110.5;117.5;2454
2017-02-17;116.75;116.75;113.5;115.0;1372
2017-02-16;118.0;118.0;115.25;116.75;422
2017-02-15;119.75;119.75;116.75;118.25;312
2017-02-14;119.75;119.75;116.25;118.5;594
2017-02-13;118.25;119.25;118.0;119.25;1846
2017-02-10;113.75;119.0;113.75;119.0;4308
2017-02-09;119.0;119.0;112.5;113.75;3728
2017-02-08;122.5;122.5;119.0;120.0;5616
2017-02-07;124.5;124.5;122.0;122.5;2466
2017-02-06;123.0;125.0;121.0;125.0;3388
2017-02-03;120.0;122.75;120.0;121.5;2744
2017-02-02;125.0;125.0;119.0;119.75;4100
2017-02-01;122.5;125.0;122.5;124.25;11622
2017-01-31;122.5;122.5;119.75;122.5;2208
2017-01-30;118.5;120.25;117.5;119.75;38582
2017-01-27;114.5;118.25;114.5;117.0;2530
2017-01-26;112.0;114.75;112.0;113.75;6890
2017-01-25;111.0;112.75;110.0;111.25;4690
2017-01-24;112.5;113.75;110.75;110.75;780
2017-01-23;114.0;118.25;113.0;113.0;7750
2017-01-20;106.75;117.0;106.75;114.0;6064
2017-01-19;104.75;106.0;104.75;105.75;8748
2017-01-18;103.0;104.5;102.0;104.5;750
2017-01-17;103.0;104.5;102.0;104.5;1908
2017-01-16;103.0;103.25;103.0;103.0;874
2017-01-13;103.0;103.25;101.0;103.25;3402
2017-01-12;102.5;103.5;100.5;103.25;658
2017-01-11;100.75;103.0;100.5;102.5;1450
2017-01-10;102.5;102.5;102.5;102.5;4
2017-01-09;101.0;103.0;100.5;102.5;2688
2017-01-06;;101.5;101.5;101.5;0
2017-01-05;103.0;103.0;100.5;101.5;1264
2017-01-04;103.75;103.75;100.0;103.0;6258
2017-01-03;104.25;104.25;102.25;104.0;108
2017-01-02;104.75;104.75;101.75;101.75;712
2016-12-30;104.0;104.75;101.5;104.75;3790
2016-12-29;104.5;104.5;102.0;104.0;1180
2016-12-28;104.0;105.0;101.0;104.5;2706
2016-12-27;105.25;105.25;100.0;104.0;2074
2016-12-23;104.0;104.75;102.5;104.75;1178
2016-12-22;105.25;105.25;105.25;105.25;44
2016-12-21;103.5;108.0;102.5;105.25;1806
2016-12-20;103.5;105.5;103.5;105.5;1990
2016-12-19;105.75;106.0;102.75;102.75;1500
2016-12-16;104.5;105.75;102.75;105.75;1772
2016-12-15;104.0;105.0;103.0;104.0;2560
2016-12-14;100.75;106.0;100.75;105.5;1988
2016-12-13;99.25;102.25;99.25;100.5;2250
2016-12-12;100.0;101.0;100.0;101.0;24
2016-12-09;100.5;101.5;100.0;101.5;2688
2016-12-08;100.0;102.0;99.5;100.5;2734
2016-12-07;99.25;100.25;99.0;99.75;1170
2016-12-06;100.5;101.75;95.75;99.25;2468
2016-12-05;104.0;104.0;101.5;102.0;640
2016-12-02;100.5;103.5;100.5;103.5;294
2016-12-01;102.5;102.5;99.75;101.75;1896
2016-11-30;104.0;104.0;102.5;102.5;2100
2016-11-29;102.75;102.75;99.25;102.25;1824
2016-11-28;104.5;106.0;102.75;102.75;2780
2016-11-25;103.5;103.5;103.0;103.0;804
