Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,185.9,186.7,184.5,186.6,869494
2017-09-07 00:00:00,183.7,186.2,183.0,185.8,1686912
2017-09-06 00:00:00,180.4,181.8,180.3,181.2,850196
2017-09-04 00:00:00,180.9,181.9,179.9,181.8,1041747
2017-09-01 00:00:00,180.1,184.1,180.1,182.9,1261474
2017-08-31 00:00:00,179.7,180.7,179.6,180.0,1534886
2017-08-30 00:00:00,179.0,179.7,178.4,179.1,1280696
2017-08-29 00:00:00,179.8,179.8,178.1,178.4,1339511
2017-08-28 00:00:00,181.5,182.2,180.8,181.1,510113
2017-08-25 00:00:00,182.7,183.8,182.1,182.8,931022
2017-08-24 00:00:00,183.7,184.2,182.4,182.4,672956
2017-08-23 00:00:00,184.0,185.3,183.0,183.4,726565
2017-08-22 00:00:00,182.7,185.0,182.7,185.0,1086865
2017-08-21 00:00:00,181.7,183.1,180.9,181.9,1068324
2017-08-18 00:00:00,182.0,183.5,180.7,182.6,1354149
2017-08-17 00:00:00,184.8,185.9,182.7,183.4,1611609
2017-08-16 00:00:00,184.1,187.2,184.1,185.2,1070127
2017-08-15 00:00:00,186.1,187.1,183.5,183.8,993822
2017-08-14 00:00:00,184.5,186.6,184.3,185.9,974604
2017-08-11 00:00:00,185.7,186.1,182.5,183.4,1263829
2017-08-10 00:00:00,188.8,189.0,187.0,187.0,1112114
2017-08-09 00:00:00,188.4,189.0,187.3,188.9,1009596
2017-08-08 00:00:00,189.2,190.4,188.5,189.4,623104
2017-08-07 00:00:00,187.8,189.2,187.6,189.0,810064
2017-08-04 00:00:00,185.6,188.6,184.4,188.0,973056
2017-08-03 00:00:00,185.0,186.8,183.9,185.7,1117613
2017-08-02 00:00:00,185.8,186.3,184.3,185.1,1194250
2017-08-01 00:00:00,184.9,185.8,183.7,185.3,1672515
2017-07-31 00:00:00,180.6,181.8,179.8,180.4,1333882
2017-07-28 00:00:00,183.5,183.7,180.7,181.1,1202223
2017-07-27 00:00:00,184.5,186.5,182.4,183.8,1340760
2017-07-26 00:00:00,185.0,186.0,184.4,185.6,978702
2017-07-25 00:00:00,184.0,186.0,184.0,185.1,918983
