Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,503.5,508.5,497.9,506.5,751988
2017-09-07 00:00:00,483.8,505.0,482.9,503.0,1368349
2017-09-06 00:00:00,482.2,484.0,476.4,483.2,674439
2017-09-04 00:00:00,480.0,481.4,477.8,479.6,459378
2017-09-01 00:00:00,472.3,483.0,471.5,481.6,666265
2017-08-31 00:00:00,466.8,475.2,465.0,472.1,527525
2017-08-30 00:00:00,467.2,467.2,462.0,466.2,236212
2017-08-29 00:00:00,468.0,469.6,461.3,466.3,541155
2017-08-28 00:00:00,470.1,472.7,467.6,469.1,212533
2017-08-25 00:00:00,475.2,478.0,469.1,471.1,435124
2017-08-24 00:00:00,472.0,477.4,470.9,474.3,465246
2017-08-23 00:00:00,469.1,473.8,468.5,470.8,419849
2017-08-22 00:00:00,468.8,470.1,466.3,468.5,363196
2017-08-21 00:00:00,470.8,470.8,464.3,466.7,457248
2017-08-18 00:00:00,475.0,477.4,469.0,471.1,550516
2017-08-17 00:00:00,472.7,480.1,472.1,475.3,527624
2017-08-16 00:00:00,472.0,474.5,470.5,472.5,355004
2017-08-15 00:00:00,473.5,474.3,468.0,470.3,334191
2017-08-14 00:00:00,472.2,473.8,468.8,472.5,621058
2017-08-11 00:00:00,476.3,476.3,469.7,471.0,459609
2017-08-10 00:00:00,483.7,483.7,476.0,476.3,546246
2017-08-09 00:00:00,492.6,493.3,487.3,488.1,430821
2017-08-08 00:00:00,489.1,493.8,487.0,491.9,353644
2017-08-07 00:00:00,490.8,493.0,488.1,488.9,255750
2017-08-04 00:00:00,493.3,493.5,485.5,489.8,452454
2017-08-03 00:00:00,489.7,496.7,487.1,491.0,619868
2017-08-02 00:00:00,487.6,491.0,486.1,488.8,649475
2017-08-01 00:00:00,495.8,496.9,484.2,488.2,890775
2017-07-31 00:00:00,493.0,500.0,489.8,493.3,1046993
2017-07-28 00:00:00,478.0,485.1,467.5,481.4,1865866
2017-07-27 00:00:00,476.0,483.0,464.0,471.8,4982305
2017-07-26 00:00:00,551.5,558.5,551.0,555.5,311381
2017-07-25 00:00:00,554.5,559.5,551.0,551.5,297333
2017-07-24 00:00:00,560.0,560.0,550.0,552.0,282158
2017-07-21 00:00:00,559.0,562.5,556.0,559.0,323906
2017-07-20 00:00:00,556.0,561.5,554.5,555.5,269147
2017-07-19 00:00:00,555.5,559.5,552.0,555.5,183175
2017-07-18 00:00:00,552.5,560.0,551.0,555.5,479887
2017-07-17 00:00:00,560.0,564.0,553.0,555.5,437674
2017-07-14 00:00:00,540.5,552.5,537.5,552.0,710410
2017-07-13 00:00:00,552.0,558.0,543.0,550.0,1216703
2017-07-12 00:00:00,557.0,572.5,555.5,571.0,397115
2017-07-11 00:00:00,565.5,565.5,557.5,559.5,407653
2017-07-10 00:00:00,567.5,572.0,567.0,567.0,163596
2017-07-07 00:00:00,567.0,568.5,564.5,566.5,188788
2017-07-06 00:00:00,578.5,579.5,566.0,568.0,273088
2017-07-05 00:00:00,572.5,580.0,567.0,578.0,494015
2017-07-04 00:00:00,574.0,577.5,570.0,574.0,212803
2017-07-03 00:00:00,575.0,576.0,570.0,575.5,231455
2017-06-30 00:00:00,577.0,580.5,571.5,572.0,523407
2017-06-29 00:00:00,589.0,589.0,575.0,579.0,580210
2017-06-28 00:00:00,595.0,596.5,589.0,590.5,449632
2017-06-27 00:00:00,612.0,612.0,598.5,599.5,381915
2017-06-26 00:00:00,611.5,622.0,610.0,612.0,361344
2017-06-23 00:00:00,,619.0,619.0,619.0,0
2017-06-22 00:00:00,607.5,619.5,603.5,619.0,430612
2017-06-21 00:00:00,610.5,611.5,600.5,607.5,352341
2017-06-20 00:00:00,604.0,612.0,602.0,610.0,336268
2017-06-19 00:00:00,597.5,604.0,596.5,602.5,290384
2017-06-16 00:00:00,599.0,601.0,594.5,596.0,591283
2017-06-15 00:00:00,597.0,599.5,590.5,598.0,359904
2017-06-14 00:00:00,594.0,600.0,592.5,596.5,414846
2017-06-13 00:00:00,595.0,598.0,590.5,592.0,290993
2017-06-12 00:00:00,598.5,598.5,590.5,595.0,357962
2017-06-09 00:00:00,601.5,608.0,598.5,602.0,577002
