Dates,Open,High,Low,Close,Volume
2015-09-04 00:00:00,,118.6,118.6,118.6,0
2015-09-03 00:00:00,,118.6,118.6,118.6,0
2015-09-02 00:00:00,,118.6,118.6,118.6,0
2015-09-01 00:00:00,,118.6,118.6,118.6,0
2015-08-31 00:00:00,119.0,119.0,117.1,118.6,6097
2015-08-28 00:00:00,119.2,119.3,116.0,118.0,40393
2015-08-27 00:00:00,123.0,123.0,118.3,118.6,10668
2015-08-26 00:00:00,121.7,121.7,115.9,118.5,88087
2015-08-25 00:00:00,114.7,119.9,114.7,118.2,105945
2015-08-24 00:00:00,119.0,119.0,109.0,114.5,50557
2015-08-21 00:00:00,121.4,121.5,118.1,119.6,18354
2015-08-20 00:00:00,124.9,125.2,120.5,121.4,145924
2015-08-19 00:00:00,126.0,126.0,123.2,124.3,182771
2015-08-18 00:00:00,126.5,127.5,124.6,126.0,263497
2015-08-17 00:00:00,122.8,124.5,121.4,124.5,21737
2015-08-14 00:00:00,124.3,124.5,122.7,122.8,7020
2015-08-13 00:00:00,123.6,123.8,122.2,123.8,61566
2015-08-12 00:00:00,124.0,126.3,121.4,122.4,15087
2015-08-11 00:00:00,124.7,126.4,122.8,123.9,14285
2015-08-10 00:00:00,124.0,124.9,124.0,124.7,8241
2015-08-07 00:00:00,123.4,124.0,123.0,123.0,21026
2015-08-06 00:00:00,122.4,123.1,121.9,122.7,12384
2015-08-05 00:00:00,120.1,122.4,120.1,122.4,12936
2015-08-04 00:00:00,119.9,121.3,119.9,120.9,5907
2015-08-03 00:00:00,122.9,122.9,119.5,121.0,6193
2015-07-31 00:00:00,117.6,119.1,117.6,119.1,21667
2015-07-30 00:00:00,117.5,118.7,117.5,117.6,9813
2015-07-29 00:00:00,120.0,121.2,117.4,117.8,7883
2015-07-28 00:00:00,117.0,119.0,117.0,119.0,18247
2015-07-27 00:00:00,117.0,118.5,116.5,117.0,17312
2015-07-24 00:00:00,117.2,120.0,117.2,118.5,9628
2015-07-23 00:00:00,122.0,122.4,117.5,118.5,25713
2015-07-22 00:00:00,124.0,124.0,120.4,121.8,17642
2015-07-21 00:00:00,123.1,123.2,121.1,122.0,27229
2015-07-20 00:00:00,123.1,124.5,122.5,123.1,20815
2015-07-17 00:00:00,122.2,123.5,122.2,123.1,58688
2015-07-16 00:00:00,122.5,123.9,122.5,122.5,42487
2015-07-15 00:00:00,121.1,122.2,120.0,122.0,31144
2015-07-14 00:00:00,122.0,122.0,121.0,121.3,26321
2015-07-13 00:00:00,119.0,121.9,117.4,121.5,52714
2015-07-10 00:00:00,115.4,117.5,114.8,116.1,44769
2015-07-09 00:00:00,111.2,114.6,111.2,114.2,97865
2015-07-08 00:00:00,111.0,112.8,111.0,111.9,16671
