Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,862.0,873.5,858.5,872.0,197402
2017-09-07 00:00:00,866.0,871.5,863.5,865.0,187834
2017-09-06 00:00:00,874.0,874.5,857.5,858.5,364574
2017-09-04 00:00:00,870.0,877.5,863.5,874.5,188522
2017-09-01 00:00:00,865.5,875.0,862.0,872.5,422906
2017-08-31 00:00:00,864.0,866.5,853.0,861.0,305853
2017-08-30 00:00:00,847.0,858.0,847.0,858.0,282846
2017-08-29 00:00:00,840.5,842.5,831.5,840.0,276519
2017-08-28 00:00:00,841.5,849.0,839.5,846.5,143129
2017-08-25 00:00:00,852.5,855.0,844.5,844.5,328441
2017-08-24 00:00:00,852.0,854.5,845.0,849.0,265143
2017-08-23 00:00:00,852.5,859.5,850.5,853.0,163460
2017-08-22 00:00:00,855.0,857.0,841.5,853.5,407344
2017-08-21 00:00:00,855.0,859.0,851.0,853.0,194104
2017-08-18 00:00:00,865.0,869.0,854.5,855.5,234986
2017-08-17 00:00:00,879.0,879.0,867.0,871.5,262747
2017-08-16 00:00:00,879.5,882.5,875.5,879.0,177041
2017-08-15 00:00:00,888.0,892.5,877.0,879.5,142229
2017-08-14 00:00:00,874.0,887.0,874.0,885.5,198081
2017-08-11 00:00:00,874.0,877.5,869.5,872.0,127381
2017-08-10 00:00:00,886.5,886.5,875.5,875.5,179846
2017-08-09 00:00:00,889.0,889.5,881.0,886.0,153988
2017-08-08 00:00:00,884.0,893.0,881.5,892.5,122817
2017-08-07 00:00:00,882.5,888.0,880.0,886.0,147724
2017-08-04 00:00:00,875.0,887.5,872.5,883.0,204141
2017-08-03 00:00:00,878.0,880.0,869.0,872.0,174488
2017-08-02 00:00:00,877.0,881.0,873.0,877.0,193332
2017-08-01 00:00:00,874.5,894.0,870.5,873.5,442527
2017-07-31 00:00:00,881.5,885.5,874.0,874.5,146945
2017-07-28 00:00:00,893.5,894.5,880.0,883.0,256542
2017-07-27 00:00:00,891.0,898.5,886.5,896.5,195295
2017-07-26 00:00:00,897.0,900.0,889.0,895.0,270410
2017-07-25 00:00:00,883.0,901.5,876.0,900.0,542045
2017-07-24 00:00:00,881.0,887.0,871.0,886.0,453913
2017-07-21 00:00:00,951.0,951.5,869.0,880.0,1570883
2017-07-20 00:00:00,972.0,974.0,951.0,956.5,479452
2017-07-19 00:00:00,971.0,976.0,965.0,966.5,200024
2017-07-18 00:00:00,965.5,971.0,955.5,968.5,360237
2017-07-17 00:00:00,968.0,971.5,965.0,970.5,187049
2017-07-14 00:00:00,969.0,972.0,962.5,966.0,148566
2017-07-13 00:00:00,975.0,975.0,965.5,972.5,186191
2017-07-12 00:00:00,970.0,981.0,965.0,975.0,218958
2017-07-11 00:00:00,970.0,979.0,962.5,968.0,274169
2017-07-10 00:00:00,962.0,970.5,961.5,966.5,178571
2017-07-07 00:00:00,958.0,960.5,953.5,959.0,171786
2017-07-06 00:00:00,964.0,968.0,954.5,958.0,254210
2017-07-05 00:00:00,938.0,969.5,930.0,962.0,656060
2017-07-04 00:00:00,946.0,949.0,936.0,937.0,245377
2017-07-03 00:00:00,927.0,947.0,924.5,946.0,289290
2017-06-30 00:00:00,921.5,931.0,915.0,924.0,284962
2017-06-29 00:00:00,932.5,933.5,918.5,921.0,208786
2017-06-28 00:00:00,929.0,930.0,921.0,928.5,309484
2017-06-27 00:00:00,948.5,948.5,926.0,933.5,661704
2017-06-26 00:00:00,952.0,956.5,943.0,947.0,236381
2017-06-23 00:00:00,,949.5,949.5,949.5,0
2017-06-22 00:00:00,950.5,952.0,941.0,949.5,166605
2017-06-21 00:00:00,956.0,956.0,936.0,949.0,435643
2017-06-20 00:00:00,965.0,969.0,956.5,959.0,255963
2017-06-19 00:00:00,957.0,962.5,952.0,961.5,266266
2017-06-16 00:00:00,980.0,986.5,946.0,951.5,550066
2017-06-15 00:00:00,964.5,970.0,956.5,969.5,261639
2017-06-14 00:00:00,973.0,978.0,960.5,964.0,212972
2017-06-13 00:00:00,978.0,983.0,967.0,973.5,342680
2017-06-12 00:00:00,978.0,983.5,969.0,974.5,267546
2017-06-09 00:00:00,979.0,983.0,971.0,977.0,420421
2017-06-08 00:00:00,1000.0,1003.0,978.0,979.5,528925
2017-06-07 00:00:00,994.0,1003.0,987.5,994.5,359420
2017-06-06 00:00:00,,995.5,995.5,995.5,0
2017-06-05 00:00:00,996.0,999.0,991.0,995.5,226870
2017-06-02 00:00:00,989.0,993.5,977.0,992.0,583915
2017-06-01 00:00:00,967.0,984.5,966.0,984.5,811664
2017-05-31 00:00:00,957.5,966.0,954.0,958.0,444657
2017-05-30 00:00:00,956.5,964.5,953.0,959.0,327237
2017-05-29 00:00:00,952.5,962.5,951.0,955.0,325344
2017-05-26 00:00:00,941.5,953.0,938.0,952.5,423103
