Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,72.2,72.6,71.7,72.45,431794
2017-09-07 00:00:00,71.0,72.5,71.0,72.2,544686
2017-09-06 00:00:00,70.8,71.1,69.9,70.7,663288
2017-09-04 00:00:00,74.35,74.4,70.7,72.35,2701163
2017-09-01 00:00:00,74.7,75.1,74.3,74.7,312154
2017-08-31 00:00:00,73.5,74.45,73.35,74.2,334297
2017-08-30 00:00:00,74.2,74.5,72.85,73.3,471438
2017-08-29 00:00:00,73.2,74.25,72.6,73.9,537116
2017-08-28 00:00:00,73.5,74.55,73.45,73.5,208980
2017-08-25 00:00:00,74.5,74.8,73.55,73.55,428691
2017-08-24 00:00:00,74.15,74.85,74.15,74.4,283897
2017-08-23 00:00:00,74.55,75.1,74.4,74.6,285218
2017-08-22 00:00:00,74.3,74.95,74.2,74.65,459434
2017-08-21 00:00:00,75.0,75.5,73.65,74.15,523158
2017-08-18 00:00:00,75.0,75.65,74.5,75.3,391247
2017-08-17 00:00:00,76.0,76.05,75.1,75.75,449432
2017-08-16 00:00:00,75.9,76.35,75.25,76.0,399656
2017-08-15 00:00:00,75.85,76.3,75.4,75.65,412109
2017-08-14 00:00:00,74.7,75.85,74.7,75.6,475810
2017-08-11 00:00:00,75.6,75.9,74.25,74.25,1094141
2017-08-10 00:00:00,78.45,78.75,76.6,76.6,759557
2017-08-09 00:00:00,79.0,79.3,77.65,78.35,553693
2017-08-08 00:00:00,79.85,80.0,78.95,79.0,606571
2017-08-07 00:00:00,79.2,80.5,79.2,79.6,921782
2017-08-04 00:00:00,77.55,78.25,76.7,78.05,427668
2017-08-03 00:00:00,78.1,79.1,77.25,77.55,341956
2017-08-02 00:00:00,77.35,78.4,77.35,78.2,346950
2017-08-01 00:00:00,77.8,77.95,77.15,77.45,376607
2017-07-31 00:00:00,77.6,77.9,77.2,77.65,384772
2017-07-28 00:00:00,77.75,77.75,76.6,77.6,371792
2017-07-27 00:00:00,78.1,78.5,77.55,77.8,333329
2017-07-26 00:00:00,77.25,78.15,77.15,78.0,353512
2017-07-25 00:00:00,77.8,78.35,76.7,77.35,626403
2017-07-24 00:00:00,78.4,78.4,77.25,77.8,920695
2017-07-21 00:00:00,77.8,78.65,76.85,78.4,1312796
2017-07-20 00:00:00,78.5,79.2,77.55,77.9,1501201
2017-07-19 00:00:00,74.15,79.6,74.15,77.9,3745395
2017-07-18 00:00:00,71.9,71.9,70.75,71.9,725383
2017-07-17 00:00:00,71.3,72.0,70.35,71.9,463353
2017-07-14 00:00:00,71.1,71.6,70.5,71.2,446447
2017-07-13 00:00:00,70.0,71.15,69.55,70.85,495137
2017-07-12 00:00:00,68.9,70.8,68.9,69.85,653307
2017-07-11 00:00:00,69.8,70.15,68.3,68.7,603538
2017-07-10 00:00:00,70.8,70.85,69.5,69.7,647537
2017-07-07 00:00:00,70.85,71.15,69.75,70.95,590555
2017-07-06 00:00:00,71.2,71.6,70.4,70.85,518731
2017-07-05 00:00:00,71.15,71.4,70.25,70.7,540577
2017-07-04 00:00:00,71.5,71.8,70.95,71.45,498190
2017-07-03 00:00:00,71.95,72.4,69.4,71.5,1119312
2017-06-30 00:00:00,73.4,74.3,73.0,73.0,545654
2017-06-29 00:00:00,73.8,74.75,73.15,73.5,613618
2017-06-28 00:00:00,73.5,74.05,72.85,73.5,1153020
2017-06-27 00:00:00,75.0,75.0,73.4,73.55,1042493
2017-06-26 00:00:00,76.2,77.4,74.65,75.0,998991
2017-06-23 00:00:00,,76.2,76.2,76.2,0
2017-06-22 00:00:00,76.5,76.95,76.0,76.2,429569
2017-06-21 00:00:00,76.0,76.8,75.2,76.4,627851
2017-06-20 00:00:00,75.3,76.45,75.3,75.9,923703
2017-06-19 00:00:00,76.0,76.7,75.2,75.3,772007
2017-06-16 00:00:00,75.7,76.6,75.7,76.0,1056076
2017-06-15 00:00:00,78.0,78.15,75.5,75.6,1098863
2017-06-14 00:00:00,78.8,79.6,77.65,78.0,836436
2017-06-13 00:00:00,77.2,79.75,76.75,78.9,1228289
2017-06-12 00:00:00,77.3,77.6,76.2,76.85,737718
2017-06-09 00:00:00,78.1,78.2,76.8,77.3,1215768
2017-06-08 00:00:00,78.0,78.85,77.6,78.35,718835
2017-06-07 00:00:00,77.9,78.7,77.2,78.25,875003
2017-06-06 00:00:00,,77.4,77.4,77.4,0
2017-06-05 00:00:00,78.9,79.55,77.4,77.4,464158
2017-06-02 00:00:00,79.2,79.75,78.55,78.9,978020
2017-06-01 00:00:00,79.3,80.6,78.7,78.8,843327
2017-05-31 00:00:00,80.05,81.25,78.3,79.25,1224295
2017-05-30 00:00:00,77.55,80.25,77.55,80.15,1255668
2017-05-29 00:00:00,80.9,80.95,77.5,77.5,780773
2017-05-26 00:00:00,78.7,81.35,78.65,80.95,1097730
2017-05-24 00:00:00,76.5,79.15,76.0,79.15,882141
2017-05-23 00:00:00,79.9,81.2,79.9,80.65,930859
2017-05-22 00:00:00,80.6,81.6,79.75,80.0,1420507
2017-05-19 00:00:00,77.2,80.85,76.9,80.35,1335372
2017-05-18 00:00:00,76.35,77.1,75.2,77.0,1072916
2017-05-17 00:00:00,75.5,76.7,74.5,76.25,1438976
2017-05-16 00:00:00,76.05,76.3,74.7,75.65,1003482
2017-05-15 00:00:00,77.1,77.2,75.9,76.25,575955
2017-05-12 00:00:00,77.05,77.4,77.4,77.4,505911
2017-05-11 00:00:00,78.9,79.2,75.95,77.05,813355
2017-05-10 00:00:00,76.75,78.9,76.75,78.8,1126168
2017-05-09 00:00:00,75.85,76.9,75.85,76.65,526480
2017-05-08 00:00:00,76.0,76.3,75.25,75.85,377694
2017-05-05 00:00:00,76.25,76.45,75.7,75.7,453922
2017-05-04 00:00:00,74.35,76.4,74.05,76.25,794933
2017-05-03 00:00:00,75.3,75.4,74.05,74.35,982508
2017-05-02 00:00:00,75.9,75.9,74.8,75.4,1178466
2017-05-01 00:00:00,,75.7,75.7,75.7,0
2017-04-28 00:00:00,75.9,76.2,75.25,75.7,1112117
2017-04-27 00:00:00,81.0,82.4,74.2,75.4,4940925
2017-04-26 00:00:00,78.0,79.95,77.15,79.95,1654512
2017-04-25 00:00:00,78.5,79.2,78.2,78.7,610026
2017-04-24 00:00:00,79.15,79.75,78.2,78.7,617426
2017-04-21 00:00:00,79.6,80.0,78.0,78.05,622499
2017-04-20 00:00:00,79.25,79.95,79.1,79.4,530365
2017-04-19 00:00:00,77.55,79.65,77.4,79.35,991729
2017-04-18 00:00:00,77.75,78.35,77.05,77.65,875408
2017-04-13 00:00:00,77.4,77.75,76.85,77.6,267190
2017-04-12 00:00:00,76.85,77.45,76.6,77.3,429403
2017-04-11 00:00:00,77.6,77.6,76.45,76.85,540198
2017-04-10 00:00:00,77.95,78.15,77.15,77.5,501187
2017-04-07 00:00:00,76.7,77.8,76.5,77.8,532514
2017-04-06 00:00:00,76.7,77.1,75.6,76.7,478871
2017-04-05 00:00:00,76.25,77.15,75.65,76.8,636025
2017-04-04 00:00:00,76.9,77.6,76.35,76.7,530024
2017-04-03 00:00:00,78.0,78.9,76.9,77.25,912286
2017-03-31 00:00:00,77.55,78.75,74.15,78.0,1966536
2017-03-30 00:00:00,76.0,77.65,76.0,77.4,1011503
2017-03-29 00:00:00,74.3,76.3,74.1,75.95,1178735
2017-03-28 00:00:00,74.65,74.85,73.3,74.2,834000
2017-03-27 00:00:00,74.8,74.9,73.7,74.65,637970
2017-03-24 00:00:00,75.75,76.0,74.1,74.8,889574
2017-03-23 00:00:00,74.1,75.7,73.8,75.65,698032
2017-03-22 00:00:00,74.3,74.4,73.1,74.1,1740144
2017-03-21 00:00:00,78.0,78.45,74.4,74.75,1887695
2017-03-20 00:00:00,77.55,78.35,77.2,77.7,886716
2017-03-17 00:00:00,78.05,78.65,77.05,77.5,1063525
2017-03-16 00:00:00,78.6,78.9,77.75,78.0,1012696
2017-03-15 00:00:00,79.4,79.65,78.55,78.6,682079
2017-03-14 00:00:00,81.0,81.1,79.0,79.4,960004
2017-03-13 00:00:00,80.8,81.2,80.5,81.15,482494
2017-03-10 00:00:00,81.1,80.95,80.95,80.95,554161
2017-03-09 00:00:00,79.0,81.2,78.2,80.85,1023682
2017-03-08 00:00:00,80.8,80.8,79.2,79.35,836135
2017-03-07 00:00:00,79.6,80.7,79.5,80.5,571552
2017-03-06 00:00:00,79.7,80.3,77.75,79.5,954181
2017-03-03 00:00:00,80.5,79.7,79.7,79.7,534800
2017-03-02 00:00:00,80.2,80.8,79.75,80.5,428590
2017-03-01 00:00:00,81.0,81.4,79.9,80.3,595219
2017-02-28 00:00:00,80.2,80.9,79.55,80.85,701970
2017-02-27 00:00:00,81.6,81.85,79.65,80.2,756294
2017-02-24 00:00:00,82.8,83.25,81.15,81.5,676326
2017-02-23 00:00:00,81.5,82.85,81.0,82.8,711775
2017-02-22 00:00:00,81.6,82.25,80.55,81.1,866522
2017-02-21 00:00:00,82.1,82.3,80.9,81.45,1277591
2017-02-20 00:00:00,82.5,83.0,81.5,82.05,926623
2017-02-17 00:00:00,82.45,85.65,81.8,82.15,947439
2017-02-16 00:00:00,82.45,83.0,82.05,82.45,764065
2017-02-15 00:00:00,84.7,84.85,82.25,82.25,949247
2017-02-14 00:00:00,84.75,85.4,84.1,84.35,756051
2017-02-13 00:00:00,84.45,84.95,82.45,84.7,1307210
2017-02-10 00:00:00,84.0,85.4,83.6,84.1,1876550
2017-02-09 00:00:00,80.4,82.8,80.25,82.5,2928014
2017-02-08 00:00:00,76.7,78.45,75.8,78.25,959350
2017-02-07 00:00:00,78.0,78.5,76.65,76.7,761483
2017-02-06 00:00:00,78.1,78.15,77.3,78.0,727156
2017-02-03 00:00:00,78.6,78.6,77.55,78.05,2011996
2017-02-02 00:00:00,77.2,79.6,77.0,78.6,1913025
2017-02-01 00:00:00,75.5,77.2,74.4,76.85,1216326
2017-01-31 00:00:00,76.4,76.7,74.55,75.3,1528129
2017-01-30 00:00:00,77.0,77.85,75.8,76.4,1259872
2017-01-27 00:00:00,79.45,79.45,76.65,77.25,1382542
2017-01-26 00:00:00,79.9,79.95,77.55,79.45,1138211
2017-01-25 00:00:00,80.15,80.8,79.65,79.9,812630
2017-01-24 00:00:00,80.95,81.7,79.75,80.0,803860
2017-01-23 00:00:00,83.0,83.1,80.25,80.8,1415105
2017-01-20 00:00:00,84.9,84.95,82.8,83.15,736666
2017-01-19 00:00:00,86.3,86.3,84.0,84.8,565519
2017-01-18 00:00:00,83.45,86.35,83.45,86.3,831546
2017-01-17 00:00:00,84.05,84.3,82.65,83.8,978677
2017-01-16 00:00:00,86.0,86.0,84.05,84.4,970447
2017-01-13 00:00:00,86.55,87.0,86.0,86.55,442008
2017-01-12 00:00:00,88.0,88.05,86.15,86.55,942823
2017-01-11 00:00:00,89.7,90.2,87.85,88.0,948441
2017-01-10 00:00:00,89.6,90.4,89.3,89.6,1043433
2017-01-09 00:00:00,90.0,90.4,88.35,89.2,808311
2017-01-06 00:00:00,,89.9,89.9,89.9,0
2017-01-05 00:00:00,90.7,91.55,89.9,89.9,400159
2017-01-04 00:00:00,91.1,91.2,90.15,90.7,721803
2017-01-03 00:00:00,89.2,91.95,89.2,90.15,1170660
2017-01-02 00:00:00,88.0,89.0,87.5,88.85,454655
2016-12-30 00:00:00,88.0,88.2,86.9,87.9,424029
2016-12-29 00:00:00,86.8,88.3,86.6,88.0,745635
2016-12-28 00:00:00,87.2,87.7,86.6,87.0,720300
2016-12-27 00:00:00,87.55,88.1,86.75,87.0,722445
2016-12-23 00:00:00,88.6,89.15,87.55,87.55,844412
2016-12-22 00:00:00,88.3,89.45,87.55,88.6,671056
2016-12-21 00:00:00,90.6,91.15,88.55,88.65,723541
2016-12-20 00:00:00,92.4,93.0,90.4,90.6,750198
2016-12-19 00:00:00,88.75,92.7,88.7,92.5,1155596
2016-12-16 00:00:00,87.4,89.35,86.95,88.9,1232989
2016-12-15 00:00:00,86.55,87.75,86.0,87.4,822525
2016-12-14 00:00:00,88.2,88.2,85.05,86.55,1330286
2016-12-13 00:00:00,87.0,88.7,86.85,88.25,844289
2016-12-12 00:00:00,87.35,87.95,85.7,87.05,754518
2016-12-09 00:00:00,87.2,88.0,86.65,87.35,680795
2016-12-08 00:00:00,87.35,88.25,86.65,87.3,662083
2016-12-07 00:00:00,87.7,89.55,86.65,87.15,875290
2016-12-06 00:00:00,86.55,87.4,86.2,87.3,458754
2016-12-05 00:00:00,86.5,88.0,85.85,86.7,480904
2016-12-02 00:00:00,90.0,90.4,85.3,86.7,968203
2016-12-01 00:00:00,90.0,90.15,88.65,89.95,496045
2016-11-30 00:00:00,90.7,91.25,88.75,90.15,746867
2016-11-29 00:00:00,89.8,91.1,89.7,90.6,316380
2016-11-28 00:00:00,91.0,93.05,89.65,89.7,515425
2016-11-25 00:00:00,91.2,91.5,90.45,91.0,339402
2016-11-24 00:00:00,89.7,91.35,89.55,91.15,525965
2016-11-23 00:00:00,91.0,91.9,88.95,89.55,684269
2016-11-22 00:00:00,89.6,91.25,89.4,90.6,650625
2016-11-21 00:00:00,91.0,91.0,87.35,89.55,794898
2016-11-18 00:00:00,89.9,91.0,88.35,90.35,511666
2016-11-17 00:00:00,87.15,89.85,86.25,89.65,551727
2016-11-16 00:00:00,88.3,88.95,86.2,87.15,513694
2016-11-15 00:00:00,86.3,88.5,86.25,88.3,523151
2016-11-14 00:00:00,85.0,87.55,85.0,86.25,747677
2016-11-11 00:00:00,85.5,86.8,84.25,84.75,742253
2016-11-10 00:00:00,83.6,86.65,83.6,85.1,1001426
2016-11-09 00:00:00,80.0,83.85,79.25,82.8,1161338
2016-11-08 00:00:00,86.9,87.5,84.15,85.3,602237
2016-11-07 00:00:00,85.15,86.8,83.35,86.6,689001
2016-11-04 00:00:00,86.3,86.3,84.55,84.55,350445
2016-11-03 00:00:00,86.2,87.35,85.25,86.3,405655
2016-11-02 00:00:00,85.5,87.3,84.65,86.0,747886
2016-11-01 00:00:00,87.8,87.95,85.15,85.45,547161
2016-10-31 00:00:00,88.0,88.0,86.1,87.2,512193
2016-10-28 00:00:00,87.05,88.2,85.05,88.2,1031451
2016-10-27 00:00:00,90.0,90.1,86.7,87.15,958012
2016-10-26 00:00:00,90.9,90.9,88.1,90.1,737375
2016-10-25 00:00:00,92.3,92.95,90.1,90.65,732821
2016-10-24 00:00:00,92.5,93.8,91.5,92.0,976252
2016-10-21 00:00:00,94.0,94.15,89.65,92.3,1987010
2016-10-20 00:00:00,91.4,95.95,91.3,93.55,5238163
2016-10-19 00:00:00,84.85,85.6,82.15,85.4,1530862
2016-10-18 00:00:00,84.3,86.05,84.05,84.55,933681
2016-10-17 00:00:00,85.3,85.3,83.35,83.65,652357
2016-10-14 00:00:00,83.35,85.7,83.35,85.15,1206195
2016-10-13 00:00:00,82.85,84.6,81.3,83.25,1551126
2016-10-12 00:00:00,91.3,91.35,83.0,83.0,5000363
2016-10-11 00:00:00,92.95,94.2,92.55,92.55,487421
2016-10-10 00:00:00,93.8,93.85,91.9,92.95,497775
2016-10-07 00:00:00,94.5,94.8,92.75,92.85,542791
2016-10-06 00:00:00,93.55,95.1,93.4,94.5,711874
2016-10-05 00:00:00,93.5,95.5,93.4,93.5,694765
2016-10-04 00:00:00,92.9,94.6,92.45,94.35,886588
2016-10-03 00:00:00,95.0,96.05,92.6,92.9,907221
2016-09-30 00:00:00,92.4,95.0,91.7,94.8,636328
2016-09-29 00:00:00,95.45,96.2,92.0,93.0,879008
2016-09-28 00:00:00,92.5,95.85,92.5,94.8,1463523
2016-09-27 00:00:00,91.5,93.5,91.05,92.5,981651
2016-09-26 00:00:00,92.15,92.15,90.5,91.2,555597
2016-09-23 00:00:00,91.6,92.4,90.7,92.15,469535
2016-09-22 00:00:00,90.3,93.05,90.3,91.55,878457
2016-09-21 00:00:00,90.6,91.85,89.5,89.7,663063
