Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,126.0,126.2,125.1,125.3,349440
2017-09-07 00:00:00,125.0,126.4,124.2,126.2,415053
2017-09-06 00:00:00,126.5,126.5,123.3,124.6,1272475
2017-09-04 00:00:00,129.9,130.4,128.6,129.2,643502
2017-09-01 00:00:00,132.9,133.3,130.2,130.7,683411
2017-08-31 00:00:00,127.9,132.7,127.8,132.5,1238137
2017-08-30 00:00:00,125.4,126.6,124.8,126.6,392842
2017-08-29 00:00:00,126.3,126.8,124.0,124.5,663622
2017-08-28 00:00:00,127.7,128.1,125.9,127.0,651125
2017-08-25 00:00:00,126.1,128.0,126.1,126.7,328271
2017-08-24 00:00:00,125.8,126.6,124.4,126.1,295072
2017-08-23 00:00:00,126.8,127.5,125.6,126.0,552164
2017-08-22 00:00:00,124.7,126.9,124.3,126.9,358984
2017-08-21 00:00:00,124.0,125.1,123.2,124.7,274717
2017-08-18 00:00:00,124.5,124.5,123.2,124.5,453142
2017-08-17 00:00:00,127.4,128.0,125.2,125.7,461472
2017-08-16 00:00:00,126.9,127.8,126.6,127.4,241558
2017-08-15 00:00:00,127.0,127.6,126.2,126.6,198597
2017-08-14 00:00:00,126.0,127.9,126.0,127.1,423857
2017-08-11 00:00:00,125.3,126.2,124.4,125.8,340082
2017-08-10 00:00:00,127.0,127.5,125.4,126.2,305975
2017-08-09 00:00:00,128.5,128.5,126.6,127.5,388286
2017-08-08 00:00:00,128.7,129.2,127.8,128.8,206495
2017-08-07 00:00:00,128.9,129.8,128.4,128.6,220600
2017-08-04 00:00:00,127.1,129.1,126.7,129.1,340452
2017-08-03 00:00:00,127.9,129.0,127.0,127.1,388070
2017-08-02 00:00:00,128.7,129.3,127.4,127.5,423581
2017-08-01 00:00:00,127.7,129.6,127.7,129.4,406368
2017-07-31 00:00:00,131.0,131.6,127.4,127.7,593681
2017-07-28 00:00:00,133.0,133.0,130.6,130.9,407108
2017-07-27 00:00:00,130.9,133.6,130.9,133.2,503322
2017-07-26 00:00:00,130.9,132.0,129.7,131.8,447511
2017-07-25 00:00:00,130.9,131.3,130.1,130.9,531664
2017-07-24 00:00:00,131.7,131.7,129.7,131.2,523769
2017-07-21 00:00:00,131.0,132.0,128.9,131.7,641160
2017-07-20 00:00:00,131.7,131.9,130.3,130.8,559814
2017-07-19 00:00:00,130.0,131.9,129.6,131.7,1025622
2017-07-18 00:00:00,137.2,137.2,128.3,128.8,2276561
2017-07-17 00:00:00,134.4,137.2,134.1,137.2,523993
2017-07-14 00:00:00,135.5,135.5,134.1,134.8,512733
2017-07-13 00:00:00,136.2,137.5,135.1,135.6,440526
2017-07-12 00:00:00,134.6,137.1,134.6,136.5,508332
2017-07-11 00:00:00,136.1,136.9,133.8,133.9,401124
2017-07-10 00:00:00,137.5,137.7,135.2,136.5,384155
2017-07-07 00:00:00,136.5,137.2,135.8,136.7,453976
2017-07-06 00:00:00,137.5,138.0,134.9,136.8,722911
2017-07-05 00:00:00,133.6,135.3,132.7,135.0,568199
2017-07-04 00:00:00,134.8,135.2,133.2,133.9,336889
2017-07-03 00:00:00,133.4,135.2,133.4,135.0,376811
2017-06-30 00:00:00,132.7,134.0,132.4,133.2,405056
2017-06-29 00:00:00,135.3,136.0,132.0,133.0,529080
2017-06-28 00:00:00,134.0,135.1,132.5,134.6,418204
2017-06-27 00:00:00,135.9,136.5,134.0,134.2,464205
2017-06-26 00:00:00,135.5,137.3,135.1,135.8,450038
2017-06-23 00:00:00,,134.6,134.6,134.6,0
2017-06-22 00:00:00,136.8,136.8,134.0,134.6,792681
2017-06-21 00:00:00,139.3,139.6,136.7,137.1,582418
2017-06-20 00:00:00,140.7,141.6,139.4,139.4,438503
2017-06-19 00:00:00,139.2,141.4,139.2,140.6,597421
2017-06-16 00:00:00,138.2,139.1,137.1,139.1,1456524
2017-06-15 00:00:00,140.1,140.3,137.2,137.3,514682
2017-06-14 00:00:00,138.4,141.2,138.0,140.1,1049215
2017-06-13 00:00:00,138.0,138.2,137.3,138.0,878435
2017-06-12 00:00:00,138.7,138.8,136.9,137.5,709620
2017-06-09 00:00:00,136.4,138.9,135.7,138.7,620760
2017-06-08 00:00:00,138.3,138.5,136.0,136.4,532253
2017-06-07 00:00:00,139.0,139.4,137.9,138.3,646302
2017-06-06 00:00:00,,139.1,139.1,139.1,0
2017-06-05 00:00:00,141.0,141.4,139.0,139.1,357418
2017-06-02 00:00:00,140.7,141.5,139.8,140.5,484448
2017-06-01 00:00:00,139.0,140.4,138.3,140.0,664792
2017-05-31 00:00:00,139.7,140.1,138.2,138.6,860104
2017-05-30 00:00:00,137.7,139.9,137.1,139.6,948007
2017-05-29 00:00:00,137.3,139.0,136.6,137.8,548274
2017-05-26 00:00:00,137.0,137.6,135.7,137.2,543245
2017-05-24 00:00:00,138.1,138.6,136.1,136.7,815081
2017-05-23 00:00:00,131.9,137.9,130.7,137.1,1868909
2017-05-22 00:00:00,133.0,133.6,131.0,131.8,795846
2017-05-19 00:00:00,131.1,132.2,131.0,131.7,685659
2017-05-18 00:00:00,131.3,132.1,129.6,130.8,1289647
2017-05-17 00:00:00,135.5,135.5,130.1,131.9,2048546
2017-05-16 00:00:00,140.2,141.2,133.2,135.8,2247764
2017-05-15 00:00:00,142.1,142.3,138.6,140.0,662519
2017-05-12 00:00:00,142.8,141.3,141.3,141.3,400413
2017-05-11 00:00:00,142.6,143.6,141.7,142.6,654755
2017-05-10 00:00:00,144.6,147.1,144.0,146.5,938639
2017-05-09 00:00:00,144.0,145.6,143.7,144.7,787557
2017-05-08 00:00:00,144.0,144.2,141.8,143.6,482190
2017-05-05 00:00:00,143.4,144.1,142.5,143.6,503980
2017-05-04 00:00:00,142.5,143.9,141.8,143.2,451313
2017-05-03 00:00:00,142.7,142.9,141.2,142.5,622894
2017-05-02 00:00:00,142.1,143.0,141.4,143.0,390767
2017-05-01 00:00:00,,142.0,142.0,142.0,0
2017-04-28 00:00:00,142.3,142.7,141.1,142.0,481946
2017-04-27 00:00:00,142.4,143.3,141.5,142.1,466911
2017-04-26 00:00:00,144.5,144.7,141.4,142.4,638534
2017-04-25 00:00:00,143.5,145.3,142.0,144.4,761839
2017-04-24 00:00:00,142.9,144.1,142.0,143.5,773628
2017-04-21 00:00:00,142.2,142.8,140.1,141.3,806441
2017-04-20 00:00:00,140.7,145.0,139.0,141.4,1047393
2017-04-19 00:00:00,136.3,138.4,135.8,138.4,798534
2017-04-18 00:00:00,136.6,137.4,135.4,136.0,715330
2017-04-13 00:00:00,137.5,137.5,136.0,136.7,420101
2017-04-12 00:00:00,135.6,138.1,135.6,137.5,839539
2017-04-11 00:00:00,138.5,138.6,135.3,135.5,1596557
2017-04-10 00:00:00,141.3,141.9,136.2,138.7,1238886
2017-04-07 00:00:00,146.0,146.5,138.4,141.2,2329284
2017-04-06 00:00:00,147.7,148.7,146.9,148.3,510802
2017-04-05 00:00:00,145.0,149.0,144.6,148.1,532128
2017-04-04 00:00:00,145.6,145.6,143.7,144.5,417554
2017-04-03 00:00:00,144.4,145.9,143.7,145.6,478198
2017-03-31 00:00:00,143.9,144.7,142.5,144.5,359712
2017-03-30 00:00:00,143.2,143.9,141.8,143.9,505623
