Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,118.5,118.9,117.6,117.7,146100
2017-09-07 00:00:00,118.0,119.3,117.5,118.3,253728
2017-09-06 00:00:00,119.0,119.0,118.1,118.4,225739
2017-09-04 00:00:00,119.4,120.2,119.0,120.1,390263
2017-09-01 00:00:00,117.0,120.6,115.6,120.2,382987
2017-08-31 00:00:00,117.4,119.1,117.4,118.4,299427
2017-08-30 00:00:00,116.9,117.2,116.4,116.7,152821
2017-08-29 00:00:00,116.8,117.1,114.9,116.8,261774
2017-08-28 00:00:00,117.4,117.6,116.7,116.8,80111
2017-08-25 00:00:00,117.6,118.3,117.2,117.4,104163
2017-08-24 00:00:00,118.8,118.8,117.9,117.9,113840
2017-08-23 00:00:00,118.4,118.7,117.7,118.3,140681
2017-08-22 00:00:00,117.9,118.5,117.7,118.4,115195
2017-08-21 00:00:00,116.2,118.1,116.2,117.7,159180
2017-08-18 00:00:00,117.7,118.3,116.3,117.3,204412
2017-08-17 00:00:00,117.9,118.4,117.5,118.1,92429
2017-08-16 00:00:00,117.3,117.9,116.9,117.9,145861
2017-08-15 00:00:00,117.8,118.5,116.6,117.3,124866
2017-08-14 00:00:00,116.4,118.4,116.0,118.1,218557
2017-08-11 00:00:00,117.7,117.7,115.2,116.4,295269
2017-08-10 00:00:00,119.6,119.7,117.4,117.4,267581
2017-08-09 00:00:00,120.5,120.9,119.1,119.5,153495
2017-08-08 00:00:00,120.1,121.0,119.6,120.7,190295
2017-08-07 00:00:00,118.5,120.2,118.3,120.1,557503
2017-08-04 00:00:00,119.1,119.9,118.6,118.9,141089
2017-08-03 00:00:00,119.0,119.5,118.3,118.9,349288
2017-08-02 00:00:00,119.8,120.3,118.8,119.0,168224
2017-08-01 00:00:00,118.2,120.1,118.1,119.9,446802
2017-07-31 00:00:00,116.8,118.4,116.6,118.0,419173
2017-07-28 00:00:00,118.0,118.5,116.3,116.8,237896
2017-07-27 00:00:00,119.0,120.3,119.0,119.0,198373
2017-07-26 00:00:00,119.0,119.2,118.4,119.1,292048
2017-07-25 00:00:00,116.4,119.0,116.4,119.0,403050
2017-07-24 00:00:00,118.0,118.3,116.7,116.7,178097
2017-07-21 00:00:00,117.8,118.3,116.5,117.3,660946
2017-07-20 00:00:00,118.0,118.2,116.9,117.9,203085
2017-07-19 00:00:00,117.7,118.7,116.7,117.9,371250
2017-07-18 00:00:00,119.5,119.7,116.8,117.1,315014
2017-07-17 00:00:00,118.8,120.3,118.8,119.9,246662
2017-07-14 00:00:00,119.0,120.0,118.3,118.7,260786
2017-07-13 00:00:00,120.4,120.9,118.8,119.1,444998
2017-07-12 00:00:00,119.2,121.2,118.9,120.0,426146
2017-07-11 00:00:00,122.3,123.8,117.6,119.2,460337
2017-07-10 00:00:00,119.0,120.3,117.8,120.3,232952
2017-07-07 00:00:00,119.7,121.3,117.7,118.2,544513
2017-07-06 00:00:00,118.6,118.7,115.4,116.1,244877
2017-07-05 00:00:00,117.0,119.2,116.5,118.6,266886
2017-07-04 00:00:00,116.9,117.3,115.4,116.9,152092
2017-07-03 00:00:00,116.9,118.0,116.9,117.3,481102
2017-06-30 00:00:00,118.1,118.4,116.7,117.0,318419
2017-06-29 00:00:00,119.3,119.9,117.6,118.1,275116
2017-06-28 00:00:00,119.0,120.8,117.9,119.4,341476
2017-06-27 00:00:00,120.3,122.1,119.0,119.2,312937
2017-06-26 00:00:00,119.2,120.7,118.7,120.1,326332
2017-06-23 00:00:00,,119.7,119.7,119.7,0
2017-06-22 00:00:00,118.9,120.7,118.8,119.7,266549
2017-06-21 00:00:00,119.4,120.1,118.4,119.0,258153
2017-06-20 00:00:00,120.0,121.0,120.0,120.3,156642
2017-06-19 00:00:00,119.6,120.9,119.2,120.0,277128
2017-06-16 00:00:00,116.7,119.3,116.4,119.3,810207
2017-06-15 00:00:00,119.0,119.0,116.8,118.0,390418
2017-06-14 00:00:00,116.7,119.8,116.7,118.2,267987
2017-06-13 00:00:00,114.8,117.2,114.5,116.5,217343
2017-06-12 00:00:00,116.9,117.2,114.6,114.8,217741
2017-06-09 00:00:00,116.3,117.8,114.2,117.0,654967
2017-06-08 00:00:00,116.3,116.6,114.4,114.6,357320
2017-06-07 00:00:00,117.4,117.4,115.3,116.0,334913
2017-06-06 00:00:00,,115.7,115.7,115.7,0
2017-06-05 00:00:00,116.9,117.7,114.7,115.7,243135
2017-06-02 00:00:00,117.8,117.8,116.4,117.5,276406
2017-06-01 00:00:00,117.0,117.9,117.0,117.5,380142
2017-05-31 00:00:00,117.8,117.8,116.2,116.8,561941
2017-05-30 00:00:00,117.0,117.7,116.4,117.4,296608
2017-05-29 00:00:00,117.3,118.0,116.6,117.1,127929
2017-05-26 00:00:00,117.8,117.9,117.4,117.7,407873
2017-05-24 00:00:00,118.0,118.0,117.4,117.4,118710
2017-05-23 00:00:00,117.6,118.2,117.4,117.9,205768
2017-05-22 00:00:00,117.8,118.0,117.5,117.7,303439
2017-05-19 00:00:00,115.1,119.1,115.1,117.7,256536
2017-05-18 00:00:00,117.2,117.5,113.8,115.9,392561
2017-05-17 00:00:00,118.2,118.9,117.0,117.2,145486
2017-05-16 00:00:00,118.3,119.0,116.7,118.0,173039
2017-05-15 00:00:00,118.9,119.1,117.5,118.0,160634
2017-05-12 00:00:00,118.7,118.6,118.6,118.6,291691
2017-05-11 00:00:00,116.0,118.6,116.0,118.3,499751
2017-05-10 00:00:00,115.7,117.0,115.7,116.0,235688
2017-05-09 00:00:00,116.7,117.1,115.7,116.3,224266
2017-05-08 00:00:00,118.0,118.0,115.0,115.8,275529
2017-05-05 00:00:00,115.0,117.2,114.8,116.2,384648
2017-05-04 00:00:00,114.7,116.3,114.2,115.6,186731
2017-05-03 00:00:00,115.1,115.7,113.9,115.0,223243
2017-05-02 00:00:00,110.7,116.4,110.5,115.1,896877
2017-05-01 00:00:00,,110.3,110.3,110.3,0
2017-04-28 00:00:00,110.0,110.9,108.5,110.3,588301
2017-04-27 00:00:00,111.0,115.5,108.9,109.5,1023463
2017-04-26 00:00:00,102.3,103.0,100.4,101.8,721021
2017-04-25 00:00:00,103.6,106.7,102.7,104.0,384202
2017-04-24 00:00:00,105.5,106.6,101.5,105.8,418036
2017-04-21 00:00:00,105.4,106.3,104.5,105.5,452975
2017-04-20 00:00:00,105.7,107.3,105.3,106.0,225275
2017-04-19 00:00:00,104.9,106.8,104.8,106.0,256577
2017-04-18 00:00:00,106.8,107.2,104.8,105.8,372462
2017-04-13 00:00:00,106.3,107.4,106.0,106.0,222104
2017-04-12 00:00:00,106.0,107.1,105.7,106.1,243712
2017-04-11 00:00:00,107.1,107.1,105.1,105.9,183973
2017-04-10 00:00:00,106.9,107.6,106.5,107.1,115738
2017-04-07 00:00:00,105.9,106.9,105.3,106.9,321902
2017-04-06 00:00:00,104.8,106.9,104.0,106.2,337139
2017-04-05 00:00:00,105.0,105.6,103.5,105.1,216923
2017-04-04 00:00:00,104.5,105.0,103.3,104.4,338457
2017-04-03 00:00:00,103.5,105.3,102.7,104.5,387410
2017-03-31 00:00:00,101.3,103.3,100.5,102.7,352970
2017-03-30 00:00:00,101.0,101.4,100.4,101.0,183539
2017-03-29 00:00:00,100.4,101.4,99.8,100.9,294622
2017-03-28 00:00:00,100.0,100.7,98.85,100.3,221151
2017-03-27 00:00:00,100.0,100.3,98.55,99.0,256954
2017-03-24 00:00:00,98.95,100.2,97.55,99.9,353215
2017-03-23 00:00:00,99.15,99.35,96.05,99.0,475393
2017-03-22 00:00:00,98.3,99.2,97.5,98.7,356000
2017-03-21 00:00:00,99.7,100.0,98.0,98.3,404098
2017-03-20 00:00:00,100.8,101.2,99.65,99.8,223197
2017-03-17 00:00:00,100.5,101.3,100.0,100.5,328522
2017-03-16 00:00:00,100.8,101.3,99.55,100.6,248521
2017-03-15 00:00:00,100.2,100.9,99.35,100.2,242304
2017-03-14 00:00:00,98.8,100.4,98.05,100.2,282904
2017-03-13 00:00:00,100.0,100.2,98.8,100.0,383279
2017-03-10 00:00:00,100.3,100.0,100.0,100.0,298196
2017-03-09 00:00:00,99.35,103.0,98.55,100.0,494074
2017-03-08 00:00:00,100.2,100.7,97.95,99.1,231235
2017-03-07 00:00:00,100.4,100.4,99.45,99.65,258832
2017-03-06 00:00:00,99.7,101.2,99.7,100.0,924845
2017-03-03 00:00:00,99.4,99.55,99.55,99.55,167226
2017-03-02 00:00:00,100.8,101.2,97.35,100.0,253510
2017-03-01 00:00:00,101.5,101.9,100.4,100.8,380653
2017-02-28 00:00:00,100.2,101.2,99.3,101.2,221444
2017-02-27 00:00:00,100.0,100.5,98.75,100.1,182345
2017-02-24 00:00:00,97.75,99.65,97.75,99.15,818399
2017-02-23 00:00:00,97.75,98.35,97.5,98.0,355097
2017-02-22 00:00:00,98.0,99.3,97.25,98.1,199820
2017-02-21 00:00:00,97.4,98.4,97.35,98.05,145758
2017-02-20 00:00:00,96.15,98.15,95.55,97.55,356136
2017-02-17 00:00:00,95.35,95.9,93.6,95.25,315924
2017-02-16 00:00:00,95.15,95.95,94.9,95.35,255054
2017-02-15 00:00:00,93.2,95.7,93.0,95.7,521972
2017-02-14 00:00:00,91.6,93.35,91.1,93.1,227644
2017-02-13 00:00:00,91.4,91.7,90.9,91.5,254247
2017-02-10 00:00:00,91.9,91.9,91.0,91.3,199229
2017-02-09 00:00:00,91.9,92.0,91.5,91.85,157035
2017-02-08 00:00:00,92.6,92.8,91.5,91.85,222145
2017-02-07 00:00:00,91.7,92.8,90.9,92.8,1308507
2017-02-06 00:00:00,92.15,93.6,92.15,93.05,277777
2017-02-03 00:00:00,91.8,92.6,89.9,91.95,1404329
2017-02-02 00:00:00,92.8,93.5,91.35,91.75,230873
2017-02-01 00:00:00,92.25,93.95,92.0,93.2,231896
2017-01-31 00:00:00,90.0,92.25,87.2,91.55,537978
2017-01-30 00:00:00,90.8,91.1,90.35,90.6,104457
2017-01-27 00:00:00,91.5,91.5,90.2,90.8,126069
2017-01-26 00:00:00,92.0,92.1,91.4,91.6,106284
2017-01-25 00:00:00,93.0,93.0,91.4,91.95,134711
2017-01-24 00:00:00,91.8,93.0,91.7,92.5,131207
2017-01-23 00:00:00,93.0,93.0,91.2,91.8,197124
2017-01-20 00:00:00,92.85,93.9,90.9,92.25,349918
