Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,2.9,2.92,2.704,2.72,4023195
2017-09-07 00:00:00,2.63,2.97,2.56,2.9,5503349
2017-09-06 00:00:00,2.65,2.65,2.59,2.638,949508
2017-09-04 00:00:00,2.544,2.6,2.5,2.6,1770310
2017-09-01 00:00:00,2.73,2.73,2.372,2.56,7822350
2017-08-31 00:00:00,2.62,2.66,2.6,2.658,1925983
2017-08-30 00:00:00,2.598,2.646,2.58,2.62,1565428
2017-08-29 00:00:00,2.75,2.78,2.56,2.58,4307632
2017-08-28 00:00:00,2.736,2.81,2.73,2.782,1277522
2017-08-25 00:00:00,2.94,2.942,2.73,2.74,5027456
2017-08-24 00:00:00,3.092,3.112,2.87,2.93,7165770
2017-08-23 00:00:00,3.29,3.37,3.0,3.082,7499709
2017-08-22 00:00:00,3.354,3.376,3.322,3.37,699358
2017-08-21 00:00:00,3.31,3.354,3.31,3.336,672293
2017-08-18 00:00:00,3.36,3.42,3.23,3.27,794914
2017-08-17 00:00:00,3.402,3.42,3.354,3.354,852373
2017-08-16 00:00:00,3.446,3.454,3.39,3.42,450865
2017-08-15 00:00:00,3.41,3.462,3.4,3.402,799961
2017-08-14 00:00:00,3.546,3.546,3.418,3.46,695785
2017-08-11 00:00:00,3.494,3.494,3.372,3.41,1529014
2017-08-10 00:00:00,3.61,3.644,3.48,3.5,2673025
2017-08-09 00:00:00,3.5,3.646,3.45,3.6,3912495
2017-08-08 00:00:00,3.496,3.552,3.488,3.5,1546047
2017-08-07 00:00:00,3.54,3.54,3.466,3.496,1027367
2017-08-04 00:00:00,3.54,3.552,3.46,3.51,1900206
2017-08-03 00:00:00,3.6,3.618,3.542,3.558,1477462
2017-08-02 00:00:00,3.57,3.6,3.508,3.6,1628713
2017-08-01 00:00:00,3.65,3.666,3.58,3.608,2694750
2017-07-31 00:00:00,3.66,3.7,3.58,3.604,2264926
2017-07-28 00:00:00,3.65,3.66,3.56,3.63,2047804
2017-07-27 00:00:00,3.64,3.674,3.588,3.59,1446321
2017-07-26 00:00:00,3.57,3.66,3.53,3.632,3447846
2017-07-25 00:00:00,3.5,3.52,3.44,3.502,1359935
2017-07-24 00:00:00,3.444,3.49,3.4,3.488,1156732
2017-07-21 00:00:00,3.64,3.65,3.436,3.44,3064363
2017-07-20 00:00:00,3.6,3.7,3.592,3.634,3692033
2017-07-19 00:00:00,3.54,3.576,3.47,3.57,1895066
2017-07-18 00:00:00,3.546,3.612,3.504,3.542,2525875
2017-07-17 00:00:00,3.56,3.65,3.53,3.57,1432309
2017-07-14 00:00:00,3.46,3.584,3.46,3.56,2917917
2017-07-13 00:00:00,3.44,3.49,3.42,3.49,931887
2017-07-12 00:00:00,3.406,3.52,3.4,3.49,3793250
2017-07-11 00:00:00,3.42,3.46,3.352,3.388,2489965
2017-07-10 00:00:00,3.536,3.55,3.43,3.44,1657927
2017-07-07 00:00:00,3.57,3.616,3.504,3.53,1502950
