Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,46.5,46.74,46.12,46.6,45758
2017-09-07 00:00:00,46.34,46.61,45.5,46.51,61938
2017-09-06 00:00:00,46.82,46.82,45.53,45.71,74675
2017-09-04 00:00:00,46.88,46.88,46.19,46.71,67388
2017-09-01 00:00:00,46.9,47.25,46.5,47.0,74254
2017-08-31 00:00:00,47.0,47.0,46.25,46.9,86828
2017-08-30 00:00:00,46.31,46.9,46.3,46.9,22287
2017-08-29 00:00:00,47.0,47.0,45.68,45.79,33628
2017-08-28 00:00:00,47.04,47.06,46.57,46.99,26489
2017-08-25 00:00:00,47.43,48.12,47.1,47.25,41891
2017-08-24 00:00:00,48.07,48.25,47.32,47.71,16915
2017-08-23 00:00:00,48.01,48.38,47.51,48.06,34182
2017-08-22 00:00:00,47.75,48.21,47.16,47.85,63127
2017-08-21 00:00:00,48.81,48.81,47.75,47.8,60610
2017-08-18 00:00:00,49.28,49.28,48.6,48.95,21516
2017-08-17 00:00:00,49.95,49.95,49.1,49.41,27365
2017-08-16 00:00:00,49.45,49.82,49.02,49.58,46244
2017-08-15 00:00:00,50.35,50.35,49.45,49.45,38969
2017-08-14 00:00:00,49.07,50.0,48.88,49.82,82985
2017-08-11 00:00:00,49.0,49.4,48.8,49.25,26548
2017-08-10 00:00:00,50.0,50.15,49.33,49.95,33211
2017-08-09 00:00:00,50.5,50.5,49.75,49.99,86059
2017-08-08 00:00:00,51.2,51.2,50.5,50.85,21850
2017-08-07 00:00:00,51.45,51.45,50.7,51.2,56345
2017-08-04 00:00:00,51.5,51.5,51.25,51.45,22823
2017-08-03 00:00:00,51.5,52.15,51.2,51.45,26850
2017-08-02 00:00:00,52.4,52.4,51.45,51.45,32314
2017-08-01 00:00:00,52.6,52.6,51.6,51.85,31240
2017-07-31 00:00:00,51.6,52.45,51.3,52.35,38287
2017-07-28 00:00:00,51.5,51.8,50.8,51.55,38110
2017-07-27 00:00:00,51.85,52.25,51.65,51.95,43234
2017-07-26 00:00:00,52.55,52.55,51.8,52.05,23539
2017-07-25 00:00:00,52.4,52.75,52.3,52.75,30139
2017-07-24 00:00:00,52.45,52.9,52.2,52.4,27612
2017-07-21 00:00:00,52.3,52.5,51.9,52.15,90461
2017-07-20 00:00:00,52.0,52.75,51.75,52.5,98952
2017-07-19 00:00:00,51.3,51.95,50.1,51.6,149369
2017-07-18 00:00:00,56.1,56.5,51.1,51.25,313065
2017-07-17 00:00:00,61.45,61.85,60.3,60.3,26266
2017-07-14 00:00:00,62.0,62.15,61.5,61.5,8693
2017-07-13 00:00:00,62.6,62.6,61.4,61.6,10448
2017-07-12 00:00:00,62.0,62.9,61.55,62.85,18694
2017-07-11 00:00:00,61.3,62.0,61.25,62.0,13987
2017-07-10 00:00:00,60.85,61.45,60.65,60.75,15343
2017-07-07 00:00:00,60.05,61.0,60.05,60.45,11828
2017-07-06 00:00:00,61.5,61.5,60.1,60.6,20855
2017-07-05 00:00:00,60.0,61.95,60.0,61.2,21151
2017-07-04 00:00:00,60.65,60.65,60.0,60.0,5039
2017-07-03 00:00:00,60.0,60.8,60.0,60.65,16551
2017-06-30 00:00:00,60.45,61.4,59.6,59.6,16256
2017-06-29 00:00:00,61.8,62.35,60.45,60.45,24004
2017-06-28 00:00:00,61.9,61.9,60.65,61.7,34475
2017-06-27 00:00:00,63.0,63.0,61.65,62.0,10331
2017-06-26 00:00:00,63.05,63.5,62.85,63.0,25451
2017-06-23 00:00:00,,63.05,63.05,63.05,0
2017-06-22 00:00:00,62.25,63.45,62.25,63.05,23912
2017-06-21 00:00:00,61.6,62.5,61.45,62.25,43868
2017-06-20 00:00:00,61.45,61.7,61.0,61.5,11991
2017-06-19 00:00:00,60.55,61.4,60.55,61.3,74473
2017-06-16 00:00:00,61.15,61.3,60.6,60.7,19091
2017-06-15 00:00:00,62.45,62.45,60.65,61.1,81352
2017-06-14 00:00:00,63.0,63.05,61.75,62.0,33774
2017-06-13 00:00:00,62.7,63.4,62.4,63.0,14095
2017-06-12 00:00:00,63.35,63.35,61.85,63.0,128895
2017-06-09 00:00:00,63.5,63.65,63.2,63.45,14902
2017-06-08 00:00:00,63.3,63.8,63.25,63.5,31619
2017-06-07 00:00:00,63.05,63.7,62.3,63.3,44755
2017-06-06 00:00:00,,63.15,63.15,63.15,0
2017-06-05 00:00:00,64.5,64.5,63.0,63.15,36548
2017-06-02 00:00:00,64.3,64.8,64.0,64.35,35222
2017-06-01 00:00:00,64.05,64.1,63.1,63.6,84776
2017-05-31 00:00:00,63.45,64.2,62.4,63.7,233879
2017-05-30 00:00:00,59.85,60.65,59.7,59.85,20515
2017-05-29 00:00:00,60.75,60.75,59.55,59.7,12714
2017-05-26 00:00:00,61.25,61.25,59.35,60.8,77212
2017-05-24 00:00:00,61.0,62.5,60.15,61.7,59713
2017-05-23 00:00:00,57.9,60.35,57.9,60.15,88002
2017-05-22 00:00:00,57.05,57.85,57.05,57.5,14929
2017-05-19 00:00:00,56.8,57.5,56.75,57.0,17377
2017-05-18 00:00:00,57.6,57.6,56.3,56.6,27533
2017-05-17 00:00:00,57.75,58.9,57.5,57.5,26973
2017-05-16 00:00:00,58.0,58.95,58.0,58.25,17285
2017-05-15 00:00:00,56.6,58.65,56.6,58.15,58006
2017-05-12 00:00:00,55.95,56.75,56.75,56.75,20166
2017-05-11 00:00:00,57.6,57.6,56.45,56.75,22648
2017-05-10 00:00:00,58.5,58.5,57.1,57.1,29105
2017-05-09 00:00:00,57.65,58.3,57.65,58.3,14332
2017-05-08 00:00:00,58.0,58.0,57.35,57.65,17197
2017-05-05 00:00:00,58.0,58.4,56.8,57.5,25982
2017-05-04 00:00:00,56.95,58.0,56.95,58.0,22964
2017-05-03 00:00:00,57.95,58.0,56.25,56.95,114765
2017-05-02 00:00:00,56.35,58.0,56.35,57.95,73773
2017-05-01 00:00:00,,56.6,56.6,56.6,0
2017-04-28 00:00:00,56.35,56.7,56.0,56.6,58936
2017-04-27 00:00:00,55.15,56.35,55.15,56.35,23922
2017-04-26 00:00:00,54.1,55.5,54.1,55.15,57196
2017-04-25 00:00:00,54.75,56.1,54.0,54.5,83331
2017-04-24 00:00:00,55.9,57.45,55.9,56.2,57748
2017-04-21 00:00:00,56.7,56.9,55.7,55.9,26388
2017-04-20 00:00:00,56.3,56.95,55.75,55.75,21130
2017-04-19 00:00:00,56.15,56.4,55.6,56.3,49453
2017-04-18 00:00:00,56.75,57.0,56.1,56.35,19804
2017-04-13 00:00:00,57.5,57.55,56.9,57.1,19488
2017-04-12 00:00:00,56.75,57.9,56.75,57.5,25358
2017-04-11 00:00:00,57.0,57.6,56.2,56.9,69154
2017-04-10 00:00:00,57.7,57.9,57.5,57.6,7333
2017-04-07 00:00:00,57.0,57.95,57.0,57.9,21269
2017-04-06 00:00:00,56.8,57.7,56.2,57.35,16494
2017-04-05 00:00:00,58.3,58.45,56.5,56.5,23643
2017-04-04 00:00:00,57.8,58.75,57.4,57.85,20515
2017-04-03 00:00:00,58.75,59.2,57.8,57.8,35159
2017-03-31 00:00:00,57.6,59.05,57.6,59.0,71987
2017-03-30 00:00:00,57.0,57.75,55.8,57.75,45558
2017-03-29 00:00:00,56.35,57.65,56.35,56.75,33294
2017-03-28 00:00:00,55.7,58.5,55.5,56.35,106267
2017-03-27 00:00:00,57.2,58.5,56.75,57.75,46250
2017-03-24 00:00:00,56.5,57.8,56.45,57.55,17284
2017-03-23 00:00:00,56.45,57.0,55.5,56.55,41947
2017-03-22 00:00:00,56.5,56.7,55.0,56.5,60909
2017-03-21 00:00:00,57.7,57.95,56.55,56.75,34844
2017-03-20 00:00:00,58.55,58.55,57.55,58.05,12030
2017-03-17 00:00:00,58.25,58.35,57.4,58.0,27112
