Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,46.11,46.23,45.73,45.89,8527933
2017-09-07 00:00:00,46.05,46.36,45.64,46.28,9946062
2017-09-06 00:00:00,46.04,46.18,45.52,45.78,9919794
2017-09-04 00:00:00,46.36,46.64,46.05,46.26,11836534
2017-09-01 00:00:00,46.63,46.74,46.39,46.6,10308322
2017-08-31 00:00:00,46.99,47.09,46.35,46.57,16864089
2017-08-30 00:00:00,46.7,47.14,46.41,47.12,11859130
2017-08-29 00:00:00,47.14,47.14,45.88,46.2,13906107
2017-08-28 00:00:00,47.3,47.46,47.03,47.39,7734323
2017-08-25 00:00:00,47.84,48.29,47.5,47.5,8026426
2017-08-24 00:00:00,48.42,48.5,47.59,47.81,9476322
2017-08-23 00:00:00,48.0,48.59,47.77,48.39,10701370
2017-08-22 00:00:00,48.35,48.61,47.36,48.02,17897930
2017-08-21 00:00:00,48.83,48.92,47.98,48.29,12306346
2017-08-18 00:00:00,49.19,49.29,48.77,49.1,14081431
2017-08-17 00:00:00,49.58,49.91,49.4,49.45,15919610
2017-08-16 00:00:00,49.62,49.93,49.34,49.7,12819960
2017-08-15 00:00:00,50.2,50.3,49.61,49.62,11281800
2017-08-14 00:00:00,49.3,50.15,49.19,49.99,11171406
2017-08-11 00:00:00,48.8,49.6,48.65,49.05,14364173
2017-08-10 00:00:00,50.2,50.4,49.5,49.57,17281543
2017-08-09 00:00:00,50.4,50.45,50.05,50.35,8936943
2017-08-08 00:00:00,50.8,51.05,50.6,50.8,7586293
2017-08-07 00:00:00,51.3,51.45,50.75,50.95,7762094
2017-08-04 00:00:00,51.25,51.55,51.25,51.4,6523766
2017-08-03 00:00:00,51.7,52.2,51.15,51.15,9196104
2017-08-02 00:00:00,52.1,52.15,51.35,51.5,7532097
2017-08-01 00:00:00,52.85,52.85,51.75,51.95,8994091
2017-07-31 00:00:00,51.7,52.85,51.6,52.45,12733248
2017-07-28 00:00:00,51.5,51.75,50.8,51.65,13525956
