Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,202.6,203.1,200.0,202.0,3978300
2017-09-07 00:00:00,201.3,203.3,199.4,202.7,5557622
2017-09-06 00:00:00,198.4,200.2,195.7,199.8,5226358
2017-09-04 00:00:00,198.0,201.2,197.3,199.0,4421658
2017-09-01 00:00:00,200.0,203.7,199.3,200.7,6485815
2017-08-31 00:00:00,203.0,203.5,199.9,201.0,5055203
2017-08-30 00:00:00,204.0,204.0,200.2,203.0,6059740
2017-08-29 00:00:00,204.7,205.3,202.6,202.9,4113033
2017-08-28 00:00:00,204.5,207.1,204.5,205.4,2646239
2017-08-25 00:00:00,208.1,208.4,205.8,206.1,3348219
2017-08-24 00:00:00,205.1,208.4,204.2,207.9,5904684
2017-08-23 00:00:00,209.6,209.6,205.7,206.6,5119148
2017-08-22 00:00:00,209.4,210.5,207.4,209.8,5163421
2017-08-21 00:00:00,209.0,209.5,206.6,208.1,3679114
2017-08-18 00:00:00,210.6,211.0,208.4,209.5,4007326
2017-08-17 00:00:00,214.0,214.2,211.7,211.8,3551786
2017-08-16 00:00:00,215.5,215.9,213.6,214.6,3656272
2017-08-15 00:00:00,219.3,219.9,215.4,215.6,2610845
2017-08-14 00:00:00,218.4,219.2,217.3,218.7,2135467
2017-08-11 00:00:00,218.6,219.0,216.6,217.3,2779910
2017-08-10 00:00:00,221.2,221.4,219.0,219.9,2173619
2017-08-09 00:00:00,221.1,221.8,218.3,221.6,3259183
2017-08-08 00:00:00,224.2,224.5,221.9,222.0,2846735
2017-08-07 00:00:00,224.5,225.4,222.6,224.4,3136608
2017-08-04 00:00:00,222.9,225.2,221.2,223.9,2661716
2017-08-03 00:00:00,224.9,227.7,222.4,222.5,5495442
2017-08-02 00:00:00,219.3,225.7,218.4,224.8,7524446
2017-08-01 00:00:00,210.8,217.9,209.7,217.1,5416467
2017-07-31 00:00:00,213.3,213.3,210.2,210.5,2913556
2017-07-28 00:00:00,214.5,214.9,212.0,213.3,2433199
2017-07-27 00:00:00,214.0,215.5,212.7,214.5,2249665
2017-07-26 00:00:00,211.2,214.1,211.1,213.9,2680685
2017-07-25 00:00:00,214.0,215.1,211.0,211.6,3629458
2017-07-24 00:00:00,219.1,219.9,212.8,213.3,4596976
2017-07-21 00:00:00,219.0,221.3,218.1,218.9,4318536
2017-07-20 00:00:00,219.0,221.8,219.0,219.9,3779930
2017-07-19 00:00:00,218.3,219.7,215.7,218.5,4127986
2017-07-18 00:00:00,217.0,220.2,217.0,217.3,6770097
2017-07-17 00:00:00,212.4,218.7,212.0,217.8,6580203
2017-07-14 00:00:00,211.3,212.8,209.8,211.2,2872844
2017-07-13 00:00:00,208.0,211.7,208.0,211.2,3621695
2017-07-12 00:00:00,207.9,208.7,206.4,207.9,2896420
2017-07-11 00:00:00,208.3,209.5,207.1,207.7,3068639
2017-07-10 00:00:00,214.0,214.3,207.9,208.5,4150939
2017-07-07 00:00:00,213.7,214.3,211.9,212.9,2580636
2017-07-06 00:00:00,212.9,215.0,212.9,213.6,3762107
2017-07-05 00:00:00,210.0,214.3,209.6,212.9,4710882
2017-07-04 00:00:00,213.7,214.8,209.2,210.1,7460120
2017-07-03 00:00:00,211.0,215.6,211.0,214.6,5914830
2017-06-30 00:00:00,210.0,215.9,209.7,209.9,9813241
2017-06-29 00:00:00,214.8,216.2,200.3,210.2,21858068
2017-06-28 00:00:00,200.5,204.6,200.0,204.6,6690319
2017-06-27 00:00:00,204.8,204.9,200.7,200.7,4662401
2017-06-26 00:00:00,204.0,205.8,203.6,204.3,4525442
2017-06-23 00:00:00,,203.5,203.5,203.5,0
2017-06-22 00:00:00,200.6,203.5,200.4,203.5,4982548
2017-06-21 00:00:00,202.5,202.5,200.4,201.0,4530433
2017-06-20 00:00:00,203.1,205.7,202.5,202.5,5674803
2017-06-19 00:00:00,202.0,202.9,200.3,202.7,5504112
2017-06-16 00:00:00,200.5,202.8,200.0,201.4,7638042
