Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,79.6,79.6,78.7,79.45,8069
2017-09-07 00:00:00,79.6,79.6,78.95,79.4,2841
2017-09-06 00:00:00,79.55,79.55,78.65,78.95,6702
2017-09-04 00:00:00,80.5,80.5,79.45,79.8,5021
2017-09-01 00:00:00,79.15,81.05,79.15,80.55,3330
2017-08-31 00:00:00,79.25,79.7,78.85,79.0,2746
2017-08-30 00:00:00,77.8,79.1,77.8,78.75,6554
2017-08-29 00:00:00,76.7,78.0,76.6,78.0,16912
2017-08-28 00:00:00,76.55,77.45,76.55,77.05,4046
2017-08-25 00:00:00,76.9,77.75,76.9,77.1,8476
2017-08-24 00:00:00,78.55,78.6,76.95,77.4,3497
2017-08-23 00:00:00,78.25,78.65,78.05,78.2,3953
2017-08-22 00:00:00,78.45,79.0,78.35,78.8,4286
2017-08-21 00:00:00,78.85,79.85,78.4,78.4,3258
2017-08-18 00:00:00,80.35,80.35,78.6,79.0,6173
2017-08-17 00:00:00,80.5,81.65,80.3,81.35,3025
2017-08-16 00:00:00,80.1,80.75,80.1,80.6,2007
2017-08-15 00:00:00,80.6,80.6,79.95,79.95,7123
2017-08-14 00:00:00,80.1,82.3,80.1,82.3,3055
2017-08-11 00:00:00,81.1,81.1,79.65,80.45,6130
2017-08-10 00:00:00,81.5,81.9,80.95,81.1,6024
2017-08-09 00:00:00,82.65,82.65,81.25,81.8,7282
2017-08-08 00:00:00,81.8,82.7,81.5,82.65,6823
2017-08-07 00:00:00,80.9,81.85,80.9,81.8,5499
2017-08-04 00:00:00,80.95,81.1,79.8,81.1,10026
2017-08-03 00:00:00,80.65,81.0,80.25,80.5,6372
2017-08-02 00:00:00,81.7,82.1,80.4,80.65,5803
2017-08-01 00:00:00,82.5,82.6,81.65,81.7,3062
2017-07-31 00:00:00,81.1,81.9,81.1,81.5,6934
2017-07-28 00:00:00,81.55,81.55,80.95,81.1,5109
2017-07-27 00:00:00,81.45,82.45,81.45,82.0,6428
2017-07-26 00:00:00,81.5,82.35,81.4,81.8,6220
2017-07-25 00:00:00,81.95,82.35,81.4,81.4,8443
2017-07-24 00:00:00,82.85,83.1,81.55,82.35,11773
2017-07-21 00:00:00,83.5,84.0,83.0,83.2,10909
2017-07-20 00:00:00,84.3,84.6,83.8,83.8,11375
2017-07-19 00:00:00,83.0,84.9,82.6,84.3,8288
2017-07-18 00:00:00,87.1,87.1,81.8,83.0,19680
2017-07-17 00:00:00,85.45,86.15,85.3,85.7,8262
2017-07-14 00:00:00,84.5,85.0,84.1,84.8,9664
2017-07-13 00:00:00,83.5,84.6,83.5,84.5,6461
2017-07-12 00:00:00,83.95,84.8,83.95,84.25,2656
2017-07-11 00:00:00,84.95,84.95,83.6,84.0,8177
2017-07-10 00:00:00,83.95,84.95,83.7,84.95,7741
2017-07-07 00:00:00,83.05,84.05,82.9,84.05,4618
2017-07-06 00:00:00,84.05,84.05,82.8,83.0,7375
2017-07-05 00:00:00,83.0,84.0,83.0,83.8,8603
2017-07-04 00:00:00,83.95,84.3,83.3,83.6,4442
2017-07-03 00:00:00,83.65,84.4,83.55,84.4,8784
2017-06-30 00:00:00,82.2,84.6,82.2,83.65,6132
2017-06-29 00:00:00,84.4,84.7,82.55,82.55,3720
2017-06-28 00:00:00,85.0,85.0,84.2,84.45,5728
2017-06-27 00:00:00,87.0,87.0,85.05,85.5,6139
2017-06-26 00:00:00,87.75,87.75,86.15,86.15,7803
2017-06-23 00:00:00,,86.55,86.55,86.55,0
2017-06-22 00:00:00,85.3,86.65,85.3,86.55,7036
2017-06-21 00:00:00,86.8,86.8,85.7,86.1,7947
2017-06-20 00:00:00,87.2,87.85,87.05,87.05,6225
2017-06-19 00:00:00,87.7,87.7,86.9,87.5,10237
2017-06-16 00:00:00,84.5,87.75,84.5,87.75,16000
2017-06-15 00:00:00,84.75,84.85,84.0,84.65,6960
2017-06-14 00:00:00,84.2,86.25,84.2,84.6,20767
2017-06-13 00:00:00,84.8,85.7,84.55,84.6,23811
2017-06-12 00:00:00,87.0,87.0,84.2,84.6,10884
2017-06-09 00:00:00,86.55,87.35,85.95,85.95,14017
2017-06-08 00:00:00,89.25,89.8,85.4,86.9,16739
2017-06-07 00:00:00,89.75,90.3,89.4,89.85,14982
2017-06-06 00:00:00,,89.75,89.75,89.75,0
2017-06-05 00:00:00,89.5,90.2,89.5,89.75,3715
2017-06-02 00:00:00,90.0,90.95,89.5,89.5,15145
2017-06-01 00:00:00,90.6,90.8,89.0,89.0,10704
2017-05-31 00:00:00,90.6,90.95,89.9,90.0,5439
2017-05-30 00:00:00,89.7,90.85,89.35,90.25,10406
2017-05-29 00:00:00,89.85,89.85,89.25,89.65,6601
2017-05-26 00:00:00,89.7,89.95,88.95,89.95,4271
2017-05-24 00:00:00,88.1,89.55,88.05,88.85,8856
2017-05-23 00:00:00,87.85,88.4,87.55,88.1,32959
2017-05-22 00:00:00,87.2,88.1,87.15,87.6,8095
2017-05-19 00:00:00,85.75,87.8,85.75,86.7,7091
2017-05-18 00:00:00,87.7,87.7,85.5,86.15,34214
2017-05-17 00:00:00,89.15,89.15,87.6,87.7,9307
2017-05-16 00:00:00,89.25,89.7,89.0,89.15,6698
2017-05-15 00:00:00,90.0,90.0,88.5,89.25,4297
2017-05-12 00:00:00,89.85,89.05,89.05,89.05,32214
2017-05-11 00:00:00,89.75,90.9,89.7,89.7,12831
2017-05-10 00:00:00,91.4,91.4,89.55,89.55,7472
2017-05-09 00:00:00,90.0,91.3,90.0,90.65,12252
2017-05-08 00:00:00,90.85,90.95,89.25,89.75,17579
2017-05-05 00:00:00,89.0,90.75,89.0,90.35,27250
2017-05-04 00:00:00,88.65,89.75,88.15,89.75,28534
2017-05-03 00:00:00,89.0,89.0,87.75,88.65,9997
