Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,79.55,79.7,78.85,79.7,809500
2017-09-07 00:00:00,79.5,79.7,79.05,79.7,643400
2017-09-06 00:00:00,79.65,79.65,78.8,79.2,995314
2017-09-04 00:00:00,80.65,80.65,79.6,80.05,1060714
2017-09-01 00:00:00,80.0,81.25,79.9,80.8,888423
2017-08-31 00:00:00,79.5,80.15,79.0,80.15,1351628
2017-08-30 00:00:00,78.2,79.35,77.95,79.3,1068296
2017-08-29 00:00:00,77.25,78.35,76.7,78.0,2567844
2017-08-28 00:00:00,77.1,77.55,76.9,77.45,506061
2017-08-25 00:00:00,77.1,77.9,76.9,77.3,1452954
2017-08-24 00:00:00,78.7,78.8,77.1,77.2,1376783
2017-08-23 00:00:00,78.8,79.0,78.15,78.55,1010763
2017-08-22 00:00:00,79.0,79.2,78.3,78.95,778715
2017-08-21 00:00:00,79.1,79.85,78.55,78.7,1236241
2017-08-18 00:00:00,80.4,80.45,78.75,79.2,1767782
2017-08-17 00:00:00,80.75,81.8,80.35,81.45,1071092
2017-08-16 00:00:00,80.5,80.8,80.3,80.75,997944
2017-08-15 00:00:00,81.95,82.2,80.05,80.2,806547
2017-08-14 00:00:00,80.3,82.1,80.3,81.95,914024
2017-08-11 00:00:00,80.5,80.65,79.8,80.35,712815
2017-08-10 00:00:00,82.2,82.35,80.75,80.75,763622
2017-08-09 00:00:00,82.4,82.55,81.35,82.05,737935
2017-08-08 00:00:00,81.55,82.75,81.3,82.6,864778
2017-08-07 00:00:00,81.15,82.05,81.1,81.7,880864
2017-08-04 00:00:00,80.9,81.15,79.8,81.15,894614
2017-08-03 00:00:00,80.7,81.2,80.4,80.6,1411827
2017-08-02 00:00:00,82.1,82.35,80.55,80.55,1409599
2017-08-01 00:00:00,82.2,82.75,81.7,82.1,1145182
2017-07-31 00:00:00,81.4,82.25,81.2,82.15,1185164
2017-07-28 00:00:00,81.75,81.75,80.9,81.45,948004
2017-07-27 00:00:00,82.0,82.45,81.55,81.95,748080
2017-07-26 00:00:00,81.55,82.5,81.55,82.2,1165821
2017-07-25 00:00:00,82.5,82.65,81.7,81.9,1011913
2017-07-24 00:00:00,83.1,83.35,81.65,82.3,1109208
2017-07-21 00:00:00,84.15,84.25,83.1,83.6,1054372
2017-07-20 00:00:00,84.55,85.05,83.75,84.15,1315594
2017-07-19 00:00:00,82.8,85.05,82.75,84.4,2145421
