Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,139.3,140.6,139.3,140.2,145122
2017-09-07 00:00:00,139.6,140.2,139.2,140.1,203014
2017-09-06 00:00:00,140.1,140.1,137.9,139.4,224441
2017-09-04 00:00:00,141.1,142.0,140.9,141.0,157638
2017-09-01 00:00:00,141.2,142.5,141.2,142.3,221710
2017-08-31 00:00:00,139.1,141.3,139.1,141.2,328600
2017-08-30 00:00:00,138.6,139.5,138.5,139.3,244273
2017-08-29 00:00:00,138.4,138.9,137.2,138.6,198864
2017-08-28 00:00:00,139.0,139.6,138.6,138.7,205558
2017-08-25 00:00:00,139.3,139.3,138.4,138.9,211033
2017-08-24 00:00:00,139.3,139.4,137.8,138.9,259810
2017-08-23 00:00:00,140.0,140.0,137.8,139.2,352136
2017-08-22 00:00:00,138.7,140.0,138.1,139.6,470312
2017-08-21 00:00:00,136.3,137.4,136.0,137.2,297568
2017-08-18 00:00:00,138.5,138.5,135.8,136.9,208732
2017-08-17 00:00:00,139.5,139.6,138.4,138.6,126644
2017-08-16 00:00:00,138.8,140.4,138.8,139.7,174155
2017-08-15 00:00:00,140.3,140.4,138.8,138.9,141971
2017-08-14 00:00:00,138.3,140.4,138.1,140.0,156961
2017-08-11 00:00:00,140.3,140.4,138.2,138.3,167586
2017-08-10 00:00:00,142.0,142.3,140.4,140.7,105052
2017-08-09 00:00:00,143.1,143.5,141.5,142.0,151107
2017-08-08 00:00:00,143.5,143.6,142.8,143.6,110986
2017-08-07 00:00:00,143.5,143.6,142.3,143.5,109950
2017-08-04 00:00:00,143.5,144.0,142.7,143.5,149858
2017-08-03 00:00:00,143.8,144.7,143.5,144.1,108120
2017-08-02 00:00:00,143.3,144.5,142.9,143.9,150580
2017-08-01 00:00:00,141.0,144.0,140.7,143.8,179670
2017-07-31 00:00:00,141.3,142.0,140.6,140.6,212976
2017-07-28 00:00:00,142.7,143.0,140.8,141.3,182849
2017-07-27 00:00:00,142.5,144.1,142.2,143.1,363735
2017-07-26 00:00:00,142.2,143.0,142.1,142.8,227467
2017-07-25 00:00:00,142.8,143.4,142.3,142.7,176498
2017-07-24 00:00:00,141.6,143.6,141.6,142.8,266872
2017-07-21 00:00:00,143.0,143.0,141.4,141.7,247732
2017-07-20 00:00:00,141.4,143.1,141.4,142.6,178250
2017-07-19 00:00:00,140.5,141.6,140.1,141.1,175089
2017-07-18 00:00:00,139.8,140.4,139.3,140.4,322960
2017-07-17 00:00:00,140.0,140.1,139.0,139.5,91853
2017-07-14 00:00:00,139.8,139.9,138.8,139.6,361093
2017-07-13 00:00:00,140.0,140.0,139.1,139.7,439872
2017-07-12 00:00:00,138.3,140.1,138.2,139.9,182714
2017-07-11 00:00:00,140.0,140.0,137.7,138.1,136458
2017-07-10 00:00:00,138.0,140.2,138.0,140.2,162458
2017-07-07 00:00:00,138.9,139.0,137.3,138.1,237519
2017-07-06 00:00:00,140.1,140.6,138.6,139.0,151895
2017-07-05 00:00:00,140.2,140.2,138.7,139.8,263629
2017-07-04 00:00:00,139.0,140.2,138.6,140.2,133721
2017-07-03 00:00:00,139.8,140.3,139.0,139.3,112493
2017-06-30 00:00:00,140.5,140.7,139.2,139.7,319244
2017-06-29 00:00:00,140.7,141.0,139.9,140.5,397502
2017-06-28 00:00:00,140.4,141.6,139.4,140.0,275324
2017-06-27 00:00:00,143.0,143.2,140.4,140.4,236963
