Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,205.0,205.5,204.3,205.3,143719
2017-09-07 00:00:00,202.0,205.5,200.9,205.2,229079
2017-09-06 00:00:00,199.5,202.3,199.0,201.6,233261
2017-09-04 00:00:00,200.8,202.3,199.9,201.0,86089
2017-09-01 00:00:00,199.0,202.6,199.0,202.3,164081
2017-08-31 00:00:00,197.3,199.8,197.3,198.6,343272
2017-08-30 00:00:00,198.3,199.1,197.5,197.8,162886
2017-08-29 00:00:00,199.9,199.9,196.8,197.6,241004
2017-08-28 00:00:00,201.2,201.8,200.1,200.4,83451
2017-08-25 00:00:00,202.0,203.7,201.3,201.9,111504
2017-08-24 00:00:00,203.3,204.2,201.7,201.8,111639
2017-08-23 00:00:00,203.2,204.0,202.9,203.1,144538
2017-08-22 00:00:00,202.8,204.3,202.4,203.3,131085
2017-08-21 00:00:00,202.4,203.5,201.9,202.4,125971
2017-08-18 00:00:00,204.0,204.0,202.1,203.5,158547
2017-08-17 00:00:00,206.7,207.8,205.1,205.2,135521
2017-08-16 00:00:00,206.7,208.4,206.7,207.4,100958
2017-08-15 00:00:00,208.0,209.5,206.3,206.5,148493
2017-08-14 00:00:00,205.0,208.4,205.0,207.5,142895
2017-08-11 00:00:00,207.3,207.3,204.7,205.0,84651
2017-08-10 00:00:00,211.3,211.5,207.9,207.9,72531
2017-08-09 00:00:00,210.7,211.6,209.1,211.3,83400
2017-08-08 00:00:00,212.2,213.4,211.6,212.5,110338
2017-08-07 00:00:00,213.0,214.0,211.8,212.6,123189
2017-08-04 00:00:00,210.2,213.2,210.0,212.5,99564
2017-08-03 00:00:00,211.3,212.1,210.6,211.4,94963
2017-08-02 00:00:00,212.2,213.3,210.6,211.2,203348
2017-08-01 00:00:00,209.4,213.4,209.3,212.5,174284
2017-07-31 00:00:00,207.0,210.3,207.0,209.2,244253
2017-07-28 00:00:00,208.9,209.0,206.1,207.1,98140
2017-07-27 00:00:00,208.6,210.2,208.3,209.3,157754
2017-07-26 00:00:00,207.4,209.2,207.4,209.0,150196
2017-07-25 00:00:00,206.3,208.6,206.3,207.8,137936
2017-07-24 00:00:00,208.0,209.2,206.7,207.0,124074
2017-07-21 00:00:00,209.6,211.2,207.9,208.5,117497
2017-07-20 00:00:00,210.5,213.3,209.2,210.3,137267
2017-07-19 00:00:00,209.4,210.8,207.6,210.3,165719
2017-07-18 00:00:00,214.1,214.3,208.1,209.4,209191
2017-07-17 00:00:00,214.0,215.5,212.8,214.3,156925
2017-07-14 00:00:00,214.0,214.7,213.2,213.8,100896
2017-07-13 00:00:00,213.4,214.8,213.0,214.0,142086
2017-07-12 00:00:00,209.8,213.2,209.8,212.9,176921
2017-07-11 00:00:00,211.6,211.8,209.5,209.8,153224
2017-07-10 00:00:00,212.0,213.3,211.4,211.5,142587
2017-07-07 00:00:00,211.1,211.5,210.2,211.0,199564
2017-07-06 00:00:00,214.2,214.3,210.5,211.5,305337
2017-07-05 00:00:00,216.3,216.5,213.5,214.2,163566
2017-07-04 00:00:00,216.2,217.2,214.0,216.3,124814
2017-07-03 00:00:00,214.7,216.5,214.7,216.5,235957
2017-06-30 00:00:00,212.7,215.7,212.6,214.5,132564
2017-06-29 00:00:00,220.0,220.1,213.8,213.9,97043
2017-06-28 00:00:00,219.7,219.7,217.4,218.6,134121
2017-06-27 00:00:00,223.1,223.5,220.1,220.3,103665
2017-06-26 00:00:00,224.6,226.8,223.1,223.1,143371
2017-06-23 00:00:00,,224.4,224.4,224.4,0
2017-06-22 00:00:00,222.0,225.1,221.6,224.4,214499
2017-06-21 00:00:00,223.9,223.9,222.0,222.4,106010
2017-06-20 00:00:00,225.1,226.6,223.9,223.9,101014
2017-06-19 00:00:00,223.3,226.0,223.3,224.5,102782
2017-06-16 00:00:00,218.5,222.3,218.1,222.0,196475
2017-06-15 00:00:00,222.5,222.5,217.5,218.5,240014
2017-06-14 00:00:00,223.9,227.2,222.0,222.5,252643
2017-06-13 00:00:00,222.9,224.6,222.2,223.9,148753
2017-06-12 00:00:00,223.9,223.9,221.1,222.6,112280
2017-06-09 00:00:00,222.0,224.7,221.3,224.5,102606
2017-06-08 00:00:00,223.0,224.5,221.3,221.7,80220
2017-06-07 00:00:00,222.0,224.2,220.9,223.3,147880
2017-06-06 00:00:00,,221.1,221.1,221.1,0
2017-06-05 00:00:00,221.1,222.5,220.7,221.1,52807
2017-06-02 00:00:00,219.5,223.6,219.5,221.9,92695
2017-06-01 00:00:00,218.6,222.1,218.3,219.2,183697
2017-05-31 00:00:00,218.0,219.7,217.7,218.6,116893
2017-05-30 00:00:00,215.5,218.2,215.3,218.2,119397
2017-05-29 00:00:00,217.4,217.9,215.9,216.1,38414
2017-05-26 00:00:00,217.3,218.2,215.3,217.4,98533
2017-05-24 00:00:00,216.0,217.5,216.0,217.3,43630
2017-05-23 00:00:00,214.4,217.5,214.4,217.5,98683
2017-05-22 00:00:00,214.7,217.3,214.7,215.9,112429
2017-05-19 00:00:00,214.5,215.0,214.0,214.9,210558
2017-05-18 00:00:00,218.1,218.7,213.2,215.0,289339
2017-05-17 00:00:00,223.5,223.5,218.8,219.4,207325
2017-05-16 00:00:00,225.7,226.3,223.6,224.1,149736
2017-05-15 00:00:00,223.4,225.1,222.9,225.1,121253
2017-05-12 00:00:00,225.0,223.4,223.4,223.4,77807
2017-05-11 00:00:00,225.0,226.0,223.1,224.6,101311
2017-05-10 00:00:00,224.5,224.5,221.9,223.8,92042
2017-05-09 00:00:00,227.6,229.7,227.1,228.3,99529
2017-05-08 00:00:00,227.2,227.8,224.7,227.3,129150
2017-05-05 00:00:00,225.1,227.3,224.6,226.7,189342
2017-05-04 00:00:00,225.0,225.9,223.8,225.9,94030
2017-05-03 00:00:00,224.0,224.4,222.1,223.4,137736
2017-05-02 00:00:00,221.1,224.0,221.0,224.0,125483
2017-05-01 00:00:00,,220.5,220.5,220.5,0
2017-04-28 00:00:00,219.8,221.1,219.7,220.5,125278
2017-04-27 00:00:00,218.6,221.0,217.7,220.6,126655
