Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,195.0,195.9,194.5,195.8,603597
2017-09-07 00:00:00,192.7,195.8,191.0,195.7,1062849
2017-09-06 00:00:00,189.2,192.8,188.8,192.6,1840519
2017-09-04 00:00:00,190.0,191.9,189.4,190.8,353987
2017-09-01 00:00:00,189.0,192.2,189.0,191.7,485365
2017-08-31 00:00:00,187.2,189.1,186.3,188.2,803766
2017-08-30 00:00:00,187.9,188.6,186.7,187.2,324145
2017-08-29 00:00:00,188.4,188.4,185.9,187.2,321473
2017-08-28 00:00:00,190.4,190.6,189.0,189.1,184401
2017-08-25 00:00:00,190.4,192.6,189.6,191.0,209002
2017-08-24 00:00:00,192.9,193.5,190.1,190.2,309978
2017-08-23 00:00:00,192.7,193.0,191.9,192.7,224572
2017-08-22 00:00:00,192.3,193.4,191.4,192.7,210357
2017-08-21 00:00:00,191.0,192.5,190.7,191.5,255957
2017-08-18 00:00:00,192.0,193.1,191.2,193.1,289385
2017-08-17 00:00:00,196.0,196.9,194.1,194.5,293035
2017-08-16 00:00:00,196.0,197.4,196.0,196.7,204649
2017-08-15 00:00:00,197.0,197.7,195.0,195.8,365072
2017-08-14 00:00:00,193.8,196.3,193.6,196.2,337897
2017-08-11 00:00:00,195.3,195.4,192.6,193.4,303570
2017-08-10 00:00:00,199.1,199.1,195.6,195.7,248149
2017-08-09 00:00:00,198.7,199.4,196.6,199.4,404359
2017-08-08 00:00:00,199.9,200.3,198.5,199.5,245839
2017-08-07 00:00:00,199.9,200.8,198.7,199.6,141824
2017-08-04 00:00:00,198.7,199.8,197.5,199.5,267533
2017-08-03 00:00:00,198.0,199.3,197.7,198.9,303784
2017-08-02 00:00:00,199.2,199.9,197.9,198.7,353428
2017-08-01 00:00:00,195.7,199.7,195.7,199.1,351781
2017-07-31 00:00:00,195.0,197.5,194.9,196.0,310100
2017-07-28 00:00:00,197.5,197.8,194.6,195.1,188575
2017-07-27 00:00:00,196.8,198.0,196.7,197.5,245002
2017-07-26 00:00:00,196.0,197.5,195.8,197.0,311393
2017-07-25 00:00:00,195.7,197.3,195.2,196.8,304308
2017-07-24 00:00:00,197.8,198.6,195.6,195.8,375435
2017-07-21 00:00:00,199.0,200.9,197.3,197.8,466708
2017-07-20 00:00:00,199.4,202.6,198.6,200.0,385184
2017-07-19 00:00:00,199.5,200.0,196.5,199.6,582229
2017-07-18 00:00:00,202.6,203.5,197.8,198.8,448042
2017-07-17 00:00:00,203.7,204.8,201.8,203.9,337222
2017-07-14 00:00:00,203.2,203.9,202.3,203.5,237995
2017-07-13 00:00:00,202.8,204.0,202.0,203.0,441631
2017-07-12 00:00:00,199.4,202.4,199.4,202.4,374181
2017-07-11 00:00:00,200.8,201.3,198.8,199.2,390795
2017-07-10 00:00:00,201.0,202.1,200.3,200.8,383776
2017-07-07 00:00:00,201.0,201.0,199.2,200.3,260552
2017-07-06 00:00:00,202.0,202.6,199.6,201.0,649888
2017-07-05 00:00:00,204.3,204.3,201.8,202.8,465204
2017-07-04 00:00:00,204.0,204.9,202.8,204.3,288036
2017-07-03 00:00:00,202.2,204.3,201.8,204.1,228017
2017-06-30 00:00:00,200.0,203.1,199.6,202.0,661391
2017-06-29 00:00:00,207.1,207.7,200.8,201.1,410685
2017-06-28 00:00:00,206.1,206.3,204.8,206.3,444977
2017-06-27 00:00:00,210.0,210.0,207.3,207.5,485536
2017-06-26 00:00:00,213.0,214.3,209.6,209.7,587968
2017-06-23 00:00:00,,212.0,212.0,212.0,0
2017-06-22 00:00:00,209.5,212.2,208.6,212.0,484551
2017-06-21 00:00:00,210.2,211.0,208.4,209.6,342437
2017-06-20 00:00:00,211.2,213.4,210.2,210.2,472555
2017-06-19 00:00:00,211.0,212.7,210.0,211.2,430661
2017-06-16 00:00:00,204.5,209.2,204.5,209.2,681269
2017-06-15 00:00:00,208.4,208.5,203.6,204.5,562249
2017-06-14 00:00:00,210.9,214.2,207.8,208.5,370495
2017-06-13 00:00:00,209.0,211.3,208.5,210.9,326898
2017-06-12 00:00:00,210.6,210.6,208.1,209.1,268545
2017-06-09 00:00:00,208.0,211.0,207.9,211.0,450529
2017-06-08 00:00:00,209.0,210.7,208.3,208.9,401110
2017-06-07 00:00:00,209.0,210.3,207.6,209.0,640499
2017-06-06 00:00:00,,208.9,208.9,208.9,0
2017-06-05 00:00:00,209.3,209.9,207.5,208.9,219030
2017-06-02 00:00:00,206.6,210.4,206.6,209.3,416549
2017-06-01 00:00:00,205.0,207.4,204.2,206.1,361030
2017-05-31 00:00:00,204.6,205.9,204.0,205.4,587116
