Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,252.7,257.2,252.7,254.3,222
2017-09-07 00:00:00,252.9,256.5,251.0,254.7,1334
2017-09-06 00:00:00,254.0,255.6,250.4,252.9,3288
2017-09-04 00:00:00,258.6,258.6,254.7,254.7,2114
2017-09-01 00:00:00,258.0,263.3,258.0,258.8,2441
2017-08-31 00:00:00,255.2,257.9,255.0,257.1,1420
2017-08-30 00:00:00,254.1,257.1,254.1,254.1,682
2017-08-29 00:00:00,260.0,260.0,253.0,254.1,3457
2017-08-28 00:00:00,263.4,263.5,260.7,261.2,1264
2017-08-25 00:00:00,262.8,264.5,262.8,263.4,767
2017-08-24 00:00:00,262.4,264.7,261.5,262.8,1764
2017-08-23 00:00:00,265.0,265.0,262.2,262.4,1465
2017-08-22 00:00:00,267.5,269.0,264.5,265.5,2068
2017-08-21 00:00:00,272.1,273.0,266.2,266.6,2786
2017-08-18 00:00:00,276.0,277.0,270.9,273.0,2616
2017-08-17 00:00:00,278.2,279.0,276.0,276.0,1974
2017-08-16 00:00:00,276.5,279.3,276.2,278.2,780
2017-08-15 00:00:00,276.6,278.5,275.8,276.5,2125
2017-08-14 00:00:00,275.8,279.3,275.8,276.6,1741
2017-08-11 00:00:00,276.0,279.1,272.2,275.9,2503
2017-08-10 00:00:00,280.7,280.7,275.0,276.0,2027
2017-08-09 00:00:00,283.0,284.2,279.1,281.0,3975
2017-08-08 00:00:00,293.5,294.6,278.9,285.0,3991
2017-08-07 00:00:00,285.1,298.5,285.1,293.5,9831
2017-08-04 00:00:00,305.4,305.4,299.0,301.0,1810
2017-08-03 00:00:00,284.0,307.0,284.0,305.4,4354
2017-08-02 00:00:00,285.0,289.3,279.2,283.4,1417
2017-08-01 00:00:00,275.0,284.1,275.0,281.1,1687
2017-07-31 00:00:00,270.0,275.0,270.0,274.6,1893
2017-07-28 00:00:00,273.7,274.8,270.0,270.1,1980
2017-07-27 00:00:00,273.2,273.9,269.2,272.3,2810
2017-07-26 00:00:00,286.4,286.4,276.1,278.5,1455
2017-07-25 00:00:00,287.0,288.8,284.2,286.4,3033
2017-07-24 00:00:00,294.3,294.9,289.2,289.2,1232
2017-07-21 00:00:00,294.5,310.5,294.5,297.5,2513
2017-07-20 00:00:00,295.0,295.0,292.4,294.3,845
2017-07-19 00:00:00,300.0,302.5,294.9,295.0,893
2017-07-18 00:00:00,294.5,300.0,291.2,298.1,4598
2017-07-17 00:00:00,293.5,294.5,293.5,294.5,708
2017-07-14 00:00:00,294.5,294.5,292.0,293.5,1523
2017-07-13 00:00:00,292.0,296.9,292.0,294.5,1996
2017-07-12 00:00:00,295.0,298.4,295.0,295.1,956
2017-07-11 00:00:00,300.1,300.2,295.0,295.0,1990
2017-07-10 00:00:00,307.0,307.0,299.2,299.2,4406
2017-07-07 00:00:00,296.4,299.3,296.4,299.2,1025
2017-07-06 00:00:00,299.8,304.0,295.7,296.4,1171
2017-07-05 00:00:00,300.0,300.0,298.0,299.8,981
2017-07-04 00:00:00,311.0,311.0,300.0,301.8,1538
2017-07-03 00:00:00,298.1,311.7,298.1,310.0,3318
2017-06-30 00:00:00,300.0,301.0,284.2,298.1,2576
2017-06-29 00:00:00,311.1,311.1,304.0,304.2,2260
2017-06-28 00:00:00,310.5,314.5,310.0,311.1,2435
2017-06-27 00:00:00,311.0,315.0,310.1,310.5,2846
2017-06-26 00:00:00,310.5,312.0,307.0,311.0,3021
2017-06-23 00:00:00,,311.0,311.0,311.0,0
2017-06-22 00:00:00,302.0,311.0,302.0,311.0,4372
2017-06-21 00:00:00,304.0,305.0,295.0,301.2,3282
2017-06-20 00:00:00,306.0,306.0,301.8,304.0,4724
2017-06-19 00:00:00,318.0,318.0,289.6,308.2,8653
2017-06-16 00:00:00,310.0,335.6,310.0,320.0,10173
2017-06-15 00:00:00,295.0,310.0,291.0,307.7,5983
2017-06-14 00:00:00,292.0,292.8,288.0,290.1,2858
2017-06-13 00:00:00,287.9,293.3,284.1,293.1,4419
2017-06-12 00:00:00,285.0,288.0,283.2,287.9,5593
2017-06-09 00:00:00,285.4,285.4,281.3,281.9,1688
2017-06-08 00:00:00,285.0,285.4,284.0,285.4,2319
2017-06-07 00:00:00,282.8,285.0,282.8,284.5,5597
2017-06-06 00:00:00,,282.8,282.8,282.8,0
2017-06-05 00:00:00,275.5,284.5,275.5,282.8,11539
2017-06-02 00:00:00,264.0,266.9,264.0,266.6,2016
