Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,100.2,101.8,100.2,101.6,70171
2017-09-07 00:00:00,100.3,101.0,99.95,100.9,68368
2017-09-06 00:00:00,100.4,100.4,99.2,100.3,84119
2017-09-04 00:00:00,100.1,100.6,99.55,100.3,84900
2017-09-01 00:00:00,101.3,102.1,101.0,101.3,76465
2017-08-31 00:00:00,99.0,101.3,98.85,100.9,98995
2017-08-30 00:00:00,98.9,99.4,98.75,99.0,135356
2017-08-29 00:00:00,100.5,100.5,98.0,98.55,169647
2017-08-28 00:00:00,101.1,101.5,100.1,100.9,61521
2017-08-25 00:00:00,100.9,101.9,100.4,101.1,80030
2017-08-24 00:00:00,102.8,102.8,100.3,100.9,199026
2017-08-23 00:00:00,103.0,103.4,101.2,102.5,121842
2017-08-22 00:00:00,102.5,104.0,102.1,102.3,188237
2017-08-21 00:00:00,100.8,101.5,100.5,101.4,78333
2017-08-18 00:00:00,102.0,102.0,99.9,101.0,117084
2017-08-17 00:00:00,102.6,103.2,102.2,102.3,94786
2017-08-16 00:00:00,102.3,103.5,102.1,102.6,51120
2017-08-15 00:00:00,102.5,103.0,102.0,102.3,69869
2017-08-14 00:00:00,100.9,103.7,100.8,103.2,121637
2017-08-11 00:00:00,100.7,101.6,99.25,100.9,153740
2017-08-10 00:00:00,104.4,104.5,102.0,102.4,110833
2017-08-09 00:00:00,104.5,104.5,103.3,103.8,112086
2017-08-08 00:00:00,105.5,105.5,104.1,104.5,101495
2017-08-07 00:00:00,105.0,106.3,105.0,105.3,100119
2017-08-04 00:00:00,104.6,105.2,103.9,104.7,72332
2017-08-03 00:00:00,105.7,106.4,104.2,104.6,68013
2017-08-02 00:00:00,105.0,106.5,104.4,105.6,90928
2017-08-01 00:00:00,103.0,105.0,103.0,104.9,76655
2017-07-31 00:00:00,102.6,103.4,102.2,102.9,62137
2017-07-28 00:00:00,104.0,104.0,101.6,102.8,90433
2017-07-27 00:00:00,103.5,104.5,103.2,103.2,54151
2017-07-26 00:00:00,102.4,103.7,101.4,103.0,124076
2017-07-25 00:00:00,101.7,102.8,101.7,102.2,73529
2017-07-24 00:00:00,103.3,103.3,101.2,101.7,82762
2017-07-21 00:00:00,103.3,104.1,102.2,102.8,66079
2017-07-20 00:00:00,103.2,104.9,102.6,104.1,101148
2017-07-19 00:00:00,105.2,105.2,102.0,103.7,170470
2017-07-18 00:00:00,107.7,107.7,104.9,105.5,98415
2017-07-17 00:00:00,106.0,107.1,105.8,107.0,101261
2017-07-14 00:00:00,104.9,106.1,104.3,105.8,84955
2017-07-13 00:00:00,105.5,106.1,104.7,104.8,89003
2017-07-12 00:00:00,104.2,105.7,103.8,105.3,101753
2017-07-11 00:00:00,104.1,104.2,103.1,104.1,98838
2017-07-10 00:00:00,104.0,104.4,103.3,103.6,74273
2017-07-07 00:00:00,103.6,103.9,102.3,103.1,91388
2017-07-06 00:00:00,105.0,105.0,102.9,103.7,100711
2017-07-05 00:00:00,103.6,105.9,100.8,104.5,219373
2017-07-04 00:00:00,106.7,106.7,104.1,104.1,79533
2017-07-03 00:00:00,106.0,107.9,105.9,106.7,108183
2017-06-30 00:00:00,105.0,106.0,104.3,105.6,110177
2017-06-29 00:00:00,109.0,109.0,105.0,105.1,132811
2017-06-28 00:00:00,107.5,108.3,106.7,107.7,138238
2017-06-27 00:00:00,108.0,108.4,107.1,107.5,146451
2017-06-26 00:00:00,111.0,111.4,107.6,108.0,193772
2017-06-23 00:00:00,,110.7,110.7,110.7,0
2017-06-22 00:00:00,110.0,110.7,109.0,110.7,115985
2017-06-21 00:00:00,109.0,110.0,106.6,109.2,186018
2017-06-20 00:00:00,108.1,110.0,104.8,108.0,236640
2017-06-19 00:00:00,106.4,106.95,105.325,106.225,229664
2017-06-16 00:00:00,105.0,106.725,105.0,106.725,292040
2017-06-15 00:00:00,105.0,105.05,102.85,104.35,182104
2017-06-14 00:00:00,105.25,105.9,104.85,105.025,128504
2017-06-13 00:00:00,104.675,105.6,104.4,105.2,130896
2017-06-12 00:00:00,106.225,106.225,104.325,104.675,211348
2017-06-09 00:00:00,105.175,106.925,105.15,106.55,189932
2017-06-08 00:00:00,105.075,106.2,105.075,105.375,211108
2017-06-07 00:00:00,104.5,105.1,104.35,105.075,208988
2017-06-06 00:00:00,,104.5,104.5,104.5,0
2017-06-05 00:00:00,103.5,105.05,103.5,104.5,189484
2017-06-02 00:00:00,102.75,103.725,102.75,103.425,146784
2017-06-01 00:00:00,100.75,102.825,100.65,102.475,273932
2017-05-31 00:00:00,101.0,101.15,100.375,100.725,178168
2017-05-30 00:00:00,100.0,101.0,99.55,100.9,319580
2017-05-29 00:00:00,100.125,100.625,99.625,100.05,115784
2017-05-26 00:00:00,99.925,100.375,99.525,100.125,93500
2017-05-24 00:00:00,100.0,100.475,99.75,99.925,74020
2017-05-23 00:00:00,99.75,99.95,99.05,99.95,209456
2017-05-22 00:00:00,99.875,100.2,99.275,99.825,111760
2017-05-19 00:00:00,99.75,100.925,99.325,99.875,245928
2017-05-18 00:00:00,100.25,101.025,98.85,100.05,431480
2017-05-17 00:00:00,101.725,101.725,100.025,100.55,231428
2017-05-16 00:00:00,102.175,102.2,101.375,101.75,177632
2017-05-15 00:00:00,101.25,102.15,101.05,101.95,316792
2017-05-12 00:00:00,102.0,101.15,101.15,101.15,485560
2017-05-11 00:00:00,100.9,101.775,100.675,101.25,306904
2017-05-10 00:00:00,100.625,100.95,100.25,100.625,230540
2017-05-09 00:00:00,100.325,100.95,100.025,100.625,195456
2017-05-08 00:00:00,100.5,100.75,99.425,100.325,133436
2017-05-05 00:00:00,100.5,100.5,99.225,100.45,143912
2017-05-04 00:00:00,99.725,100.425,98.65,100.2,231280
2017-05-03 00:00:00,99.95,100.5,99.0,99.15,364860
2017-05-02 00:00:00,101.25,101.75,100.35,101.175,271596
2017-05-01 00:00:00,,100.075,100.075,100.075,0
2017-04-28 00:00:00,98.8,100.625,98.75,100.075,207916
2017-04-27 00:00:00,98.25,98.975,97.8,98.6,119312
2017-04-26 00:00:00,96.85,98.45,96.675,98.25,185416
2017-04-25 00:00:00,95.5,97.7,95.45,96.85,193424
2017-04-24 00:00:00,95.0,95.8,94.75,95.8,180280
2017-04-21 00:00:00,94.0,94.75,94.0,94.125,150020
2017-04-20 00:00:00,94.2,94.25,93.875,94.15,222740
2017-04-19 00:00:00,95.0,95.0,94.125,94.25,149792
2017-04-18 00:00:00,94.0,94.7,93.4,94.25,346944
2017-04-13 00:00:00,93.6,94.0,93.25,93.85,102892
2017-04-12 00:00:00,92.25,93.75,92.25,93.275,216748
2017-04-11 00:00:00,92.375,92.5,91.75,92.25,180240
2017-04-10 00:00:00,92.0,92.375,91.5,92.375,197128
2017-04-07 00:00:00,90.15,91.925,90.15,91.925,166496
2017-04-06 00:00:00,90.5,91.225,90.225,91.0,117412
2017-04-05 00:00:00,90.75,91.15,90.225,90.475,124112
2017-04-04 00:00:00,90.25,90.9,90.05,90.5,110312
2017-04-03 00:00:00,89.675,90.675,89.675,90.125,167500
2017-03-31 00:00:00,88.75,89.725,88.125,89.5,196712
2017-03-30 00:00:00,87.5,88.225,87.075,88.125,171764
2017-03-29 00:00:00,88.175,88.225,86.7,87.325,221408
2017-03-28 00:00:00,86.85,87.6,86.525,87.6,140880
2017-03-27 00:00:00,87.15,87.15,86.225,86.85,161416
2017-03-24 00:00:00,88.0,88.0,86.925,87.05,93936
2017-03-23 00:00:00,87.525,87.85,86.75,87.85,240172
2017-03-22 00:00:00,88.5,88.5,86.95,87.025,143456
