Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,615.0,619.5,615.0,618.0,63464
2017-09-07 00:00:00,613.5,619.5,609.5,618.5,74338
2017-09-06 00:00:00,611.5,613.0,608.5,611.5,66714
2017-09-04 00:00:00,614.5,617.5,613.5,614.5,45344
2017-09-01 00:00:00,615.5,621.5,615.5,620.0,75643
2017-08-31 00:00:00,609.5,618.5,608.0,615.5,122939
2017-08-30 00:00:00,606.5,610.5,606.5,608.5,51488
2017-08-29 00:00:00,607.5,609.5,603.0,605.5,72690
2017-08-28 00:00:00,611.0,615.0,608.0,610.0,60879
2017-08-25 00:00:00,610.5,616.0,610.0,611.0,77502
2017-08-24 00:00:00,619.5,620.0,610.0,610.0,117392
2017-08-23 00:00:00,632.5,632.5,617.5,619.5,155495
2017-08-22 00:00:00,633.0,635.0,626.5,630.5,126705
2017-08-21 00:00:00,629.0,632.0,627.0,630.5,48310
2017-08-18 00:00:00,631.5,631.5,622.5,630.5,73445
2017-08-17 00:00:00,636.0,637.5,633.5,635.0,60025
2017-08-16 00:00:00,636.0,641.5,634.0,637.5,44451
2017-08-15 00:00:00,640.0,642.0,633.5,636.0,60098
2017-08-14 00:00:00,635.5,642.5,635.5,640.0,86422
2017-08-11 00:00:00,645.0,645.0,634.0,634.5,100575
2017-08-10 00:00:00,657.0,657.5,647.0,647.5,75105
2017-08-09 00:00:00,658.5,658.5,652.5,657.0,104314
2017-08-08 00:00:00,657.0,660.5,655.5,660.0,53354
2017-08-07 00:00:00,655.5,658.5,653.0,656.5,59850
2017-08-04 00:00:00,649.5,655.0,645.0,655.0,59159
2017-08-03 00:00:00,645.5,650.0,643.5,647.5,79088
2017-08-02 00:00:00,644.0,650.5,641.5,645.5,83751
2017-08-01 00:00:00,636.0,646.0,636.0,644.0,79020
2017-07-31 00:00:00,639.0,644.5,635.5,635.5,92688
2017-07-28 00:00:00,645.5,646.5,634.5,637.5,73562
2017-07-27 00:00:00,642.0,651.5,642.0,647.0,44479
2017-07-26 00:00:00,643.0,647.0,643.0,645.0,30516
2017-07-25 00:00:00,641.5,647.0,640.5,643.5,56330
2017-07-24 00:00:00,645.0,647.5,639.0,642.0,57367
2017-07-21 00:00:00,650.0,653.0,639.0,645.5,70854
2017-07-20 00:00:00,654.0,656.0,649.0,652.0,50876
2017-07-19 00:00:00,650.5,654.0,648.0,654.0,71678
2017-07-18 00:00:00,661.0,662.5,645.5,650.5,89553
2017-07-17 00:00:00,663.5,666.5,657.5,662.5,44476
2017-07-14 00:00:00,662.0,663.5,656.5,663.5,77760
2017-07-13 00:00:00,662.0,668.0,660.0,661.0,65538
2017-07-12 00:00:00,652.0,661.0,651.0,661.0,79112
2017-07-11 00:00:00,661.5,663.5,652.0,652.0,83214
2017-07-10 00:00:00,659.5,662.0,656.5,659.5,62047
2017-07-07 00:00:00,657.5,659.0,652.0,656.0,53309
2017-07-06 00:00:00,662.0,664.0,650.0,657.5,86644
2017-07-05 00:00:00,658.0,663.5,654.0,662.0,101906
2017-07-04 00:00:00,665.0,665.0,658.0,660.0,62968
2017-07-03 00:00:00,666.5,668.5,655.5,665.5,119685
2017-06-30 00:00:00,667.0,672.0,665.0,665.0,171076
2017-06-29 00:00:00,685.0,686.0,667.0,667.0,85749
2017-06-28 00:00:00,682.0,685.5,677.0,685.0,82507
2017-06-27 00:00:00,691.0,692.5,682.0,682.5,65281
2017-06-26 00:00:00,693.0,697.0,689.0,691.5,80796
2017-06-23 00:00:00,,693.0,693.0,693.0,0
2017-06-22 00:00:00,688.5,695.0,687.0,693.0,84428
2017-06-21 00:00:00,693.5,695.5,683.5,688.5,131401
2017-06-20 00:00:00,696.0,699.5,693.5,693.5,87701
2017-06-19 00:00:00,685.0,695.0,685.0,694.0,109919
2017-06-16 00:00:00,686.5,688.5,679.0,682.5,383974
2017-06-15 00:00:00,696.0,696.0,682.5,685.0,145644
2017-06-14 00:00:00,698.5,706.0,694.5,696.5,150462
2017-06-13 00:00:00,691.5,698.5,691.0,697.5,95854
2017-06-12 00:00:00,701.0,701.0,690.0,691.0,77527
2017-06-09 00:00:00,691.0,703.5,690.0,702.0,117671
2017-06-08 00:00:00,695.5,700.5,688.5,691.0,90648
2017-06-07 00:00:00,691.5,699.0,686.5,695.0,118349
2017-06-06 00:00:00,,692.5,692.5,692.5,0
2017-06-05 00:00:00,691.0,695.5,689.5,692.5,83358
2017-06-02 00:00:00,683.5,691.0,683.5,691.0,83102
2017-06-01 00:00:00,681.5,688.5,680.0,682.5,118089
2017-05-31 00:00:00,676.5,683.0,676.0,682.5,146640
2017-05-30 00:00:00,672.5,677.0,666.5,676.5,98333
2017-05-29 00:00:00,672.0,675.0,670.5,673.0,45529
2017-05-26 00:00:00,666.0,673.5,666.0,673.0,109854
2017-05-24 00:00:00,661.5,665.5,660.0,665.5,51292
2017-05-23 00:00:00,661.0,663.5,657.5,661.5,102343
2017-05-22 00:00:00,663.0,665.0,659.0,662.0,104402
2017-05-19 00:00:00,664.5,667.5,660.5,663.5,97016
2017-05-18 00:00:00,667.5,669.0,653.5,665.5,205202
2017-05-17 00:00:00,685.0,687.5,669.0,672.5,144209
2017-05-16 00:00:00,685.0,692.5,684.0,687.0,99177
2017-05-15 00:00:00,677.5,683.0,676.0,683.0,76727
2017-05-12 00:00:00,678.0,677.5,677.5,677.5,71584
2017-05-11 00:00:00,672.0,679.0,670.5,678.0,79811
2017-05-10 00:00:00,669.0,672.0,668.5,672.0,76398
2017-05-09 00:00:00,664.5,674.5,664.5,669.5,97769
2017-05-08 00:00:00,664.5,668.0,658.5,665.0,89330
2017-05-05 00:00:00,656.0,663.5,656.0,663.5,99529
2017-05-04 00:00:00,647.5,658.0,647.5,656.0,67919
2017-05-03 00:00:00,647.5,650.0,644.5,646.5,92523
2017-05-02 00:00:00,644.0,649.5,643.0,647.5,83357
2017-05-01 00:00:00,,641.5,641.5,641.5,0
2017-04-28 00:00:00,635.5,642.5,635.5,641.5,81243
2017-04-27 00:00:00,634.0,637.5,630.5,636.5,55962
2017-04-26 00:00:00,630.0,634.5,628.5,634.0,91090
2017-04-25 00:00:00,622.0,631.5,621.0,629.5,67478
2017-04-24 00:00:00,621.5,626.5,619.5,622.0,90513
2017-04-21 00:00:00,612.0,619.0,612.0,617.0,65274
2017-04-20 00:00:00,613.5,615.0,609.0,614.5,97782
2017-04-19 00:00:00,610.0,614.5,609.5,614.5,86699
2017-04-18 00:00:00,606.0,610.5,603.0,610.0,225705
2017-04-13 00:00:00,606.0,608.0,605.0,607.0,46936
2017-04-12 00:00:00,602.0,606.0,599.0,605.5,72450
2017-04-11 00:00:00,594.0,601.0,594.0,600.0,74494
2017-04-10 00:00:00,594.0,599.5,593.0,597.5,64384
2017-04-07 00:00:00,589.5,594.5,586.5,594.0,80872
2017-04-06 00:00:00,588.0,590.5,585.0,590.5,76201
2017-04-05 00:00:00,600.0,601.0,592.5,594.0,117912
2017-04-04 00:00:00,600.0,600.5,596.0,600.0,95060
2017-04-03 00:00:00,607.5,607.5,599.0,600.0,134883
2017-03-31 00:00:00,595.5,607.5,594.5,607.5,170634
2017-03-30 00:00:00,590.5,595.5,589.5,595.5,57120
2017-03-29 00:00:00,587.0,591.0,585.0,591.0,61435
2017-03-28 00:00:00,588.5,589.5,583.5,587.5,81494
2017-03-27 00:00:00,587.0,588.5,583.0,588.0,52041
2017-03-24 00:00:00,591.5,593.0,587.0,588.5,396260
2017-03-23 00:00:00,587.0,593.0,585.0,593.0,44809
2017-03-22 00:00:00,593.0,593.0,585.0,586.5,86145
2017-03-21 00:00:00,595.0,599.0,592.5,594.5,59321
2017-03-20 00:00:00,596.5,597.0,594.0,595.0,60481
2017-03-17 00:00:00,592.0,595.5,590.5,595.5,103521
2017-03-16 00:00:00,588.5,591.0,587.0,591.0,72597
2017-03-15 00:00:00,584.0,586.5,581.0,586.5,56116
2017-03-14 00:00:00,585.0,585.0,579.0,584.0,101593
2017-03-13 00:00:00,582.0,584.5,576.5,583.0,100798
2017-03-10 00:00:00,586.0,581.5,581.5,581.5,64714
2017-03-09 00:00:00,583.5,584.0,579.0,584.0,81191
2017-03-08 00:00:00,583.5,586.5,579.0,584.0,66741
2017-03-07 00:00:00,587.0,587.0,581.0,584.0,41926
2017-03-06 00:00:00,586.0,586.0,580.0,586.0,75783
2017-03-03 00:00:00,587.0,585.0,585.0,585.0,56044
2017-03-02 00:00:00,593.5,595.0,585.0,586.5,54720
2017-03-01 00:00:00,588.5,592.5,587.5,592.5,82356
2017-02-28 00:00:00,579.5,585.5,579.0,585.5,119669
2017-02-27 00:00:00,585.5,588.0,579.0,579.5,71732
2017-02-24 00:00:00,594.5,595.0,584.0,585.0,72254
2017-02-23 00:00:00,583.5,596.0,583.5,595.0,115132
2017-02-22 00:00:00,585.5,586.5,581.0,585.0,97361
2017-02-21 00:00:00,585.0,587.5,582.0,586.5,49204
2017-02-20 00:00:00,581.0,586.5,581.0,584.0,40841
2017-02-17 00:00:00,582.0,585.0,579.5,581.0,45829
2017-02-16 00:00:00,583.0,584.0,581.5,582.0,40794
2017-02-15 00:00:00,579.0,584.5,579.0,582.0,66776
2017-02-14 00:00:00,580.0,580.0,576.0,579.0,98388
2017-02-13 00:00:00,576.0,582.0,573.0,579.5,93602
2017-02-10 00:00:00,577.0,580.0,573.0,574.0,77495
2017-02-09 00:00:00,573.0,577.5,573.0,577.0,56622
2017-02-08 00:00:00,577.0,578.5,571.5,573.0,93171
