Dates,Open,High,Low,Close,Volume
2017-06-09 00:00:00,,46.79,46.79,46.79,0
2017-06-08 00:00:00,,46.79,46.79,46.79,0
2017-06-07 00:00:00,46.2,47.38,46.07,46.79,735219
2017-06-06 00:00:00,,45.82,45.82,45.82,0
2017-06-05 00:00:00,46.39,46.39,45.26,45.82,552122
2017-06-02 00:00:00,48.04,49.07,45.87,46.24,1728592
2017-06-01 00:00:00,47.5,47.95,47.28,47.7,605285
2017-05-31 00:00:00,49.8,49.96,46.9,47.43,1064033
2017-05-30 00:00:00,50.1,50.35,49.5,49.91,418935
2017-05-29 00:00:00,50.15,50.55,49.37,50.25,425386
2017-05-26 00:00:00,50.0,51.25,50.0,50.55,1577731
2017-05-24 00:00:00,48.95,49.49,48.52,49.49,415608
2017-05-23 00:00:00,49.85,50.5,49.2,49.36,655946
2017-05-22 00:00:00,50.4,50.85,49.55,49.85,624970
2017-05-19 00:00:00,48.5,50.35,47.76,50.0,1162890
2017-05-18 00:00:00,47.2,48.27,45.76,48.24,1030701
2017-05-17 00:00:00,48.12,48.37,47.0,47.23,994669
2017-05-16 00:00:00,46.4,47.88,45.76,47.62,964525
2017-05-15 00:00:00,46.0,47.0,45.86,46.4,1090716
2017-05-12 00:00:00,44.94,45.2,45.2,45.2,973963
2017-05-11 00:00:00,45.25,45.9,44.56,45.34,860218
2017-05-10 00:00:00,44.66,45.24,44.35,44.69,1173181
2017-05-09 00:00:00,43.3,44.66,43.2,44.47,611745
2017-05-08 00:00:00,43.69,43.88,42.32,43.19,572616
2017-05-05 00:00:00,42.91,43.72,42.38,43.57,823537
2017-05-04 00:00:00,45.3,45.35,42.76,43.12,1326196
2017-05-03 00:00:00,47.5,47.64,45.3,45.79,1178009
2017-05-02 00:00:00,47.55,48.13,46.51,47.3,728376
2017-05-01 00:00:00,,47.22,47.22,47.22,0
2017-04-28 00:00:00,46.1,47.45,45.71,47.22,1317706
2017-04-27 00:00:00,49.5,49.5,45.75,46.45,1022638
2017-04-26 00:00:00,47.9,49.09,47.65,48.93,819447
2017-04-25 00:00:00,47.71,48.34,47.02,47.9,990081
2017-04-24 00:00:00,48.16,48.47,47.58,48.2,939510
2017-04-21 00:00:00,49.1,49.1,47.7,48.06,617024
2017-04-20 00:00:00,47.5,49.47,47.39,47.94,943435
2017-04-19 00:00:00,47.7,48.54,47.34,47.64,821964
2017-04-18 00:00:00,50.15,50.2,47.61,47.73,768593
2017-04-13 00:00:00,50.1,50.5,49.12,49.4,181506
2017-04-12 00:00:00,51.0,51.35,49.75,49.95,594158
2017-04-11 00:00:00,51.8,52.0,50.8,50.9,450771
2017-04-10 00:00:00,50.95,51.5,50.55,51.25,288671
2017-04-07 00:00:00,50.65,51.25,50.1,51.1,372569
2017-04-06 00:00:00,51.2,51.85,50.8,51.15,517251
2017-04-05 00:00:00,50.95,52.1,50.45,51.15,1072290
2017-04-04 00:00:00,49.33,50.45,49.05,50.05,497299
2017-04-03 00:00:00,50.5,51.05,49.19,49.46,569129
2017-03-31 00:00:00,50.7,50.9,49.87,50.35,355635
2017-03-30 00:00:00,49.72,51.25,49.54,51.2,650694
2017-03-29 00:00:00,48.99,50.35,48.07,50.05,936496
2017-03-28 00:00:00,48.9,49.51,48.13,49.0,922197
2017-03-27 00:00:00,48.5,48.75,46.8,47.5,1074278
2017-03-24 00:00:00,50.35,50.45,49.6,49.86,358491
2017-03-23 00:00:00,50.85,51.65,50.05,50.3,447961
2017-03-22 00:00:00,50.0,50.85,49.01,50.4,785057
2017-03-21 00:00:00,52.2,52.85,50.1,50.75,1657969
2017-03-20 00:00:00,52.45,53.15,51.85,52.4,874686
2017-03-17 00:00:00,51.85,53.2,51.7,52.65,686220
2017-03-16 00:00:00,52.15,53.05,52.15,52.5,1528194
2017-03-15 00:00:00,49.93,51.5,49.93,50.75,911299
2017-03-14 00:00:00,50.6,51.0,48.21,50.05,2109154
2017-03-13 00:00:00,51.2,52.1,50.6,52.0,1086197
2017-03-10 00:00:00,50.05,50.35,50.35,50.35,971127
2017-03-09 00:00:00,51.25,51.8,49.63,50.05,1732466
2017-03-08 00:00:00,52.3,53.4,51.7,52.0,1183286
2017-03-07 00:00:00,55.2,55.4,52.3,52.75,966781
2017-03-06 00:00:00,55.75,56.2,54.5,54.85,558194
