Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,511.5,525.5,510.0,524.0,200091
2017-09-07 00:00:00,507.0,515.5,501.5,513.0,187368
2017-09-06 00:00:00,516.5,516.5,506.0,510.0,154047
2017-09-04 00:00:00,503.0,517.0,495.8,510.5,196538
2017-09-01 00:00:00,498.0,506.0,497.6,503.0,43793
2017-08-31 00:00:00,491.5,499.5,490.9,495.7,109875
2017-08-30 00:00:00,494.3,494.4,485.4,491.5,66074
2017-08-29 00:00:00,498.1,499.1,487.5,487.8,96310
2017-08-28 00:00:00,497.0,497.6,492.0,496.0,100077
2017-08-25 00:00:00,487.9,498.3,484.1,496.0,99401
2017-08-24 00:00:00,475.9,487.8,475.9,485.5,149028
2017-08-23 00:00:00,485.0,485.0,472.8,478.3,183686
2017-08-22 00:00:00,477.6,484.9,474.9,483.1,123603
2017-08-21 00:00:00,485.9,489.6,472.5,477.2,125916
2017-08-18 00:00:00,491.1,495.0,484.6,486.0,129069
2017-08-17 00:00:00,501.0,502.5,493.5,494.0,92614
2017-08-16 00:00:00,505.5,505.5,494.6,499.1,116226
2017-08-15 00:00:00,508.5,510.5,499.4,501.5,75721
2017-08-14 00:00:00,508.0,516.5,506.0,509.0,66591
2017-08-11 00:00:00,517.5,518.0,508.0,510.0,96473
2017-08-10 00:00:00,524.0,525.0,519.0,519.0,50236
2017-08-09 00:00:00,520.0,523.0,516.0,520.0,56800
2017-08-08 00:00:00,525.5,527.0,520.0,523.0,67217
2017-08-07 00:00:00,523.5,527.5,520.5,525.5,47058
2017-08-04 00:00:00,520.0,528.0,520.0,523.5,50860
2017-08-03 00:00:00,523.0,529.5,519.5,520.0,93529
2017-08-02 00:00:00,516.0,530.0,515.5,523.0,140321
2017-08-01 00:00:00,506.5,515.5,506.5,514.0,77473
2017-07-31 00:00:00,513.0,516.5,504.0,506.0,93452
2017-07-28 00:00:00,517.0,517.5,510.0,515.0,60153
2017-07-27 00:00:00,512.5,520.0,508.0,514.0,90742
2017-07-26 00:00:00,502.0,515.0,502.0,513.0,72568
2017-07-25 00:00:00,497.7,503.5,497.6,502.0,64433
2017-07-24 00:00:00,500.0,501.5,496.8,500.0,56414
2017-07-21 00:00:00,491.2,508.5,487.0,500.5,128093
2017-07-20 00:00:00,494.1,502.5,484.8,494.7,405328
2017-07-19 00:00:00,503.5,519.5,503.5,519.0,90068
2017-07-18 00:00:00,514.0,516.5,509.5,512.0,63865
2017-07-17 00:00:00,516.5,519.5,514.0,515.5,61735
2017-07-14 00:00:00,514.0,519.0,511.0,516.5,46404
2017-07-13 00:00:00,510.5,512.5,506.5,511.0,114075
2017-07-12 00:00:00,503.0,508.0,502.5,508.0,70030
2017-07-11 00:00:00,504.5,507.0,500.5,503.0,97397
2017-07-10 00:00:00,505.0,506.5,501.5,506.5,67224
2017-07-07 00:00:00,503.0,505.0,500.5,503.0,55414
2017-07-06 00:00:00,510.0,510.0,500.5,503.0,72469
2017-07-05 00:00:00,500.5,511.0,498.9,510.0,104207
2017-07-04 00:00:00,505.5,506.0,497.2,499.5,52894
2017-07-03 00:00:00,500.0,512.0,500.0,504.0,89683
2017-06-30 00:00:00,497.2,500.0,491.7,497.6,148487
2017-06-29 00:00:00,494.4,502.0,488.7,495.4,68619
2017-06-28 00:00:00,499.2,499.2,485.5,493.5,63863
2017-06-27 00:00:00,502.0,506.5,494.5,498.3,75841
2017-06-26 00:00:00,504.0,510.0,499.9,507.5,93702
2017-06-23 00:00:00,,505.0,505.0,505.0,0
2017-06-22 00:00:00,494.0,505.5,490.5,505.0,100053
2017-06-21 00:00:00,500.0,500.0,491.9,495.2,99549
2017-06-20 00:00:00,500.0,504.5,499.3,500.5,86788
2017-06-19 00:00:00,501.0,504.5,498.3,500.0,67094
2017-06-16 00:00:00,508.0,509.5,499.5,500.5,124297
2017-06-15 00:00:00,507.0,509.5,499.5,506.0,150689
2017-06-14 00:00:00,501.0,509.5,500.0,507.0,97439
2017-06-13 00:00:00,498.1,501.0,489.5,500.5,87062
2017-06-12 00:00:00,500.5,501.0,488.7,494.0,101781
2017-06-09 00:00:00,499.1,503.0,493.2,503.0,67682
2017-06-08 00:00:00,496.0,499.4,493.3,497.0,107041
2017-06-07 00:00:00,503.0,510.0,495.1,496.0,109859
2017-06-06 00:00:00,,503.0,503.0,503.0,0
2017-06-05 00:00:00,499.1,508.0,499.1,503.0,71155
2017-06-02 00:00:00,504.5,510.5,497.6,499.5,104725
2017-06-01 00:00:00,508.0,513.5,499.5,504.0,106407
2017-05-31 00:00:00,517.0,528.0,508.5,509.0,258725
2017-05-30 00:00:00,513.0,519.0,508.0,517.0,169519
2017-05-29 00:00:00,515.0,516.0,508.0,514.0,82963
2017-05-26 00:00:00,504.5,516.5,504.0,515.5,170090
2017-05-24 00:00:00,500.0,504.0,498.8,504.0,110722
2017-05-23 00:00:00,494.2,497.8,490.7,494.4,124476
2017-05-22 00:00:00,486.9,496.6,484.4,494.2,155565
2017-05-19 00:00:00,481.0,482.9,476.7,482.6,85018
2017-05-18 00:00:00,490.9,490.9,476.5,481.2,94113
2017-05-17 00:00:00,493.0,496.2,482.5,491.4,192411
2017-05-16 00:00:00,479.0,496.9,477.5,496.7,173858
2017-05-15 00:00:00,487.9,491.2,478.9,478.9,121468
2017-05-12 00:00:00,474.1,486.4,486.4,486.4,88975
2017-05-11 00:00:00,469.2,476.9,467.0,474.7,132903
2017-05-10 00:00:00,478.5,480.8,463.0,467.3,178937
2017-05-09 00:00:00,477.8,483.8,475.9,478.3,118834
2017-05-08 00:00:00,473.0,476.5,470.2,476.3,89624
2017-05-05 00:00:00,474.4,474.4,458.0,472.0,205232
2017-05-04 00:00:00,505.0,506.0,487.2,489.7,181041
2017-05-03 00:00:00,493.0,505.0,489.9,502.0,171319
2017-05-02 00:00:00,488.2,496.1,484.1,492.7,123044
2017-05-01 00:00:00,,486.0,486.0,486.0,0
2017-04-28 00:00:00,477.9,486.0,468.0,486.0,223682
2017-04-27 00:00:00,488.8,490.1,475.0,479.3,158888
2017-04-26 00:00:00,488.6,503.0,486.0,490.0,222311
2017-04-25 00:00:00,480.0,494.8,480.0,494.0,206654
2017-04-24 00:00:00,493.0,493.5,480.5,482.0,129820
2017-04-21 00:00:00,488.1,489.9,480.5,485.0,170562
2017-04-20 00:00:00,482.5,484.9,477.2,482.5,128136
2017-04-19 00:00:00,480.1,485.3,474.6,482.1,167629
2017-04-18 00:00:00,481.9,483.1,475.3,478.0,212246
2017-04-13 00:00:00,466.7,478.8,466.4,478.8,106431
2017-04-12 00:00:00,469.3,474.5,468.2,470.6,213149
2017-04-11 00:00:00,475.0,478.0,468.4,469.3,167276
2017-04-10 00:00:00,484.8,486.2,477.0,479.4,78039
2017-04-07 00:00:00,485.0,485.0,479.1,483.1,87839
2017-04-06 00:00:00,494.0,496.4,483.1,485.1,80006
2017-04-05 00:00:00,502.0,502.0,491.4,494.0,67186
2017-04-04 00:00:00,492.4,497.0,492.0,495.0,57035
2017-04-03 00:00:00,500.0,501.0,492.8,494.2,84475
2017-03-31 00:00:00,500.0,501.5,492.4,499.7,59194
2017-03-30 00:00:00,502.5,506.0,494.6,501.5,62184
2017-03-29 00:00:00,489.1,501.0,489.1,501.0,58456
2017-03-28 00:00:00,497.4,497.4,487.4,491.0,82348
2017-03-27 00:00:00,495.3,495.3,488.8,491.0,44648
2017-03-24 00:00:00,501.0,501.0,491.7,496.5,72505
2017-03-23 00:00:00,495.0,497.9,488.6,496.1,54816
2017-03-22 00:00:00,495.0,499.8,486.2,494.3,97821
2017-03-21 00:00:00,502.5,505.5,494.4,497.4,135417
2017-03-20 00:00:00,506.0,509.5,502.0,504.5,45198
2017-03-17 00:00:00,510.0,510.0,501.0,506.5,97882
2017-03-16 00:00:00,505.0,511.0,502.0,505.0,101251
2017-03-15 00:00:00,496.7,505.0,493.0,504.5,110756
2017-03-14 00:00:00,492.2,496.4,487.9,496.0,78825
2017-03-13 00:00:00,496.1,496.1,487.3,492.3,85340
2017-03-10 00:00:00,493.6,496.2,496.2,496.2,87151
2017-03-09 00:00:00,490.0,497.2,488.0,493.6,71006
2017-03-08 00:00:00,488.7,496.4,484.7,492.7,70595
2017-03-07 00:00:00,490.3,496.0,488.9,489.7,71063
2017-03-06 00:00:00,490.4,493.8,487.2,493.8,90486
2017-03-03 00:00:00,493.9,492.7,492.7,492.7,108137
2017-03-02 00:00:00,504.0,504.0,491.3,492.1,115833
2017-03-01 00:00:00,491.2,504.0,491.2,499.5,122792
2017-02-28 00:00:00,492.8,492.8,484.0,492.5,145359
2017-02-27 00:00:00,490.0,492.0,482.4,488.6,147994
2017-02-24 00:00:00,490.3,494.4,484.4,490.0,177826
2017-02-23 00:00:00,496.2,496.2,488.8,490.3,103703
2017-02-22 00:00:00,498.4,498.4,489.1,494.2,66540
2017-02-21 00:00:00,492.0,497.0,492.0,496.6,94285
2017-02-20 00:00:00,488.0,493.6,488.0,492.0,66078
2017-02-17 00:00:00,487.5,490.9,483.2,484.7,89874
2017-02-16 00:00:00,487.9,496.2,487.0,490.4,174021
2017-02-15 00:00:00,498.0,498.5,483.1,486.8,113470
2017-02-14 00:00:00,481.0,497.5,481.0,494.0,169753
2017-02-13 00:00:00,476.0,482.1,472.4,482.0,106412
2017-02-10 00:00:00,485.0,486.2,469.5,474.0,131570
2017-02-09 00:00:00,483.1,490.5,468.5,485.2,349344
2017-02-08 00:00:00,440.0,470.4,437.0,470.4,287676
2017-02-07 00:00:00,435.0,444.2,432.6,441.4,83918
2017-02-06 00:00:00,439.3,440.2,429.4,435.0,167464
2017-02-03 00:00:00,435.6,443.1,433.3,438.2,60234
2017-02-02 00:00:00,431.7,435.8,428.5,434.0,65722
2017-02-01 00:00:00,430.1,434.0,428.3,431.1,79894
2017-01-31 00:00:00,427.0,434.3,426.6,432.6,100476
2017-01-30 00:00:00,425.0,427.9,423.0,427.9,57874
2017-01-27 00:00:00,429.6,430.6,423.0,425.0,108998
2017-01-26 00:00:00,422.0,435.9,421.0,431.3,108678
2017-01-25 00:00:00,426.3,426.3,420.9,425.9,165697
2017-01-24 00:00:00,425.5,427.9,424.5,425.3,98856
2017-01-23 00:00:00,434.0,434.0,425.8,427.8,78561
2017-01-20 00:00:00,426.0,435.6,424.1,434.9,147933
2017-01-19 00:00:00,423.8,428.8,421.7,427.9,79294
2017-01-18 00:00:00,426.9,429.3,423.7,425.0,75660
2017-01-17 00:00:00,425.0,428.3,421.3,426.9,54355
