Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,74.45,75.1,74.0,75.0,712357
2017-09-07 00:00:00,73.55,74.5,73.5,74.4,717005
2017-09-06 00:00:00,73.25,73.7,72.85,73.55,685681
2017-09-04 00:00:00,73.05,73.3,72.6,73.3,387224
2017-09-01 00:00:00,73.6,74.05,73.4,73.6,582407
2017-08-31 00:00:00,72.9,73.45,72.9,73.15,598119
2017-08-30 00:00:00,72.55,72.9,72.25,72.9,487211
2017-08-29 00:00:00,72.4,72.5,71.8,72.3,1329067
2017-08-28 00:00:00,72.15,72.55,71.6,72.35,387875
2017-08-25 00:00:00,72.55,73.1,72.15,72.15,468994
2017-08-24 00:00:00,73.4,73.65,72.2,72.55,945102
2017-08-23 00:00:00,74.05,74.05,72.55,73.3,991969
2017-08-22 00:00:00,72.55,74.25,72.45,73.9,2345650
2017-08-21 00:00:00,70.95,72.5,70.95,72.0,2422772
2017-08-18 00:00:00,73.7,73.7,70.25,70.5,2640119
2017-08-17 00:00:00,76.45,76.45,75.1,75.3,844905
2017-08-16 00:00:00,76.1,76.65,75.8,76.35,1779807
2017-08-15 00:00:00,78.55,78.55,75.25,76.05,1593943
2017-08-14 00:00:00,77.95,78.95,77.85,78.6,491083
2017-08-11 00:00:00,78.5,78.5,77.15,77.65,494778
2017-08-10 00:00:00,80.0,80.1,79.0,79.05,609532
2017-08-09 00:00:00,80.45,80.65,79.75,80.6,538317
2017-08-08 00:00:00,79.95,80.9,79.75,80.55,523446
2017-08-07 00:00:00,78.65,80.0,78.65,79.85,416446
2017-08-04 00:00:00,77.6,78.9,77.1,78.65,340166
2017-08-03 00:00:00,77.9,78.35,77.6,77.7,312726
2017-08-02 00:00:00,78.5,78.8,77.65,77.75,578810
2017-08-01 00:00:00,77.3,78.6,77.3,78.2,413049
2017-07-31 00:00:00,77.8,77.95,77.05,77.05,490181
2017-07-28 00:00:00,79.0,79.0,77.75,77.8,540921
2017-07-27 00:00:00,79.4,79.75,79.05,79.3,520061
2017-07-26 00:00:00,78.6,79.45,78.35,79.4,1352743
2017-07-25 00:00:00,78.45,79.15,78.45,79.0,336853
2017-07-24 00:00:00,78.95,79.15,78.35,78.55,359418
2017-07-21 00:00:00,80.1,80.15,78.25,79.0,479416
2017-07-20 00:00:00,80.75,81.0,79.95,80.3,690554
2017-07-19 00:00:00,80.45,80.7,79.7,80.55,388931
2017-07-18 00:00:00,81.2,81.45,80.15,80.55,305863
2017-07-17 00:00:00,80.65,81.45,80.2,81.45,383880
2017-07-14 00:00:00,80.6,80.7,80.15,80.65,273019
2017-07-13 00:00:00,80.75,80.75,80.25,80.6,296063
2017-07-12 00:00:00,79.05,80.85,79.05,80.75,373860
2017-07-11 00:00:00,79.75,80.2,78.95,79.05,347900
2017-07-10 00:00:00,80.0,80.2,79.3,79.75,564087
2017-07-07 00:00:00,79.75,80.25,79.25,79.8,385978
2017-07-06 00:00:00,79.75,80.35,78.9,79.35,439397
2017-07-05 00:00:00,79.4,79.85,78.75,79.75,321999
2017-07-04 00:00:00,80.5,80.5,79.4,79.4,344388
2017-07-03 00:00:00,79.65,80.8,79.65,80.65,934374
2017-06-30 00:00:00,78.85,80.05,78.55,79.55,607867
2017-06-29 00:00:00,80.7,80.85,78.7,78.85,756152
2017-06-28 00:00:00,80.5,80.55,79.2,80.5,1174031
2017-06-27 00:00:00,81.8,81.9,80.6,80.9,542740
2017-06-26 00:00:00,81.65,82.5,81.65,81.8,568810
2017-06-23 00:00:00,,81.85,81.85,81.85,0
2017-06-22 00:00:00,81.7,81.95,81.5,81.85,449625
2017-06-21 00:00:00,82.25,82.4,81.25,82.1,664027
2017-06-20 00:00:00,83.0,83.35,82.35,82.4,606497
2017-06-19 00:00:00,82.5,83.35,82.35,82.95,933935
2017-06-16 00:00:00,81.65,82.4,81.35,82.4,2675649
2017-06-15 00:00:00,82.3,82.3,80.4,81.2,702055
2017-06-14 00:00:00,82.0,83.3,82.0,82.25,606532
2017-06-13 00:00:00,81.0,82.2,81.0,81.85,532740
2017-06-12 00:00:00,82.65,82.65,80.6,80.95,581429
2017-06-09 00:00:00,82.0,82.9,82.0,82.75,647480
2017-06-08 00:00:00,82.35,82.8,81.95,82.2,675302
2017-06-07 00:00:00,82.75,83.0,82.25,82.25,680185
2017-06-06 00:00:00,,82.75,82.75,82.75,0
2017-06-05 00:00:00,83.5,83.8,82.75,82.75,481110
2017-06-02 00:00:00,81.9,83.45,81.8,83.45,2030275
2017-06-01 00:00:00,81.3,82.2,81.3,81.7,1794312
2017-05-31 00:00:00,81.35,81.5,80.8,81.15,2444949
2017-05-30 00:00:00,80.3,81.5,79.9,81.35,687593
2017-05-29 00:00:00,81.1,81.2,80.3,80.55,349120
2017-05-26 00:00:00,80.85,81.35,80.35,81.2,636055
2017-05-24 00:00:00,81.65,81.75,81.05,81.05,362017
2017-05-23 00:00:00,81.0,81.6,80.4,81.55,546537
2017-05-22 00:00:00,81.05,81.55,80.8,80.85,710633
2017-05-19 00:00:00,81.15,81.55,80.7,81.1,751631
2017-05-18 00:00:00,82.0,82.0,79.8,81.15,1217961
2017-05-17 00:00:00,84.15,84.35,82.1,82.4,1056341
2017-05-16 00:00:00,85.65,85.65,84.35,84.8,802017
2017-05-15 00:00:00,85.3,85.65,84.15,85.65,1255551
2017-05-12 00:00:00,87.9,85.3,85.3,85.3,2576568
2017-05-11 00:00:00,83.0,90.3,82.95,89.45,3026736
2017-05-10 00:00:00,82.5,82.65,81.5,81.8,634616
2017-05-09 00:00:00,81.7,82.75,81.4,82.75,734846
2017-05-08 00:00:00,81.95,82.0,80.7,81.55,811453
2017-05-05 00:00:00,81.5,81.75,81.0,81.75,576051
2017-05-04 00:00:00,80.0,81.5,79.95,81.45,648740
2017-05-03 00:00:00,79.6,79.95,78.8,79.9,526882
