Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,68.75,70.0,68.75,69.35,6686
2017-09-07 00:00:00,70.45,71.2,69.0,69.75,8159
2017-09-06 00:00:00,69.05,71.0,69.05,69.85,9561
2017-09-04 00:00:00,73.0,73.5,71.8,72.0,12096
2017-09-01 00:00:00,71.5,72.8,71.45,72.8,8534
2017-08-31 00:00:00,71.75,71.9,70.5,71.25,8359
2017-08-30 00:00:00,71.1,72.95,71.1,71.7,12136
2017-08-29 00:00:00,72.45,72.5,70.35,71.05,21797
2017-08-28 00:00:00,74.45,74.45,72.4,72.75,12958
2017-08-25 00:00:00,74.45,75.0,74.0,74.45,8402
2017-08-24 00:00:00,73.1,74.95,73.0,74.0,155034
2017-08-23 00:00:00,73.95,74.0,72.95,73.0,8065
2017-08-22 00:00:00,74.0,74.0,72.2,72.2,12654
2017-08-21 00:00:00,74.95,75.5,72.2,72.95,15139
2017-08-18 00:00:00,74.2,74.6,72.25,73.15,15694
2017-08-17 00:00:00,74.55,76.15,73.9,74.2,15724
2017-08-16 00:00:00,73.5,74.9,73.5,74.55,11039
2017-08-15 00:00:00,73.55,73.55,72.1,73.5,23772
2017-08-14 00:00:00,74.95,75.35,73.15,73.55,13768
2017-08-11 00:00:00,74.1,75.3,73.6,73.9,19172
2017-08-10 00:00:00,77.95,78.0,74.95,75.95,17980
2017-08-09 00:00:00,78.0,79.25,76.5,77.15,17426
2017-08-08 00:00:00,77.5,77.9,76.4,77.65,25759
2017-08-07 00:00:00,76.5,77.4,75.0,77.3,26383
2017-08-04 00:00:00,75.15,76.5,75.15,76.5,12323
2017-08-03 00:00:00,76.7,76.7,74.9,75.15,17049
2017-08-02 00:00:00,76.5,76.9,72.3,76.1,79930
2017-08-01 00:00:00,83.35,84.0,75.25,76.3,283220
2017-07-31 00:00:00,84.0,88.85,83.35,83.35,96774
2017-07-28 00:00:00,81.7,85.45,81.7,83.15,38209
2017-07-27 00:00:00,79.95,83.75,79.5,81.7,52378
2017-07-26 00:00:00,76.8,80.0,76.8,78.25,33238
2017-07-25 00:00:00,75.4,79.15,75.4,76.8,36860
2017-07-24 00:00:00,72.3,76.05,72.3,75.4,17267
2017-07-21 00:00:00,74.05,74.05,71.0,72.3,27652
2017-07-20 00:00:00,74.5,75.3,74.15,74.6,8051
2017-07-19 00:00:00,73.9,75.0,73.9,74.5,18416
2017-07-18 00:00:00,74.95,74.95,73.5,73.5,11132
2017-07-17 00:00:00,74.2,75.1,74.2,74.6,8691
2017-07-14 00:00:00,73.75,74.55,73.45,73.9,12515
2017-07-13 00:00:00,73.65,74.0,73.0,73.45,39898
2017-07-12 00:00:00,73.3,74.0,73.3,73.4,19467
2017-07-11 00:00:00,73.1,73.6,72.65,73.3,32827
2017-07-10 00:00:00,73.05,73.55,72.5,73.0,20167
2017-07-07 00:00:00,72.75,73.6,72.4,72.75,7541
2017-07-06 00:00:00,74.0,74.0,72.45,72.65,14763
2017-07-05 00:00:00,73.5,73.6,72.9,73.4,12542
2017-07-04 00:00:00,74.0,74.0,72.95,73.0,10293
2017-07-03 00:00:00,73.0,73.95,72.5,73.7,16728
2017-06-30 00:00:00,71.75,73.0,71.0,73.0,37632
2017-06-29 00:00:00,74.2,74.2,71.75,71.75,53435
2017-06-28 00:00:00,73.8,73.8,71.65,72.8,19660
2017-06-27 00:00:00,73.25,73.25,72.1,72.7,13849
2017-06-26 00:00:00,74.5,74.5,72.05,73.0,52922
2017-06-23 00:00:00,,73.25,73.25,73.25,0
2017-06-22 00:00:00,73.0,73.85,72.95,73.25,20375
2017-06-21 00:00:00,73.7,74.2,70.75,73.5,31324
2017-06-20 00:00:00,72.0,74.35,71.2,73.5,95638
2017-06-19 00:00:00,72.8,72.8,71.2,71.5,43440
2017-06-16 00:00:00,69.7,71.2,69.7,71.0,43515
2017-06-15 00:00:00,69.55,71.0,69.4,69.4,62622
2017-06-14 00:00:00,72.0,72.0,69.0,69.35,66987
2017-06-13 00:00:00,72.6,72.6,70.1,71.05,60739
2017-06-12 00:00:00,64.95,78.55,64.1,72.65,263206
2017-06-09 00:00:00,305.5,307.7,303.7,307.0,8905
2017-06-08 00:00:00,304.5,308.2,302.3,305.5,10962
2017-06-07 00:00:00,308.0,308.9,304.0,304.0,14508
2017-06-06 00:00:00,,307.3,307.3,307.3,0
2017-06-05 00:00:00,306.2,309.9,305.0,307.3,13361
2017-06-02 00:00:00,305.0,306.2,302.9,306.2,8427
2017-06-01 00:00:00,307.5,309.0,303.2,306.6,13262
2017-05-31 00:00:00,308.1,313.1,307.2,307.6,12642
2017-05-30 00:00:00,303.1,308.4,302.8,306.9,9667
2017-05-29 00:00:00,303.1,303.9,302.4,302.7,6451
2017-05-26 00:00:00,305.5,305.5,302.4,303.0,2143
2017-05-24 00:00:00,304.9,305.5,303.1,304.6,7032
2017-05-23 00:00:00,300.0,306.2,300.0,305.5,6994
2017-05-22 00:00:00,301.8,301.8,299.2,300.0,1338
2017-05-19 00:00:00,300.5,301.4,299.3,300.7,2774
2017-05-18 00:00:00,301.0,303.6,300.0,300.5,10618
2017-05-17 00:00:00,303.0,303.0,300.0,300.3,8319
2017-05-16 00:00:00,301.6,303.2,299.6,302.9,12453
2017-05-15 00:00:00,302.0,302.7,298.5,301.6,4484
2017-05-12 00:00:00,300.0,300.2,300.2,300.2,9740
2017-05-11 00:00:00,295.5,300.0,295.0,296.6,12589
2017-05-10 00:00:00,297.2,297.5,294.9,295.5,5828
2017-05-09 00:00:00,296.3,299.2,295.3,297.2,6122
2017-05-08 00:00:00,299.9,300.0,295.7,296.3,13033
2017-05-05 00:00:00,299.9,299.9,295.3,299.9,5884
2017-05-04 00:00:00,292.7,298.3,292.7,298.3,2894
2017-05-03 00:00:00,297.0,297.2,292.7,292.7,5686
2017-05-02 00:00:00,295.0,297.0,294.3,296.0,3103
2017-05-01 00:00:00,,294.9,294.9,294.9,0
2017-04-28 00:00:00,299.0,299.0,293.5,294.9,10196
2017-04-27 00:00:00,297.9,302.1,296.0,299.0,6521
2017-04-26 00:00:00,295.9,298.9,293.0,297.0,8145
2017-04-25 00:00:00,298.5,299.5,294.2,295.9,5261
2017-04-24 00:00:00,300.0,300.9,297.0,299.0,8243
2017-04-21 00:00:00,297.5,298.6,295.0,298.0,5683
2017-04-20 00:00:00,297.5,298.9,295.0,297.5,7434
2017-04-19 00:00:00,294.8,302.9,294.8,297.7,8943
2017-04-18 00:00:00,303.9,303.9,293.5,294.2,11692
2017-04-13 00:00:00,297.0,308.6,295.1,304.0,30272
2017-04-12 00:00:00,280.0,283.0,280.0,280.5,1168
2017-04-11 00:00:00,282.0,283.0,279.4,280.1,2928
2017-04-10 00:00:00,282.9,282.9,280.4,281.5,5299
2017-04-07 00:00:00,280.0,282.8,278.9,282.0,5786
2017-04-06 00:00:00,283.6,283.6,277.9,280.1,248350
2017-04-05 00:00:00,290.1,291.2,287.0,287.9,6739
2017-04-04 00:00:00,291.4,292.1,289.0,290.1,4318
2017-04-03 00:00:00,297.0,297.0,290.0,292.1,10775
2017-03-31 00:00:00,292.4,295.0,291.1,295.0,11272
