Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,156.6,158.4,156.1,157.5,2707
2017-09-07 00:00:00,156.2,157.4,155.9,157.4,3084
2017-09-06 00:00:00,156.0,157.4,155.0,155.5,17461
2017-09-04 00:00:00,158.0,159.6,158.0,158.6,10152
2017-09-01 00:00:00,157.8,160.4,157.8,159.3,10796
2017-08-31 00:00:00,158.4,159.5,158.4,159.0,10801
2017-08-30 00:00:00,157.4,157.7,154.6,157.3,2529
2017-08-29 00:00:00,157.4,157.4,154.5,154.6,17641
2017-08-28 00:00:00,158.0,158.9,157.8,157.9,2644
2017-08-25 00:00:00,159.1,162.2,158.5,159.2,4567
2017-08-24 00:00:00,160.3,161.2,158.9,159.1,5302
2017-08-23 00:00:00,159.3,160.9,158.6,158.7,4945
2017-08-22 00:00:00,157.2,159.7,157.2,159.2,3063
2017-08-21 00:00:00,156.4,157.2,155.7,156.3,17765
2017-08-18 00:00:00,156.1,157.1,154.8,156.5,13220
2017-08-17 00:00:00,160.0,160.0,156.3,157.4,8219
2017-08-16 00:00:00,157.7,159.9,157.5,159.7,15890
2017-08-15 00:00:00,158.4,158.8,155.8,156.9,11777
2017-08-14 00:00:00,157.4,158.9,157.3,158.2,19861
2017-08-11 00:00:00,157.9,158.4,155.9,157.1,30715
2017-08-10 00:00:00,160.7,160.9,158.6,158.7,19500
2017-08-09 00:00:00,162.0,162.2,159.5,160.7,8161
2017-08-08 00:00:00,160.1,162.5,159.4,161.9,8559
2017-08-07 00:00:00,160.4,160.5,158.9,160.1,17685
2017-08-04 00:00:00,161.0,161.3,159.8,160.4,14121
2017-08-03 00:00:00,163.0,163.0,159.3,161.0,13622
2017-08-02 00:00:00,163.3,163.3,161.2,161.8,11018
2017-08-01 00:00:00,160.5,163.9,160.5,163.3,9212
2017-07-31 00:00:00,161.4,161.8,160.9,160.9,8598
2017-07-28 00:00:00,163.2,163.2,161.3,162.0,7995
2017-07-27 00:00:00,164.4,164.7,162.8,163.1,17651
2017-07-26 00:00:00,163.9,165.0,163.3,164.1,7117
2017-07-25 00:00:00,166.0,166.0,163.1,163.9,12208
2017-07-24 00:00:00,166.5,166.5,164.4,165.7,6845
2017-07-21 00:00:00,175.3,176.8,163.0,166.0,50919
2017-07-20 00:00:00,176.1,177.4,172.6,174.3,4990
2017-07-19 00:00:00,176.4,177.7,173.7,176.4,2837
2017-07-18 00:00:00,172.7,176.4,172.6,176.4,8173
2017-07-17 00:00:00,175.1,175.5,170.8,173.6,10665
2017-07-14 00:00:00,175.7,176.1,174.9,175.1,5428
2017-07-13 00:00:00,177.7,177.7,175.7,175.7,4942
2017-07-12 00:00:00,174.0,179.0,174.0,177.7,5996
2017-07-11 00:00:00,175.2,176.1,173.7,173.7,3442
2017-07-10 00:00:00,172.5,175.4,172.3,174.6,13958
2017-07-07 00:00:00,171.0,172.0,171.0,172.0,5016
2017-07-06 00:00:00,171.6,171.6,169.6,171.2,3472
2017-07-05 00:00:00,169.3,172.1,168.5,171.5,7424
2017-07-04 00:00:00,171.0,171.8,168.9,169.1,13116
2017-07-03 00:00:00,170.5,172.8,170.5,171.9,3619
2017-06-30 00:00:00,170.6,172.8,170.6,171.0,10804
2017-06-29 00:00:00,174.0,174.1,170.6,170.6,17243
2017-06-28 00:00:00,174.0,175.2,169.8,173.2,15499
2017-06-27 00:00:00,177.6,177.6,173.2,173.6,23659
2017-06-26 00:00:00,182.7,183.8,180.0,180.0,20916
2017-06-23 00:00:00,,182.9,182.9,182.9,0
2017-06-22 00:00:00,183.6,183.6,181.4,182.9,14664
2017-06-21 00:00:00,181.0,183.4,179.9,182.4,11945
2017-06-20 00:00:00,183.1,183.7,181.6,181.6,11164
2017-06-19 00:00:00,182.5,184.3,182.4,183.1,12355
2017-06-16 00:00:00,178.0,182.0,178.0,181.5,20281
2017-06-15 00:00:00,179.2,179.2,177.0,177.9,11805
2017-06-14 00:00:00,180.5,181.9,179.1,179.1,10584
2017-06-13 00:00:00,179.3,180.8,179.0,180.5,9156
2017-06-12 00:00:00,183.7,183.7,178.3,179.1,22667
2017-06-09 00:00:00,180.6,185.1,180.6,183.7,30100
2017-06-08 00:00:00,182.1,182.7,180.2,180.2,8266
2017-06-07 00:00:00,180.0,182.8,178.8,182.0,14474
2017-06-06 00:00:00,,179.4,179.4,179.4,0
2017-06-05 00:00:00,182.1,182.1,178.6,179.4,12658
2017-06-02 00:00:00,179.3,184.1,179.3,182.1,14826
2017-06-01 00:00:00,178.3,179.6,177.5,179.1,5474
2017-05-31 00:00:00,177.8,179.4,176.5,179.4,11968
2017-05-30 00:00:00,176.1,178.5,175.5,177.8,9093
2017-05-29 00:00:00,176.6,176.6,175.5,176.1,9666
2017-05-26 00:00:00,177.3,177.9,176.1,176.8,7218
2017-05-24 00:00:00,178.7,179.3,178.1,178.3,13089
2017-05-23 00:00:00,176.1,179.5,176.1,179.1,16545
