Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,372.3,374.5,369.7,372.8,217075
2017-09-07 00:00:00,372.5,374.0,368.9,371.6,242158
2017-09-06 00:00:00,376.4,376.4,370.4,371.1,264880
2017-09-04 00:00:00,371.0,382.0,369.4,378.0,546541
2017-09-01 00:00:00,364.8,370.5,361.4,364.1,455754
2017-08-31 00:00:00,356.0,363.4,355.1,362.5,368943
2017-08-30 00:00:00,355.5,357.1,353.3,355.6,279793
2017-08-29 00:00:00,357.5,358.5,351.6,354.9,313504
2017-08-28 00:00:00,361.5,361.5,357.5,358.1,144774
2017-08-25 00:00:00,363.9,365.1,361.7,362.5,129311
2017-08-24 00:00:00,370.7,372.1,363.5,363.5,179346
2017-08-23 00:00:00,365.5,371.0,364.5,370.8,311435
2017-08-22 00:00:00,363.0,366.3,360.9,365.5,579602
2017-08-21 00:00:00,358.8,360.4,356.1,360.0,720974
2017-08-18 00:00:00,361.0,362.7,356.2,359.9,305296
2017-08-17 00:00:00,370.7,370.7,362.8,364.6,340032
2017-08-16 00:00:00,372.1,373.1,369.3,371.0,238070
2017-08-15 00:00:00,376.1,377.8,370.2,370.8,131488
2017-08-14 00:00:00,372.0,377.8,371.8,375.9,176676
2017-08-11 00:00:00,375.0,375.0,369.0,372.5,148945
2017-08-10 00:00:00,380.0,381.5,375.2,376.0,160914
2017-08-09 00:00:00,380.6,381.7,375.3,379.8,213352
2017-08-08 00:00:00,380.5,387.1,379.8,382.0,231437
2017-08-07 00:00:00,377.0,384.6,375.9,380.5,265426
2017-08-04 00:00:00,372.7,378.0,369.1,377.0,194990
2017-08-03 00:00:00,373.7,376.1,368.2,372.7,293456
2017-08-02 00:00:00,378.8,380.5,373.4,374.3,205218
2017-08-01 00:00:00,375.0,379.8,375.0,377.7,204183
2017-07-31 00:00:00,376.5,377.9,372.2,374.7,320540
2017-07-28 00:00:00,380.0,380.5,374.6,376.7,268946
2017-07-27 00:00:00,381.5,384.0,378.3,379.8,221784
2017-07-26 00:00:00,381.6,385.9,379.7,382.1,241981
2017-07-25 00:00:00,379.5,384.0,374.5,381.6,343016
2017-07-24 00:00:00,389.7,392.4,379.5,379.5,443970
2017-07-21 00:00:00,399.6,399.6,387.0,389.7,507949
2017-07-20 00:00:00,408.3,418.5,392.0,399.2,692794
2017-07-19 00:00:00,424.0,424.8,418.8,422.4,195040
2017-07-18 00:00:00,422.6,426.4,420.9,424.3,185303
2017-07-17 00:00:00,422.4,425.4,418.9,423.6,116152
2017-07-14 00:00:00,423.0,423.4,419.2,422.4,95320
2017-07-13 00:00:00,427.8,427.8,422.4,423.0,132542
2017-07-12 00:00:00,421.7,428.7,421.7,426.9,125430
2017-07-11 00:00:00,427.1,427.9,421.6,421.7,137478
2017-07-10 00:00:00,425.0,428.4,421.5,426.4,132940
2017-07-07 00:00:00,416.8,424.0,414.8,423.0,158591
2017-07-06 00:00:00,420.0,424.0,414.6,417.5,190393
2017-07-05 00:00:00,416.4,421.0,414.4,419.9,107117
2017-07-04 00:00:00,418.1,418.7,415.9,416.7,79339
2017-07-03 00:00:00,417.0,421.0,416.7,419.3,138110
2017-06-30 00:00:00,414.3,419.4,410.5,416.0,197722
2017-06-29 00:00:00,425.3,428.2,413.9,414.7,284184
2017-06-28 00:00:00,425.2,425.8,420.5,424.5,192317
2017-06-27 00:00:00,434.0,434.1,426.3,427.5,257451
2017-06-26 00:00:00,440.0,443.2,435.2,436.7,166337
2017-06-23 00:00:00,,439.8,439.8,439.8,0
2017-06-22 00:00:00,441.3,443.2,439.0,439.8,132650
2017-06-21 00:00:00,440.1,442.1,436.2,441.3,175305
2017-06-20 00:00:00,442.1,443.4,439.7,440.6,119048
2017-06-19 00:00:00,442.0,447.5,440.4,442.1,191644
2017-06-16 00:00:00,430.2,442.0,429.9,442.0,266493
2017-06-15 00:00:00,432.0,432.0,426.6,430.4,201596
2017-06-14 00:00:00,435.3,437.9,431.3,432.5,173082
2017-06-13 00:00:00,437.7,438.2,431.2,434.9,190819
2017-06-12 00:00:00,441.0,441.0,430.5,436.2,212289
2017-06-09 00:00:00,441.3,444.3,439.9,442.3,192604
