Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,134.5,134.8,133.8,134.7,2146830
2017-09-07 00:00:00,134.0,135.2,133.9,134.9,4068969
2017-09-06 00:00:00,133.3,135.1,133.0,133.8,4047503
2017-09-04 00:00:00,131.9,134.0,131.8,133.5,2786324
2017-09-01 00:00:00,132.1,134.0,131.9,133.3,3897350
2017-08-31 00:00:00,129.8,131.6,129.8,131.3,4178358
2017-08-30 00:00:00,129.2,130.3,128.3,129.2,3932099
2017-08-29 00:00:00,130.0,130.0,128.2,128.2,5453615
2017-08-28 00:00:00,131.7,132.4,130.5,130.9,3042612
2017-08-25 00:00:00,130.8,134.7,129.9,132.8,6094957
2017-08-24 00:00:00,131.0,131.6,130.4,130.4,4151715
2017-08-23 00:00:00,130.3,132.3,129.9,130.9,5834547
2017-08-22 00:00:00,126.2,130.8,126.1,130.2,6638251
2017-08-21 00:00:00,126.0,126.9,125.2,125.7,3923983
2017-08-18 00:00:00,125.0,127.3,124.6,126.7,4415140
2017-08-17 00:00:00,127.3,128.0,125.7,126.0,4995899
2017-08-16 00:00:00,125.0,127.5,125.0,127.2,3901774
2017-08-15 00:00:00,126.7,127.4,124.6,124.9,3587699
2017-08-14 00:00:00,127.0,128.2,126.1,126.6,2755097
2017-08-11 00:00:00,125.0,126.6,122.7,126.2,6263039
2017-08-10 00:00:00,128.2,128.4,126.0,126.0,3628414
2017-08-09 00:00:00,128.7,129.2,127.7,128.3,2510570
2017-08-08 00:00:00,128.6,129.8,128.0,129.8,2477244
2017-08-07 00:00:00,128.4,129.4,127.9,129.0,2027833
2017-08-04 00:00:00,126.7,128.5,126.0,128.5,2936627
2017-08-03 00:00:00,127.0,127.9,126.0,126.6,3720683
2017-08-02 00:00:00,128.8,129.3,126.8,127.4,3760656
2017-08-01 00:00:00,127.9,130.0,127.8,128.7,2889755
2017-07-31 00:00:00,127.8,128.7,127.3,127.3,3169946
2017-07-28 00:00:00,128.5,128.6,127.2,127.9,3549101
2017-07-27 00:00:00,130.1,131.6,128.4,128.8,4557861
2017-07-26 00:00:00,130.6,131.8,130.2,131.1,3531358
2017-07-25 00:00:00,129.8,131.7,129.6,130.6,4229471
2017-07-24 00:00:00,130.5,131.1,129.4,129.8,4145743
2017-07-21 00:00:00,132.7,132.7,129.4,130.5,6321265
2017-07-20 00:00:00,135.5,136.1,132.3,132.7,4470175
2017-07-19 00:00:00,133.4,135.4,131.7,134.9,5498329
2017-07-18 00:00:00,133.1,133.5,130.8,132.6,8651148
2017-07-17 00:00:00,139.2,141.0,132.5,133.6,12709820
2017-07-14 00:00:00,137.8,139.2,137.3,139.2,3682163
2017-07-13 00:00:00,139.2,139.6,137.3,137.6,3218105
2017-07-12 00:00:00,136.0,139.6,135.9,139.6,5137304
2017-07-11 00:00:00,136.5,138.0,134.7,135.4,3651209
2017-07-10 00:00:00,133.5,135.3,133.5,135.0,3249892
2017-07-07 00:00:00,134.8,134.8,132.9,133.1,3019546
2017-07-06 00:00:00,134.8,135.3,133.1,134.7,4600295
2017-07-05 00:00:00,133.5,136.2,133.5,135.0,3899679
