Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,122.7,122.7,120.6,122.2,492951
2017-09-07 00:00:00,117.5,122.2,116.8,122.0,867222
2017-09-06 00:00:00,118.2,119.0,116.9,117.5,426880
2017-09-04 00:00:00,118.0,118.4,117.6,118.3,232998
2017-09-01 00:00:00,118.5,119.4,118.2,119.0,534184
2017-08-31 00:00:00,117.0,118.5,116.7,118.5,531888
2017-08-30 00:00:00,117.8,118.1,116.6,117.4,414464
2017-08-29 00:00:00,114.7,116.6,113.9,116.4,1154238
2017-08-28 00:00:00,114.6,115.8,114.4,115.2,449161
2017-08-25 00:00:00,113.3,115.6,113.3,115.5,925944
2017-08-24 00:00:00,119.4,119.7,112.0,113.6,3530306
2017-08-23 00:00:00,122.5,123.3,122.5,123.1,279469
2017-08-22 00:00:00,120.6,123.0,120.6,122.9,339487
2017-08-21 00:00:00,120.2,121.2,119.8,120.2,337269
2017-08-18 00:00:00,121.2,121.5,120.4,120.8,307049
2017-08-17 00:00:00,122.2,123.6,121.7,122.7,329604
2017-08-16 00:00:00,123.0,123.3,121.9,122.3,223064
2017-08-15 00:00:00,122.2,123.1,121.6,122.3,284907
2017-08-14 00:00:00,120.6,122.4,120.6,122.2,580411
2017-08-11 00:00:00,120.4,120.8,118.7,120.2,408889
2017-08-10 00:00:00,120.4,122.1,120.1,121.2,710567
2017-08-09 00:00:00,120.9,120.9,119.6,120.4,344791
2017-08-08 00:00:00,120.9,121.3,120.4,121.3,371521
2017-08-07 00:00:00,121.0,121.7,120.4,121.0,429866
2017-08-04 00:00:00,121.5,122.3,120.3,121.0,764433
2017-08-03 00:00:00,120.3,121.9,119.9,121.5,510208
2017-08-02 00:00:00,120.7,121.8,119.8,120.4,736541
2017-08-01 00:00:00,123.4,123.9,120.7,121.5,585657
2017-07-31 00:00:00,122.5,124.1,121.8,123.0,592707
2017-07-28 00:00:00,124.1,124.1,121.8,122.5,513758
2017-07-27 00:00:00,123.8,125.0,123.2,124.4,375877
2017-07-26 00:00:00,123.5,124.3,123.1,123.8,417605
2017-07-25 00:00:00,122.4,124.1,122.4,123.1,385172
2017-07-24 00:00:00,123.4,124.1,121.5,122.4,862157
2017-07-21 00:00:00,124.7,125.0,123.3,124.1,690240
2017-07-20 00:00:00,124.3,125.8,123.8,124.6,1111017
2017-07-19 00:00:00,130.5,132.0,123.6,126.0,2061028
2017-07-18 00:00:00,126.2,126.6,124.4,124.8,574891
2017-07-17 00:00:00,125.5,127.1,125.5,127.0,501943
2017-07-14 00:00:00,125.5,126.4,124.9,125.5,503721
2017-07-13 00:00:00,126.6,127.3,124.5,125.5,616286
2017-07-12 00:00:00,124.4,127.3,124.2,127.3,478810
2017-07-11 00:00:00,127.0,127.9,123.7,124.4,688415
2017-07-10 00:00:00,127.5,128.1,126.7,127.1,413877
2017-07-07 00:00:00,126.4,127.3,125.3,127.2,473937
2017-07-06 00:00:00,129.2,129.4,126.5,126.8,465871
2017-07-05 00:00:00,127.0,129.5,126.1,129.4,704745
2017-07-04 00:00:00,128.5,128.7,126.7,127.3,521980
2017-07-03 00:00:00,130.0,131.1,128.8,129.1,434993
2017-06-30 00:00:00,128.5,130.8,128.5,130.0,713881
2017-06-29 00:00:00,133.2,133.7,128.4,129.1,968701
2017-06-28 00:00:00,135.0,135.1,131.3,133.2,936541
2017-06-27 00:00:00,138.3,138.3,135.4,136.0,516787
2017-06-26 00:00:00,138.7,140.0,138.2,138.6,528588
2017-06-23 00:00:00,,140.6,140.6,140.6,0
2017-06-22 00:00:00,139.9,140.7,139.1,140.6,571788
2017-06-21 00:00:00,139.1,139.6,137.9,139.1,279681
2017-06-20 00:00:00,139.7,139.8,138.7,139.7,373304
2017-06-19 00:00:00,138.6,139.4,137.6,139.4,747360
2017-06-16 00:00:00,137.5,138.9,137.1,138.3,439445
2017-06-15 00:00:00,136.2,136.9,135.5,136.6,553075
2017-06-14 00:00:00,137.0,138.1,136.8,137.3,400975
2017-06-13 00:00:00,135.8,137.7,135.7,137.0,441186
2017-06-12 00:00:00,137.2,137.2,135.4,136.0,433873
2017-06-09 00:00:00,137.3,138.4,137.2,137.5,377586
2017-06-08 00:00:00,138.6,138.8,137.2,137.6,398742
2017-06-07 00:00:00,140.5,141.0,137.1,139.0,790876
2017-06-06 00:00:00,,141.5,141.5,141.5,0
2017-06-05 00:00:00,142.4,143.8,139.5,141.5,1020843
2017-06-02 00:00:00,141.0,142.9,141.0,142.8,651911
2017-06-01 00:00:00,136.0,140.8,136.0,140.0,1121086
2017-05-31 00:00:00,135.5,136.5,135.2,136.4,677094
2017-05-30 00:00:00,133.0,135.9,133.0,135.6,603604
2017-05-29 00:00:00,134.5,135.7,133.9,133.9,732287
2017-05-26 00:00:00,136.3,136.5,133.7,134.9,472761
2017-05-24 00:00:00,135.3,137.3,135.3,136.7,173378
2017-05-23 00:00:00,134.5,136.5,134.4,136.0,348725
2017-05-22 00:00:00,136.0,136.5,134.5,135.0,438024
2017-05-19 00:00:00,136.1,137.9,136.1,136.2,457186
2017-05-18 00:00:00,135.1,136.3,134.5,136.2,581719
2017-05-17 00:00:00,136.4,137.4,136.0,136.1,572045
2017-05-16 00:00:00,136.4,137.7,135.9,137.0,527758
2017-05-15 00:00:00,136.9,136.9,135.9,136.7,377545
2017-05-12 00:00:00,136.8,137.0,137.0,137.0,488101
2017-05-11 00:00:00,138.5,139.5,136.3,136.6,831678
2017-05-10 00:00:00,137.6,139.4,137.6,138.5,446573
2017-05-09 00:00:00,137.5,139.0,137.5,138.5,716291
2017-05-08 00:00:00,138.6,139.2,136.9,137.8,644043
2017-05-05 00:00:00,138.5,139.4,137.4,138.3,716787
2017-05-04 00:00:00,141.2,142.3,138.8,138.9,1222486
2017-05-03 00:00:00,143.0,143.6,139.7,140.6,1054259
2017-05-02 00:00:00,137.5,142.9,137.1,142.9,1792488
2017-05-01 00:00:00,,136.8,136.8,136.8,0
2017-04-28 00:00:00,136.0,136.9,133.0,136.8,2716715
2017-04-27 00:00:00,132.9,134.9,132.9,134.8,844234
2017-04-26 00:00:00,132.4,134.3,132.4,133.8,582825
2017-04-25 00:00:00,129.4,132.9,129.3,132.8,1040830
2017-04-24 00:00:00,128.2,129.7,127.5,129.4,649969
2017-04-21 00:00:00,131.0,131.0,127.1,127.3,1104725
2017-04-20 00:00:00,132.0,132.7,131.1,132.1,516276
2017-04-19 00:00:00,131.7,132.4,131.1,131.8,377771
2017-04-18 00:00:00,132.8,133.3,130.7,131.7,683987
2017-04-13 00:00:00,131.8,132.5,131.2,132.0,179396
2017-04-12 00:00:00,130.5,131.8,130.5,131.5,326182
2017-04-11 00:00:00,130.4,131.2,129.9,130.4,410390
2017-04-10 00:00:00,129.4,131.4,129.1,130.6,565997
2017-04-07 00:00:00,128.5,129.8,128.3,129.6,903016
2017-04-06 00:00:00,127.2,128.8,126.7,128.8,646208
2017-04-05 00:00:00,129.0,129.3,126.3,127.9,559280
2017-04-04 00:00:00,128.2,129.5,127.7,129.3,502559
2017-04-03 00:00:00,128.5,129.5,127.8,128.4,428411
2017-03-31 00:00:00,128.0,128.9,127.6,128.9,374700
2017-03-30 00:00:00,128.9,129.0,128.1,128.3,789927
2017-03-29 00:00:00,127.4,128.7,127.0,128.7,596237
2017-03-28 00:00:00,126.6,127.6,126.4,127.6,519605
2017-03-27 00:00:00,125.5,127.1,124.8,126.7,477777
2017-03-24 00:00:00,125.1,126.3,124.7,126.0,610125
2017-03-23 00:00:00,125.0,125.4,124.4,125.4,475179
2017-03-22 00:00:00,124.0,125.4,122.3,125.2,894249
2017-03-21 00:00:00,125.5,126.1,124.6,125.0,708862
2017-03-20 00:00:00,124.9,126.5,124.1,126.0,489732
2017-03-17 00:00:00,124.1,125.9,123.2,125.5,753932
2017-03-16 00:00:00,124.2,124.2,123.2,124.0,437985
2017-03-15 00:00:00,124.4,124.7,123.5,123.7,391016
2017-03-14 00:00:00,124.6,124.9,123.4,124.6,471125
2017-03-13 00:00:00,123.9,124.8,123.4,124.6,438112
2017-03-10 00:00:00,122.8,123.9,123.9,123.9,421680
2017-03-09 00:00:00,123.2,123.5,122.0,123.0,507458
2017-03-08 00:00:00,123.5,123.5,121.7,123.2,427975
2017-03-07 00:00:00,124.5,125.0,123.0,123.5,500627
2017-03-06 00:00:00,124.0,125.0,123.5,124.3,590055
2017-03-03 00:00:00,123.0,123.1,123.1,123.1,459331
2017-03-02 00:00:00,123.2,124.6,122.8,123.7,661458
2017-03-01 00:00:00,122.1,123.7,122.0,123.2,620056
2017-02-28 00:00:00,121.0,122.5,120.8,122.5,496316
2017-02-27 00:00:00,123.0,123.0,119.9,121.1,912304
2017-02-24 00:00:00,123.0,124.0,120.5,122.4,1220089
2017-02-23 00:00:00,122.0,125.2,122.0,123.7,2668263
2017-02-22 00:00:00,122.2,122.2,118.5,119.4,1356777
2017-02-21 00:00:00,117.7,122.7,117.7,122.4,1612658
2017-02-20 00:00:00,118.6,118.7,117.2,118.2,1041887
2017-02-17 00:00:00,118.9,119.3,116.7,117.8,1706814
2017-02-16 00:00:00,110.0,120.7,108.0,119.0,3655766
2017-02-15 00:00:00,116.1,116.8,115.3,116.0,821690
2017-02-14 00:00:00,117.0,117.3,115.3,115.7,917268
2017-02-13 00:00:00,117.5,117.8,117.0,117.3,1040265
2017-02-10 00:00:00,117.1,117.6,115.9,117.2,817839
2017-02-09 00:00:00,116.3,117.1,115.1,117.1,885062
2017-02-08 00:00:00,118.1,118.5,115.8,116.5,1452795
2017-02-07 00:00:00,116.8,118.2,116.3,118.1,735865
2017-02-06 00:00:00,118.0,118.2,115.6,116.3,900063
2017-02-03 00:00:00,114.5,122.0,114.4,117.3,2144654
2017-02-02 00:00:00,113.1,115.5,112.2,114.6,1329516
2017-02-01 00:00:00,112.0,113.4,111.8,113.3,805344
2017-01-31 00:00:00,113.2,113.3,110.8,111.8,779627
2017-01-30 00:00:00,114.5,114.9,112.6,112.6,690149
2017-01-27 00:00:00,111.7,114.0,110.3,113.4,1028078
2017-01-26 00:00:00,108.6,112.3,107.7,111.7,1409878
2017-01-25 00:00:00,109.1,109.2,106.1,108.2,1405806
2017-01-24 00:00:00,111.0,111.9,108.7,109.0,656142
2017-01-23 00:00:00,111.3,111.5,110.3,110.9,651487
2017-01-20 00:00:00,111.8,112.1,110.8,111.5,500361
2017-01-19 00:00:00,112.7,113.0,110.8,111.4,897159
2017-01-18 00:00:00,110.7,112.0,110.7,112.0,766193
2017-01-17 00:00:00,112.2,113.3,110.8,111.0,1169508
2017-01-16 00:00:00,113.8,113.9,111.9,112.3,848074
2017-01-13 00:00:00,107.4,115.3,107.2,114.3,1970905
2017-01-12 00:00:00,110.0,110.0,107.2,107.9,1048236
2017-01-11 00:00:00,111.5,111.8,109.8,110.5,1113329
2017-01-10 00:00:00,108.9,112.1,108.6,111.0,1516985
2017-01-09 00:00:00,109.0,109.8,107.0,108.6,1748410
2017-01-06 00:00:00,,109.3,109.3,109.3,0
2017-01-05 00:00:00,110.5,110.9,109.3,109.3,346906
2017-01-04 00:00:00,110.3,110.9,109.3,110.3,575367
