Dates,Open,High,Low,Close,Volume
2017-09-08 00:00:00,92.45,93.05,91.9,92.55,2152953
2017-09-07 00:00:00,91.05,92.55,91.05,92.4,1778958
2017-09-06 00:00:00,91.5,91.75,90.7,91.05,2324676
2017-09-04 00:00:00,92.0,92.4,91.7,91.9,1455443
2017-09-01 00:00:00,92.5,93.05,92.25,92.6,2216696
2017-08-31 00:00:00,93.35,93.6,92.3,92.5,2585678
2017-08-30 00:00:00,92.6,93.3,92.6,93.25,1448916
2017-08-29 00:00:00,92.2,92.8,91.6,92.1,2573771
2017-08-28 00:00:00,93.2,93.4,92.6,92.75,1107379
2017-08-25 00:00:00,94.0,94.2,93.45,93.5,1099218
2017-08-24 00:00:00,94.0,94.45,93.7,94.2,1943082
2017-08-23 00:00:00,94.9,94.9,93.6,93.6,1763112
2017-08-22 00:00:00,94.55,95.05,94.1,94.9,2062277
2017-08-21 00:00:00,94.2,94.8,93.85,94.25,1394392
2017-08-18 00:00:00,94.0,94.9,93.65,94.55,1743774
2017-08-17 00:00:00,95.75,95.8,94.4,94.65,1633873
2017-08-16 00:00:00,95.45,95.75,95.0,95.7,1226211
2017-08-15 00:00:00,97.1,97.5,95.25,95.45,1759136
2017-08-14 00:00:00,95.45,97.4,95.3,97.15,2247966
2017-08-11 00:00:00,96.25,96.25,94.95,95.15,1490144
2017-08-10 00:00:00,98.0,98.45,96.65,96.7,2261420
2017-08-09 00:00:00,98.3,98.9,97.95,98.0,1687065
2017-08-08 00:00:00,98.0,98.85,97.7,98.75,1290648
2017-08-07 00:00:00,97.45,98.2,97.25,97.9,1125302
2017-08-04 00:00:00,97.0,97.75,96.55,97.45,1044079
2017-08-03 00:00:00,96.5,97.2,95.65,97.0,1255603
2017-08-02 00:00:00,96.85,97.3,96.45,96.75,1238082
2017-08-01 00:00:00,96.2,97.0,95.7,96.85,1427328
2017-07-31 00:00:00,95.55,96.95,95.55,96.1,2196523
2017-07-28 00:00:00,96.7,96.9,95.35,95.55,2198632
2017-07-27 00:00:00,96.7,98.1,96.55,96.7,2072520
2017-07-26 00:00:00,95.6,97.0,95.6,96.7,1417236
2017-07-25 00:00:00,96.0,96.65,95.8,95.9,2026766
2017-07-24 00:00:00,97.55,97.9,96.6,96.6,2200226
